,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41H,42C,43O,44O,45H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3950443074973715,4.2961191399757785,2.1466594601137308,2.4699605518449417,3.876298654082381,4.9619962345927,3.3995064973834017,4.570977366599045,4.546253288996818,3.329230808266928,3.9845886162044324,3.1198206033147042,2.9368878687157034,3.608766043629074,3.6299966549778864,5.1495643560038475,5.681268303988783,5.563825101886972,5.798487026501399,6.22264256387678,6.1028698940680695,6.427047253146321,6.4701154553914595,7.148433932813309,7.703613208906276,7.330214110113008,7.992465253035805,7.658488996328405,8.743323804085897,9.134431094943274,3.3208063659752742,2.828426612398744,4.338391091025259,4.500869116408625
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871963636544513,2.781811267109567,3.871167258077496,1.3923531512576002,2.1652904294352573,2.414307107629944,3.644768596113362,4.328262363289465,4.1010156701382545,4.431716463712715,4.929514112573249,4.961026652573613,5.919452390470871,5.694385661504864,7.276960456665073,7.98236257300529,7.207003934476987,8.02470263696307,8.02347101634679,7.465921956437806,9.01762543117648,9.275379215275443,8.980151530160025,9.214808282594198,9.886663024438313,10.728305795136281,9.870457364749983,10.895735300678076,11.49442043641602,6.315451298522169,6.020239668607896,7.396682066663748,7.7551976655052375
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.868984745985355,4.9583245736576975,2.1458780730484603,2.489443799948931,3.3966782548958427,4.511357434460535,5.280984070150122,4.406564400408604,4.7434121493361605,5.369466286364235,5.3901652117061,6.499887415443526,6.332701320413913,7.7426575713205885,8.528785231104537,7.562646134334327,8.41372740468796,8.241140423571725,7.5810212325814605,9.486186127993275,9.84562818351638,9.14387820609024,9.255742941976994,10.289758247885688,11.181827784068178,10.134052327278964,11.10460328188156,11.768600172432095,7.038093631922943,6.753176721724805,8.183100231854405,8.591450943730411
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0893955602377783,2.4186719943451838,3.396709295224301,1.3983442994465196,2.4294873432739745,2.452677873401102,4.59272114753823,4.824018990072616,4.862364612319507,4.915103547293249,5.250001934760942,4.8731679138197155,6.788861306642815,7.189275469287807,7.0391500647938265,7.686096244072135,8.14625912647077,7.895961866625001,8.377677807419255,8.31777722941865,9.170822490226108,9.697041716121484,9.380724696266213,10.03696264808788,9.746592782913314,10.864209565605298,11.26405630559789,5.111863232117766,4.8149528300069875,5.858654323631826,6.008872543754641
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4069629331868208,4.295590405659654,2.1597098961645997,2.6918529731892713,2.2953611834235312,5.197148255413664,5.381697639654232,5.254852105720368,5.309131647282374,5.373672937330708,4.960819789227007,6.903252847263579,7.1582421140868036,7.272155730345791,7.824650739005784,8.447646076707697,8.316670715987007,8.369305589980236,8.17395468689389,9.46899615386411,10.08960366924988,9.400990391134034,9.965288014704267,9.911314708121928,11.042261012688844,11.357284002712143,4.996500263468899,4.718523762581282,5.529152093804445,5.559630047726358
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858767637172895,1.3992433589207969,2.367271767156546,3.175729513520168,5.081599973873904,5.199512817163798,5.868045920283396,5.974959980935775,6.637300360150633,6.240217364141094,8.059358490471693,8.63177863597812,8.022816398630274,8.947140861428627,9.102361746557557,8.589993485325927,9.881455617623683,10.011923598255835,10.122635492092742,10.43632654308165,10.83572756420245,11.628714423111356,10.947853751066582,12.020145888664763,12.567651924498806,6.917046541462769,6.66261534807145,7.839663935407588,8.141838079369585
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146862651950102,2.572017698367837,3.5192217899826215,5.956410456461726,5.974462233001298,6.845523733048218,6.984388052964217,7.630968175580365,7.185356262442875,9.01405343811273,9.58390562084514,8.904717019409977,9.930445266675672,10.040905212822713,9.468386737589762,10.906648049091219,11.049209345895637,11.067184896377162,11.334271865810614,11.866037887123861,12.678476664124783,11.941472606052782,13.006318130835833,13.57999925978256,7.974283874227406,7.745578016025996,8.877475389366708,9.195346359535739
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36896122539264,1.9162634194039136,5.289893809340524,5.3725730365758295,5.841269337694253,5.9577166235304455,6.34893487852071,5.880835147209188,7.843477545823101,8.274896482082994,7.948531307180274,8.798056739738342,9.158893550301032,8.782927278728597,9.595852343715876,9.581165296654724,10.210362225207579,10.655970920050217,10.609225478104337,11.316215504479317,10.894146555030282,12.008206664792395,12.464769469426514,6.399071053801955,6.151912220675971,7.157203341441976,7.36356259227529
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700649719609526,6.529387805727353,6.4749751083221545,7.071467695810447,7.233413758415804,7.431377302577442,6.857428951715186,8.912446680414941,9.235221791382605,9.023839691163548,9.947201406605966,10.397015776140913,10.041196747409055,10.69649821384219,10.589205048547115,11.479790766930545,11.964422426119567,11.756161863589911,12.420543772506544,12.122149396113507,13.25769695011184,13.678211237973755,7.411522544742936,7.210183377089533,8.008888020992908,8.161109605830964
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776283342940356,6.7196122832317755,7.163231438130633,7.3211010784783905,7.355675321936824,6.76387316076342,8.841650910500304,9.06850421184455,9.043845765277801,9.891192881895549,10.458787461253955,10.192802541046532,10.538036925058776,10.33821992580362,11.542535122240789,12.101707194725316,11.617454874444807,12.216754092873265,12.087833749506178,13.236071981103969,13.594447207840377,7.183036225438056,6.992856010378006,7.64616643181334,7.7225127931912825
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2268072016030078,1.3698923642098402,2.07008425488576,2.4565724109958857,2.5220427589378476,3.3960588156482037,4.263749317991961,3.172877339813989,4.175290328853836,4.1946725434712855,3.601171651028854,5.383099509952189,5.773903370840712,5.381375282072214,5.774966306964849,6.359667378816786,7.322775579438187,6.360784126883735,7.552493495779475,8.189608739185166,3.5932133241127047,3.8937212296689947,4.708543089056889,5.4210230872459295
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271848903891001,3.166303262390573,2.7835542471537513,2.390206120185141,3.5352342563872576,4.210399964681003,3.0684585019169264,4.626005900280567,4.7898209314206435,4.142933837111208,5.870809473227136,6.148256498490773,6.091174748135664,6.522552968248634,6.981199751980896,7.9401744499109554,7.077673077702184,8.33125821376543,8.956107186705129,4.091304910543154,4.647000395076642,4.963298025573792,5.776272409602575
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0115552545702666,1.449076912769025,2.061969703536325,2.5123284761036055,3.4213151203480483,2.7109445415202837,3.0986572643784918,3.3271708386590966,3.0628253748363865,4.164541982531185,4.539552464097049,4.4784492916289755,5.046782700113277,5.137159262741018,6.0516491717928345,5.2694866216824465,6.490751057713549,7.044263757677147,2.4091040239884167,2.7074577454079742,3.6162099273645576,4.282554390389552
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1028720183246574,2.889119301635446,3.1101222006802494,4.025426189290781,3.4863800815439925,3.2816723234937233,3.364768324155674,3.249009410755155,4.159517074241539,4.609312818850554,4.272895448297349,4.793478107428585,4.9286732639264015,5.798481461632992,4.977832353764859,6.09428964494509,6.6328787743811155,2.485228936157309,2.32833055570483,3.814719558276391,4.293223589570349
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096959257425582,1.5581027774359262,2.162480683840402,2.134017159013377,2.58415893482546,3.40095057931352,3.4387970450203778,3.4568640627404945,3.539614255335209,4.636554947110844,5.436061392920962,4.6797629408487165,5.491701344719638,5.168136563737487,6.490510891745372,6.9023196552103,1.5214449639300198,2.433661039260745,2.383782502081572,3.214010141421129
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152924164899916,2.4224011635589404,2.409775839319667,3.4894130973911435,4.324769263969692,4.223131579158868,4.355366184112135,4.282246709720433,5.627553889704255,6.401486667362043,5.653373436184935,6.430553431424287,6.193484967234146,7.533656998850008,7.937900076093537,2.133810772703693,3.1001855013214987,2.6510056902609778,3.5263376078366573
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095515870470778,1.0953620189789568,1.5130055220618746,2.5414780466118914,2.740606638684417,2.5388337731665804,2.7409043423677244,3.828438451171706,4.705726687213255,3.8279628012935922,4.696087605760728,4.33541152205835,5.701850004318434,6.117421379573519,2.5598845055916932,3.5479226150437038,2.918734083110461,3.80512768738302
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635951350444292,2.155913038762825,3.397974510910743,3.7240316885177474,2.684793128904248,2.4787902558980677,4.566591513066268,5.517758254244099,4.061536158059945,4.754944920287207,4.834080590215267,6.185992689889252,6.4679654543998435,2.802748102241373,3.9399141566131846,2.624491039375064,3.528478726580597
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1575685370746536,2.7056073802320895,2.510978783882545,3.383428597367373,3.703925631977518,4.074151327938862,4.786257506713234,4.557170535863393,5.49681708665209,4.835519036387463,6.169362790585471,6.6939077816478285,3.462143868406616,4.414316768580996,3.8895705739025646,4.816112749085232
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404475287354892,2.1558608950810614,1.4013011708682221,2.1553087061651555,2.441054855744235,3.429212260943262,2.439067480056122,3.4220223838471577,2.82254150147178,4.189135786123892,4.623226523662482,3.104017448901243,3.7535470638073773,3.541217960892084,4.20090159617869
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0871281769472798,2.401504001929868,3.3914923635483896,1.3920660237130233,2.165323413458732,2.7822863559195072,3.8714087946752733,2.414755443876879,3.643237300261944,4.329434617844296,4.095598020734791,4.499342048378025,4.794897286281932,5.415968781922392
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.389362588794622,4.294274895435896,2.143160017988527,2.4859308182252873,3.869340405956118,4.958440522676005,3.39547827510646,4.507233588921825,5.279707456537116,4.439140777472668,4.859936087412305,5.273396405916882,5.981616945345996
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087536448853874,2.786102832091031,3.87181678558166,1.3955226034989296,2.1580222367005986,2.418302564423275,3.688622864640755,3.8404460853453455,3.393260707209825,3.9244156276509647,3.468922924048283,3.8822956587683097
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87357807079493,4.95922534138247,2.146657527375753,2.4708418170704682,3.398596547106247,4.570513735633967,4.550621180986637,3.210523035349788,3.8666969407487404,2.8686429082334395,3.2071796567767654
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858307294411438,2.41893577014692,3.4075445149064816,1.3996751738539868,2.3657331871803144,3.1761454739089525,5.06096383616614,5.251150132536378,5.722620089720667,6.187903852358226
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3965702784990426,4.2958816575284455,2.146580142419113,2.5694903962607816,3.5175634673414216,5.95195770674809,6.05333480639571,6.716999641886841,7.185217367752245
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891576395211866,1.3985304997630403,2.429370378840785,2.4558871040549954,4.508907742584025,4.765390028084068,4.661269481098934,4.892975598251738
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1603914079049935,2.6937746543341383,2.3008142805337592,5.0940723515465285,5.284480452593823,5.0439378366177605,5.103902468821408
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367576294789717,1.917149589045461,5.235786759333234,5.3681404889958,5.668555579838148,5.966187408595811
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701541006882959,6.472414994573834,6.466293903428178,6.901901329162049,7.098784877570327
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.708559429567384,6.685616137844328,6.988440122546747,7.081488327873446
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2136313254353785,1.3512632604398658,1.875332927659637
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2513907553524173,2.280519664012294
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766062011562257
45H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
