,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31H,32C,33O,34O,35H
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711681612058263,2.1566901473923767,3.0863873941738174,2.527127260695819,2.735071079555576,2.530860946547389,3.048146042350981,3.6872444291111632,5.094641257175654,5.395473626534734,5.934023877973696,5.840672173144475,6.86976589200207,7.016697305231912,8.26855874251522,9.005925993406741,8.651859543222189,8.382547309716612,6.580081471020351,5.756467274599169,7.646721527802352,7.648105740641509
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1597657448272742,2.5228549444626336,3.0868700663790785,2.7555086387946734,3.0794109215752647,2.5517522619815427,3.703009897526581,5.1910615621590654,5.802518214548971,5.646504815617867,5.287522923712914,6.544430571295558,6.9491043343694,7.810488500666145,8.54845485837927,8.328935351490474,7.71204277580184,6.042607506602919,5.013849432661913,7.141973751840306,7.03206372540829
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930310212812293,1.092991217314887,1.5350587183213715,2.129400938158355,2.130252818680199,2.147550329173895,6.346800291378674,6.923356375642225,7.022002701890102,6.662606313910567,8.147279936718038,8.493973120022494,9.371561282194394,10.220928078432342,9.713261742863173,9.272779003300675,7.911583151201904,6.972762594594162,9.090928149890686,9.079334796179683
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7797525361945805,2.1122064370561664,2.979410953378654,2.438732902279648,2.423590311400381,6.647699653795865,7.37924447904458,7.162626611501252,6.661755062982435,8.330261237567507,8.79949410951857,9.434744550143245,10.319690624713251,9.779345086473217,9.212801328210306,8.10011414007862,7.120358597357889,9.317863816078484,9.30188556553335
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1127084050600224,2.4342475965938664,2.980412279613309,2.427439117401507,6.551611674372336,7.043338813469026,7.372309754426897,7.090414790258505,8.572174024369332,8.836432786056925,9.799925719285854,10.686019195066265,10.035317603490437,9.764272343289665,8.498264387667682,7.653975445584264,9.70170338247953,9.770815471317645
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028083161296112,1.0279898142085895,1.027935514801227,7.542801425181149,8.02181122401761,8.202616975929152,7.866760665060859,9.199369527756572,9.51481381663274,10.484151216488714,11.256864903888307,10.917247668806546,10.394737348364236,8.769397234999524,7.758046214257875,9.843651905139648,9.701883172117208
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6538405123484292,1.6606146283602952,7.595663464435383,7.9219985033242155,8.365549576481458,8.147522492295563,9.30061297704718,9.50455633861093,10.664985850014617,11.395153733130739,11.092914670249053,10.67593794339009,8.864458326307147,7.907187413950701,9.878868481803456,9.735019463352762
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.660905998159511,7.668409658073679,8.196290117741343,8.189911284861784,7.7999436231130455,9.088499987825896,9.466844229756123,10.349355397919018,11.07132448303878,10.87384529155843,10.20560924421425,8.504537017352229,7.422896660760858,9.52228428830788,9.290891399375102
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424956029787463,8.928825842949125,9.086430215201661,8.711683800623947,10.133058179450005,10.469005801789207,11.3836825890223,12.18488951276644,11.78881746036743,11.257064848597135,9.736221575250378,8.716058160537388,10.830757428723139,10.69043341544404
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255818634491809,1.3680018848817541,2.0385589175695364,2.46115003293311,2.5128753552128202,3.677083511724821,4.532303132482207,3.740958183255759,4.111764062477474,3.2922916894939176,3.435095571601463,4.44025234699553,5.072797617299693
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.288199875649287,3.1540936564619506,2.834515801056051,2.3748555145609975,4.103325689132564,4.7686707118022,4.093104252814995,4.784185752503481,3.6673686252737685,4.006400982536547,4.566522972538898,5.233802648576289
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128243352249646,1.4537335161731677,2.052104319138548,2.48121780992468,3.421008732358063,2.7281708642869087,2.7698648847774368,2.4321299053128307,2.732993946862693,3.624166727564749,4.310482710520867
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0996919818994924,2.946482326132234,2.8166709749664833,3.8063988134024744,3.1632414351685267,2.6976632743177738,2.686336811605095,2.651101861393948,3.9649520342607243,4.519461869392017
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942744672644193,1.5372473530748498,2.1757256370883615,2.1641330863832255,2.18781413892797,1.5323369448061974,2.441014546915235,2.381637887264058,3.223396310918342
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666146233998003,2.5142550169903384,2.4886446250335124,3.0848996354447094,2.136624836392419,3.1151995498556455,2.626900693757069,3.516136108324968
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930219452617165,1.0935506017168417,1.0967360472221144,2.5396865664243977,3.494420806982875,2.9306147975546075,3.8060119009439086
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779382673872016,1.7741768368014368,2.7793742474483456,3.877669475611672,2.6321184981801555,3.503951844893243
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7761060467777459,3.481133655106982,4.406152961806456,3.914304816849352,4.832058216650651
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81916372864304,3.497839468981482,3.3300441412231527,4.037592452628962
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141140087429907,1.3458227981518824,1.882694411918257
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255214133514081,2.305751219876487
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767104431235945
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
