 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,C30,H31,H32,H33,C34,H35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09649472418011684,0.007611352439700569,0.0022466828807252703,0.028965510160328223,0.0013953324404349932,0.00013134512485057925,0.00488522637312816,0.0007636271267250638,8.259963465340192e-05,0.0001657802943579867,0.0008920653435260384,0.0015703918340217449,0.00011146413679519185,2.285448254646383e-06,1.0178677532612923e-05,6.704191253259495e-07,7.351761140528268e-06,5.3503731889392725e-06,1.1119698175576787e-06,1.522245951512957e-08,1.7380475059169953e-07,4.3881326194927794e-07,7.883434804956124e-07,1.4406983606107815e-08,5.8061343066739823e-08,4.676503140288446e-07,3.2514830763386016e-06,1.0229174755016501e-06,5.940499739898186e-07,2.112947288246403e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.677260366758336,2.1161453584309546,2.6864559469498914,0.0835946244029806,0.08090826098632098,0.16251263785843217,0.023696490527412628,0.010957779066689266,0.01327779962733755,0.0019392691389597538,0.004432508128976401,0.0004583901894560094,4.048117059052281e-05,4.87489346679415e-05,1.156676797853251e-05,1.6867901644318506e-05,4.366065085470439e-06,3.535996950063125e-06,1.0364673097562616e-07,2.653638535132785e-06,5.536471259226516e-07,3.140598460862898e-06,6.5368208623795e-08,5.364031665511249e-07,4.887400764097549e-07,4.29230805981673e-06,2.8925649089017735e-06,1.533430442443584e-06,3.1343740902745054e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023623237164671185,0.09243584258973647,0.029933083249790382,0.008795698964107368,0.004468086365293611,9.018169778696183e-05,0.004293945326452553,0.00026780269655657385,0.0003196986492699505,0.000936524909619485,9.772918217498816e-05,1.2495347158969494e-05,5.5580256228537905e-06,1.0488537933728281e-06,2.9220453681144676e-06,1.2231065680268216e-06,1.1766873647678366e-06,2.7543689773423807e-08,1.5358912026641747e-06,2.376155001648783e-07,2.840668045234196e-07,4.237153294894824e-09,6.646755990047382e-08,3.679320847993495e-08,1.303521551365705e-06,1.3808338160670175e-06,2.8478642055684844e-07,5.32096418037753e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08843164706653761,0.0025272419969708526,0.030782134877996636,0.012914985560597891,0.0013513957795869835,0.00047449706364366406,0.008660438214582733,0.00032334243604115187,0.00022135087649766128,0.0001239122484912869,2.8275432617519414e-06,1.5388842205421582e-05,4.611549383248814e-06,3.6912969754165914e-06,2.672331529396388e-07,1.0224844514405973e-06,1.3841923163226966e-08,1.1127289911705418e-06,8.494510228551633e-08,1.0238405339091372e-06,1.6470555586067803e-08,1.3447627189577815e-07,5.735239838600137e-09,1.6291907460885824e-06,1.2335168098065452e-07,5.669712809242e-07,1.5543385645244712e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.728951473837686,2.154783164657024,2.427953930734648,0.07542200427458956,0.08007008918886538,0.07733026602463644,0.012513705070555714,0.06251351676367017,0.004836726003242975,0.0003144103345836813,0.00030038135781010333,9.690064615242022e-05,0.00019030428749072792,6.36145079853101e-05,2.448697768246688e-05,2.3760796976635135e-06,7.960529572192954e-06,9.340735245721987e-06,1.659784220872651e-05,1.7383594519415624e-07,5.3215326698552445e-06,3.90415028639346e-06,5.373486558415963e-05,5.531546050964453e-05,1.1684842518566718e-05,1.973543599431693e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029961557108406867,0.08839207589155307,0.004467574699231092,0.026097927629745277,0.004800650648797644,0.014873035800071266,0.1266376652369806,0.004528007412771373,0.00025055365975679145,0.0001709287927126324,1.9856569881460118e-05,8.634821711650531e-05,1.3111351931271997e-05,1.0857212363490909e-05,1.529954180901072e-06,2.0784989396283038e-06,7.054090208180597e-06,6.4546558262712495e-06,2.160531042960656e-08,2.3844512408999208e-06,2.2944888002918162e-06,5.1052703656351284e-05,6.391209714162738e-05,8.052365125243988e-06,1.260674893144298e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09291142928226248,0.004931593308024729,0.00465036161409671,0.027882768810946867,0.0002542277858443853,0.0012214012064118984,6.27711826334254e-05,4.3695157070366974e-07,1.672440324407276e-05,2.3766646368494904e-05,7.737742827140792e-06,2.090003987653688e-07,2.0779518221658577e-06,4.910364994614724e-07,2.435950472445825e-07,4.580353918370861e-08,4.5290232941752606e-07,1.0822675267085913e-07,2.0841394632320487e-07,5.758170518177508e-08,1.319644526320829e-06,1.049554390841756e-06,1.3593094194686017e-07,1.4539626613796486e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7229761469909533,1.7070223119772734,2.01747927608631,0.00188040861644434,0.006754014835162317,0.0007797919079990528,3.6442455914276195e-05,6.156006367757927e-05,1.2388085450232289e-05,3.258601627836866e-05,8.582859825634337e-06,5.364323726900211e-06,4.3642483416039823e-07,1.5130073398594845e-06,1.682578974371296e-06,3.946243050029219e-06,3.351746435953373e-08,1.0069738549667306e-06,6.589100010057081e-07,8.903708488494644e-06,7.3017744660203165e-06,2.652323236373988e-06,3.5732002345856273e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02952025501164046,0.030082279478836238,4.2990944473686454e-05,0.00016320240985234769,1.9111028574880784e-05,9.284594060243734e-07,1.472120969348012e-06,3.315237235845814e-07,1.1505568707770308e-06,2.6325511504055044e-07,1.1386923159939499e-07,1.2774525659509095e-08,2.46886286969783e-08,3.990497776662494e-08,1.3001887366748122e-07,3.29203042603865e-09,4.893348037882106e-08,2.329699633207838e-08,1.863224449172307e-07,1.674391513217799e-07,4.4797958786979564e-08,4.732545910712815e-09
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028922588674810346,0.00033613491598927236,0.0011404023597813007,0.00012246810049454382,1.1469542929853915e-05,8.525156503291775e-06,1.3540888341712076e-06,5.850105175286835e-06,3.129967416803936e-06,8.130559666641446e-07,7.919157996028048e-08,2.926665585434307e-07,3.270844979308407e-07,5.201565305146261e-07,1.301410534892966e-09,1.678789331993613e-07,1.2198897381132667e-07,1.818995096880549e-06,1.8472633170896202e-06,4.337636279050372e-07,6.659997398017481e-08
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820800911709e-05,0.00017006941576858114,1.2659436125939116e-05,9.250440378139047e-07,8.486415223885047e-07,1.8036696269874142e-07,3.425351682295741e-07,1.1457019621907705e-07,5.751007026155719e-08,2.9025863934606377e-09,8.404132723072166e-09,1.9287820895996788e-08,2.8172858046460192e-08,3.07860159587392e-09,7.847819061268524e-09,7.232640486520836e-09,1.9892937874743666e-07,1.8018770242544946e-07,4.3562257134865945e-08,7.080859454333677e-09
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.511488137246247,3.479280764864597,0.139480822414364,0.26275967652906806,0.021755255783672878,0.03771003081514482,0.008500234782344851,0.0038396923911807185,0.00019148789264211707,0.0014494320314768494,0.0003608599594107087,0.004827931241278366,0.0001670022016186934,0.0008105379671226043,0.0004763893194754676,0.02854795349613623,0.007944615591309254,0.005639687074400865,0.0012435922740506866
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5406241521237813,0.025298259254533884,0.06025203882106611,0.02831437850370977,0.019530191110657943,0.01578457494671137,0.0027314319492506706,0.00010423770013412437,0.0012040696800779127,0.0004626569648719103,0.002375744000046684,5.856697839545788e-05,0.0004190739926048792,0.00021601783513847117,0.007052198810369614,0.00403175989324954,0.0011934419390534634,0.00024993883756152524
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8275156480271166,2.517513008989131,0.09348175096598366,0.17439544943263907,0.01006875610410296,0.01957342690541125,0.0014956560780496897,0.012280340501019005,0.000556525530936991,0.030790859255419814,0.0011032225792735328,0.003576220135941277,0.0003980967828920434,0.19455153856008164,0.06775406340481166,0.02735285972519208,0.005341936306061723
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09584474979932611,0.020163197495205676,0.006496121413441469,0.00023925868846097487,0.001837425127949377,0.000161850243769468,0.001790576905866148,3.206127596522279e-05,0.0013673486473685381,0.00021456861867541477,0.0004086184377676272,3.682137427052368e-05,0.03602574143968573,0.09289448654815868,0.00608004796661088,0.0001792162958309529
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083877470329588,2.4401289935545085,0.0982797286571162,0.1511476569518354,0.032161533842514745,0.007897038743337692,0.007189275696252606,0.16455144855987777,0.010565621625096222,0.030386350588771593,0.005493741189279255,2.59740556120451,0.2826628565749335,0.21805807273438044,0.0532977571224148
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08022332486074268,0.0044434615189996585,0.026017859234057084,0.0012034791675192835,0.001077272942831442,0.0003542217769703093,0.012562585707782015,0.006504913988508054,0.0008499137431257076,0.0001885881308656412,0.1102292793662989,0.02845990468809445,0.010511118683321219,0.00079649563409534
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9171115811763182,2.876092250531389,0.09198154889115351,0.08699161126364352,0.082523315928686,2.4541884905091726,0.08705711768262403,0.09543304145117415,0.08422791437659982,0.18053465580107705,0.043711108188145636,0.020525683422643493,0.001658063220058681
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801084393352417,0.005191390443775479,0.004105556755521489,0.034964313202475505,0.083966066067934,0.004075874578755911,0.005777966143936775,0.03379359380003377,0.027022780167748728,0.00456290238600765,0.002769141311855128,0.0009127059076661226
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8072812019292381,1.692104883305332,1.9478453269157923,0.1702841907840983,0.031118967329799796,0.00826270857845779,0.009424105059964605,0.02855037266387464,0.00872446962651692,0.003617130348410727,0.00028779652778265774
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02438867643048992,0.02408702928494444,0.008461597614978222,0.0006550274918268872,0.003497066385782288,0.00014944694977803152,0.00282228847367616,0.0005083126046298014,0.0003511946282992451,1.7076225312662174e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02386753788710627,0.03173102727360266,0.0028118111518482536,0.0006135831400033709,0.0004899753154816722,0.0010866813012657683,0.0006612666439527182,0.0002383961049250427,1.0949267690074649e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009440680804337687,0.0005162549766295488,0.00018248205583581978,0.004285584817989019,0.01159215561450222,0.0030013239950186232,0.000799873741651913,0.00014807576451381088
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1307784326595294,1.83191472412316,1.9996343147038655,0.012770047357784448,0.0034794680566652553,0.020654875708495196,0.0011468023952584394
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024385213295083696,0.02414196380665712,0.000559468878015501,0.00013564975996316342,0.0005409063688515126,2.900582401932361e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248487310369927,0.001973566844510888,0.0009479547590559578,0.0016913033708674252,0.0003031731301947893
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004372204850371153,0.0013782371248131087,0.024723300749414978,0.0008633173041625586
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026498300732615,3.2682403917231766,0.1713484716702548
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505965389562164,0.06264236876730556
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6010923706123532
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
