,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.154159335782748,2.379540708101433,2.5904814825070464,3.43368683519688,3.741466785082836,3.777828494017939,4.663244437312839,5.511311796734042,4.854723430583433,4.838336735090719,3.9787385438446594,4.365207935400356,4.809859818251406,4.861621538718812,5.990814444971164,5.8712995275396125,7.151831182814299,6.827484281209896,7.823122573033486,8.642827850479241,7.239216066136082,8.368637958425658,8.3256310662532,8.136361847604865,9.101764428403175,8.856370061903409,6.610067034955355,6.502971238983071,7.62187550447504,8.118556158539832
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977299285087219,1.1002022340982265,1.5271550140815575,2.1949369698610672,2.1862771452230465,2.521874889529131,3.422422448157141,2.7493443802709945,2.7585429169658675,4.028144644301821,3.7584847736041906,5.11571448746557,5.570027700859527,5.987425476810612,5.540782664618573,6.98959663631453,6.485284166753495,7.989141317563452,8.69507533825069,7.626191149684194,8.659776226318014,7.912341382378235,7.48048062638699,8.617187082916056,8.58376616690464,6.916971933786795,7.183297994307778,7.720910316612021,8.392587624857237
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679069291773433,2.163588881107178,3.08394912141637,2.437213802891034,2.8768611266155957,3.789130395682965,2.702814960586789,3.266663713438851,4.899341007370787,4.6833762363104325,5.854196307819101,6.2392257396178445,6.66274324028047,6.151865748767286,7.787854332865541,7.372353026198223,8.817675634415362,9.581274423554145,8.476852680739109,9.411192329756545,8.645475409783817,8.160317807121798,9.414756496423362,9.241244387497352,7.440046138540643,7.666370145308766,8.164034234797402,8.769525889909778
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169337782157526,2.6448689186598,3.075274770005975,2.653750285385021,3.6314218068649846,2.8931653580800165,2.470048761180911,4.569833945345269,4.251355703251152,5.781936474704654,6.235527209424469,6.732316551590808,6.3452612498623555,7.587895650540521,6.963619670275141,8.525225585604366,9.145843519054349,8.10288993876405,9.279094415948515,8.555526211683869,8.149990842805447,9.16771026836379,9.305507837330737,7.761477055779915,8.012220028354815,8.62215881744013,9.32332933293518
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0951914892094672,1.0930756401159278,1.5332099049938974,2.1368768827305304,2.1381684384235555,2.125866346074838,3.7267343324985918,3.0446641834627886,4.778941893563672,5.464314961554473,5.331491150817003,4.687434199859845,6.206654336935024,5.665331064152919,7.40237667185565,8.044375185766153,7.234195656669386,8.096768753596596,6.911490236109378,6.340427629641187,7.5813956101146065,7.6299100600655345,6.402631850575897,6.9165024985083585,7.032586034329218,7.802033338607313
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.771848424434269,2.130687272075829,2.435634215464561,3.000701660253513,2.4491462715012586,2.9442120150077677,2.0814612929735716,4.080293849067262,4.859511699886511,4.626124566456831,4.061325234761515,5.324697965384244,4.686798714416025,6.499039921208829,7.072661934292192,6.340586455943282,7.266940988931079,6.081212324012198,5.5777435032344505,6.677634008274132,6.878276255410091,5.856013100317268,6.4253744109933395,6.5444795952394585,7.373610738314896
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1082806149954645,2.4075867591360063,2.4474754484871073,2.974533905017329,3.8931017003976165,3.2709771559421736,4.694588468971335,5.373339359730464,5.040779015768821,4.267006341480519,6.061067430777728,5.684412881188258,7.337364732618187,8.053568789951491,7.27031239079475,7.916262281371669,6.628321994166097,5.983973340419442,7.397252932711375,7.234626325352283,5.954157618681887,6.520461904516797,6.435993506893711,7.1673788884000045
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0274849117395881,1.0277185304003498,1.0273877166013041,5.062882309863533,4.177526288012577,6.152418475249838,6.908376415270628,6.56849526687232,5.829120905159368,7.264069896603717,6.619323428593953,8.53710076454004,9.06681825870284,8.447061445453087,9.287221799026034,7.789659719253262,7.0951673208423065,8.348556522091584,8.57439379956772,7.716632971847329,8.332045131029897,8.226952666042033,9.039373905929184
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6609977916474867,1.6576770842368074,5.289603965851845,4.252434197838111,6.2885928910761555,7.1337976468939415,6.487013819565818,5.656684178707202,7.056542977936431,6.410253206656151,8.41680132823857,8.885289884870716,8.454523047723391,9.16216400496512,7.393536829887089,6.608117805172067,7.899952745650521,8.190428951138033,7.672510186598125,8.416485534041604,8.04746180552081,8.898831416597794
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6548283517979645,5.85086111430478,5.057354872236255,6.890494206880531,7.587885427442206,7.310887309067531,6.534476917223627,8.118365649245948,7.537397388256171,9.40413905127624,9.983748870227299,9.306978149866037,10.104250115086979,8.616298451560528,7.885721432971001,9.22693080188611,9.342725759864946,8.350817713443146,8.926104905648858,8.816017866738061,9.579340048570348
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3040256923935365,4.421170665592249,6.511101330551364,7.256172562010328,7.042287187063005,6.400298454280132,7.61068871682729,6.855362242587536,8.80202924686974,9.25531411875165,8.644171444637228,9.631066576666436,8.217186932336876,7.586525945058885,8.684640077633881,9.075221847037039,8.27987858966715,8.85885388819452,8.882013027642222,9.717516155785589
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2416524479318678,1.3509557163267896,2.0642540154822555,2.4787123517373297,2.660504273758125,3.256664721439409,2.8715490762210294,4.00147467702017,4.747166254853777,3.6025558282702494,4.719169512284633,4.545152533079188,4.569097119001909,5.214688903933206,5.2043616311729215,3.650807174222324,3.9654956812122966,4.734977710061479,5.4748515569646345
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273144956656496,3.1804927919923984,2.8324833299496817,2.6022688557068046,3.3665945954602607,2.7338681474211,4.434705163147509,5.027213285076649,4.270159487890395,5.24130822123234,4.3728691876823245,4.151721157915482,4.964904313431561,5.185081323721413,4.223007128608903,4.810918991841374,5.066430354122954,5.9227608712103255
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148868392099448,1.4593157159911647,2.084341462089419,2.5088416464251417,2.5983791429160306,3.096535739229655,4.032438007489709,2.7640862919314775,3.6027744867744294,3.85403412022222,4.0761121679115595,4.644141917207339,4.295012951773997,2.380754937019546,2.651715659753174,3.577091910995013,4.247081548993698
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1035639415040106,2.8846091915088508,3.1254359949870274,3.384352334743454,3.2916425387624937,4.291687778593524,2.745640762855131,3.6015964568193226,4.498358511433992,4.857850335940274,5.285061512144989,4.768737773240519,2.404753368635849,2.1773353061191436,3.733477856952176,4.200858939427185
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0954042128974972,1.5642044861553819,2.1112709196557224,2.5755017079514544,3.5199241945292314,2.794550622410624,2.9093568212341245,2.5757856335055114,2.789934042417194,3.5168801333262465,2.909570959911987,1.525120867713835,2.420357338160113,2.3890652207306418,3.225062084465257
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1681702406873398,2.4672016175845353,3.496410255540161,4.319542544578837,3.816391873299079,3.8473274387161367,2.694340867498467,2.454849611376707,3.686174060420073,3.1041164438111806,2.1495589729813322,3.1757270297491855,2.5717836976259494,3.4925268564928205
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976187819824195,1.5351483229962506,2.171059027746306,2.1937706947253837,2.1926896035674277,1.5353019819677753,2.189661687435323,2.1663443493702053,2.1934897626068657,2.5801688769285605,3.4374797821460383,3.1090999825255197,3.94130231655378
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151848923904972,2.4782265263112495,2.517806461000181,3.0797447427360956,2.1398667777019744,2.4941616226535466,2.4599226701350934,3.0704538049177406,3.45309134915603,4.250827903667191,4.074068768110487,4.950536488989178
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952193160939883,1.0960010476866038,1.0970220370547785,2.543702827041356,3.503558639654107,2.785483018828038,2.8177636741157546,3.027640982543019,3.443649284622448,3.7007604149895967,4.271425806217114
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76855685755927,1.7665778762475406,2.7891355736227035,3.7939013061338835,2.5825553637215366,3.1578804674171597,4.0732277103423,4.522826594619161,4.5964025633761265,5.168402411150897
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772662619689935,3.5059333347490043,4.35633220630091,3.7907277598620457,3.8312409895436947,3.2634733949015993,3.36370380416937,4.236472127169609,4.7438228480286355
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.813620083219079,3.8266940516246977,3.153409915417607,2.644891528265939,2.786423232347378,3.073380539246713,3.2673159636888,3.6315666656959986
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967551749973792,1.0955583047977728,1.0941520678883638,3.2340578955832333,4.298634130652783,3.099265766305897,3.93588574741864
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704830096673834,1.7707656690037112,3.58453745297691,4.757840922402848,3.307387355648466,4.218045222006834
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703878561265112,4.23113130046947,5.213475563721878,4.121524070024909,4.893147052115908
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0192530614757747,4.041960201456567,2.5369415911994295,3.216133936635643
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138973910038668,1.3433279321990748,1.8791824584225
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.254329791678808,2.302979332699507
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977941167170729
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
