 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,O22,H23,C24,H25,H26,H27,C28,O29,O30,H31
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024503744199227295,0.024213520058312454,0.000937627243169814,0.0003467594987178746,0.0006386075129081181,0.00183125562344566,0.0001328085873766316,1.3306215757902251e-05,1.6678121656621414e-05,3.88784605664938e-06,2.684748492853828e-06,3.839978826691848e-06,1.948063359291652e-06,2.0900615327335004e-07,1.780582714605572e-07,1.2787752006193642e-06,7.437342935956437e-05,0.0001714945268971313,1.8167346603092938e-05,1.8887626027641602e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025866741230368806,0.0015759310073804045,0.0006627043129976418,0.001223278416435436,0.0010696872498585641,0.00015444843651435392,3.4514250049078044e-06,5.453311450942522e-05,1.5432253402947183e-05,4.0638035688767005e-06,5.6025530612568986e-06,7.67484690211706e-06,3.963245527316417e-07,1.239551138842998e-06,1.7433904915264975e-06,7.824959457880531e-05,0.00014750559112608475,1.2105490087011006e-05,2.9766047113799488e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986360136448598,0.0005568421633221909,0.01081141817584963,0.00533260692188775,0.0007101060081873278,0.00010301881792851297,0.0004639373838646321,1.2570634967179473e-05,5.744064281998362e-05,3.326450888185839e-05,6.752713409907685e-05,4.0368911813359887e-07,4.412375934848001e-06,2.621210908682059e-05,0.00330551800749479,0.011580578760565396,0.001172608918014184,1.634454014376452e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8888786202897565,3.5100447373964707,0.1398998412748027,0.27205692438906875,0.02919590735650468,0.029629959781650145,0.003055915672665943,0.0046410701999992365,0.0037069309131370076,0.009731710750166739,0.0006954208511091853,0.0010570668986704668,0.008205766921518975,0.028450051446570562,0.006747614380149744,0.005634548545376983,0.0011927792441648322
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5343242482282063,0.027686772430811635,0.06940753631894363,0.04431320250619086,0.010278286821490193,0.0008747143023276616,0.002590518389320437,0.004067423372914325,0.01300958255909239,0.002144711311841241,0.0060324953682543425,0.003268692585826738,0.01004045674370127,0.004477033317746765,0.0014863543156464765,0.0002918351612470893
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866775424928294,2.848385315242156,0.09310181239737958,0.17924119347071207,0.024218732153819866,0.030750290014829165,0.03499747187599289,0.019169578127169976,0.0012832626562881977,0.0006499540367144174,0.00700448253657715,0.19516785313006552,0.05987413778624913,0.02907069087787864,0.005344478809371833
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0965436046500101,0.020491989768624874,0.007152786590420734,0.00042950893296755943,0.0023596609772901234,0.0013825898964880956,0.0005706843822363972,4.35254339914426e-05,0.0001221406809535086,8.424909615123433e-05,0.03518065904006884,0.08167089964391472,0.00558715196150672,0.00019193552110152723
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6436275970369272,2.5975398482275263,0.09258650521008915,0.21551717440935575,0.010149273087780575,0.1610183328111469,0.030334361767452744,0.006696846270150658,0.007899608645837386,2.666330094600314,0.2828137232690285,0.22178879266577267,0.05399945666809203
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867566303376377,0.0032264019981911307,0.026476189994585897,0.0006272044788602216,0.00798178691788809,0.000983298173594882,0.0027365777153893767,9.706236648754363e-05,0.11409926008334037,0.029650995224578258,0.010154956748468225,0.0005888807732410406
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9976080406394914,2.679398966005527,0.11135168528058481,2.803206500245243,0.10027936938483006,0.1000259216117827,0.08763628761695297,0.18616874257542299,0.04135124049205645,0.032838621623519915,0.0021458327322774196
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1006178150324375,0.03937564031793617,0.08490007999279725,0.005702123378943158,0.0032583102937187025,0.03444134569091828,0.011651417325399427,0.0016581257848133912,0.018256905683641467,0.0003837583844801262
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7928226882513945,0.21348037667206243,0.009974242339625294,0.033010062030098375,0.009349033703459186,0.04028338689238431,0.005640515703892582,0.004590477283232072,0.00030303991564462063
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017451347942046946,0.000296512255833159,0.0011368301339151898,0.00908150575153499,0.0010416697462731772,0.0004026280006727001,0.00036204864409905557,8.802058547741076e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960442202699975,1.7268197442820137,2.044632849521528,0.030322135735874695,0.007306829749082311,0.004870839837451388,0.00042694855889524597
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02579626414227465,0.023657055139084227,0.004591946820980519,0.0017214780301320065,0.00032390514806068804,8.021604159202944e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025010973772566558,0.000803167539503491,0.0002913282522549743,0.0001233723523286212,5.811312482562059e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007604064979023217,0.0001865279008490539,0.0004946217493160265,0.00015967322502064007
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.957667911366753,3.5662939386313606,0.17398451120158798
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116980413864475,0.06202437762083579
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7314428703149791
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
