 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,H30,H31,S32,C33,H34,H35,H36,C37,O38,O39,H40
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02839204645546367,0.0015129819682264678,0.12865625023444482,0.008319476522285152,0.003905830967739332,0.0005308680700242263,0.027211400834258992,0.001235299592064587,0.0001535220093102918,0.00019247867169702726,4.397506235509496e-05,4.960764013706154e-05,5.650682351809877e-06,8.477967161635291e-07,6.47897964167754e-07,9.229623398887554e-08,3.3213514205598926e-07,1.7057998191738477e-07,2.8540332319693107e-08,1.891491918648569e-08,2.9520178856934365e-08,3.859079056311998e-09,7.360938525380334e-10,3.554647687309398e-10,1.1835428193052167e-09,1.3986870800009044e-05,4.408538764022474e-05,3.769535818598513e-06,9.572977712757336e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9961699102769177,0.30897715027983,0.003521748896678556,3.794117282782975,0.1299867290117529,0.33012512194834154,0.027241985406785574,0.0036453480678440286,0.0016364232888347596,0.02261777990775081,0.0435486306541959,0.0019497749446900359,0.0006553408239838854,0.0009122805653012656,7.2523653144696e-05,0.0020809359418831885,0.00011011179558623185,4.363624022118984e-06,3.905419326799553e-05,1.186741794621804e-05,1.328653817828096e-06,2.9354669450754045e-07,1.5579736745152672e-07,3.703471409544079e-07,0.003378501962684549,0.017513029138060757,0.0012701244461375688,0.0001469595320703343
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037539958243324456,0.00047465655451528477,0.1302415611285268,0.00830481430649388,0.02610144785462931,0.0011935492835599693,0.0005660269936020867,0.00018497210060985925,0.0024974270490099038,0.0015278049881404243,0.00034912826599708957,0.00016808271919432904,7.758618619879698e-05,1.6312014708308453e-05,0.00015282717647235877,9.171517501682658e-06,1.058798500874758e-06,3.4022999946259347e-06,1.5508400059704996e-06,2.609989706581217e-07,7.13836767474163e-09,3.731858910782648e-08,3.197255971087998e-08,0.00614808087214036,0.04547611852613587,0.0022018561962153793,7.652005013270013e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0243001141659183,0.33461476422384645,0.027597071069145995,3.7848588835525954,0.12703561841543842,0.0010400096808803605,0.0005702399824424886,0.0019366191299550334,0.002136709883476362,0.00016193672384226532,6.761639860797253e-05,0.00014818324968771113,1.2231567216858252e-06,0.0002619147919677989,1.4212996860302196e-05,3.9312933286517193e-07,7.161566442981382e-06,1.627864013836744e-06,2.00054792218185e-07,2.6021706789336463e-08,1.8734397588815455e-08,6.714142886110608e-08,8.158150415771281e-05,0.000222604538040308,2.5314337315507363e-05,6.994456220543732e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027387979772885984,0.0013821633564632396,0.12535588407062193,0.0079900198990277,1.1790696087921049e-05,5.965608039448789e-06,2.507445412858189e-06,1.776016071497466e-05,5.9917459815928e-07,1.8196394790948034e-07,2.766474205273539e-07,1.821664996626282e-08,7.488180326920002e-07,3.192317321598637e-08,1.1184211334835936e-09,1.0163830665987916e-08,6.832478915974605e-09,1.6349077647248578e-09,3.0871172285174e-10,2.0859070026801874e-10,7.395328793791123e-11,1.5861797604266314e-06,6.71176303657095e-06,2.657827484764397e-07,7.036436588947481e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984697637267291,3.843103839151075,0.12925825609332375,0.0008700038570515489,0.0006266205107559736,0.0046888459776027736,0.005847983829591175,0.0004020710962786833,0.0001852558881978439,0.0008156848313462806,1.5683162968960218e-05,0.00222605942066334,9.844699767022624e-05,1.770539309386976e-06,3.382429118281571e-05,9.11926468348534e-06,8.706937947300375e-07,8.545168794782398e-08,1.2600111598537467e-07,2.524052709063085e-07,0.00045720772555535305,0.0018898769083646322,0.00015320919179180603,2.6902989125665577e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12782883583072224,0.008027750288260194,5.8144729548903484e-06,2.1017768757625177e-06,1.5249912255099751e-05,4.500447438537947e-05,1.807643008833182e-05,5.88993548022998e-06,7.804167441172183e-05,6.163977857243097e-06,0.00015823090026123587,1.2196736169922673e-05,8.177891321903275e-07,6.628103731864954e-06,3.5947639777100804e-06,1.1239518316052965e-07,1.7618042580380688e-09,2.0233422715065785e-08,4.9944559377124165e-08,2.6413528948276976e-05,0.00010455171836809551,8.832231637057042e-06,2.034474664958097e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0088909641949027,0.001037730252051644,0.0005848231201432408,0.0016984333755296899,0.001781680015806697,0.00031706455861407745,2.442038564276494e-05,0.0001941685832312634,7.175603446762935e-06,0.0002681923944976017,2.2473401846356822e-05,4.422689061645002e-07,9.10505182694088e-06,4.522555390795713e-06,2.2616726172430823e-07,1.5253962759587125e-08,1.0316462573101148e-08,1.1690345314008255e-07,0.00013152405352961916,0.0003723562265200431,3.8415984782158574e-05,9.488099167342945e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333816059609035e-06,2.6679537367124695e-06,9.11513535584163e-06,1.098586700809534e-05,1.664953416469217e-06,2.2341346173071486e-07,2.264393288431421e-07,2.1739646172136418e-07,1.6974754091236832e-07,3.996732789168789e-08,1.2289915307661659e-08,6.92802037960405e-09,1.2520921410796859e-08,2.938785215178541e-09,4.526112817870853e-11,7.349187924887701e-11,8.853096034044938e-11,1.3433283945651908e-05,5.098123709701419e-05,4.322955533098138e-06,1.2457770326435025e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.675092584521688,3.463827810822618,0.13546049864873178,0.2721131011977267,0.01666235265698912,0.03088921658493146,0.0014816901922927173,0.0007613343435046716,0.005853434962372284,0.00025296746074054965,0.00021873485826917616,0.0014207290527029764,0.00036030753094132284,8.019081533450212e-05,8.119097365311134e-06,5.3109462794243e-06,0.05105415957134482,0.012848467759419946,0.007371981144704304,0.0008154036038514612
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325657341398518,0.028603145824286358,0.0765512782212895,0.02077807204246851,0.011112332058254834,0.0010192883384112505,0.0006918954661566667,0.0013312334976542384,0.0001722026726558301,0.00014007111131209005,0.000220659199675826,4.518352675131343e-05,7.02102105687441e-06,2.7482254708610654e-06,1.6439401484547034e-06,0.049246868547323575,0.009889140818850672,0.005192658495237333,0.0005964349622781251
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5807942581096217,2.9200838718368196,0.10028485124750885,0.18331025310559712,0.01477332046350921,0.006887438820497249,0.029611901933421655,0.0006504437580046041,0.0008950421266702424,0.005807210868401413,0.001322852784804679,0.00028953664668318613,3.316479294457331e-05,2.8239543533259415e-05,0.19089724275499725,0.030587566263007848,0.027890175503672232,0.004972468768684624
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09721751522494015,0.021879625693620453,0.019828449126443992,0.002145913073057004,0.005743977574347081,0.0016520501582601987,0.00022872878010549158,0.0005935969957366893,0.00019248473198352212,5.9666462715712854e-05,8.161379493776266e-06,1.1740243379687598e-06,3.629264293980583e-06,0.005436193888488816,0.001005348612424184,0.0012495248147116333,0.0005735205172887614
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9189135624232923,2.693734230408131,0.09513688848970236,0.08628819038900382,0.16418967923378783,0.005500651209434437,0.009377945344627436,0.04066553736636071,0.006968910356596858,0.001178950659479705,9.855192136543067e-05,0.000101366208327347,2.5764110430321208,0.2679393423363018,0.2163971115228496,0.054958659907854424
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08223146535104842,0.00420135647935016,0.03364383322266251,0.009257947593729332,0.0001065846895274003,0.004574440743213337,0.0018600735421580028,8.69340719207301e-05,3.800493448946618e-05,1.0723972007298244e-05,2.9852271403507658e-05,0.10455862243274328,0.023909917211039078,0.014541677185245239,0.0010067571141214593
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333002519477362,1.9778662226927621,2.8859544298472035,0.08550688614594337,0.08357903921828891,0.19742778095902214,0.03322141242522028,0.004216521006393581,0.000778842570727134,0.0008013937311750485,0.18601419076678563,0.03902350014916767,0.022916575673251602,0.002246529440331324
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272419534989001,0.08500088746428647,0.03464883580067046,0.004407992356133983,0.020679563282099522,0.0016374840651489642,9.039814490496845e-05,0.000499981157469076,1.9652710082418423e-05,0.029911673307017717,0.005773947613499475,0.0027063087793816054,0.0010838806115538446
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08128832739646397,0.005302616709277785,0.03396700209965209,0.016442927878095537,0.0011619772836772846,8.082588617130959e-05,1.6634420978656195e-05,0.0004078381760241889,0.011003311590697784,0.004817995250491647,0.0012840311855483177,7.585400380216711e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7864395551812604,1.9796413520659817,2.76757222217205,0.12119300598388108,0.027201552808730378,0.008668169014220961,0.00869647997129075,0.015931078674956328,0.0033737295142257095,0.01676800359634724,0.0007178360931047179
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023314659879065003,0.09113461898742292,0.008177926559128856,0.00038886462083165263,0.004239401173947499,0.0008670266199513055,0.00827890223225114,0.00037359380504209394,0.015900269149774604,0.000494774186219793
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09282553289003126,0.007663237366195119,0.0003152187627430969,0.0008967585035861703,0.004100298215367726,0.0009731848821170619,0.00028458262445074656,0.0008641034636621692,3.901344842982546e-05
S32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9523404652667797,0.09606958457479597,0.0989452595255167,0.09615054399793221,0.004912261311288996,0.0011251924591887813,0.003208598912277691,0.0003101795892824777
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962900797614135,1.883228477076133,1.988355182708901,0.0004179568106301157,0.00015148254334557132,0.0001855704557349458,9.160808595365388e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02528072317716945,0.025283902739409614,4.41961870720764e-05,1.751556857487735e-05,9.732177444932155e-06,1.4277367537118835e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023621982665219976,5.273345468403967e-05,6.671683412839968e-06,6.270826833842946e-05,5.25263110606744e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118240101944835e-05,6.865337899286672e-06,6.454119470200581e-06,1.3681175259350198e-06
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.286982361832899,3.5023463358521707,0.1691740542685678
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150811657549287,0.06706090578616897
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6343112098132262
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
