,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23C,24H,25C,26H,27H,28C,29H,30H,31C,32H,33H,34C,35O,36O,37H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3935368949849045,4.294279075781084,2.1536615133530885,2.475815391290191,3.8742638539294214,4.961567968740702,3.404286953978601,4.302500509426014,4.756987137738476,5.72525320261407,5.224514341658556,6.6800375906074,7.133846255667546,7.184372731055724,8.180403855551095,7.407912856983196,6.273024693746274,6.81111079354302,6.337479325144033,4.886741349759587,4.883580926388777,4.082488447412427,7.370459816642484,7.049696928860588,8.665652524433538,9.140857711912474
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884210019695344,2.7833971551598027,3.8707799960513296,1.3964182810333392,2.154208033639552,2.4187090559645634,3.4054574770172965,4.609372540591122,4.997368300069686,5.54957403766616,6.778158342362821,6.6985117714979525,7.578116304784014,8.642175218407692,7.469736875274867,7.304930859999168,8.173236466232789,7.392809486541963,6.023172890466245,6.445967423748638,5.3903231712179975,7.7167520425047655,7.807817920038751,8.739843898719219,9.368635374861972
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8718078726416865,4.95919537006005,2.1535446177141044,2.4746986077527984,3.4024665860536,4.30133860189036,4.400193563175062,4.582942042307422,5.370649177285576,6.443821109208049,6.19927278669329,7.2908861166642644,8.336352293938363,7.0887761187545175,7.23598282546939,8.172448636656856,7.344806211763813,6.060854906698696,6.600466141740926,5.536581562253871,7.444860382973973,7.6862016655792305,8.348227551466593,9.025077328121501
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873997430518278,2.413091047029534,3.401426380012047,1.397059882752143,2.159459401633397,6.080013338479062,6.784474068426893,6.834862162175678,8.2579765330186,8.501089114204436,8.905254933780496,9.947235152872812,8.995134698562161,8.177810539167918,8.821199494846361,8.20959495447394,6.785598081323207,6.880788176316973,5.989407606360283,9.004050901601792,8.762173445832468,10.222497460159538,10.72176080200455
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4003543857112417,4.303070767782472,2.157593505120698,2.4888310908211415,6.874502267288444,7.6426729204680575,7.554303316525606,9.00044085818094,9.332822736937766,9.589399303972908,10.607458006435387,9.738424433272801,8.73281320527032,9.284823099291478,8.745409792745784,7.3472892618834384,7.329894834479154,6.5321159957536885,9.674339414466118,9.330733428255218,10.935554460779791,11.387420250184963
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873275200824,1.3960324744839556,2.158616865805966,5.926007022106473,6.275830744777525,6.898409832654581,8.15188991639058,8.078798720979641,8.955220618045034,10.020899214389573,8.851809651922878,8.615008373120668,9.449980140868025,8.671498523042535,7.299490455284383,7.643651102880189,6.615140391484501,9.037083602608686,9.055935427627706,10.07153839783114,10.664422364496748
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1581678851259656,2.4903017344043348,6.6289630558744985,6.822727254700902,7.654707283198952,8.824295544821332,8.636046670480644,9.669528748958609,10.727932648404126,9.49853971831874,9.450255477094453,10.326993956328746,9.504384491294603,8.176552841587977,8.570712518773147,7.529866809246625,9.727583571670497,9.816988791246727,10.681302978357948,11.289703012705072
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087175517639106,6.561016408353891,7.0703907129108,7.458083599176586,8.81311566230101,8.891722372208685,9.551430299869322,10.613917798453532,9.539859882799698,9.003245723808174,9.741345111278205,9.035817560402121,7.631229004025337,7.835217473723058,6.872320735089734,9.619244677448224,9.487293010203215,10.752039093303978,11.2888779887557
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6209973159686255,8.090564542459413,8.53925155725903,9.892852546613222,9.958974505135012,10.638263758715967,11.700672375969662,10.620154478566295,10.074700705396017,10.798631331816347,10.091254130394987,8.699582875192144,8.8733442708245,7.929664211940172,10.67646960695661,10.517961796881247,11.80481632350926,12.324593203098523
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299522835183883,1.3781824410740284,2.426524685516747,2.614037035831779,3.647291237478209,4.536708175132444,4.001186588769858,3.7514784881051972,4.479234333718932,4.418497607786811,2.5685694661676317,2.943281381409474,2.8918817969081636,3.1118260120507357,3.3008315947073372,4.195528132090676,4.797440841532373
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258514221593609,2.6807828273181924,2.4386224411939916,4.128048802304137,4.879108400810585,4.416762988023722,4.610244980709597,5.314626296140019,5.333776227111528,3.6453486133024646,3.9880139390579252,4.078259902650601,3.1396792006797014,3.5009271974879397,3.914062717836226,4.4933490160986045
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4556069708809598,2.0983344216081377,2.3559699950069306,3.2889892019973077,2.838301569934919,2.394594137806533,3.164120939674862,3.128960052546296,1.4690626053178648,2.117976602998677,2.1209773015238587,2.4576784548126978,2.8032938681329505,3.627340330559259,4.318001651367015
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908961602291205,1.5449376422281011,2.2026378665980353,2.1602217835600293,2.452802580046334,3.084886740028629,3.3079940407811246,2.406497550421245,2.9645977994787276,3.2831010700557215,1.529500914580122,2.4419814818165286,2.3798953759623216,3.215576110878396
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209708817480239,2.7702637510231947,2.3745628924192514,3.3753912606287515,4.097897969432075,4.070601155405821,3.314672897199703,3.9598239127047443,4.030133655991915,2.135979971536447,3.19735506069151,2.5083374024048815,3.4323014660718676
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936455271521888,1.0942675110580444,1.5484564381254857,2.198222603364786,2.191682317219824,2.47508419791348,3.1843527122827155,3.256037908690724,2.5428327965229984,3.342389831482804,3.13681625446808,3.948582095479612
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7643873618139305,2.2164026327460586,2.3951827359047906,2.8378208111279695,3.3514316899880203,3.8471182551944563,4.214286362406028,2.6380421056736756,3.457930087859863,2.8460750229806115,3.560015774024766
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190018731331414,3.017568497124781,2.351884248102989,3.0767627908065394,3.9817073904050178,3.5845799319695466,3.4234747341640515,4.333480793412069,3.846384129000247,4.74580361524204
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093909979468572,1.0939660923171108,1.5518250487965846,2.186918670171647,2.2060736514005104,3.252385181686097,3.5557660138702696,4.208592486523116,4.848954497466818
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7610061809510476,2.1847050019862215,2.307581530343696,2.9061030301927984,3.415687330330314,3.479647012999282,4.314143445434196,4.775783855984593
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.199469408275679,2.94662000849876,2.3565790099825006,4.293159381114009,4.646242031096629,5.17466542412513,5.864962885890462
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096698214927989,1.0933719301011466,3.172716172368194,3.1955213357902044,4.418809361103968,5.004193817924826
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779355358563982,3.216218354776923,2.8242625803556427,4.531894893866001,4.921040795160171
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.213312865107704,4.229178485177438,5.448872213224661,6.0681170895063
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211451738814221,1.3522875055100911,1.878447896281744
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.255916507921553,2.292443318235148
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765716286304861
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
