 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,C23,H24,C25,H26,H27,C28,H29,H30,C31,H32,H33,C34,O35,O36,H37
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027493404677462085,0.0013760903660506862,0.12667652100348525,0.008008052415199085,8.66212577890213e-05,2.663043824535638e-05,1.991077697049981e-05,2.548115116685068e-06,1.9205384971243689e-07,5.847436062023093e-07,7.257769363278044e-08,4.4234549356758635e-10,2.9721023553364034e-07,3.95471324576846e-08,2.1501865621331717e-08,2.135549459048036e-06,2.2042492986429352e-07,1.1075653438830102e-07,1.6968740279565964e-06,1.589148300729093e-07,1.669593945319292e-07,2.065111748272841e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033107282801706,3.8506507961500627,0.1255153962637745,0.0008561043714052641,0.0002546462806638783,0.00012636201833786387,2.6954450691937804e-05,1.5854313299978884e-06,9.049923771445312e-06,1.0926092441909674e-06,1.3928419284603422e-07,2.4233291463310325e-05,2.554931521014936e-06,2.3839949144788264e-06,0.00017215728218296367,1.2019774990990051e-05,0.00017849719077744908,5.7427629414352754e-06,1.2679943813126426e-06,8.433727726533946e-07,1.5439773548564517e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12792671499004338,0.008010679816077726,7.21675794970178e-05,2.4587415428989345e-05,1.0005492810050143e-05,2.3007308671552096e-06,1.8313059202412774e-07,6.462046442390346e-07,9.188817484684364e-09,1.1840290969900025e-09,3.818017053403011e-06,5.013293089550785e-07,4.001378317575188e-07,2.8032493044616302e-05,1.5554446486376605e-07,3.3896180606562964e-05,7.058487978550687e-07,9.396725686450225e-08,4.690972832399609e-08,1.869694843392722e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.010207724915023,0.0019326551272682846,0.0007436413072004627,0.0003505679826240615,6.396360451202399e-05,6.019050002414872e-06,2.045409772030715e-05,6.8829891259891696e-06,6.22145352791037e-07,1.1711519718765606e-05,5.520489891885916e-07,2.6755447011250766e-06,0.00015337142625254652,1.644038374370993e-05,0.00014709712334060043,7.335857255319489e-06,3.0989194195890635e-06,9.036584544541704e-07,1.0957508067566124e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.312268785364395e-06,1.4645080416153533e-06,4.5981208240952753e-07,6.858763756945052e-08,1.4620152644084783e-08,5.5865834180934826e-08,7.954445990776549e-10,2.8278808184012405e-09,1.7502175841954681e-07,7.992138284507178e-09,1.2045578534625179e-08,1.433862214073045e-06,1.1707182778764036e-08,1.521094575407389e-06,1.7085698633678703e-08,1.2441015773134723e-08,3.7176245415437847e-09,6.750831005319924e-10
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.819025616769652,3.207307359470413,0.26652147175410573,0.019125223542103997,0.032647332111454846,0.0035430015714035257,0.00028219781369620556,0.02813479255163892,0.0016605770037831924,0.0008529860014614421,0.2291385279627687,0.02340967971151109,0.011022674971665314,0.04220999246806975,0.010302961342820327,0.007142748360503645,0.00114616140052326
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5315878725800439,0.09211312137523765,0.037267501806685144,0.011449196732369257,0.0013198112904263537,0.0004738227572665954,0.008308259930899398,0.0009179264640390983,0.0008231416812058967,0.05808363178559012,0.0116516988261125,0.0055487463322045905,0.024953806920519184,0.00471052246184657,0.0033653490793604593,0.0007959914908387544
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5355208040296024,0.09145499952372993,0.21062723590768864,0.0225795073730366,0.0037243380642828505,0.20141787830712501,0.011847700578461628,0.007865371872415983,2.858201890899334,0.10039587333512823,0.09114122455191698,0.18612899320863777,0.02864841575896336,0.027836852244683505,0.0052280176013000945
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0652394172662834,2.40176771310144,0.08179428302622749,0.09265764150758193,0.18842145996306014,0.004347930236898279,0.0165050343839106,0.2278348688514828,0.010341097588958847,0.019949188409221996,2.5972852507331092,0.27317922685508167,0.2123367787509436,0.054313901219723904
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08103494687747659,0.0017660272373836161,0.01061547444637756,0.02124463894785411,0.00014101625976326027,0.0003480418323447143,0.024570817841594428,0.00024365779438295654,0.00013167476892883556,0.11013126674548102,0.02773697630145988,0.011609394185150279,0.0007377036010440818
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065437739346831,1.6980348389653217,2.748315495505936,0.0803726654474346,0.08142062287596485,0.17568420439663338,0.007272047862880493,0.01018418016688627,0.1948066881907512,0.04194173890184748,0.024691632471497596,0.0018871056865982228
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027004258129157854,0.07620949823282985,0.011579519673233563,0.003521139662545414,0.017571269309950788,2.6523578957826643e-05,0.00024846479556095424,0.017574148927336886,0.002691849058165552,0.00681735580494125,0.00014650002165472742
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08174790188692527,0.019313704169823254,0.013347684328494758,0.0041113400208012685,0.0002251148415102211,2.228209853338825e-05,0.023742476038352,0.005580639708452018,0.0016706619498451092,0.0005012209556034541
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.968362223247009,2.15596979238468,2.7402867796781574,0.07794804857246174,0.07601400751598009,0.01135741213491126,0.00362885314237453,0.003075840297518062,0.0001455151398688237
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026049269793439356,0.08411573719018839,0.013426677999623493,0.00763111700940855,0.0007717235207265194,0.0007557671464195614,0.0001420878803481962,8.920955846036804e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08097764166278942,0.011284230245784066,0.011901575786360086,0.002090197988160236,0.00027166710713666387,0.0005912499808247151,1.5192240750305785e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7359375976347937,1.9260395212797878,0.016579839840331678,0.016531952882159973,0.004149587239667754,0.0007540748724719215
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024942519522223927,0.0034382941856927474,0.01332979543011703,0.0008356352550463741,6.627657618851757e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023749964466095452,0.0014320227543253017,0.000909100145318531,0.00022428533256779737
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912549505009476,3.0757216084301433,0.1614834098175898
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042491914154038,0.06627407494541904
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6707540407725978
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
