 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,H21,H22,C23,O24,N25,H26,H27,C28,O29,O30,H31
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.138523137503736,3.317598116444939,0.1288483375097883,0.2647521081834251,0.02310050848223799,0.0332348079348945,0.001281207191716982,0.004224886420453489,0.0025852738360683802,0.0013656726411082065,0.0001591475027842293,0.00025741920464203427,4.805324145315537e-05,0.00022740221869482768,8.027614907513136e-05,1.3983504921766254e-05,0.034690569335320054,0.006538139253639608,0.006313829734544835,0.0010642888356865443
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240689723141633,0.027234052392520303,0.07604596210569163,0.04990635511749797,0.008831713257407142,0.0014221636928990478,0.001096342310189069,0.0016475387616365078,0.0010118796394498197,5.1403893315593585e-05,0.0002855414475666229,4.82436356175342e-05,0.0002205933370241775,9.144165856467268e-05,7.729440343995364e-06,0.013647551138050357,0.002296195033952786,0.002377622414491895,0.0006064282341481375
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9024889573526407,2.8497896271241783,0.10266783552818981,0.17971154217111057,0.011954745922611698,0.02533673435677386,0.018836487069512728,0.013398823476383437,0.0013414592603729902,0.0017033881176864996,0.00026912582809202057,0.002021084906079787,0.0006649156800336842,5.3531112944704695e-05,0.1984553200947751,0.0318707987659909,0.030341941966124428,0.005132375917701992
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09948381954290586,0.03207665436005169,0.01173206744124733,0.007299957275631153,0.0002064977994147288,0.0005513412826415598,0.0001665639858257073,4.5972092431512124e-05,0.0001974994459065238,6.401418977930451e-05,0.0003349068799398669,0.00029125833279275426,1.724444911999079e-05,0.005737239865591159,0.007414514116590554,0.0009422862323968939,0.00014639834023100207
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9243404515609437,2.541821125505585,0.08594666043104215,0.08926056466322829,0.16215861818565216,0.008271611102117493,0.027727332153338224,0.014435477343265918,0.0034496405359319693,0.014289084994912118,0.004719389585727374,0.00019099062581307003,2.6551956637754386,0.26985168627135603,0.22316596981834924,0.05322526930570126
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08005709204720834,0.03169327680070699,0.0017331140927347999,0.011798046597935707,0.00020108265953955318,0.0014904522710696977,0.00783397400708341,0.0010369888649414127,0.01812012160770582,0.0031000622000167954,4.5739670159417045e-05,0.11513102858850965,0.030271816785468864,0.011455021714351199,0.0005329074967341807
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0423204483437196,1.868458785261333,2.796438663082726,0.08697586746128738,0.09628217621285606,0.15395820083616135,0.04214747890161215,0.02758304748951776,0.020437363633467154,0.0026924486233914635,0.19635743938981304,0.040144313756795,0.03365005414735153,0.00231720950655645
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02547990180841042,0.0932632962938783,0.004046854085384188,0.005592438445432446,0.026923448635878477,0.004380040650606043,0.003338952660483785,0.0005495357545741708,0.00019572228120656732,0.006002996077457912,0.0008301007217323964,0.0009358647253788765,0.00019026488669982022
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08191474350115135,0.033939264619291976,0.003950862601201921,0.007297902826096214,0.0010424777752126024,0.00978555599181996,0.016370848523003856,0.0005156232534195837,0.015505687893753173,0.002611466881084823,0.018389410964102404,0.0003004268412640787
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8638287692025974,1.7228744789518988,2.724148729750633,0.30836465706273797,0.20979993768673577,0.007899079076190474,0.04443173041155635,0.030891520038217157,0.007643724202989116,0.004773706831706234,0.0004081600251363282
