 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,S29,C30,H31,H32,H33,C34,O35,O36,H37
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965111738011143,2.06872610086129,2.125662874864882,0.00030657025616070976,0.00011799369226642153,0.00012548045769202043,5.4377152875151324e-05,0.00015753610531640816,4.299124974083135e-05,1.349338229436614e-05,1.4677745391322716e-06,2.558860803469898e-06,1.1616190599000875e-06,1.8615589714165992e-07,1.4944301629515877e-07,7.802703023071511e-07,7.899686829682118e-08,1.984289432765962e-08,1.362035806362627e-08,3.132218928669772e-09,0.0009444689474983614,0.003841200122462307,0.0001825204031098565,1.9446346345874943e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02645559713579937,0.024906833650435,7.431249987788213e-05,4.640195412586312e-05,0.0001768742294078196,2.006906966145472e-05,0.0005206702991815693,8.59190730069237e-05,2.3279969080802765e-05,4.237079779256803e-06,4.479687175429348e-06,2.3585202257869753e-06,1.034077867112515e-06,2.770128053608545e-07,1.3002290103480973e-06,2.505694229881783e-07,5.719499651668514e-08,5.3077973349857643e-08,7.97918997541558e-09,0.0019693297522245246,0.012116681371028282,0.00030648215058859396,0.00010092492600199954
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024667395797401293,4.139412106596296e-05,8.729656175043843e-06,6.8205720209491005e-06,6.967590695072801e-06,3.3101526009104987e-06,8.578903480938038e-07,1.0899746367698526e-06,3.691561878405025e-08,1.0409514406006792e-07,1.6493286936203333e-07,4.150952914727668e-09,1.0871512579058162e-09,1.260806027358896e-07,4.12991052467504e-09,2.302299462186852e-09,7.844807026202716e-10,3.7205794001238246e-11,4.6939454525940505e-05,0.00012277682809969104,8.521069021605321e-06,3.7273064212861584e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9770847175455444e-05,2.2520735396325264e-05,2.7633975331786687e-05,5.322277666586217e-06,4.07024710491477e-06,3.076497703258241e-07,5.307896986384009e-07,1.585295978934198e-07,8.312870614091139e-09,8.457281652773929e-08,7.3743180450946966e-09,3.32419580750809e-09,2.201341764429543e-08,3.966087014362074e-09,1.0513543369228273e-09,9.144056623000552e-10,2.2522761433663163e-10,1.5472495194179814e-05,0.00010710521413281882,1.435057926713057e-06,1.0122234737064417e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.055430367548607,3.2631736303385828,0.1358689136288005,0.26612065548732505,0.017990186654758045,0.03165087936878738,0.001520846322630831,0.000776689253104923,0.005684982614118289,0.00019785859917953452,0.0001950151594887206,0.0018710124868489553,7.797977628920538e-05,3.440145409117079e-05,1.8741188353432747e-05,2.7593852169882638e-06,0.04586505219727843,0.01038150737439028,0.00668679631015115,0.0008639485825977511
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5386123497764436,0.028597090924773694,0.07413126507575954,0.026747474137809535,0.010653307014906535,0.0010648275673776908,0.0008271106945419993,0.0013425958638485364,0.00011177830884934181,0.00016127768487184113,0.0002297181332168094,2.4052459384735214e-05,1.479340372878557e-05,1.6385857344314303e-06,9.924536643612925e-07,0.03284040019085088,0.006132253358310073,0.003712199848880132,0.0005895441011055658
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.839936388886442,2.924256258477828,0.0988364360591234,0.18788405738569416,0.01613678418725195,0.006290073819579023,0.029579561096229917,0.000587686786156838,0.0008430181245121515,0.007281049184807646,0.00038248280409686197,0.0001632889501987922,8.23563873700861e-05,9.137818039350876e-06,0.19337517998375808,0.03223226519938836,0.02778100836627831,0.004993708445844902
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09524006109080507,0.025305622301913244,0.018984792634490155,0.0021817989432348917,0.005466276483744759,0.0015658082736270673,0.00020989634090406994,0.0006104869059839757,0.00021669058099671457,2.185509786867268e-05,8.60371525135406e-06,1.3145235262523869e-06,2.082105149847635e-06,0.004891960058267308,0.0020668474785531243,0.0011973823473627743,0.0004984541091259675
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7782790894682179,2.4583595511867595,0.0953064063051321,0.08507385655359156,0.15528317722810644,0.0052089290178300995,0.00862146843689171,0.04660199201529411,0.0021239833169416356,0.001114183989771922,0.0003376154497711781,4.381919765883424e-05,2.481949386289638,0.2696547667795651,0.21358520639776335,0.0550950892144948
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08107428967886943,0.0038703501239882865,0.03343669281311934,0.00993035755315097,0.00012299483010269618,0.004752769481041197,0.0020414929283533167,6.464244173309819e-05,4.563166290827425e-06,2.339484256097535e-06,1.8764553515904225e-05,0.10244760195832292,0.02549468683336298,0.013185130123382072,0.0008675403428393125
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6749779713755557,1.871840411354288,2.888034156525306,0.08594951325518485,0.07971309448871877,0.2027761063674163,0.015441249918576178,0.005598547619328542,0.0015346251586060289,0.0008855346501916994,0.1926633191770802,0.039607654529946565,0.02211660019193061,0.002077636226799462
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02351908787960011,0.08497470634210447,0.03287654064375878,0.004392052658681367,0.012004441242069008,0.007406830450709001,0.009001187856368942,0.0007847013154758109,5.742426856447658e-05,0.029894645994371416,0.0056797409315400005,0.0027508335944432805,0.0010030661105957517
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07791408717809212,0.005674369896550457,0.03289624837483207,0.015145766033263452,0.0006225074253645158,0.00017047093569111382,4.3944576356924614e-05,0.00028495593179345136,0.011431575453978882,0.00411428637625344,0.0011655929746887672,0.00010351736659686139
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6644958619320167,1.858940601444937,2.543123963549768,0.11833766678300166,0.006337794631048332,0.027677029551579913,0.009759129217410845,0.014254698019926071,0.0031844706793181105,0.01887598063440557,0.0008121241885133967
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025595429729606378,0.09384979552513018,0.025124722313362158,0.00023915056126710965,0.0012878269123719477,0.00041820578001039443,0.006379048613520677,0.000636826232355725,0.0201238064052901,0.0005668243179124399
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09278220384779667,0.012012608197636165,0.0005868322437465601,0.0005538562204860931,0.00505599843757798,0.0007375362656201201,0.00018013214055034865,0.0008888532590128895,4.123012074463972e-05
S29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6362943898028575,0.09660632564636917,0.09419319828101458,0.09658701080848187,0.0029263329489744444,0.0011255404422615203,0.002795383970512412,0.0002941087563316236
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1851609975733446,1.799305410984418,1.8416879747464587,0.000898978178942661,0.0001873369193360619,0.000618625740950618,5.752392451729982e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02529177407088601,0.024357726011411618,0.00024471238567369547,0.00011417286523296433,4.529768757510766e-05,1.3941826865426776e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025764686840305195,0.00014345504559387656,2.4551170778708276e-05,0.00011623464527887872,6.453864953570587e-06
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.171763538067367e-06,1.428047868179405e-06,2.4828214171046525e-05,4.682324244109637e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13005779607352,3.4251837439311075,0.17131036700368318
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508783697570174,0.06451405617978256
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5709445709281953
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
