,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29S,30C,31H,32H,33H,34C,35O,36O,37H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777487083414638,5.885462782261995,5.896585860007786,6.391213337247598,6.482705743047005,6.7965133296659905,7.378264270503988,7.878167557630668,8.567537493875813,7.548179311356874,8.803331858186903,8.389604549748679,9.263221057739893,10.266281892301283,11.279369634912523,10.914054721848158,12.22012305061737,11.558221272116723,5.762511318157867,4.716819382261805,6.438956631483393,5.990813012134824
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54533164775453,4.395712449769029,5.328309572228695,5.599962963729987,5.848356104024584,6.256338972707489,7.138728954759715,7.7197556797637645,7.024731164340613,8.132404813045243,7.864177255773969,8.429804190377546,9.738904328393083,10.534037473818943,10.11584458051909,11.538278567976485,10.694890638108225,5.0231771070067515,4.216219924082293,5.722484808796628,5.4680338346733635
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269593522776534,1.3677298302047778,2.05490376394313,2.444229494370474,2.6537786358418782,3.736805793456906,3.833016277693725,4.082051470465125,4.9953244273385025,5.321245184391679,5.088293504575507,6.540381549458009,6.71946009423119,6.121037769539191,7.7491618957305475,6.787658209553244,3.0473096896756537,3.2670406279974302,4.065680295015053,4.657237299470974
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2683171311087307,3.151518094932711,2.7568196702300485,2.573189669326203,4.246442409591446,4.466412185150153,4.759931125838167,5.238530579158094,5.454076945155725,5.135341515805884,6.940384344684637,7.158200683505407,6.690203641853628,8.231706797212986,7.061052767954558,3.0762532957499085,3.456169554595915,3.751467761311945,4.300237972780552
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0112485329314378,1.4514519912763963,2.07072818046254,2.448067719256852,2.5653743170174543,2.747077279237455,3.8316428363794377,4.24091055802016,4.0961144209369325,5.261466945683978,5.513464993028327,4.923974166513547,6.519055424329817,5.706966869699091,2.4513900780703937,2.8278370519602425,3.590967190391207,4.289899621950027
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1238435536057616,2.935900768345463,2.5752763567864685,2.5692904004692116,2.517331071854753,4.092780953378956,4.535377151621998,4.555199797670882,5.26104747293316,5.520772872133964,4.830624470021691,6.43987697563873,5.893214044070821,3.009541104931289,3.120226141778402,4.258509190477223,4.888029229187361
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938197452370635,1.5466528427419992,2.1355686766111406,2.174475083159889,2.588190245249344,2.8908979051535266,2.813516730814225,4.243540119798909,4.745346561544889,4.420224837445484,5.796615601585276,4.847946460323956,1.5343144160929172,2.4444466431094507,2.387085818780899,3.2241887238107796
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1796384008450893,2.5294196415284063,3.0789896223630677,2.7853309217357087,3.1675653125588585,2.564765547779114,4.511461383500784,4.780271756337238,4.529872713288835,5.871016950052201,4.633777402845635,2.13348349555762,3.218576572646444,2.4650822999515425,3.402714999863461
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964098824211996,1.097701194605527,1.533349634341053,2.1803887525766013,2.180272909731415,2.826343118557269,3.4122356063034807,3.130062374630882,4.4022092961829635,3.7507196368246896,2.5462302599293793,3.3194922422529696,3.1775526471300166,3.980913611141844
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7649341534195289,2.1643432961278837,3.0789009192932375,2.5477188414796483,3.0050793552399893,2.9773791142014985,2.39845483265002,3.9569595923606005,3.338633703135789,3.459882356795447,4.208283153264175,4.13086170951161,4.989676712033245
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1625646538465273,2.5051665562628025,3.0795640607752004,3.0124411007074308,3.875290711640668,3.56084867219129,4.717695637647486,4.447197492552926,2.7525745315447114,3.145960224239968,3.58134798549062,4.198229694872974
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093546994724389,1.096560788698404,1.8350188693044394,2.826175080774151,3.0689782554405713,3.7828132239403858,2.997816887572759,3.1550576313709175,4.088437388275162,3.1485121295975502,3.914735036188754
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7582597843112011,2.3651002596617547,3.7503450173463566,4.1004933361662745,4.602453232163364,3.9129733991662197,2.885078981074595,3.7249296596673735,2.613544653579945,3.189791461340329
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424622098051924,2.8937879817804166,3.220706072215422,3.903997659666634,2.6488465385306843,3.502078200959234,4.605680269459627,3.2385649794533755,4.09395302768457
29S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8286288510949524,2.4604070014343424,2.382719228053758,2.4454730126330917,4.850457021386372,5.611200757843325,4.883464504562648,5.53549812257909
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0941289821308495,1.0935359527846467,1.094797448877327,5.784773694008875,6.659499779855681,5.9169274397791325,6.730503708339957
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.774614459523979,1.790804881980062,5.636063635457403,6.444048084058097,5.995889603031055,6.850512681411801
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7781896446147654,6.7942033260711066,7.6168485391462575,6.916899037820381,7.69016401523072
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.909138115892527,6.913939471177594,5.865613168040552,6.720767358037671
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2115532308476176,1.3506027091235329,1.8800989647253898
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253212589738143,2.292690515276549
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770590839539429
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
