 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,H25,C26,O27,O28,H29
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8653588886606158,1.8998355600626045,2.012420432429616,0.0033211781407065655,0.002428612543601369,0.0007494123676830694,1.3785414235800708e-05,9.117892912502423e-05,3.258638413417003e-05,2.587060874503777e-05,7.651588104673479e-06,2.482779662152379e-06,2.219166889264046e-06,3.019920696845091e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02286164118062417,0.0238702390200054,0.00020994267257279375,0.00014681233066582422,2.439273394116981e-05,2.6672254407333895e-06,6.242292161839913e-06,1.7746472928958923e-06,1.4322570813796176e-06,4.903880557183271e-07,1.5577309020464725e-07,2.590962910886674e-07,5.279828441118184e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022558722386245122,0.0007802038668376365,0.0005524611675253865,5.852751937429623e-05,8.009660879437774e-06,1.8387224729909946e-05,9.157393177749995e-06,2.284658184192878e-06,1.8303451891910072e-06,5.429355223185439e-07,5.110682339548589e-07,1.3158080247599457e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.001045185761612e-05,0.00011041095231156817,2.157526541335386e-05,5.803361857736888e-07,1.9769595496210712e-06,6.614737784182978e-07,5.397910891602464e-07,1.5528577690382406e-07,9.019212177108216e-08,2.544223520750677e-08,6.800550345076317e-09
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751174160288089,3.5649693781973393,0.13386662878400535,0.2768283883327798,0.024616606491093096,0.02191450615520285,0.029912458074222437,0.006377607667357427,0.006136671659459136,0.0012317717346281842
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5533496995350138,0.02607221268188209,0.08041255183927216,0.029828483870104283,0.013125287301318234,0.008878508128971507,0.004240002159188613,0.0012298995764117582,0.0002152823612664445
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.806498735194134,2.744259673319297,0.10418918361713536,0.10469454225091712,0.18668651717955112,0.053989449308789905,0.028521028552855626,0.005147105825714204
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09573886622194883,0.014550710215213147,0.010349698322096312,0.031822766532789704,0.07544779346321884,0.005227236887847653,0.00016908056295283913
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0784730592002343,1.9469876019008634,2.5293834377492654,0.2793197216276322,0.23220285778733388,0.054329768321338956
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023835180650739307,0.1201738339416425,0.03479698089989547,0.01138429110750816,0.00043962198557800924
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12161442547552492,0.035342480175431845,0.011841031770310817,0.00040415597246235
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995554209619094,3.40794196416891,0.16754869407327055
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090947969798995,0.06510143928376355
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.510134644554372
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
