,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25H,26C,27O,28O,29H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968724641692396,1.0942565104532802,1.0989032355041257,2.531410485364907,2.7773865864446674,2.8004630984286933,3.496595730175559,3.7270942908127407,3.4718399910830176,5.0166284148437965,5.534247958840853,6.000630739402629,6.068906609850271,6.035583353635497,7.359123438084445,7.693244319015225,8.365066476600969,9.183073542603951
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665313118280281,1.771792953830684,2.719548797105789,2.5113737923948647,3.0562122603262334,3.7425197468542764,4.557371283694007,4.084661281448213,5.831131022293697,6.437371610015559,6.667786696046934,6.679819619625595,6.56792924303407,8.09063272729432,8.52824026530001,9.00146463463184,9.863592875719112
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7817283418235033,3.4858779009983234,3.744675348941649,3.8357883824319483,4.342678871296448,3.25896486140304,2.8352930635376707,4.617377081184396,5.208630995695468,5.521071444142394,5.421991642604987,5.672390434125703,6.902010771843356,7.29357135575388,7.867839005423359,8.700852536199367
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8550240045286692,3.223416885963994,2.6839918164478345,3.8565341557123642,4.358316168441924,4.305889062511532,5.621528569147152,5.98837949688423,6.746313688564106,6.849471113105826,6.882634436242866,8.019314959697002,8.218077724929351,9.109478162075092,9.878113154045682
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965976480941173,1.0984980155200712,1.0975036461262788,4.501165219179111,4.5879242354074625,5.378682459115508,5.735035044507405,6.35297140449826,6.803221733219017,6.106498907095568,7.548684860415795,7.7828399465357645,8.555687367871972,9.300673133446718
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712731152515993,1.772415366458324,5.164634663851845,5.012175611604738,6.094041467844746,6.568418083573473,6.920233061046194,7.283740775813636,6.560239947484721,8.198946842574893,8.554230322845926,9.105770131554618,9.902192936019755
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723796358994626,5.121501004267762,5.327675269316146,6.024734326265446,6.254534004385042,7.133116736621367,7.592013945240963,6.994086284838117,8.267200737710759,8.379162509652,9.354063040433168,10.058084726032767
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63834639974577,4.870112905007086,5.263933939158666,5.540879353731283,6.177832577386297,6.778136567726511,5.839198636687389,7.249334350649568,7.438514703142176,8.231621356948287,8.924182387409505
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2294177628784497,1.363849129279937,2.073292796664956,2.446227004189838,2.6712881830777415,2.8895556749983595,3.690964080442087,4.041206984945132,4.7817382147975005,5.538655275738629
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2669358640969266,3.168710748111683,2.7683595314722766,2.616481368343067,2.9744154558325695,4.221753190645673,4.840178756202905,5.069800817906187,5.939853118886018
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0115818500003144,1.4425072506076209,2.1020501273038676,2.116637317639707,2.409585064405398,2.7061311870427316,3.6060666424528103,4.28364673986939
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1002259965051726,2.8536580734835733,2.8362989954771862,2.4502365321920845,2.2586837450404214,3.7836599177874763,4.262589363505513
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978176971947464,1.099026568494381,1.513612799054472,2.421394022384091,2.367747694748459,3.202967675517985
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.752824047878718,2.1503055550592816,3.1279011933279213,2.6404365304618858,3.527408758083622
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1390969571254854,3.1260745190701127,2.6095278373168846,3.4995641929290917
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213305572500597,1.3470209804208129,1.8767744668580977
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2565986994262355,2.2985413998467705
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764367213817858
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
