,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33H,34C,35O,36O,37H
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130828249598293,4.4983197702938345,5.395877208194489,2.8876475584412846,2.8436622295502185,4.879724193213018,5.962126624292881,4.232616232894916,5.018956639737848,5.697656307909458,6.729528466465834,4.928969337418849,4.009208321295023,5.447648006385565,6.525167767717775,5.296976852921675,5.767133236458646,4.330235943042169,6.026826341811738,5.347737377843516,4.639715929845121,6.504910462334266,6.632278628046356
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.436074819890726,3.429070614793051,1.3993753387871943,2.1737240998151552,2.768352353462909,3.8550281348906488,2.3852492567590398,3.375326247843308,5.23568642971669,6.410669487980499,4.740901460168115,3.761261388256931,5.741443676209491,6.693527616895909,5.786598974273149,5.9461698348428,5.0282609165652685,6.748168317724621,6.051398722350439,5.47909792703913,7.361122055679661,7.666424989577921
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873771951153937,2.8497615495320687,3.9371982849995644,1.3900445682906302,2.1468468514979198,2.4388082779518303,3.4141346210327064,5.014653680017073,6.148008341336882,5.036129127586402,4.2898885279914625,6.3874406478875105,7.082091863641032,6.756503619970793,6.6725611407156675,6.324662846156084,7.83252119407922,6.9761898022527555,6.552825682012572,8.317067286262326,8.742343968493316
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937090763776314,5.024518155201716,2.156501397643882,2.480432073131901,3.425490841220231,4.310905250617691,4.809856817498771,5.842442452193529,5.10485420755688,4.533401171350453,6.5301868688855835,7.091176836853356,7.0830014614417,6.96081333014219,6.8023087503332755,8.166399130246123,7.161998586655543,6.79328754372605,8.478107276411894,8.92701330198153
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087439597988827,2.441329839748881,3.4148863946263264,1.3910048205836425,2.144285380306414,6.476161780702887,7.679836743461452,5.921905762727206,4.9252213939218965,6.898144823781958,7.840602473929252,6.739929217816706,6.768824084469685,5.928649106557822,7.683210204313676,7.3101761806043974,6.793131385655577,8.592226598952886,8.924023718160905
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.431603763010139,4.316169018810363,2.163897903700445,2.486223612760798,7.2561607379816095,8.447996036387003,6.563434499171204,5.549238875800507,7.381444701373762,8.373222507702982,7.046792841139442,7.115398428801062,6.13261404264337,7.9037089253614665,7.7180886997639035,7.188411874778286,8.939651528902344,9.229104677059556
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868654765484205,1.4107778852592994,2.162965210664221,6.272748816788849,7.438381880171175,6.136039635259786,5.313041686507953,7.423746478669643,8.15486140110659,7.570408710196589,7.396329475403666,7.043035648421937,8.634722881697092,8.072969341492874,7.665386344392058,9.406792923435956,9.847024452239582
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1609738334161914,2.4757978048566742,6.961009570909232,8.086715157360175,6.926868872975695,6.1712782320703266,8.257725773444356,8.91338298476724,8.425716990043112,8.162442979756522,7.9645768474306875,9.501981089825094,8.987386644336377,8.626155953595672,10.31384740470713,10.787958758689124
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086899323468811,6.902772009750666,8.111807723313442,6.514761569449719,5.578005456022928,7.645554767590841,8.49042109960401,7.5619223691075526,7.43827479287774,6.869206779894483,8.566915344506421,8.217012603107044,7.767401173514985,9.527493550185664,9.926504542839671
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9376380935175215,9.151609699594742,7.508127188330017,6.567649293406872,8.60426511925631,9.445941245025459,8.4109982823158,8.227791456272596,7.692217199744885,9.39226063326264,9.212282922666674,8.78355158505297,10.505065631461717,10.913622427878686
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2273454782331403,1.3730771559907158,2.042148359285453,2.439713789605518,2.616548830901158,3.737654738594331,3.9344579455184245,4.095536617406388,4.579371494052209,3.0936005906310133,3.303363661761074,4.150568726487119,4.750312017269693
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2746605265327364,3.1370737122012042,2.7534944879073318,2.508441613797123,4.225180932242334,4.48629885042044,4.781166382360881,4.85471265125387,3.1638203464849446,3.5316921857097743,3.90071387620104,4.46827387198344
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014797912727762,1.4493818705468706,2.0639208846065356,2.4583185545277937,2.7018742332284216,2.742941985247627,3.404042735260604,2.4666803782051505,2.844703494488096,3.6164772247941213,4.316535672135379
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1184479339325097,2.95674517981345,2.6489811603186477,2.874501824576173,2.528111388340826,3.6910809468899117,2.931595129530974,3.0133916141519475,4.194656500191289,4.803612145538425
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0930115144376147,1.5366044338107996,2.1669483651358075,2.1839140608051393,2.1761292359245457,1.5335023555057923,2.4520205040980168,2.3803870891376637,3.2177524750862214
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1669410499550867,2.501742952851109,3.0824283385467024,2.50788533146573,2.125751576454279,3.199015174578003,2.479656413935461,3.407157366780544
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942327114153554,1.0969100492918598,1.0938273958395055,2.5144396415193784,3.3460874622163437,3.0662043069943494,3.8843379030910437
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7775688845230582,1.779428480132691,3.4656314733073477,4.304006571529678,4.006560363422318,4.886083978528627
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775616303097017,2.788367494201406,3.258721736303349,3.5384679896497344,4.176847019065226
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7423089112275867,3.7005836655304862,2.7940389784039197,3.5885191690838245
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212146774764518,1.351440029744478,1.8786802318448248
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251710454950715,2.286791525172689
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765062630712568
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
