 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02986541123362585,0.10143273934050723,0.004799181576210287,0.027142261060537853,0.0029350548923594566,6.642815584245731e-05,0.0027184663423631683,4.514163170910024e-05,0.0009545345423884743,0.00010693418574447833,0.0009212254358399452,0.00010626660107893038,0.00021605941690427954,9.855542182146682e-05,0.0013239023165193542,0.0018004474451662755,0.000186737492671174,0.00011386000440150035,4.367028530771755e-05,3.1817163557157357e-06,9.137667492953305e-05,5.503069154588758e-06,0.005916793084580929,0.04658925634743216,0.002035739328585806,5.466271162224423e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38838191954374296,0.030968531335118454,3.2957024468089244,3.566576784630494,0.1326076443180355,0.28719349392784066,0.026910539165122982,0.33944499641285086,0.027734144784191006,0.23508525937698185,0.003953829681282883,0.0017954398207741529,0.0009333181055461576,0.002031968996918654,0.002949457891907814,0.00038553467596566526,9.668605061186053e-05,5.883570499484736e-05,1.2003846325825407e-06,0.00010432053279085807,1.9289528983001958e-06,9.403596332327457e-05,0.0003237103049726353,2.6869839967996745e-05,6.634418782680562e-06
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8643757780390007,3.2910000747451202,0.045840364899670805,0.0041095101471511075,0.2508675680578299,0.007205773312783048,0.049514635731231105,0.0004472382802322983,0.0655020445119292,0.0030487285943405773,0.0009453451401292279,0.0003829497747884353,0.0021844558099149425,0.0025151273070478375,0.0003366057428552671,3.844210162196049e-05,0.00015125293318150879,2.1130148843973018e-06,0.0003063901293789417,4.052039023871856e-06,0.0004388159509456091,0.0020093969278533186,0.00016371569524269158,2.1193708838573855e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11744100301652649,0.003540662632833369,0.0014129581371202793,0.007115791255518866,0.0033675374790194113,0.0005473857626817624,4.0737716739069896e-05,0.0005786045538462847,7.079466230464071e-05,5.392444084262316e-06,1.07863200227154e-06,2.1422609713939167e-05,4.5219200426993567e-05,4.208098150271233e-06,6.137945558482016e-07,8.873049771374042e-06,7.215020827455731e-07,7.382243375486652e-06,6.683279072383641e-07,8.26038738366286e-06,4.915801718652357e-05,3.7322093303648884e-06,3.096686689296746e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29898427524767196,0.027344105779987693,3.661871529733274,0.13370907228392004,0.22995647731311172,0.0040338778694102295,0.3564229887087751,0.028413488442812884,0.0007261747761867776,0.0004153499943185812,0.0018027631466853433,0.002794660450356923,0.00015830150554549394,4.4382432364376e-05,3.6528888605336096e-05,1.2013456081039209e-06,4.419446275472083e-05,1.723211986437434e-06,0.00016725366455783153,0.0005474383191583915,4.340856700713047e-05,1.0780362235673913e-05
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.941904827905718,0.31010243446268054,0.0036459919238767124,4.019201590772436,0.13020476674328396,0.323486713473529,0.026094645213817547,0.0006877881191606205,0.0004724695430213671,0.0009887235560224056,0.0014818996947942864,9.331865961220709e-05,2.9422289792635503e-05,1.7080055098608882e-05,8.99609353455233e-07,1.6659908800065182e-05,1.4378513502055768e-06,4.7574621525908745e-05,0.00011791695653955159,1.2467384195510856e-05,3.122069315741882e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035622070486382995,0.0007804266461564069,0.12853740163264638,0.008423251237485996,0.02749688429736219,0.0011299861171534253,0.00012042494809882953,0.00024181838732117988,5.6934036608113914e-05,3.960437111372173e-06,4.7944968946112e-06,1.0479733358881305e-06,6.705113435589993e-07,8.935418982503052e-08,1.544575773948509e-07,1.4739020426368654e-07,3.068172294673488e-06,1.2524134024305411e-06,6.469650279949946e-07,1.653498853393387e-07
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9455534325654682,0.3189179334043305,0.02620356397345991,3.9514234750972412,0.132029457180884,0.00013413324455799347,6.0544305917828445e-05,0.00023815250619545203,0.00035920302377157043,3.767168240043084e-05,6.448011854565117e-06,1.1896264993732641e-05,3.562617654218059e-07,1.8861191765306984e-05,5.376473304341545e-07,3.109466708131614e-05,0.000103669348860011,9.755386120927079e-06,2.3736337461111034e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027315700022950473,0.0010501594775467193,0.12738059518535505,0.00840896405799696,3.6292943628168928e-06,2.5324728274433994e-06,9.223264407776099e-07,1.1472407281942765e-06,1.1205593564156402e-07,5.2965434260698885e-09,2.8598962087400537e-08,1.8862580386524996e-09,6.696839305320168e-08,6.036313671131666e-09,1.8139060742328184e-07,7.926254425028034e-07,9.275979340195306e-08,7.905209820080472e-09
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0015818218291863,3.6266738046591342,0.12304362821100057,0.00017599862334194416,0.00012624798082044864,0.00020723990019844152,0.00027713168238285846,4.327412273016917e-05,7.880511820879121e-06,1.494348471874074e-05,4.461944493883152e-07,2.9800474473651306e-05,4.881658739464001e-07,1.3462365303557045e-05,2.534270686031792e-05,3.8604568637773395e-06,1.807155267652405e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12362805498920393,0.00812941916789578,5.890740473191158e-07,8.918482816699935e-07,9.296053682383842e-07,7.88858220746036e-07,1.5710094980470046e-07,1.1843823921608987e-08,4.101834472081123e-08,1.232912660853458e-09,5.99269782686207e-08,5.264544356009537e-10,4.4698073176085984e-07,1.6127677343602542e-06,1.3133084975081033e-07,1.556097006805146e-08
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072601690806529,0.00027524319717159296,0.00018726049461903482,0.0008002548831199802,0.0011477432489348516,6.63120441966869e-05,2.62037316183239e-05,1.7159820955778282e-05,7.224678568729104e-07,1.6990137694294916e-05,1.1248153042320297e-06,4.322176952009649e-05,0.00010423935366453418,1.0456727016064371e-05,3.572610585256264e-06
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62101006498483e-06,1.2184271857007545e-06,1.27151462625541e-06,2.2624464615095263e-06,2.0581125181884374e-07,1.8825877967643123e-08,4.2027852531489884e-08,9.166996273179961e-09,9.68102731313536e-09,5.882066389517604e-09,1.2208720678863472e-06,4.529241917294868e-06,4.334173125952745e-07,1.1168432001440465e-07
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944236514232292,3.2677223640375033,0.1366338397312331,0.2631854636454837,0.018595248873107373,0.03267968127656429,0.0009536867244093195,0.0009434849204299489,0.004380536618046493,0.0425056672050195,0.00990678352105702,0.0069307180032500415,0.0010548091514747115
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286694564122673,0.02755211667701296,0.07590262124242203,0.03200332126422678,0.009756666864844374,0.0006646588100169826,0.0009831099104600227,0.001206389785065154,0.024699417388419548,0.0045036118636613415,0.003176853137387192,0.0006780898207591202
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.785621220904896,2.9501323625515523,0.09927053306753597,0.18415199009506117,0.009678197964626545,0.0076609792723920656,0.02735100114041955,0.19507309694862074,0.029645997859050408,0.029235433412320863,0.005336202718838501
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09874131808081021,0.027751667214251263,0.014052604795777301,0.00042636732481238226,0.005526502228359931,0.0005515130166267035,0.004185595098703865,0.0024177390020163614,0.000895029785318413,0.0003126123607188891
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7441485863959574,2.668442078200497,0.09280957172043691,0.08610249607269549,0.09301902372073312,2.5000883884193517,0.2641405694310769,0.21576529530727487,0.05504032840310036
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08561645792579686,0.005495901838158623,0.033586948998386434,0.004311312309694282,0.10669571798550592,0.026565240608870444,0.012871305924178622,0.0007774888191984797
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8490987814028705,1.837230035139029,2.1803021810210748,0.20069342297989218,0.04103032851267399,0.026869771134091253,0.0019280725346826344
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02392800015507568,0.02652067453288498,0.03152278568356981,0.006162584815885497,0.0038825548200535076,0.0005174860180279239
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024304802519693913,0.009801292772465553,0.002541868549706283,0.0007816718042963355,0.0001208694342647032
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008661353909200864,0.0015251923611598883,0.008023520495160641,0.00014759661791163836
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0353378078062745,3.5875252223993765,0.16909867492473707
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174630857626993,0.06554675588860026
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6009633645555126
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
