 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,O32,N33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08691199667496419,0.009038215045604314,0.028341122581714506,0.0038847039409786177,0.00023982626188501222,0.0010921266208272495,0.0007869261789335003,0.00022224355524103068,5.896501542057564e-05,0.0003479309858618329,0.0014678327836674665,0.0005120421173665513,0.00035590381716321673,4.540492903792881e-05,6.616047738994268e-05,3.691356653456879e-05,4.195380245874958e-06,5.28987090797628e-07,8.664231501143149e-07,2.2330687796667803e-06,1.95477536624189e-06,2.5238391687665285e-07,9.945693157931146e-08,4.091364846914303e-08,0.0001360969559081049,0.00021780258841275213,1.990073083679711e-05,3.5585937241400245e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132162147933018,2.0470551686160925,2.8920394877323985,0.08155741269967665,0.08419184375620825,0.17124896749863677,0.024673483831468057,0.013416898775258757,0.009851042036181368,0.01735150396448057,0.025303508337579557,0.0016721505777383683,5.7081691420379777e-05,0.0002856866674733616,0.00010700925478956957,9.37540971335249e-05,9.72522931530495e-06,1.6234092472755535e-05,2.8812690793827977e-05,0.00014133359226310704,1.0940385316488e-05,2.499371968611719e-06,1.5248935502087946e-06,0.004114446480402517,0.011278258461578754,0.0010818853219194124,2.0552214106461797e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624962396005781,0.08932585669197945,0.033701476404967234,0.008009392508356195,0.004665592591142298,8.045687493640763e-05,0.004933997767191167,0.00011452751087959179,0.0007863857784897732,0.0004691246202422894,0.0002520292525113321,1.0298115068030356e-05,3.291078235378997e-05,4.295332218573478e-06,8.206764743667883e-06,1.1949382592302271e-06,5.301947397340356e-06,2.1282798554622673e-06,7.4460220859107196e-06,4.5728002495692976e-07,2.2654070308547603e-07,6.433186849896799e-08,0.0002635301151707736,0.0005330552949190936,8.377964434214125e-05,2.2361034408557856e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09638638562181834,0.0029375823956039326,0.02941240625757713,0.013974547512741076,0.0018196585651275576,0.0008183281341098692,0.006103194350534968,0.029767348880565647,0.045505850837036954,0.003003823952671403,2.9755983340429282e-05,0.0003162908543425935,2.372868066347067e-05,0.00016651636526232583,7.807710713070293e-06,6.5604958174869665e-06,7.133944981863038e-05,0.00027451239912146264,2.5455614404368276e-05,1.9441009115883645e-06,1.4485093438043606e-06,0.005502582519811394,0.01767468126182903,0.0011980805484245183,1.715534898427684e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0823831273070557,1.92132102185351,2.700091976352833,0.07777171273406325,0.07857033090433385,0.07762570660978774,0.0017087798901969098,0.0027832041119548456,0.0006394884348741026,1.3430382851509215e-05,0.0003407525421891544,6.881087882315562e-05,5.418549885279067e-05,5.141415792664361e-06,3.2405614639463565e-05,9.36581139143744e-06,3.841235934412546e-05,3.14153664182637e-06,6.068028483019461e-07,3.066769915793799e-07,0.002774025524553775,0.018121944437278534,0.0009237733583264268,9.703269305827433e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026525948845457004,0.09257083855884451,0.003881281260577296,0.028682475768724958,0.007465928035598424,0.00015271421789697648,9.165806243993657e-05,0.0006835290607432043,8.062037503586694e-06,0.00015670618266572234,7.777184686941219e-05,4.262486609962757e-05,9.429879929800933e-06,9.7847288089703e-05,5.555195290218862e-06,1.1101208757913206e-05,2.7367638480990664e-06,1.2082013856051788e-07,3.370122498846939e-07,0.0011230193443134695,0.009260894460849212,0.0005361430805740364,3.132818522200154e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08785655895749633,0.005511940117277403,0.0035979232071963185,0.02093158819257268,0.0004807737562326775,0.0007288365083301107,7.454808057527629e-05,4.639478645707129e-08,0.00012436157861650532,3.99239941364371e-05,7.541280400036321e-06,7.207894776595225e-07,2.0569036118800454e-07,6.441015005798079e-07,1.896876890894461e-06,1.9021070540858886e-07,4.0439113391244064e-08,2.8139474306243528e-08,0.00047245242080551364,0.0022569517679967843,0.00014892730771665086,1.3603402686523935e-05
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9266174085789995,1.8542250036415289,1.6223122404020462,0.00024890258328336134,0.00030056395517218115,0.0002500845325578774,2.846897539332538e-05,0.0039390645535007235,0.0005256431314134558,0.0002173149603615504,1.918157542923904e-05,2.8002639515634087e-05,4.832787784145309e-05,0.00013673563103692998,1.661117220293218e-05,7.348429137410406e-07,1.5045935625179752e-06,0.01886635778810869,0.12369199412603643,0.0016812688472316178,0.0007782052898249736
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029389145065426447,0.0328158919325523,3.212453788392633e-05,3.553322580673868e-05,8.865187891116122e-06,5.813042269764424e-07,4.51539415206037e-05,1.575977629242331e-05,8.314352914373657e-06,1.463124586154052e-06,1.1388904823661505e-06,1.5368570080998012e-06,5.2712023606016345e-06,5.21875008985262e-07,8.419006602977674e-08,9.18923386272752e-08,0.0004109742711920772,0.0012433074300327585,6.483565353498921e-05,4.303177847164719e-06
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03213214478396953,1.2193867940046843e-05,8.626226632224565e-06,1.4051249873747729e-05,3.375036288222333e-07,3.833559002675013e-05,1.788744184594293e-05,3.025446582149982e-06,6.683186577483013e-07,1.4494216507010549e-06,3.3589086245733313e-07,6.742666207593118e-07,1.183305869956186e-07,9.795616762175996e-09,6.612897118785099e-09,0.000350983493044299,0.0017361591447191405,4.3613873458192565e-05,5.855852133418438e-06
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001393780036159642,4.7787276525323996e-05,0.0004137495698042226,7.577870485553362e-05,0.01035362978618437,0.0005069779433672927,0.0003580496877360062,9.542950929142258e-05,3.928771734873493e-05,8.524574075108315e-05,0.00015636695886034335,2.8081321570616602e-05,8.012222356690302e-07,8.843013725723381e-07,0.03131266859126569,0.3341848006994631,0.001422363836487306,0.001960661731914781
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.057863948166899,3.4402597345810473,0.1339173628777216,0.2762413489599326,0.024133340295890315,0.029996020490889064,0.0008276299945053633,0.001571624467354038,0.005852473169374206,0.0016027316898673538,0.0012631711620311736,3.581008998065904e-05,0.00027622379724856483,0.046605538058235474,0.010163874806008374,0.005514891314655879,0.00038300005322777775
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311935407141299,0.02915454532845929,0.06780630749055494,0.014647209838165698,0.011067647342838542,0.0007171033171011754,0.0009412873107788045,0.0016518698559856854,0.0010781606061621013,0.00032431678405434733,2.2532154729359988e-05,4.197608000977571e-05,0.09778600315596116,0.01906891371538685,0.014082288472504263,0.0006203865197568215
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6178005164535014,2.770719232597358,0.10064141389538483,0.1910470365911609,0.007987111353729315,0.014244943681900213,0.029104089882265705,0.005610085348122323,0.0054188889279701835,0.00015847705795246636,0.0011580269899735818,0.1874006136629277,0.03027325635169449,0.027349727026398193,0.004222509393785545
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09625736935968032,0.006061351482234523,0.024345998647680167,0.005526938045483654,0.003563431637273462,0.0018402405522608412,0.0016160083970032657,0.00044440785778276926,2.038701594164749e-05,5.223514613339475e-05,0.017910293107397335,0.0012729534650551821,0.0030984024229738782,0.0013724794821055042
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8523567368707647,2.7108680766788793,0.09284870152566227,0.08639190380922401,0.1692628290967694,0.039591929693265,0.028492127914198168,0.0011612850939985986,0.0033674616906123056,2.620130980128968,0.25084738438502135,0.22535551646139113,0.05299385716981242
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08290136466970643,0.006018639806513848,0.033961036917362186,0.005214301317017167,0.000907949824476173,0.000528329146338824,1.878168378799394e-05,9.345356084011769e-05,0.10723778380117,0.01916410539917457,0.01832787181054485,0.001611135575212197
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025480636030398,1.911253304109255,2.561331046736795,0.3061077565424443,0.23836770058166729,0.015073180365191008,0.043549882769553516,0.17455453892648204,0.03285306297267209,0.025725063865700643,0.003199020441729261
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024455421154857104,0.08938843861001433,0.02383778248673385,0.010730307845659648,0.007851168785612872,0.0014015951400516702,0.027829866416455795,0.004472403654495527,0.002617938745056003,0.0010161897793694585
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10269032702535785,0.023552601520973937,0.022838004875849305,0.00017657759402500695,0.0002922748259466257,0.008084677014833286,0.006333724470200752,0.000975234339006148,3.5109434854074806e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893862094958788,3.7766503874681785,0.14067041891360565,0.14766571922711635,0.0369752579987688,0.004880980234614571,0.007985070265701416,0.0009162087313454581
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5814376584619881,0.031826926117940246,0.024853886183908158,0.11747204718258283,0.017939288509647884,0.025508933950958587,0.003911869202027907
N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9273868508392291,1.7132610049108807,0.008527934128479686,0.0015482723579747781,0.0022945923143545544,0.00028770778196895996
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03777671558725482,0.0005556254689359497,0.000295068151041189,0.00018656322095689237,3.21030172456549e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024500005400729385,0.00015026043350163665,7.632399334733808e-05,3.7863649975378166e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336391701939889,3.7359140387090872,0.1722754533584704
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844381703271823,0.0503184878216244
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7936160679768716
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
