,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32O,33N,34H,35H,36C,37O,38O,39H
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986873489271625,1.0934762750041216,1.5263654542746872,2.1779792564491838,2.203635507652138,2.4895136855780264,3.3984836048614953,2.681454888661814,2.7125216814936057,3.275994072913543,3.335645524945679,3.8716773550899104,4.329710110493297,4.633687595212912,5.399245294888214,5.567028167493135,6.219688255042967,5.147336955357599,6.573465985567229,6.407678107106199,7.85582693558769,8.199734039833697,8.60059449715827,4.087560190991236,3.340398945464886,4.979321214416862,5.041291257842953
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76066728183673,2.162357092564938,3.075722085929345,2.470759757518755,2.84573080161408,3.748616321861439,2.6343528252352106,3.254695135171017,4.02002360259864,3.8488002281511005,4.8122378660652325,5.3263890748370315,5.542395755539048,6.212212674486103,6.5778249231733295,7.245134265238558,6.208116011865438,7.525983203838626,7.272384732778175,8.831785426736074,9.210634516303434,9.54565828405808,4.873680750745313,4.146224816331299,5.583037617969638,5.530337464559725
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.144548398667062,2.583057896563876,3.069238482772792,2.5789979231760687,3.569896606999086,2.7655741349415703,2.378496903044945,2.540029668290762,2.3662417333519077,3.1928949574357253,3.8559255599360203,3.7951338791770395,4.463581786758765,4.907320286411177,5.595840721631722,4.67182918308274,5.855168561508202,5.664468436838716,7.153097462256058,7.5312322170312,7.882139985199628,3.1731958581376065,2.6203805735111447,3.9655656815691183,4.0812738038248835
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092193188004518,1.0932476271869036,1.5202463452101562,2.1313192443050935,2.122069483840557,2.0908181839237043,4.257246539939639,4.400033532614769,4.418370521984959,4.774561523212272,4.918840801737195,5.849398578001257,5.512163912875409,6.286132847509809,4.872878196100016,6.333180750795636,6.050735217897113,7.611263591047032,8.035759632497056,8.273450056508532,4.202267790100751,3.1323094927315984,5.195602290652124,5.1148881062267
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7821971968493266,2.0872127340254285,2.4362341468119277,2.9605442753583993,2.317202869506507,4.1114130482145566,4.490528870130329,3.9521206725258367,4.149113012285828,4.430962499371699,5.45487682654405,4.767758922293188,5.50308661160036,4.001078429210434,5.630133466639948,5.471773306811513,6.8436059270167435,7.214547612909547,7.532816203557835,3.9242631751928205,2.8768192486091677,5.082285483695331,5.1247265070589245
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1251584105237846,2.4059898805019344,2.499910887272401,2.9753158675398663,5.21490195074291,5.387169061172479,5.41643199893399,5.679578228391254,5.9842585822900185,6.929337429933401,6.497710616156688,7.2424324102962325,5.775610166437451,7.310585510349987,7.017073947742264,8.562212115023792,8.974497816028903,9.209005329796938,5.284857144576856,4.183631843135708,6.260589922672263,6.122046110434581
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0255627656873918,1.0255394615243998,1.052433270335791,4.799385650759254,4.6224513509932015,4.887045161201388,5.44109967735029,4.962623647569366,5.816068135155021,5.579637751018133,6.522077425288352,5.057599086266192,6.061922390720922,5.498899452523966,7.384925058561489,7.978546584545969,7.90051346995586,3.8406717423267325,2.6791275379787285,4.575988939291373,4.2353899302617615
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6585271521734462,1.6860333683084827,5.668580153427359,5.555413393274678,5.586825208353469,6.0625290240057925,5.542870813349591,6.442777255531762,5.930836135844252,6.906981374192526,5.307698433705984,6.252316404815989,5.612489390286536,7.524037511882597,8.162759041889613,7.957223163536054,4.407544242630403,3.1982346788686233,5.13393944767519,4.716356034492911
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6960398941485093,5.183722050304145,4.804992741217221,5.4906961114777015,6.132955969543108,5.579915631517651,6.323305693632835,6.36777167699495,7.311134949346908,5.945283263306395,6.820557053735787,6.187428731158473,8.163428415193483,8.785101592351031,8.652561643723041,4.364217065831481,3.3249717123989604,4.884032331306813,4.43097408365014
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.229553646078365,3.9884082357766495,4.197393886697406,4.846105196083401,4.061644201994077,4.874050738384574,4.723773976181406,5.708975512842544,4.330142809530949,5.128698169388852,4.535311945273091,6.46940500033012,7.094472982305162,6.975607560110003,2.834343274084708,1.6909036203886434,3.5448703625479427,3.2331688536253904
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2309647857677641,1.368015128132748,2.063245593011447,2.4662666536239892,2.807506056409004,3.7391062176785406,4.009318600238842,3.9071564077538437,4.997148246057911,5.280931005619609,6.060076956707266,6.169149307004252,6.9371252982339815,2.9530370169758613,3.300359343754667,3.7251146814081566,4.390917814259514
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2602736768717775,3.158500423398283,2.7675780306490965,2.87853405142041,4.2596261038995085,4.696971056976108,4.55056263702486,5.2524579956255595,5.302574244568262,6.389094999276331,6.6418235018872736,7.164076542845346,2.745549135010034,3.1818373089132788,3.1405646545525303,3.696886110475601
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0111543953743496,1.4599491474711461,2.108293904432485,2.4346188065935404,2.685685020610476,2.613279743265557,3.809836313248118,4.273813634121123,4.816097099278662,4.883684049207999,5.734442822527571,2.4544458021313,2.907864827167439,3.456540653781929,4.224014009996239
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1311141366800475,2.769085760980578,2.5077083225261334,2.4401398739797067,2.5067948975444105,4.025592303790599,4.693581211709283,4.857581251959557,4.7485914130435285,5.836245051979222,3.2952802791488685,3.6229551356698146,4.362511863842952,5.133353381141931
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957981413818507,1.5435535879432338,2.160906782902786,2.1573464853212903,2.55871621001626,2.9389701972211757,3.6554852982129264,3.922429914881167,4.488274859534002,1.5359023573257207,2.4344517484425374,2.375615558051567,3.2282094231984098
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179676502104212,2.485130554217005,3.0690150135450938,2.8673363046232168,3.28134942567588,3.7406659873120556,3.953775662796755,4.513597499284945,2.1273242979541402,3.2616887813119435,2.3651155072967924,3.334432186861633
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964137573372028,1.097592952391883,1.5312970574262035,2.3976323130960693,2.4519393515644743,2.6390432046468257,3.3814481906076708,2.543304823036231,3.1264013910226542,3.397137480071244,4.130615116807888
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7731117334716633,2.19512618402499,3.2939534947123934,2.561679348880666,2.3129500908590077,3.57228321664633,3.4804436463347863,4.1293506919386465,4.252403653174169,5.072862922248833
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273702268841266,2.7630093115158276,3.049004541721978,3.240401771224598,3.912364200258519,2.8197999904242708,2.954987428025361,3.919766598012203,4.501543720640716
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225394214060361,1.3557002572262853,2.0878163579554947,2.040911777449541,2.959986207590699,3.5722934121272365,3.381975127155717,3.9477047782236045
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273234319598494,3.1877052287791776,2.514068192796239,2.6699770490083568,3.13620335620105,2.8627561063468496,3.1612090146064835
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089982746885817,1.0120532559594329,4.272150913988972,4.925951286167317,4.560968405786252,5.144173234551024
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7352978375935773,4.831224128654525,5.516010047277739,5.216231173656003,5.899543259769864
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8882639591967125,5.508766113886695,4.997144549016755,5.456622778633962
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2272871150476563,1.3219960787668588,1.88457352504577
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257707705944106,2.3463064017799167
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9755295327220868
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
