,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11N,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24O,25O,26C,27O,28O,29H
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0639125412251627,2.913453751718516,2.465882485938672,3.5191894003451965,2.6745223701232206,2.4533000173333575,3.6657050146851646,1.78264129022579,2.9765305056626317,3.16226419422743,4.210873655269303,4.829985447502733
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958740499834854,1.5507426376935118,2.171713861505752,2.1445309512085973,2.618554922094373,3.587549736332263,2.9553082435251827,1.529109900146312,2.462853064453766,2.3862890886957198,3.2096922654588216
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1836427166323857,2.5100542789842657,2.4499479205124195,3.5561416961138663,4.459325464926232,3.958022440752576,2.1134737709902502,3.193239141909482,2.4779948319529717,3.404591824114078
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093373616287929,1.0987189390379135,1.5696166384035413,2.4015322972176665,2.39662652195012,2.5244440958981604,3.3806991154330834,3.072425843516892,3.867921457865086
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775822047453259,2.193776922924026,2.504005166598226,3.296466554842167,2.721977572735916,3.698137615134384,2.766065266135709,3.538459062512487
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1848790963527533,3.050655125758394,2.739823592895556,3.4494593596062626,4.333864895789093,3.9698956940728527,4.839951092116518
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2399845255814037,1.2784349332476987,3.144699443491041,3.506004032118594,3.931304701672352,4.473528730432654
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2712695391757682,3.7841953996829587,4.076353657378959,4.293764779389205,4.682935036214901
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.580614466442236,3.670867375980013,4.6590329467671445,5.170294412836511
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2147090020571696,1.3569022748588302,1.8677989195004363
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2420586685349777,2.245765892987287
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757798523756416
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
