 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,O24,O25,C26,O27,O28,H29
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6286787357987846,1.8084994841826143,0.00438465107575188,0.001034520861060817,0.014168604527914186,0.014480719912757345,0.0013497920236674454,0.0004993361713447886,0.001772526755807649,0.00017800625964659034,9.455221607412856e-05,0.010096906675850836,0.003385096699918537,0.056405156027333696,0.0057441813101748035,0.03744635460756181,0.0023641399446496097,0.000342853790193387
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03794858048885352,0.0028807860352588754,0.0007710847597007797,0.00922620219366388,0.001410633678512907,0.0011275323771513523,0.0007076339570100121,9.662740579541307e-05,2.5640571335028284e-06,6.785261403852161e-06,0.001312300946950784,0.00037314970117130475,0.0045828736917552515,0.01712701675350814,0.13199572999822118,0.005847669250021004,0.00021410720854686538
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012843898019176958,7.260048696067223e-05,0.0004475027816017718,0.001181072808204009,0.0003749108911583754,0.0002615081814956177,0.006202566370689722,0.00031277756823411274,0.00011857946577920053,0.017130125487476167,0.0033374663066103594,0.13791591088016264,0.00014414375041715832,0.0006911576963232191,2.8064056311616348e-05,1.6001807184862216e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.845776108217061,3.580883834422676,0.13453287271768266,0.2845081528133844,0.020182287119308473,0.030452549971411808,0.004344305331699383,0.0007817223488653102,0.00414464507875878,0.0019036962732813384,0.01900630564740416,0.05283997215119515,0.015656051716990693,0.008340090519287718,0.001097180081470861
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5449700303210644,0.0241536476091343,0.07748821277748155,0.025523245976791675,0.008992882649831696,0.0007204220460307331,0.0005525935179917507,0.0022846695915776927,0.0009985079807854902,0.006202737782755201,0.03850613745602499,0.00820209852450171,0.003911503081228132,0.0007719542801030155
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6923303517458013,2.7671425622364922,0.09627375617192935,0.17300725112412435,0.025060883792713984,0.007598215760697524,0.026826954334882136,0.008839720064878064,0.13310400322116228,0.1948989776856489,0.027803423359992877,0.02928080477945269,0.005147435121903743
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989299605848043,0.017643301665270616,0.01754797152590082,0.001876722537595299,0.0012855846405031013,0.03729968889589874,0.009322903441421504,0.2831021840016743,0.0054681968581833384,0.0006102497448406963,0.0011619809932589265,0.0005186827768381974
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080323931010735,2.6788059415110292,0.09597535022325188,0.09807537322288673,0.1413299980599066,0.043264551357297634,0.030306685661380867,2.599233584044514,0.2536889397779051,0.21214969684831375,0.054602431267102736
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08323105546999854,0.003580845486148343,0.006703480972042097,0.026197006024113234,0.003957586205008079,0.003815010777407979,0.11620851542455268,0.02767151023852188,0.012856835877194883,0.0008140390711168788
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8959518925310272,1.8839994468669823,2.6254968693439418,0.3094252791409588,0.28391503566394305,0.19579037824995316,0.04112763312699749,0.026317726796635105,0.001800638021278722
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026152090916579995,0.07918773959946934,0.02076170345902706,0.02245981473064118,0.009473360232521877,0.0014156569728436263,0.008488765068681237,0.00013911958216539233
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08048068896588911,0.02726164014012833,0.012992757874050298,0.031939268907606566,0.005893183009324843,0.003404105658874834,0.0005481288506232751
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4396814500554305,4.243179190077457,0.016924843305236414,0.004919824571663178,0.0027838467407353407,0.00019601669147395473
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750148185883847,0.005047885084619036,0.0009710643928914839,0.000605868937926142,7.96547973060946e-05
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043499785785275635,0.001804266726017141,0.0009651321803042442,0.00011317396717591688
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.840569874161977,3.1364342078094785,0.1657255034456382
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49782254998130726,0.07658459930491701
O28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6680792819857015
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
