 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,H20,C21,O22,O23,H24
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532101077068564,0.023570500139127426,0.06688480683468381,0.030692658687473284,0.02196959516953241,0.0013000734413199933,0.018462203090106932,0.0006384258315936808,0.00813952077170152,0.0036861849029583456,0.0011872887976221505,0.0002467983849205879
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6864736896738108,2.8558970619269513,0.09511311445667836,0.184011004118602,0.02883776032750307,0.007087295623925849,0.008303598699396897,0.1950062313608524,0.05127479923558284,0.026810714192267576,0.005217464139283368
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735270247910821,0.01593597481414699,0.009045896494278005,0.0005161334057863787,0.00017640671344620884,0.000629074766859361,0.03038997103210983,0.06682433436636193,0.00492238372411935,0.00015540067902253263
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0459000639759366,2.7738281088887886,0.09288238578557695,0.09735360091395218,0.08285047285439173,2.7975902050391035,0.27473259818148976,0.21743050471136502,0.053564398139229086
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815023644134053,0.004272956953508045,0.006417145919501488,0.03243481904584433,0.11497523126391318,0.030980042265429164,0.010939598742459089,0.0006183802328669774
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069321127013482,2.1116842995363827,2.1592276233107173,0.20113955922705473,0.044524060866090294,0.0311333658392806,0.0020581668791052055
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026469521631510284,0.024919775916201425,0.007557548874242093,0.0011476300136469275,0.010964635777666154,0.000254804263778885
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025134819519149643,0.028826155708242096,0.005285590305353249,0.004519497972007458,0.0002581363644957868
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01003432838872853,0.0015501156006326733,0.0007327899791961245,0.0001510857825852696
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.895888586861704,3.556879937552696,0.1782116433456743
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5171191897138572,0.06787341717228323
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8260402026324933
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
