 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,N27,C28,H29,C30,H31,N32,H33,C34,O35,O36,H37
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08852094073152472,0.025011363226352223,0.0001809068845419759,0.0006155971007153482,0.0013036437252258448,0.00071433698467116,0.00030271521324987116,0.0002926280864585795,0.0004715752395894057,4.811202761678679e-05,1.3978321209417999e-05,8.09671428925185e-06,1.2379413409924211e-06,1.046085833511512e-07,3.6595734194122542e-06,2.225143440615085e-07,3.39292503803712e-06,4.872940222444555e-07,9.051299714180061e-07,1.2230729762308101e-09,2.8741584490177274e-07,1.6550540049564688e-08,6.979733050904713e-05,0.00020430071714050424,1.822450535227116e-05,5.0134948661462175e-06
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6521954126458915,0.09845659804065698,0.09471982956408098,0.09158772255712921,0.004050045537058053,0.0009165171659084037,0.00261404759384741,0.0008936652026219072,0.00034361966790956433,8.724656493730443e-05,2.856346108264657e-05,1.002922444126586e-05,2.6142233380266333e-06,9.27731012516364e-06,2.0813716200066e-06,3.6971574516042605e-06,1.3690643307917583e-07,6.309791990288804e-07,4.0558987945971126e-08,8.216316449011218e-07,5.461701113596007e-08,0.0005810196525933425,0.0017959308942901847,0.00013017661040275186,2.957107187184782e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9638390480827659,1.9502578880639216,2.1336255886557955,0.0002969488800971809,0.00011180037765241846,0.0001570381937944093,5.14128463932062e-05,0.00011885437633771256,3.3502488426595534e-05,1.0418829801780993e-05,1.4437297308766972e-06,2.7464502627694287e-07,1.8171540596134683e-06,7.977143260951003e-07,5.046066413605388e-07,2.0924980637104795e-08,2.860713190500075e-07,4.90471818714866e-09,1.4906425704896975e-07,1.8787676636655704e-08,0.0008891889325106372,0.0043080372373840575,0.0001736663974529623,1.5162408035451769e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025060392758345484,0.024587156528202536,5.324302176057394e-05,1.7777626558412862e-05,3.0977251328057065e-05,5.951832833472892e-06,4.500353897318732e-06,8.193498128861165e-07,4.938289086542369e-07,7.711477012506407e-09,9.383916266259007e-08,1.4747806997839064e-07,2.666513143623206e-08,6.903162041993482e-08,1.965015483662569e-09,1.1975255231888582e-08,3.448403784744869e-10,1.7590218837071347e-08,1.3923369124313467e-09,1.4661199652765688e-05,0.00011246679135146209,1.357119578826449e-06,4.983971844119139e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026546819606061867,8.207789076530858e-05,5.881647015215652e-05,0.00021661865814404102,1.5038695313718264e-05,0.00040826215203493277,7.552843108316054e-05,1.765332755188087e-05,2.917884012409999e-06,5.339264550485723e-07,3.2100149518488053e-06,1.2833351629160106e-06,4.823930122022091e-07,3.004721360611029e-09,4.3856056985980274e-07,6.773598570930517e-09,1.9180235177884697e-07,6.270940078323406e-08,0.0019330363382124016,0.013504126231529412,0.000319258600883221,6.036340721071731e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917677194187341e-05,8.734517098041295e-06,8.126029912736144e-06,5.784892858073931e-06,3.219391964348617e-06,3.594868562828424e-07,1.0873269489231063e-06,1.1574380787138239e-07,4.329608560560416e-08,1.2531439508300934e-07,4.301630485148422e-08,3.7246933537460336e-08,4.897058980546376e-09,8.744452495434984e-09,1.7266366114654375e-10,1.0273074169120378e-08,7.418865521913176e-11,4.4097373790519256e-05,0.00014430428392353534,9.279391242289492e-06,3.419073748567314e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.977818362875886,3.462501134317052,0.13691668643932386,0.2696605673554121,0.02055361605086503,0.02974574008942707,0.0008513254827386962,0.0040779035642031225,0.0035306381577134838,0.0006512862174580247,0.0016567742429364762,1.7546171499072116e-05,0.00040384670623352936,2.533155503803286e-06,0.00038425571741559916,7.590613214869535e-06,0.04720341731621003,0.012534620094881904,0.006168102802982273,0.0005110770510755591
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5481091483844298,0.02793368879041691,0.07357694459365016,0.01894416089627604,0.009443569250068284,0.0006539025557513733,0.0009733312497983704,0.0026248679147848897,0.0005395233706810415,0.0014505153228899226,1.1155726574285652e-05,0.0002999682055577213,1.7229082135417073e-06,0.00027791086445290436,4.291600208539137e-06,0.05536985726890917,0.012054941031142047,0.0049675966668269594,0.0004359178385833218
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8827671844504656,2.8471678484932994,0.10124603642157459,0.17372559315165864,0.007116733931741059,0.023708624093796038,0.030773263257097977,0.003508851947246358,0.01031100810058394,0.0001185213572763022,0.002409183851611152,9.094991645808292e-06,0.0017503169422259796,3.201267054386836e-05,0.19501621315556347,0.0313789309009644,0.02860778413637345,0.004981382202371765
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978778813431167,0.012532618088500369,0.018854480277092578,0.0028064804944232247,0.0013839770421435471,0.024114019481094262,0.001255566968372479,0.020215357937436007,0.0003407359436244928,0.005001651480516567,1.13733177808939e-06,0.0018202533658089326,1.1536627748442996e-05,0.011961466608764848,0.0005894683797934563,0.0024814689131114065,0.0010821560833347288
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7457121360622025,2.657247209923692,0.08203319573560486,0.09531108562011892,0.17954802462974648,0.02573343651552043,0.044913631312921976,0.00037118699138893874,0.006571387391376582,0.00013410469161434513,0.010901840354123782,0.0005168260640777689,2.7067740183314837,0.273964865908087,0.22815523265605092,0.05525671955799427
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08466369356375014,0.03364196262015717,0.005275889811708456,0.008097117426345224,0.011452798437458611,0.0012319199392171187,9.515848751950884e-05,0.0009760209909014383,3.403299727899878e-05,0.0007159772111791085,5.0606937888053594e-05,0.10601173611664794,0.02349590218977593,0.014053206907692961,0.0010131420139585234
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7298098504335984,1.9686933221625884,2.8523829752888483,0.19611820397938184,0.24775501789691393,0.004343713519632475,0.048698926625492855,0.0024074529715178983,0.04570598703883669,0.002369091381654087,0.19795759148823344,0.042602535020015805,0.025422436935431766,0.0018926042989833025
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02490986980138654,0.10703196582772145,0.022804748217568616,0.011507390260673711,0.001973401382647344,0.003412939259980652,0.0009033277778682791,0.0014804061742257346,0.0001352868404205232,0.01322176862897595,0.005940167310180544,0.0013242924587413274,8.048471240607036e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10133001194395286,0.012432694330716254,0.040646143343268326,0.00012313151270570977,0.004416189117095071,5.8104446986284586e-05,0.007543042757399143,0.0003440520168795924,0.009865721762278845,0.0015560093680914155,0.006311673188618028,0.00013733318821151919
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4036415490567475,4.0349315209473895,0.11706889541942567,0.5431284627802871,0.03676931751538692,0.5013024999501299,0.02924029277999396,0.029298297384835637,0.007885265447327525,0.00447408043590862,0.0005891151653527604
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42520087976454624,0.026143643598729893,4.2578239164664,0.1126056888804603,0.5355613806116308,0.03055259580874481,0.003808864794501654,0.0015950867868956553,0.00045712102929239273,8.582408850454915e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783728116297396,0.6178356878160614,0.029392093720398638,3.466458584682528,0.10779976398811275,0.006346142938076282,0.002139516508874964,0.0012138056037983846,0.00021901859798068024
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030289577069282148,0.0008567185339871664,0.09580856589807674,0.004549833455276486,2.7876312130636904e-05,8.766442836760646e-06,1.0588409722345205e-05,9.083752972038894e-07
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0640474616435363,3.480810634859929,0.11597322055555015,0.0010604285997260765,0.0004359336714122447,0.00014443540251325715,2.4147953995301563e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10216973004555774,0.004674742404926269,4.663355499157085e-05,1.168559678776937e-05,4.458531184026171e-06,3.246641495646685e-07
N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.786639347408086,0.001948419076110014,0.0006211747082952718,0.00033588592325467514,7.912556230782464e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018064043518506434,6.0000610525134945e-05,2.8767720747557846e-05,3.2150952185006076e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8368114944152625,3.5092752118578314,0.16832830281089395
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199991592909989,0.06382435198967984
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8061205622820462
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
