 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416203916269211,0.08736176685956282,0.021306434890199233,0.012286614211017455,0.0006308674723999319,0.0007857064146542525,0.008927555080682617,0.0025131670323124133,0.00012884728275630586,0.057016063232044875,0.011270199662579472,0.005000588332483624,0.0715952302902402,0.015514357858638,0.00683028375479848,0.00045726332730700037
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5186991597491732,0.09454985183151643,0.19624150192098888,0.003631040762053672,0.01951680468779582,0.21369723136216418,0.024804727647397495,0.0036760628376479865,2.8489649504049317,0.09882243728810769,0.08935092733736005,0.17818659332057266,0.02902488167656604,0.02551411085949161,0.0041503437531468235
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8167126324322913,2.624488696340066,0.08063748798959502,0.08400115107612671,0.19782349912727684,0.025368065323978728,0.004816899907350791,0.21636692328841983,0.00944673758514214,0.01963888609727249,2.7537722739852692,0.27284044766613447,0.22917436328088925,0.055189667295039824
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07611446296878299,0.025010044236352336,0.008522999326664449,0.0038030594798910133,2.7074669898485837e-05,0.0005143452327653897,0.01268038535199234,0.0008300262450298135,4.5979911566185194e-05,0.10643839831368762,0.021963284552306117,0.01474758047289193,0.001141620380071151
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7529234955169728,2.089316733700378,2.690472772509386,0.08067724875628102,0.0848197771654049,0.20045709792610922,0.0049101489281506705,0.024391902156354006,0.188139396830473,0.043003577894909606,0.022259053046610133,0.0017925266621987568
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02627916206290859,0.0854231171894676,0.007982178734684542,0.03038761326517525,0.006105773323006547,0.0012487247393455636,0.00035911709416525106,0.02492464195811306,0.009631242762854542,0.0022691080074663805,0.0001297874704460078
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07877753691389466,0.0011234438646041678,0.007886372465260694,0.027275962563155565,0.0001295464029540394,0.000896066414786123,0.003005912599197469,0.0007824920151350279,0.0004541955478729598,2.9139329760008437e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067431435281467,1.923065127934792,2.766772917823291,0.08034901947691564,0.08119387120310273,0.027343518958271584,0.006560701063277233,0.004944134595314592,0.0006717985016517769
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025624696021573357,0.08531018880799035,0.007206525223553806,0.0011873258000358877,0.002332856399927641,0.0008952897891043587,0.0004172691828485675,6.044659606918579e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08428966106436753,0.02827868783266485,0.009329291060589773,0.0012298683520826081,0.0005221166769694419,4.65376877433199e-05,9.837075551244467e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8700005089340461,1.9963062761112806,0.01947962067533976,0.002863705926616597,0.004578327967797599,0.0012430754003204258
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024603083050411145,0.0008238354748792975,0.000689822788750516,0.00010199693618340167,3.3136520845022943e-06
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029839586475242097,0.00037792660819291335,0.000816056168314927,0.00015671553209006817
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.145080418507756,3.4304553578159696,0.17065092323572018
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158523584842232,0.06552658897559105
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8303624919277346
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
