,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7846294862759404,4.413728398716655,4.394409372738659,4.747402510038345,4.9977341425251804,5.781680917391193,5.806633147544305,5.338008538709762,6.6700471094276645,6.429385823498699,6.942516929234942,7.275170710984417,5.4811670311855245,4.9869856258858976,6.176110238395044,3.9567017738318584,2.851339468593881,4.7788106242037935,4.434590558758247
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.854413286765082,5.830646057992592,6.347342722783552,6.743809745828171,7.511535283467806,7.539204210829217,7.031760193336347,8.431036009332862,8.048605085640272,8.49521032057456,8.90688312677931,6.979491443399755,6.380237498298273,7.551423773844583,5.734309445840129,4.633514712477291,6.495219999730456,6.063971221850138
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2332794445113113,1.3662176633679095,2.4308421810841314,2.75959172416674,3.671225237326011,4.123334794009612,4.519155558092672,3.6730677958140885,4.61606010202702,3.965813124316314,2.561632567801694,3.043873340522359,2.8182728537695927,2.9496331396408837,3.199663643864375,3.932887921467391,4.512210723815753
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2544266228853838,2.690893085287999,2.709982984040618,4.183711839554709,4.651265747105691,4.861798007497976,4.526714150621653,5.536801610165195,4.738378055812165,3.6542127817418764,4.153295025768839,3.9852718758325234,2.806874432843617,3.1918197902461882,3.438895352973911,3.9406718562875716
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4653254268084672,2.1139208333055293,2.371771806664521,2.8829122789010806,3.2897579252322933,2.348562367560898,3.304866537219516,2.7858611730915013,1.4702688703866758,2.129137353134788,2.126063346706461,2.468671495868656,2.8779625995197207,3.5802783379439664,4.286807740561336
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947665221110157,1.5489823390999264,2.1763897845568714,2.2043267702463893,2.425442970015877,3.3955105423107175,2.8301108244752036,2.4429433020346143,3.0409644158633844,3.29846440958645,1.527004960446286,2.4366330552076407,2.3757413762023507,3.210885975334659
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2069821510709904,3.050627971362931,2.421930875618058,2.9757552909266245,4.012739603352384,2.986766135802445,3.156709140057395,3.951070690813444,3.7942585176883408,2.1395795987546875,3.252621391590081,2.4238022293251023,3.3758517874073646
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962633638478214,1.0931822425868116,1.5374620175375302,2.207541425635215,2.1770162644905704,2.4059208499088722,2.862857198463328,3.358127623697773,2.5371376777808847,3.1976845101754288,3.2823887638680334,4.04813706492153
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7734528046207492,2.1702889499911215,2.446833881054121,3.065243796238559,2.8017733798284614,2.8345653597062554,3.8594088380877216,2.563767997804827,2.8537299195548442,3.4094877715844207,3.9620183575682857
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.215332988119727,2.7254167726320007,2.464932985086126,3.3806526949707396,3.915589366283523,4.2226314748532525,3.0758574665858416,3.913674340761665,3.4022093443704793,4.203445044263442
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942258289053137,1.0965560829060776,1.535261669034614,2.185902168057719,2.1989172322065986,3.714888830600838,4.212505813994217,4.635496033784488,5.426666099376913
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7732860909651431,2.1993708239270595,2.4373119272542194,2.7302588262521805,4.518249768714471,4.858746942776921,5.454842981662321,6.1786985198868525
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168936342860416,3.062197533045145,2.411309236114394,4.2963453620953995,4.987666845190594,5.034686727976454,5.9203986920633325
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986093657232532,1.0935992081877897,3.5581441135000276,3.7872176942916362,4.727346900912991,5.427308718231332
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7757700365112112,3.7874199354558966,3.673021515639831,5.073739080950345,5.626653485694119
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494450366900247,4.743824832869742,5.620256798960227,6.3525765803041745
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211975279072621,1.3485836285591934,1.874837154363781
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2545629000599887,2.291215576181483
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765044374788021
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
