 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,O29,O30,C31,O32,O33,H34
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023320870836623486,0.0004826516618527954,6.996915159973582e-05,6.059753017439995e-05,0.00024617283102568166,0.001101841547845206,0.0004919509858811733,0.00148598459581617,0.0025172496395915456,0.00020539057798862892,1.289866332032652e-05,6.718818877904376e-05,1.3216889522826847e-06,4.9351913256057145e-06,5.446449292056954e-05,1.7572734757775876e-05,0.0003224453678791761,0.0004379896647515036,0.002066040279036674,0.00011177597346390122,7.644387531868801e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01053248313805577,0.01334125600776881,0.000629052980510636,3.949840958772377e-05,0.0019526019930047323,0.0005068601754238955,0.0019909571817404714,0.0004593580770742012,0.00016175349128366712,2.403282349128233e-06,8.147303752825685e-05,1.3769273430330742e-06,4.182108691797026e-06,2.8648421027677173e-05,9.870388219646031e-06,2.827022227824827e-05,0.00012906598525797008,0.00011853047426879648,6.253601577399515e-05,3.202579480787726e-05
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0498142930628145,1.983807073718612,2.124382025482757,0.0057758435798954955,0.001678565376378352,0.001557528835080535,4.7837780177806266e-05,0.00024820214862067425,9.894755711781222e-06,3.1076306208077664e-05,3.6551740367762875e-07,1.9106326087925396e-06,5.40256491504687e-06,1.4519295237630514e-06,3.17866874973427e-05,7.641991283138805e-05,1.0900754065651386e-05,3.307380997602527e-05,4.949801747478055e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022674842634404335,0.02283164925331982,0.0001483534124646635,1.137245062698966e-05,9.608710033770507e-05,1.0737805813176848e-05,7.698099517394752e-06,1.5312422485536104e-07,4.4737597613142555e-06,4.357359673079486e-08,1.1708312874780802e-07,1.4976327227245179e-06,4.4104524121735267e-07,4.608074118950256e-06,4.027696949293613e-06,4.0392432627545105e-06,1.2963163159351865e-05,6.654891426816079e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02257991376718982,0.0010790522608925546,0.0002557357979033892,0.0003208185994887369,6.052004367207431e-06,6.267251844294108e-05,1.3933276619138013e-06,7.942451722753319e-06,1.1055558313266545e-07,3.1830920388387085e-07,1.0711938414065258e-06,2.878509477444169e-07,8.500356991847369e-06,1.844374707848928e-05,2.0423454532014773e-06,2.9171965789664966e-06,6.502616414216789e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699930887590135e-05,6.619687732167812e-05,5.298039820367251e-05,5.187926754857131e-06,7.084018051717322e-06,4.169852287905229e-07,1.3400408522823426e-06,1.9004289475432756e-08,7.493187492713105e-08,1.579358199776948e-07,6.332898250249741e-08,7.723098303102915e-07,2.1596349992769603e-06,2.622916079886295e-07,6.847840823276385e-07,1.10027483346542e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9059163299379875,3.737628921958587,0.1452221927571028,0.27069606415257363,0.022316142164772623,0.03294009291430336,0.000481871920989807,0.0013363430730308767,0.005392325207167148,0.0021553349055074555,0.006226889702874605,0.031452551030074355,0.010964150954255097,0.0036618784534405424,0.0010337091215056882
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5567928727760441,0.026040422635071003,0.05498396047729934,0.030123270794085166,0.009628884455167616,0.000556609549705378,0.0009580801612698586,0.001365327172471259,0.0005585771861698063,0.001694763272751032,0.010830875149982738,0.005161460326073175,0.0011530767580606935,0.00044739352429146173
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767904295534608,2.6544841274889297,0.09183087302126236,0.17499458796084383,0.002451735843068903,0.014479112466847077,0.027834518996895236,0.008761715941715612,0.02593848996821009,0.1954421755783264,0.07640829696335197,0.019594410707082704,0.0029124627492096433
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09569883054423278,0.027689310610903073,0.005814019164973372,0.00011667657219893712,0.002649512689093747,0.0015188705805961877,0.00047892187644482664,0.008323387686177242,0.039710876703398346,0.11361124141318091,0.0036959402760071702,0.00015546814849676238
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123432633628343,2.5546266716151806,0.08539315506528355,0.08590497274903464,0.19683840686016038,0.03924440711062606,0.1548878830739847,2.3621987485494254,0.2563569834614656,0.1913939860879293,0.04807943169737405
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08367282062762904,0.008185715372972746,0.03070282866889773,0.004348160703388615,0.0007841230270390076,0.0024794852095526565,0.08485234684625276,0.017598157397077152,0.014443533778070061,0.0013696377878062993
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6769885701959693,2.0614951401549995,2.660885314080021,0.2849284271915498,0.27319230199487143,0.18751244775843376,0.029447620062464694,0.02573656517234689,0.004247223977406733
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02559487161450158,0.08647989315652072,0.014437537140450152,0.02247867414309357,0.026544465718067345,0.0031842727720936548,0.0027129913917139925,0.0007795940149120106
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09034906902452033,0.023454269463277,0.0196938747010732,0.005697630294799083,0.006289364434417188,0.000985506874217612,0.00018173487140082933
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.008058730844612,4.0465959230934585,0.17687214072490764,0.03078178845011298,0.02243307211798723,0.0012878752915982394
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5422436912123156,0.035622109950824515,0.010916848320793357,0.006978688447458387,0.00040884528759921324
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3382525952231685,0.23466086566478303,0.14099322595894742,0.00587566396581185
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.682714673137533,3.0684874445584454,0.15718138738273968
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3771338855256595,0.09204878337958688
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47032662827096
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
