,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29O,30O,31C,32O,33O,34H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942286277224311,1.0988430612289533,1.0964802488742638,3.187157712437445,2.9296731751830576,4.170563020988233,3.5912279750206206,2.972089331887814,3.6972384101423703,3.285846672005879,3.1024556813499227,4.191567853980039,4.330640528857907,5.61352340808465,6.205860408080909,5.756130350302378,6.4506729237963745,7.672764743389154,5.9146674663361205,4.115117334670939,4.0927063333148075,3.920204728866865,4.000851473206394
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638304819416708,1.76660602126322,4.149741028246001,3.874837664734684,5.182265065563081,4.374775940994178,2.641964423313209,3.229129363726651,2.7814146011214476,2.7995710304441115,3.379098155051085,3.3962501920790293,4.8735958232973084,5.473964032062436,5.179443618974415,5.594904297805719,6.811884037398776,5.016208631362623,3.2784411668190603,3.519455075632472,2.930986723522166,3.150930939390742
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695651404742434,3.641338918125304,3.335279434466407,4.458686213286386,4.289203372117487,3.3368993581815074,4.306142737772939,3.3030894659909684,2.786255493943798,4.252712906190598,4.648568532797934,5.545938710345582,6.261790149899802,5.50411754360827,6.339810971103365,7.560169817897205,5.775805109972158,3.958834938336562,3.607712673027046,3.994968311687271,3.9020329486628125
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.839962150446206,2.2604925110765297,3.819767814253021,3.2151934190335028,3.9796840829681708,4.545708799162446,4.338173690909264,4.158389719881889,5.117172788916749,5.151433421072978,6.582905705953284,7.188577189244712,6.7777969799093265,7.305586161952368,8.531505455547888,6.6483995696351865,4.885125581402239,4.870341461249797,4.432775233712881,4.379912084692312
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967059252219218,1.097846011657578,1.0981304497637843,5.111417977128425,5.550887327691347,5.935161422151356,5.7937221547997035,7.099659017057376,7.133519019326374,8.434849948178737,8.835841498606332,8.480793925594638,9.477214218295726,10.672504571850373,9.061232424386988,7.266479818419687,7.164751933515073,7.066362509329962,7.126097916469869
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7681312339107815,1.7697149446665894,5.3891268373981145,5.8826917103068075,6.043071801389344,5.8283141348233345,7.080177364602696,7.1203190550579505,8.482027338714335,8.98771652912175,8.56170590149075,9.378694794520742,10.598391114669715,8.820741030495208,7.023333729444671,6.887782950530061,6.681544955614407,6.619559756855605
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711994140715963,6.022284286764327,6.499285363937236,6.833478116339118,6.621773596740443,8.062875930298507,8.153944792849186,9.347718553710154,9.746675101782069,9.313931090034208,10.426198958153888,11.617388233706755,10.028867563466331,8.22117840261212,8.023804167820982,8.081006499331034,8.095628783833666
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.203625939242414,5.396294618603395,6.188485699142307,6.2218278320006855,7.278474596357902,7.151743594953061,8.640112991231753,8.940646265779337,8.801382923151591,9.694933280469984,10.868586863458164,9.315404405583571,7.575088425649714,7.6456442539026765,7.273587226031547,7.435530967862919
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2361446369549252,1.3493057649423805,2.0527200262214578,2.4967447405804073,2.5897501382947583,3.5753913428747914,3.766489097546076,3.79576569647564,4.8706546513717734,5.936425562803592,4.943075327840564,3.537329848981643,3.932013063658181,3.988689453019598,4.624822983259882
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2925697385261112,3.1830229943615396,2.9197913959845194,2.545004423778772,3.913188153161126,3.8242425070968347,4.382521732879804,5.152645951686472,6.117918671165392,5.316119855808931,4.147587641215506,4.813155314564508,4.380147179822261,5.156583774733827
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018084266180981,1.462248118888295,2.0819247810011206,2.516474437069726,3.0207643286889767,2.6365540767522027,3.744159919244852,4.861148954028218,3.785882134600643,2.3997523416900863,2.7091958901617543,3.2085339009736216,3.801843507338815
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060993893771666,2.893250591725421,2.9583058130365822,3.665306819785621,2.767464552822336,4.030763580686421,5.170325967919779,3.9215560116685078,2.3873586670368945,2.1964682388579866,3.316555806879211,3.6657358719288213
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0913077784626277,1.5258218986673304,2.2098219795778857,2.1593911844438995,2.440816382885485,3.5926146767816216,2.4776615906150137,1.5509680750858714,2.4126107050589884,2.4315286852418154,3.205632283870465
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175204798527441,2.467165014226534,3.058159619096966,2.8779705701980682,3.9126536780876493,2.8869078345155668,2.1935068293492566,3.282695496068743,2.4823436996804964,3.4170036081929784
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943493814473328,1.098187131279069,1.5428774899651732,2.431459479406633,2.34972073091778,2.4519449077085826,3.062117205004287,3.5765531598236966,4.270723237424283
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738200043943233,2.193635350441108,2.67338424526892,3.2148299815251935,3.4293387039049974,4.123439042071744,4.3964927171272805,5.18701424125286
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1553947300577536,2.8884251660634854,2.901212422860956,2.8305980299108113,2.9853204928410633,4.15449813500128,4.686749489414587
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231245870509249,1.298957130546674,2.549289375814715,3.221352305751587,3.469598748022723,4.046386710313773
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261587448955093,3.765183532366071,4.3614958968065505,4.604563366044526,5.1509529139089185
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8221559477504559,2.5419398949989795,2.4832774164743645,2.9069809351475397
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2477950455396398,1.4004544552820803,1.8677382465270855
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273395104224156,2.227458309159169
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737232461936153
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
