,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29C,30H,31H,32H,33C,34H,35H,36H,37C,38O,39O,40H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392359329110119,4.2969207274305905,2.149370018569965,2.472339822166898,3.8755645021347713,4.961201787946429,3.402186441635617,4.572603383252553,4.557143181095977,3.150971765871166,3.1442211846839934,3.649143305611303,4.198738728831495,4.349268687239378,4.158762274456775,5.858760063357449,6.399347724150976,6.372641202985772,6.2181140335239204,6.155623007423739,7.46312001697458,6.576142261797361,7.637954320915331,6.39197683620717,6.582181575492349,4.403227985715322,5.481348357259676,3.558142721186837,2.7918163713121107
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884158840749485,2.7828460514749374,3.871310420302567,1.392251099797026,2.1656540041340375,2.41592282657736,3.6416661611721843,4.330096896701938,4.0653972371490825,4.9395011760745415,4.183664028797425,3.889311560344253,5.4400131640913685,5.87921717596411,6.581808093733917,7.428832304181298,7.133344662919703,7.457754977641955,6.558823220225659,8.083325090565191,6.555417690560579,7.57378567861312,5.91000013320479,6.501105586591171,5.550073517813833,6.6707095357034625,4.627894257935024,3.7724027395050745
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871186449345712,4.959651878397222,2.1430494746240205,2.484981822473671,3.39691066554157,4.5054762070566525,5.2801347256091224,4.426128087085167,5.388126227069977,4.604891597687785,4.158036595409926,5.966658884013193,6.458898384341705,6.9417232177118136,7.8753310305977,7.348883226131856,7.746155355911497,6.643522379867985,8.235714381127032,6.789372859440711,7.736386688156204,6.002092144339606,6.831377612824944,6.25190074703927,7.375892111336097,5.464171269855514,4.602683281819453
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088479683566344,2.419601320911952,3.397139340538279,1.3996291858699716,2.42892303467974,2.4591797229985914,4.4468679195134815,4.865728490363348,4.371966067056373,4.543638495054447,5.037317235475272,5.239478426990988,6.488835330696871,6.998877491533711,7.362801823678803,7.466158936478025,7.171548848061058,8.387798219258842,6.795723013416133,7.890082105050252,6.5783442187970085,6.491841813089672,4.54976180456463,5.50304887720953,3.288339285458855,2.7222538850604114
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4080965003045836,4.296600698388309,2.1613174503772727,2.69524800900308,2.3069758189030547,5.0229798886341275,5.250201782221696,4.89352800806991,5.197610193836655,5.28480031129311,5.372302669419267,6.770425880624263,7.125217354597493,7.7268879352791044,7.744212474654988,7.675443436332513,8.747129680056931,7.187741645892689,8.270203442518708,7.124986171475359,6.807008905606907,4.5790436969444865,5.380523181635848,3.2996369130886247,2.992995695203686
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858071413799049,1.4003557612427056,2.3639966223537,3.176055142532006,5.021863637356063,5.869865778240161,4.855160534194093,4.524652498640511,5.8986694856992266,6.420506352901933,7.066836496801994,7.802798165944363,7.859544836031463,8.23237968109437,7.413485472015102,8.786753310585109,6.915470512349849,7.946466588588815,6.3706503723202985,6.638611956846482,5.641577755784532,6.636598129915874,4.531017634942673,3.869919517790169
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146628398925263,2.567715701136824,3.5161979336165756,5.917578141540132,6.844211279264347,5.652792381213802,5.17605988742322,6.688861556075488,7.308684740229964,7.737288783530666,8.485509139070139,8.561798182817766,9.028784979831311,8.084627055106116,9.42718588988511,7.394120398213258,8.372298052577028,6.789039743461432,7.057613772378866,6.383898379494382,7.307492380834084,5.304400061849785,4.733391657785269
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.364938326071674,1.9171222104755574,5.182171071245347,5.839939660253285,4.936017211407141,4.818824999672292,5.713301029629144,6.13407641884954,7.02024461676735,7.596754368674655,7.963209282787818,8.234941485971413,7.691976841877188,8.926713583855598,7.0267561178820195,8.095283485407835,6.68787668763941,6.628665803566173,5.16757718164254,6.069450760653065,3.893818833240656,3.3945185294901163
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704367497817602,6.412649079557012,7.059216709401634,6.002488372312665,5.836981779522778,6.599812815958653,7.076188083597361,7.844566977941324,8.315312027179765,8.935264452399602,9.251280901957315,8.748722905873292,9.851056180930364,7.729711878777785,8.763128582098068,7.46988917663152,7.165070997280804,5.793808798153651,6.504163097340697,4.487242874629015,4.2489533734470255
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.628803795787262,7.144316755025217,6.199689544834028,6.163844955689456,6.617376465386857,7.006971408174361,7.911132714965872,8.269020692725576,9.060617563250107,9.3029509716915,8.979590902832184,9.985746452203808,7.911239917140423,8.94707550583915,7.779392822350503,7.299250640124672,5.663765220955437,6.2733337014904675,4.334369323188509,4.2420720003253445
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2260539695973303,1.3781970105678925,2.051829112076152,2.486211263766896,2.477700202630872,3.520158932671513,4.374030976393413,3.557758757005517,3.566257808960957,3.097107883401319,4.621346660539414,4.283971342863894,5.2040415458041585,3.956124386923402,4.751118989798184,3.599436113969596,4.729970733388152,3.6611231797419697,2.898977270679235
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2850821572058235,3.160079537532662,2.8313364095133373,2.307519442394802,3.8888019783849272,4.541688305885087,3.748683751084588,3.38597698690405,3.4887820710327833,4.8183810590447385,4.977992178913978,5.831838774847679,4.847851493702744,5.471037163688991,3.9326380768440057,4.963607756118322,4.085268425908738,3.4351951697452847
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0123990443695277,1.4625543449157707,2.035635133397838,2.5234112279103558,3.4053214123025155,3.068984800133519,3.385014332308215,2.815114192378067,4.085802660524719,3.0807429038276957,4.093285899237855,2.845708152349537,3.413560754545994,2.4936647971370096,3.605771822664726,2.7345188102439137,2.1613163896670633
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1311909242655585,2.9464894481658663,2.7923177731419213,3.768185910416376,3.3911095827944617,3.9618855564169286,2.9768455838042303,4.270304685391947,2.8122496144733176,3.822059391648754,2.2789043936737263,3.1022192542809828,2.9211526183475174,3.9608904273983065,3.060429506602773,2.5060644354425516
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0974850765561481,1.548695006271274,2.1125090736436705,2.5435233045804235,2.7690854470965904,2.8505998713062493,3.4972364061935037,2.56916930570491,3.5141262800585626,2.8905635912994936,2.8133985203127905,1.543367775731155,2.4179434713604304,2.4560334032237017,2.4058001715279054
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164559779379797,2.4560264584275986,2.7019598691013957,2.4696504514880115,3.1025489273907705,3.7011701279339224,3.5000709558609335,4.320880785724086,3.86035865357324,3.820889639624873,2.1236994208868425,2.867335920018295,2.9300036183605784,2.840792176656164
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095854442201348,1.5346804899396216,2.190134954285963,2.1880218123687043,2.1754543720668926,1.537139649760309,2.174257332771885,2.1998069969400493,2.19016215549501,2.5554931792294378,2.868680594307253,3.727035101057696,3.8182463414694277
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1540858663499356,2.511907058210588,3.078250401968451,2.496646512694529,2.139600089233061,2.4811431427005877,3.075121244345882,2.4813399778990024,2.6416462813420347,2.4987972174949498,3.969004623367242,4.287026001223539
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960170860560543,1.0976794084850503,1.0959794418591975,2.539694476264005,2.772510402870623,2.821329057501011,3.4989350009906417,3.9048790259577557,4.310077746080399,4.975872093918038,4.861935227452192
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770944034353369,1.7744534930381366,3.5014079558021667,3.778279610508722,3.836777315880874,4.35131768263389,4.140873964385302,4.546650305364125,5.190738222430363,5.061726190277044
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768481157542983,2.8151594150783765,3.1443673555805534,2.6522209697621046,3.830561956603489,4.319288195920268,4.942860116507301,5.182209938111699,4.875208591492513
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7765152257168624,2.5581884123744283,3.147915796882506,3.7764863521556555,4.707244485926272,4.908993667936742,5.862968898002624,5.8331119900655715
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957402384696477,1.099417561011889,1.0951191476381192,3.1217886887086452,3.329677375996849,4.098553562568378,4.222170964673747
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7605150551904447,1.7679754174102202,4.074311925145511,4.066530732306973,5.132221178697863,5.306308521571501
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7823864145240629,3.609697526533247,4.089285333523389,4.323859449557783,4.2253646868550305
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.780753143613973,2.7954294726454005,3.654285985318867,3.9675746211231115
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2084929471097137,1.3472102061653042,1.9143879570575972
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.228476985341056,3.022038483000942
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780757669826777
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
