 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,C29,H30,H31,H32,C33,H34,H35,H36,C37,O38,O39,H40
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8842738451811258,2.753986211463962,0.10302449302853023,0.16583127749560586,0.025318973580411797,0.0191337036432756,0.0006154403255980156,0.00905702348012638,0.0016292558197255058,0.021367122253615076,0.002222886578723493,0.008470972868074522,0.0004454524854164976,0.1874133988292591,0.039184817876166816,0.061062940063773,0.10810394896186759
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09243479479528416,0.03133893586910874,0.00661932118432107,0.0006595579832846532,0.0005827317729177883,7.852852787237907e-05,0.00044718950211763975,2.377414377696674e-05,0.016608150160741686,0.0016784749475236005,0.014236605968495075,6.252780505189293e-05,0.004589057657188977,0.0009097595891295329,0.0030357845161881336,0.002571158135749263
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0536258818613224,2.5288971337293527,0.10257359173033564,0.16971394236979004,0.010057770982321967,0.006992110606618196,0.029511653166286678,0.15395824508494874,0.030703331154051883,0.007043707010009115,0.007781696456078402,2.529877130799531,0.2942906388193335,0.21816952539036574,0.02746221421771311
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08528343096920288,0.004335443075444312,0.012139592208523453,0.005325772282923413,0.00022463863931254657,0.0009924622292745156,0.025451418113784707,0.001072324844480832,0.000318448472037991,0.0009354068375118096,0.10823241378573356,0.029871607823696134,0.012364257019138347,0.0006164026592729854
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488563780190488,2.5002031861263903,0.08652724685907587,0.08604980760280556,0.08914648903783018,2.890209463386351,0.09023198673671895,0.07917971690237091,0.08534247146338103,0.1703141462101881,0.04769537070492426,0.026894513659047062,0.003151099868876295
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08460503891090976,0.004134475629717915,0.034734185734510925,0.0050428234698505214,0.08222659467606297,0.0051364170360721495,0.03431798099350858,0.004450641468732197,0.014646310348436442,0.027256165124121434,0.002542765774970035,5.906293693525022e-05
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174431946300624,1.9273212221921892,1.8665661091031138,0.17009563617161255,0.009271833230946935,0.008915655944039091,0.030988583702095562,0.03059524534738578,0.005791916874558101,0.006197364241331119,0.0008892524573073102
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02322218766742945,0.024903486157360488,0.031104487395716918,0.0007433164358228161,0.00043609504697328383,0.0027304462927704165,0.0008230400408264504,0.0002953431624587166,0.00022879357417759927,2.314074362574914e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022623430610382522,0.009267908565776306,0.0001767733991082654,0.0043534277438128655,0.00046172519951559465,0.0008796362636835919,0.0008761426930150584,0.00026735306529057645,0.0001685258320598404
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00889103681062875,0.003980222178170845,0.00015816825893000264,0.0006340287491357621,0.0041439311302895465,0.0003004036961078427,0.0013590764372211073,0.00011150082062605371
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8523305982567282,1.869180889936238,1.736414541081656,0.020385248920737925,0.011864709404602103,0.001974560938241804,0.0001339427022226669
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02300020081901777,0.0255966964616825,0.0015042004002874254,0.0003121104337133751,0.0001561716364337773,5.631006888107137e-06
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02376855798844968,0.0004433911894041742,0.000496350123359468,5.414723052421522e-05,1.76874382469272e-05
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012282946646370307,0.010698605263750549,0.0008790646409909675,2.9118119326154712e-05
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.171356238060354,3.580740795229626,0.14931916598505768
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101723702993173,0.029665464237577654
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7820849789356104
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
