 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,N15,H16,C17,N18,H19,H20,N21,H22,H23,C24,O25,N26,C27,H28,C29,H30,H31,C32,H33,H34,C35,H36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08925489573790268,0.03360045088154462,0.005322311025507176,0.007301837242613685,0.0015060870558343264,0.000714583362328991,0.00039144145716618617,0.0004321735028021134,2.302307802226622e-05,0.00029338625996588874,8.849925789089497e-06,1.7013469151283545e-05,0.001631942931061392,0.0008858613522632064,0.0002276476979938824,2.6839016139090788e-05,8.632789257445594e-06,3.140942497870114e-06,8.173766767871626e-07,6.795373286294648e-08,7.499380932252109e-06,2.4828373481611266e-06,6.040409423757609e-07,3.946367867979639e-05,8.537406060549202e-06,1.1000746694911356e-05,1.96607881925992e-05,2.5041973438000298e-05,2.7323169287107874e-06,4.921830289994489e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7663502465702374,2.1510556279377937,2.589884199352076,0.08274612758226507,0.286675212233497,0.043008497471779136,0.02651244517946172,0.002436970563424623,0.047380837639806106,0.0016365521549760453,0.00443199729732624,0.003325313711875083,0.0008048911671738601,0.0008061986857071657,0.00012271458580453976,1.7510433987566465e-05,1.9362001147688046e-05,3.149538509994443e-06,4.0936687195625154e-07,2.3403115827019816e-05,2.710550432105663e-06,2.7401267215232394e-06,0.00022100745281053435,0.00016404564243099884,7.3454831379660135e-06,6.751604553545398e-05,6.147769132838765e-05,1.9523140823721197e-05,4.510430644866226e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022326782962791558,0.09628737276312305,0.004986976240033192,0.029121450790769998,0.011011544021338193,0.00470045953272602,0.00012960504943637652,0.007471908967463192,0.00022879459473723607,6.013717348296588e-05,7.965131478693266e-05,2.7415412773623693e-05,2.1196969637760077e-05,3.879582839871887e-06,5.668231788380496e-07,5.88144747126762e-07,5.682601944556609e-08,2.230289619653547e-08,1.0020093064166957e-06,3.067074028084704e-07,1.2480799771452666e-07,1.518538141920267e-05,1.7798360087972753e-05,9.826328701834086e-07,2.4535512201939724e-06,2.7809421168090154e-06,8.36576049323412e-07,1.8482155472732131e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09551543755717873,0.01360366391477319,0.022023897123672587,0.015383894581267432,0.011203523678384064,0.0002715596158637812,0.004398954819081369,0.00021303588141563523,0.0003463727658796767,0.0005183564952415676,0.00022647893268412655,0.00016581917797275914,1.964189906034086e-05,4.162549250175118e-06,2.563787672937856e-06,5.644004765770205e-07,1.1486440376629048e-07,5.474392550830487e-06,9.096645574580009e-07,7.706110034533253e-07,4.2132967607466654e-05,2.98895522572451e-05,7.763896623380617e-07,1.88121836968147e-05,8.947721965801847e-06,4.4701719656981e-06,1.1064668683502532e-06
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.617169607978317,3.802882414389139,0.3943669147907468,0.009124352415409431,0.025954707627886098,0.3823260789923919,0.011243543088651942,0.026895490228279084,0.004308884414840314,0.001045198484254023,0.0007411156850404138,0.00020875224650651614,2.057252373677265e-06,4.615092115771435e-05,9.523417384138533e-06,1.0144995599148388e-07,8.876318723344268e-06,2.2755481221548024e-07,4.160143022291507e-07,8.118759403161202e-05,1.6612041807473332e-05,4.702206243045737e-06,1.64476410662584e-05,9.186101932484592e-06,3.150517070074632e-06,7.674633107912499e-07
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1487897626202258,0.022496937797971905,0.0012957219010876209,0.002016173738679017,0.011154662598587994,0.008866843991383488,0.0012176411788547004,0.007463981066696768,0.001274765668185962,0.0009762816954554943,0.00029073688943692666,4.993413012632786e-06,5.262468567757139e-05,1.208624792758961e-05,1.9694106612178075e-07,6.0276686764115794e-06,1.8657755518347585e-07,8.202322319128541e-07,8.99359616444162e-05,1.2821824348918653e-05,2.8305858121857597e-06,1.3497169756515603e-05,3.0682471687804025e-06,5.413229272055453e-06,9.60867932109366e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6971570997156324,0.14768223309661543,0.15121281371516615,3.2524068323546067,0.1460219027870132,0.14447354455143213,0.0005099995800412205,0.00018471408722450788,0.00010354545540794402,2.5199657731594938e-05,3.138075055364453e-07,7.00473204884311e-06,1.078633187878708e-06,1.8067920048991937e-08,1.1687515460989673e-06,6.332006141640534e-08,7.642477095615163e-08,1.2278221607708861e-05,2.4163378964381366e-06,8.935300721546469e-07,2.390712746991319e-06,1.6483064355088395e-06,3.176333625287686e-07,6.974421040695233e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6878475031945404,1.8719406124532871,0.3385367065066114,0.02873292313257647,0.01168905871556547,0.00021864038144411846,6.061325678988205e-05,4.487268587745341e-05,1.0654224942382995e-05,3.99260320249617e-07,2.494450969975359e-06,3.3915568320441736e-07,5.5210056526533435e-09,5.644300993534745e-07,3.174337237510372e-08,5.560267957172016e-08,5.450777645438221e-06,1.947129305568396e-06,3.206646581599415e-07,1.81032740995124e-06,1.676699940625359e-06,5.663035712866193e-07,1.168363916725923e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036716489250449236,0.02785470136517143,0.00273331276366795,0.0009716972496238707,5.355489373548572e-05,1.802826934504953e-05,1.0905514560399787e-05,2.024072463857607e-06,3.482148305256061e-07,1.2773270841037743e-07,3.2219578116610137e-09,3.49085849116193e-09,3.5143592014286185e-07,8.99514063235074e-09,5.770081057399068e-08,1.7807964833860268e-06,9.627264887512865e-07,1.1932326815511374e-07,1.2264139322981649e-06,8.065037648830042e-07,3.9499174653290225e-07,8.859777000935765e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011984419212459296,0.001097923701386394,0.006803578289028778,6.059554028348124e-05,8.341059209548973e-06,1.024681190375798e-05,3.534178475983474e-06,6.570923583026911e-08,7.204090008983144e-07,1.452521452005584e-07,1.4154966088142373e-10,8.129320583361022e-08,5.0585777788825226e-09,2.2981840874791715e-09,7.782134808786978e-07,1.9351084001861807e-07,6.570173294306869e-09,2.6475785075419367e-07,1.9828246333730704e-07,1.265556308638338e-07,3.416974148073848e-08
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9794624048543878,1.7925365344218704,0.0001664314545923723,3.0471191857471547e-05,4.0292165146546544e-05,1.269013598617641e-05,1.0118235216349802e-07,3.388564332781896e-06,1.0401740270227222e-06,1.0981754727801274e-08,8.852623191030196e-07,1.195318610758278e-08,1.7531761709044247e-08,4.180390674832224e-06,6.309191534770164e-07,4.103002820832202e-07,6.167039768856242e-07,3.8605846988670756e-07,1.3476267940459863e-07,2.6472765202179005e-08
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03572901360204983,0.0004889186685081981,3.658981669907302e-05,0.00012203681934086497,4.046794412082555e-05,2.2963635748496358e-07,1.1648466383240574e-05,3.7637012140212533e-06,4.536178055403184e-08,2.7705061710348033e-06,5.895739452199678e-10,3.8580189043457835e-08,8.505505593947582e-06,1.3448013524985925e-07,8.072268389280879e-07,1.2380290336233557e-06,5.352066817509993e-07,2.502883235111497e-07,4.067053849254876e-08
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.360380090135841e-06,1.0373180768796786e-06,1.5560903932065884e-06,4.778706775843133e-07,2.6402582342655023e-09,1.2749637545717007e-07,5.3705536462445025e-08,4.5226311584656287e-10,3.616219390600861e-08,2.1416695084042203e-09,1.1031473512446155e-09,2.0627451280397224e-07,2.260370490780872e-08,9.66590674167378e-09,3.599579356805549e-08,5.124127666622513e-08,1.024905893487471e-08,1.599012922071097e-09
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.596645482603068,3.603114452926433,0.2809383309550986,0.01933251419107984,0.03039689078637625,0.003666450215016326,0.00020539449303358381,0.028268154680235885,0.00021389373667402012,0.0031437098791857743,0.24814337371319056,0.017195002352789368,0.02173434877791225,0.04632235480546934,0.01601693215921221,0.007842615773022421,0.0009900886134689424
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525342180932078,0.07640057626094411,0.02527536659629681,0.008708217535651541,0.0008015527271314493,0.00023565133900560475,0.00722648138312805,0.00014771596795637443,0.001808018892228147,0.05552514537404232,0.006734626833953761,0.011200012583248875,0.02548765021729088,0.0057841590352540745,0.003194882137071517,0.0006576680109406929
N26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7473485093854078,0.0897473650850159,0.20667891273550154,0.023033776673921924,0.0031267699694661477,0.20505992944073959,0.002930894014326668,0.02160511893399586,2.7309653184508442,0.08876468779096514,0.09268249558729913,0.18236011560537052,0.03391082654706053,0.026808311954090586,0.0046323084419052085
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7150480405210302,2.754093115766015,0.08288875834468779,0.09238295552915976,0.19926194515738407,0.004876046277020762,0.026257536953905536,0.21381119447152855,0.017831084160175648,0.009146511579834593,2.6249557921353994,0.2784681261724541,0.22672292643473627,0.05445616319934121
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07781897584482711,0.0015359751396342158,0.009815400203526226,0.022391325070123647,0.0005193203163682547,0.0005976781069785275,0.01976312273549008,0.0007806660942288879,9.909048993539393e-05,0.10522696954555877,0.026940916827214556,0.011261325166412872,0.00068453597120266
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0305929453152216,2.0609686171276542,2.8307156837229144,0.08449071379028517,0.07951684160404926,0.1959960963547132,0.02129871980620668,0.003964084140290591,0.18457302883507626,0.04152259008743474,0.025687860430776602,0.0018015210349999755
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742099691984179,0.07935925937916055,0.00789138200141526,0.0010316962869307833,0.026428575495793805,0.0005637398133906402,5.734838179893842e-05,0.015096930539157505,0.0025255416661080776,0.007215461907146503,0.00014708508483796123
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816221686034675,0.030963649395457482,0.007837414558996114,0.005152382508575304,0.0002852511015727366,0.0006972495564938619,0.025270840741688838,0.005640979762778442,0.002180000177229635,0.0005225403912596516
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9718366879859086,1.9787497278614385,2.585312531444839,0.07989002685938273,0.07933365898275002,0.015173527845566442,0.007609539984840222,0.0035111536927074777,0.0002452974637969785
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026584869484475693,0.08508174096916243,0.010798017562484441,0.02511963744847434,0.005290309767342016,0.007087830670973072,0.0007168218413403649,1.5133988762405792e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0874233518534322,0.0016878942482760895,0.00850136255112277,0.001964583243980522,0.00042733922438320526,0.0005908282207186533,9.741781852090625e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0270345860012196,1.9826792966521585,0.01495331934687763,0.004667133350315489,0.004068940177089267,0.0008359833452654675
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02416336745354375,0.0005299843775947721,0.000488594426468536,0.00015749749676841063,4.032168701706418e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002825611379914994,0.0005212545552839565,0.0006151380195190681,8.109455591776005e-05
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01880599948567,3.592728239606561,0.16905675768723782
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185413491073438,0.05981337625440064
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7188737009491668
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
