,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15N,16H,17C,18N,19H,20H,21N,22H,23H,24C,25O,26N,27C,28H,29C,30H,31H,32C,33H,34H,35C,36H,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158462713686172,3.067438678582095,2.4533832423487407,2.7478377130102563,2.6872330479985203,3.9739091763696597,4.672907465363975,4.497066577787171,5.666353011994037,4.883951855595201,4.783279840837367,5.775634005140453,4.134765237691985,4.988767688516645,4.717443080845574,6.116486495806674,6.699664325428834,6.79398900888242,7.704290699417266,7.207488434614225,5.8842201878784905,5.9632419209337915,6.391819112003036,4.500768589390618,3.707911795674221,4.6060075267035865,6.422948935793747,5.8299396049813215,7.7355950623919085,8.057219972628982
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999449690559755,1.0978763709754351,1.4671095128498124,2.1484474198856978,2.4685607675621206,2.8640281026968517,2.539787808672529,3.8657116307577404,3.6934284687752497,3.9880455607815533,4.520348849640256,4.866598298521808,5.277846638067657,5.799417042069969,7.030211940155896,7.484250076986248,8.030628082397877,8.852757196891584,8.549967527821005,7.34891773928378,7.28881249258059,8.050655076089868,6.024238761686967,5.296757643813244,6.3241373772262275,7.0006030410058235,6.269664359588731,8.188947537977997,8.336934394540924
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7796498508385914,2.1109865544488997,2.7851615837220463,2.8333889377969395,2.978137811757093,2.47262752133928,3.8876580593893784,4.060375890503025,4.470032509504439,4.838032776366144,5.117338960015943,5.361528170262437,6.0691992975125775,7.151818448732513,7.601296558142488,8.245256681136432,8.975885252401527,8.860263906727713,7.646460910559653,7.468845008315959,8.436883301285985,6.435467158419405,5.717534864946635,6.887262307358851,6.893484690797178,6.069192639032349,7.999175656036118,8.027001325800647
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1028431955862184,2.9442365095715073,2.745636104098072,2.7477656267394446,2.246744066305782,3.7227523097846333,4.044563171277285,4.467378828560897,4.720105449517872,5.8392084967346936,6.330441986407722,6.690784973115314,7.968993995188935,8.471722067881183,8.871580159734581,9.703291357607657,9.380771760589836,8.063803456127687,7.980830027270636,8.67874386206418,6.744273893404105,5.930943048525201,6.97774699946279,7.962060129804555,7.188127995324512,9.180685075850702,9.316112721747663
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0611975401686076,1.3217316406150579,2.3326501442757426,2.5724162583650143,3.242068214845855,2.312965343570142,2.521329641223798,3.2230721736307792,4.75096199984649,4.977505377518846,5.88032425556048,7.119433570248442,7.375711270319073,8.221506081744693,9.114293168687993,8.594495686945816,7.729055851231338,7.850246265814291,8.440048768977855,6.29662892288235,5.772200741244664,6.438267328530225,7.2765086636651715,6.746985804926578,8.402088982850731,8.653055816525773
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.061581471881761,3.285555190646443,3.6185063691672554,4.107124726013561,2.527976849319579,2.3039164142947106,3.527250691470315,3.8900717105075167,4.110896892529642,5.064460813650115,6.306910404492015,6.48938665759839,7.419581242592216,8.346553635766192,7.7165077733176135,7.03055167632638,7.2616054873565465,7.7453262514111305,5.569048535511553,5.187700873304382,5.647817156373774,6.610983978865495,6.226454267315696,7.723204602406347,8.067062072273115
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3483784702647963,2.0520812632710816,2.0579828804164757,1.352310344057165,2.0455257052864986,2.0608203299169974,5.869637581925981,5.922644853348893,7.0719989749747985,8.26145874740125,8.419906853841693,9.427069600090277,10.317524105462525,9.763072591291236,9.007756472081459,9.145610931665287,9.726302942591309,7.567239266755288,7.0819561383840055,7.667439764981274,8.39741781218451,7.890859860673729,9.451977269319066,9.677426362052442
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091404056626625,1.0101030645256281,2.320819470117822,3.230643816788863,2.542244964805773,6.996767651067614,7.06033436160312,8.15866810694504,9.334496931735533,9.558609104349998,10.49231301313127,11.343903110630805,10.90245426472036,9.989966014129164,10.023163631767671,10.708918061946276,8.589449276290804,7.994878621801367,8.75356317348977,9.331669829790922,8.701226009985183,10.384669289962085,10.515684542324747
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.716932850896792,3.236395804229555,4.076983965820581,3.545961363864389,7.089346310862681,7.229347479357679,8.171920892431848,9.336896186293451,9.661347098994199,10.454771282754356,11.262441240858461,10.949578757732748,9.86219628763002,9.792077639484381,10.582353935585019,8.52347272521818,7.83240323876461,8.77503261038495,9.21823083009194,8.47709121424888,10.294761724024168,10.356981739412701
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5354997509846067,3.5377932331037503,2.357929651848247,7.829781240773033,7.795314783986091,9.035610316888343,10.176499387870015,10.337999379505051,11.378708940828052,12.226915923880217,11.767524527603303,10.933630929020811,10.981007332827359,11.665968466384236,9.527844029232822,8.967437735606604,9.674927484057488,10.162209182043526,9.556433990612947,11.164645873010489,11.28142840767635
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010214894714927,1.0099603009621365,6.140996483011068,6.0328865542359935,7.411669287380697,8.546476777681335,8.539559166984109,9.756477159920623,10.675245645179066,9.97185876752149,9.497783903154453,9.759327434440142,10.21226537558929,8.032495123202924,7.707392439871104,8.024934302002611,8.814123049939782,8.470973109654897,9.786476373092704,10.086474346117209
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.716569676856668,5.588835242544516,5.4745980741428735,6.851311228645409,7.978744228520541,7.901775316282948,9.161547085205015,10.109323136170252,9.289564884903806,8.976414026670254,9.33526699200667,9.664259492676537,7.501330723278976,7.288576531674392,7.409207302565463,8.389272225470478,8.169749764929927,9.346812908207266,9.731701892841222
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128110127974746,6.975055022016541,8.404818204014045,9.525924309106303,9.482018560157368,10.743555733544433,11.66462616524251,10.934271182759643,10.498037973014613,10.768114001778986,11.20065106548503,9.026090555371965,8.701794919158587,8.986913986225764,9.792423422503166,9.453629318040088,10.736032580623132,11.025051802137934
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2334765570515336,1.3525393185718104,2.4301467256216833,2.676798270090194,3.644759365549648,4.536680757261917,4.003978570552374,3.688510365377233,4.072508833566803,4.59234872387937,2.5419047708237725,2.8296259679201055,2.969101199050314,3.0541121073412234,3.17066419503032,4.169107913524288,4.763267306740681
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270824864935479,2.749158514120335,2.5891315671740998,4.204010880967342,4.953023592022722,4.529020554975877,4.598062352082481,4.935162514906761,5.556371197233507,3.6628692014484723,4.016180958734686,4.090092393683504,3.122499038306508,3.3799092858729116,3.948834475514269,4.501927511696104
26N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643423942316764,2.1160469868449896,2.358177763092024,3.3052870151354155,2.80653058073207,2.3703651397817107,2.8678151490679618,3.2974556754136413,1.4765930962381661,2.1376179183023254,2.1212381865315737,2.448701352627305,2.770874963302623,3.6180286342826014,4.316754681268816
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092157696022129,1.5446523503721952,2.2055469978218607,2.1656604033469837,2.4135545625420356,2.8151692178722794,3.384885566201832,2.4473622947405103,3.2428069869530023,3.126995653526662,1.5321186679590069,2.4397837105564344,2.3705647135787227,3.2155929299766868
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2122772060005813,2.7502006198207423,2.4039987194601395,3.3603540543514807,3.8727417562815862,4.219600479554909,3.2864329300751005,4.14882220912128,3.734522758349644,2.1459897864462447,3.1988326782434213,2.514894364707862,3.4439335407423903
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927931846976233,1.0956514007697453,1.5382755248680335,2.17386931977359,2.2088336437645095,2.421329655923364,3.3435388064306393,2.9398899475148896,2.544701978026292,3.3447985807070184,3.1224511394236236,3.9377212848532093
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769574264323265,2.213908170944536,2.458996879853391,2.723987694992649,3.3929444687278494,4.195892533790366,3.9809078006512992,2.670292464412984,3.5164184453133194,2.838732932770968,3.563414883664037
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18386069455565,3.0721196242591553,2.4679068841246035,2.8269240231838073,3.880030610854665,2.94208128828187,3.4489885231873796,4.338760524377809,3.889933221987281,4.787721085723408
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949710357092037,1.0932774919324955,1.53905109566085,2.195133952735735,2.1927584276928576,3.1555802437142626,3.4394442649515375,4.101747592671578,4.732711552198574
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710602497634862,2.1688944145059876,2.3753869792373643,3.0481387154907633,2.9985330113246134,2.9831059038604995,3.948608913446927,4.377071947049932
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1969028547572447,2.7580768752768066,2.4136447718795337,4.2092605388500095,4.502687665933961,5.052297125589737,5.690563306771047
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943562699519636,1.0983019008881636,3.3645158177137118,3.4751343258826575,4.55970001336099,5.2062045126007
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7771563868251035,3.7974814357457904,3.544977936379629,5.092905236956865,5.587814191002846
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2946070497580875,4.5230964647320855,5.411990826774408,6.1410892578617275
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.211351323238898,1.3458983920066783,1.88302447989754
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259322164164594,2.31499226445782
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769168395559436
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
