 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,C22,H23,C24,H25,C26,H27,C28,H29,C30,O31,H32,C33,O34,O35,H36
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016145950104853507,0.004487161950827975,0.1969120962528927,0.4217120041174043,0.019156763839869195,0.002643391066686984,0.00454929078506168,0.004891560535772443,0.00012443789901794844,0.004555204796849635,0.04488274817039026,0.11804878976334099,0.0010101124067863482,0.00013821135622715808,0.00507505084230464,0.0003501733654924788,0.0002661653673446118,1.0543596381529241e-05,0.0010730702989411728,0.00021228815564185155,5.9498502886667914e-05,0.0012824828425482548,0.00015043994591243393,0.0006008492409798061,0.0003004727182545075
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.694254608660366,3.5758687875509274,0.13138192332149068,0.29549752425467846,0.024848338667964986,0.031224229759478223,0.0015018357315050856,0.0040934738532487636,0.0019687576227601367,0.0016740775983900835,0.00034372218358313944,0.0005818484907351984,3.7129181365891384e-05,0.0005022464319291431,2.9047158238704185e-06,0.00039547415614282766,1.8465784059618073e-06,0.00018079292787936962,3.194737309096529e-05,1.946906272198845e-06,0.04697476103234233,0.00815821431165617,0.007150843419586411,0.0010086828282060978
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372426420034486,0.018782516194712606,0.08108478892379178,0.029778639816126717,0.009808510733251313,0.0009466092822715266,0.001090971684339137,0.0012659884121701825,0.0013233357521048456,0.00028453097045266773,0.0004471798110657621,1.318813151507392e-05,0.0004527027216783691,1.1007577304100735e-06,0.00031714228717739934,2.4990508387112698e-06,9.353218284045839e-05,1.5549981355181264e-05,4.6900720884757163e-07,0.03279884270358735,0.005468996052528437,0.003573779964240617,0.0006081420735035703
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.559807588503975,2.8748053609491646,0.10175367214478126,0.17848491581295822,0.01192629628294617,0.023576099964301322,0.015209077628444936,0.012196705883357029,0.003024978900612707,0.0038536511053270106,0.0002066873850923301,0.002060905634007487,1.3423055423622543e-05,0.0016038329544611762,9.056135897411721e-06,0.0007474695068606096,0.00017631531514661347,6.402968288465871e-06,0.2038627576714966,0.02719578197249982,0.029382641682975885,0.005298396466947408
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09317246174725913,0.014536086539327586,0.014864626459614061,0.0058258135815085765,0.0006997222041962292,0.0011821658148092329,0.0049910937971241465,0.007247798348413603,0.00021279565869680717,3.450404266280849e-05,0.00039967640215410327,2.076362747516214e-06,0.00020044022412446516,3.671042576369743e-06,0.0002484494164884943,4.465631488548283e-05,1.0272582657400164e-05,0.005067656529657127,0.0006419976612873635,0.0014845753947221318,0.0005469661298125317
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084502098577869,2.644379124318581,0.08381908054050968,0.08462022112827805,0.17223112477985267,0.03343823942094623,0.000580669717766602,0.03505714286004648,0.0006148247470680879,0.0038272756181179646,0.000112936060401303,0.004970077495128872,0.00017776166107119629,0.011263322948608906,0.002612614567542748,2.8193085409911056e-05,2.6558397634116613,0.25568604019686186,0.21001363566612935,0.05470674690935884
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08015461605735885,0.03209051144453401,0.0023674993512010634,0.013911201391711758,0.0013528779309602834,6.825075161276395e-05,0.003546671245105548,0.00038027284609976064,0.0004576286728247281,1.5985593481371296e-05,0.00037497511667183847,5.336285052570666e-05,0.0004797171799082456,0.0001160856102002672,5.506166252500222e-06,0.11261247496193105,0.0272230950502228,0.014388807783225377,0.0009854849581802938
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132374799075767,1.9243307421873264,2.6629868688997878,0.22348935670055478,0.011862481634152489,0.2408387271995423,0.015830842846499715,0.03463345302363173,0.002355759176937422,0.03761357754391914,0.0023556635021078076,0.019552087904674748,0.004760590665024572,0.00034697184680065885,0.20283106865112008,0.04190024087767792,0.02728014708289668,0.0020993082626787896
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024937824596522162,0.09355259318029707,0.014448552338841347,0.0026498280697011545,0.026543943855989793,0.0006518541528444111,0.0014386334011547985,5.256668889797034e-05,0.003056387709618802,0.0005431601765637506,0.0032358951287250193,0.0007369188876138466,6.31316215360389e-05,0.006554906911331537,0.0017493202339056158,0.0009355791209392228,6.873172525234672e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09615255711516801,0.02401575091753183,0.0006677381439867958,0.020094171038402164,0.007824038358528851,0.00265322530435419,0.0006712513037530066,0.001844799901948857,5.6963745267868404e-05,0.001946050579062053,0.0004257472200063228,1.345037879252331e-05,0.016869595320240016,0.0026350752831610924,0.011274542379706376,0.0001855951817131274
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3944537258681766,0.12279238754427613,3.6539878673746937,0.11885570359977504,0.32213194912858356,0.02635681384031363,0.3330322029341436,0.025463798983898167,0.26337823685370076,0.050938007466461335,0.0015549472689913024,0.030011077847073853,0.007895174298432311,0.0036354234941319424,0.0005159859537519074
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9353125559013356,0.33546068734947604,0.028855558898158717,3.6733314723555615,0.12553914352424156,0.2996943096092199,0.003970197802310338,0.3514940173892556,0.042882921469571816,0.0038412458157297547,0.007533795541425747,0.0016765650329459286,0.0010118826179061624,0.00019295516788653266
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259953677390502,0.0016172163441543486,0.1345698376771831,0.00885861121096898,0.003292781716447868,0.00034049657412915657,0.024657717517345024,0.0029141501106412226,0.0011924370135303342,0.0002375847405067244,5.999728115935188e-05,4.026347360941429e-05,3.220835623762852e-06
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7677220634925108,0.2993416485303563,0.003917178159096868,3.6063241499962873,0.12186292696778134,0.3424336864928211,0.04311671979273729,0.0030325416071181888,0.0050488210566732306,0.001807241497693235,0.0005444509288520527,0.00014993134772722794
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035833379588714465,0.00045330511965446796,0.1267115216505439,0.008358924484530794,0.026299601614383716,0.0032621258336952286,0.00021177057456767123,0.00023673418449976502,8.11175811126219e-05,7.453154290959496e-05,4.278253984635327e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779589041172827,0.32311295758385916,0.027321520039799818,3.5907910781249335,0.2909296223839988,0.0333079536245241,0.001172218902131067,0.00028590694909779585,0.00017875427803731858,2.1756690248619925e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02808145610102275,0.0020367172504132114,0.1318880274596228,0.01225188102199859,0.0012529154301239576,8.563929105198653e-05,2.7862244381782197e-05,2.016538146054625e-05,3.258172132092341e-08
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0073198398175376,3.418644693147529,0.3041735295077857,0.032877673351938363,0.001074840322185161,0.0003568849491831366,0.00011939892812407038,3.082896460171458e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232194012276866,0.013203953066643681,0.019113182751185454,7.662849579426201e-05,3.0015074449218915e-05,1.0846811189679784e-05,2.8869634307593373e-06
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1172546478062597,0.1319237670074006,0.00185024670636727,0.0006392108838422506,0.00017068808308956518,7.70307227189182e-05
O31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8014149684288476,0.0004764684145834308,0.0001579967148129871,4.757353781485035e-05,1.930474024236517e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348193740757786e-05,5.2465462874184965e-06,2.1180880407367653e-06,3.0329472933132706e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.982824869017047,3.102658915401215,0.1597347753606586
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054321026886324,0.07822784539048899
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655949475463006
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
