,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22C,23H,24C,25H,26C,27H,28C,29H,30C,31O,32H,33C,34O,35O,36H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.343700816383633,4.571641404775413,2.6186646825894426,1.5673550048216516,3.686916778546588,4.475801434753889,3.6699899902101882,3.103403896351677,4.705649102672827,3.867306995788269,3.180677320044609,2.1408975161334336,5.237745429265751,5.9618846361926225,4.210199584786598,4.270898368647709,5.929944543819013,7.0122918593215795,5.501881485566677,6.568243313366283,7.3614285630503815,4.6132074908795015,4.631636350857832,5.865828578046602,6.457419733642578
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2406624236846486,1.3474950071161433,2.067189572597031,2.419955241754116,2.643758774957812,3.7203761512538973,3.944529790557841,4.552035955740655,4.26066479080849,4.3614910850696695,3.9950705546767042,5.244226490990288,5.585432732354776,5.393266013372532,5.8302742291620016,6.136656281115021,7.012280200661883,6.199922848112125,7.346244228823613,7.882548962909902,3.1063859917868077,3.368696887570857,4.160835460069734,4.756760679113563
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2786494243657818,3.205866487834593,2.7705011092235767,2.6066469813536512,4.271531673708682,4.703587711662303,4.903437060414269,4.85847734828205,5.1939324678878265,5.014403161565977,5.603917384493531,5.758361136350181,6.159960699701201,6.691521628255631,6.515389786351353,7.26161069385805,6.761714951756184,7.889489524344479,8.309951076194821,3.1430922160113783,3.513579859673431,3.884786929663078,4.427581841428562
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066120859787559,1.4358764226245881,2.086235497460483,2.454862534377884,2.6040944543301103,3.369708090866838,3.118158719920783,3.321179273062118,2.9654398846768104,4.250072438532267,4.625849332587748,4.531476634923748,5.077907789339194,5.258630223937081,6.194507401421865,5.3739432632118955,6.6237840381860815,7.171306385277708,2.459274930405118,2.872090971649302,3.615124255010476,4.299735868300948
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1937327873583916,2.984558887823696,2.617404830143104,2.3789189975168545,3.6456210518160757,3.132457660066536,2.9743621722037346,2.309616181191642,4.445630964442578,4.986527627775525,4.210578591622749,4.607564193333175,5.361467816009834,6.382913352931456,5.263777584953042,6.480081335386163,7.1340604005676465,3.175243022810172,3.378601620698993,4.4064063013738535,5.045530326109622
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969112350714942,1.556255561252467,2.158246045166279,2.1653361176717136,2.573801336383254,3.37673082291591,3.4047416199834353,3.4557195398032996,3.544439508289451,4.615977474117658,5.407387882769634,4.680790182808479,5.498462347579666,5.1575543829550785,6.491366244686666,6.881916637227393,1.5317395701126557,2.462253620539839,2.3897181521005213,3.211728199328429
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1794532944654925,3.060331830339313,2.5754666702888938,2.7366830070080757,3.6382003910372647,3.9069326467132592,3.2270035942215416,3.2014543817288637,4.663428901182287,5.5157781135598345,4.3556746377659525,5.04374905385756,4.965186803257867,6.236955917765108,6.518004748390895,2.1182151029430933,3.21361720827383,2.44801577712552,3.376525443892487
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966800110822186,1.0967730999464111,1.5164130788261956,2.554512980196276,2.7731975977721204,2.5262796996320436,2.719383678144059,3.8335942214426066,4.712935698589753,3.822374145789149,4.688483494748588,4.332933880414623,5.7097551494018735,6.10105901832114,2.514358357059946,3.332286461648585,3.0956430718144166,3.8906753726575936
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7681293897567032,2.1596665764132137,2.7398529247170753,2.5924496350906137,3.3571566414740266,3.6589863543078334,4.098738964173256,4.821951763166601,4.542901729303028,5.474812875060537,4.837460100826323,6.183724162317085,6.680962962867897,2.8305387916194564,3.273327733382425,3.6680943392687664,4.294273154487121
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1437487272562263,3.407374675522607,3.7713394138224614,2.628167485464016,2.398346094743515,4.554425167611871,5.5148191005757985,4.010301555615485,4.694172313641856,4.797950983737511,6.156183195099738,6.407198598634393,2.5902847853113578,3.4725006382165713,2.7126256095918424,3.443874150902571
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4072211623250406,2.1698350990938238,1.399719715224117,2.155696677527384,2.433927305149748,3.421327413132391,2.4397979616139924,3.424903251538716,2.816698514292399,4.193368893151794,4.608555252943512,3.8731041091523335,4.763204892640273,4.321124759003969,5.209421596968625
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908786550019085,2.4090027716822933,3.399309224003302,1.3940888073533495,2.160505373497967,2.7953859007731965,3.885852498088504,2.421669629221869,3.6612231276647136,4.333275599605473,4.788949216785571,5.504702677568726,5.482693001216178,6.350281178102027
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4034069423320346,4.309399761188914,2.149694964576113,2.4816425499768715,3.8860995080531935,4.976575545506007,3.404669613623776,4.52702009926494,5.287228396641073,4.731039832063712,5.23155041544171,5.655356338664061,6.447102246344345
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0890124180609861,2.7803650344068336,3.8665536039797037,1.3968894161672876,2.1625481523324432,2.4138440933312713,3.6906464165929656,3.8222389038997564,4.626505096629434,5.674126445240704,4.686994791420958,5.603232099531907
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8693357245246207,4.95548707358907,2.1476753433073084,2.474821436460319,3.3955804300197623,4.571751783758287,4.53030788021566,4.431123730860937,5.543541895870539,4.182871444312303,5.056410301804918
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0862514021443055,2.417978953395726,3.4082370068798453,1.398128941547778,2.3785733268977594,3.1767806863002677,6.077238081609684,6.856504904806327,6.66049208740379,7.569495114610159
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3964332547768707,4.297586148361516,2.1470048882861636,2.585163938792323,3.5275170603205566,6.8776167713005725,7.5587664887055945,7.576092034191018,8.468913272997229
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904763035819518,1.3967955188101067,2.4292838612219847,2.435873143310178,5.955383840192173,6.999073181914319,6.025741208443982,6.957655949840304
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161325322186088,2.6890370103251704,2.275634466040642,6.675910884451752,7.777122527420246,6.553936848423553,7.467326011960287
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3774005088825767,1.9135784672381155,6.576570169423163,7.510759687537172,6.895265779651096,7.8360964540983895
31O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969755194489828,7.929580959186293,8.867594511352447,8.223417828223605,9.17268809474287
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.264676396746106,9.274113524932403,8.405047587270623,9.353383139644592
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2089532491916468,1.3676225678099525,1.8719056924478819
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2499081195589845,2.2511141404283475
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756559283366709
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
