 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,C30,H31,C32,N33,H34,C35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02781135558894765,0.0015092292475769042,0.12566210212486872,0.008328925319510905,0.00383580174882725,0.0005180838588743075,0.02686029166258308,0.0012509209765210194,0.0001607170847588435,0.00022624265595816428,4.891642251081407e-05,4.090328832750956e-05,6.177240883253887e-06,1.0600787199166462e-06,1.0989656600290942e-06,2.2794162646277982e-07,7.434808435569096e-08,4.907644151064261e-07,6.020435390219347e-07,8.244252636124827e-08,1.851886675119374e-07,5.60784767067446e-07,1.4159025221172072e-06,1.4072761802541578e-06,1.1294528556859973e-07,2.4174619639438788e-08,6.372511018870597e-07,6.956229436916317e-08,3.569725293139925e-08,2.247673824840035e-09,3.511705066738813e-07,2.172085844520666e-09,1.8754537467469135e-05,4.8650034805697295e-05,4.724533889000071e-06,6.375418106774333e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9850007260466733,0.30739643045887943,0.003477891389714216,3.706750753767367,0.12706759934941547,0.3429425213121753,0.02720894442094446,0.0030642747085485866,0.0015508168765072938,0.016368958501237194,0.03724575222809701,0.001620849847021627,0.00048408448713599395,0.00018962494477628433,1.35377842486184e-05,1.167606018126488e-05,0.0011703982918030709,0.002289610526667596,5.599701411473923e-05,0.0003189933800469835,0.0012988367653342658,0.00015292786794740554,0.0006162486815454726,4.315721174673326e-05,4.988531752569969e-06,0.00016869416518751346,8.442427786192752e-06,2.00093866801615e-05,1.506256666061745e-07,4.712641977100418e-05,2.495707789318402e-07,0.003684086856300589,0.01848631226351851,0.0013406322394511894,0.00011891285096532478
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682029693488187,0.0004703129724104027,0.12908593523881284,0.008330753187795414,0.025905966834149696,0.0011832772262130309,0.0003979941200604742,0.0002097407244530114,0.0023455770792119024,0.0024902491161065132,0.00027635786727220335,0.00016111149788700097,2.9374605339249626e-05,1.3611309592764798e-06,2.3691155655036766e-06,0.00013529455309391203,5.985696661192641e-05,2.708846200683013e-07,0.00011633603129368453,1.803777872755319e-05,1.071602004909522e-07,1.792163251401746e-05,1.2838768656542321e-05,4.003149689513208e-06,5.913457087336482e-06,5.155152815738973e-07,3.884324503822256e-06,3.660018799145348e-08,4.752949406716667e-06,1.7857642697904907e-08,0.006513387538981563,0.049629943721268055,0.0022948305385800394,5.327356690321139e-05
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0175452423695317,0.33046234276812764,0.027152794049890794,3.354537257752159,0.12002286012449503,0.0010027391763516857,0.0005909972517412904,0.0018036373635594433,0.003076329001598155,0.00018302628738937898,9.043512119766284e-05,4.2611343029047566e-05,2.5094173228268346e-06,1.6802112710045947e-06,0.0003035551228580957,0.00019664030391652876,4.5456308817248825e-05,0.00011387434262860596,0.0005213937882063702,0.0008287422604581485,0.00025788195889975274,1.2331723853495347e-05,6.591958940926901e-07,6.200868676295435e-05,3.2653667252358076e-06,2.7025349828319056e-05,1.1288020984601133e-07,2.18208017903343e-05,4.166216216461294e-08,7.492246124221613e-05,0.00019288273577986598,1.8734565887870702e-05,5.706525489701519e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02706623871918601,0.001405173264862336,0.12044498332417142,0.007933659569647311,1.736367383764481e-05,9.31551956961929e-06,2.0503517395020765e-06,7.603467115036011e-06,5.91532717253429e-07,1.0955570450832397e-08,1.2314549979741685e-07,2.7415533176977647e-08,9.554173008297084e-10,2.3165015816672963e-07,1.0416035050031525e-06,9.77249288158788e-08,1.796222703687178e-06,1.841433602933762e-06,3.7198494662327164e-07,5.308336900267108e-06,2.440214172949595e-07,7.861153950017297e-09,5.112411380014947e-06,4.836728486612429e-07,5.954212174419382e-07,1.2897283241386504e-09,9.855544873538236e-07,7.688807368566586e-10,1.665276277762473e-06,8.431635535544046e-06,3.0303609510617946e-07,1.0919418080845844e-07
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7037374276204327,3.7968585202713565,0.12553496704992828,0.0006469406879797968,0.0005179542946311122,0.0035417454495038775,0.004712142532349639,0.00035696835667013704,0.00015048045835097668,7.693226189744995e-05,6.675996553462404e-06,3.941956359332366e-06,0.0007822732563798479,0.0022815897931959817,5.4535117971044045e-05,0.0006170646147163339,0.005184887263562699,0.001906574633530278,0.003357480966185461,8.695941902549242e-05,1.6713928554512592e-06,0.0012344796025896276,6.163258725588872e-05,0.00015696592762404205,7.178047335409943e-07,0.00033726336156569836,1.529412137379893e-06,0.0004648693676940763,0.0020831391222924586,0.0001541365140028811,2.4526808246494447e-05
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12574262719754725,0.008031879539035724,7.42330642045097e-06,3.4986385062385494e-06,9.880060827027748e-06,2.9740887741658284e-05,3.151076283902654e-06,2.482829017935728e-07,2.67547547094793e-06,6.576740907426881e-08,7.347991481942984e-08,3.235059580819488e-05,0.0001884131092309005,2.1016299971421404e-06,0.00037642672042359493,0.0004284059604997559,1.6388706789216556e-05,0.0035315724182582997,0.0001756292906915924,1.779799335244192e-06,0.0031294497341807226,6.657612522653622e-05,0.00019768071995684977,4.909678930076211e-08,0.0003855279644362497,3.275784302259055e-06,2.9920982904663163e-05,0.00011171934263098926,1.0523438517484607e-05,1.816101633300704e-06
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9655420997732005,0.0010042864754901126,0.0005974326486304637,0.001407253138288142,0.0021826480881274035,0.0002477076188094618,3.608320518566632e-05,3.134710712503208e-05,4.830224432650354e-06,1.8827924350706127e-06,0.00024421044472941467,0.000728796142073912,3.321682965773398e-05,0.0002839187049376163,0.0029920314895065525,0.0038854506321485127,0.0007048846508043993,3.296506157252077e-05,1.148696825215012e-06,0.00026400891356180567,2.9312146438975617e-05,7.42499766924476e-05,4.6101199102643875e-07,4.850948590479076e-05,5.220683265694248e-07,0.0001194193261253862,0.0004265928616973211,3.729461727376704e-05,7.655393361005736e-06
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.273944999663939e-06,2.3097023232887537e-06,9.181689881954114e-06,2.156500450434251e-06,3.0485070980912354e-06,4.3226477863811397e-07,2.5792451374684333e-06,7.494734988178209e-08,4.200652570229835e-07,2.4199316206896526e-05,2.5553188204519017e-05,1.3948300181532147e-07,1.697082280815998e-05,0.00017782650305009362,0.0003672899859783474,3.914586119835306e-05,2.7387469063722136e-06,4.4422455092174573e-07,2.7408226582981143e-05,2.1661652622517735e-05,4.48844229139489e-06,5.119411135012797e-07,5.692797924616855e-06,1.9033197284912262e-07,1.6111165151988516e-05,6.140014448219322e-05,5.099502020433633e-06,1.2808934244379344e-06
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.793860819969974,3.560617613886711,0.1370090502155431,0.28048340163044116,0.0222680642489812,0.03380096066392041,0.00406963652037895,0.0008226594824600753,0.004019439735290897,0.002388199758870474,0.0002674118388716895,0.00043758491212289585,0.0004544055727301599,7.568691566151031e-06,0.00029452317082753754,0.00018556088975482665,3.322476540601471e-05,4.356393239840495e-05,7.99275795104748e-07,5.667824977823033e-05,3.555496059792773e-07,0.00011604879969959181,9.219069783128475e-07,0.03953547316550901,0.010534538288223816,0.007724726265216003,0.0012147197706013912
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5334971044665464,0.025987856280798582,0.07485131217284781,0.0441008001672587,0.008533197939356321,0.0010859299161338765,0.00047625125823347325,0.0029924855643884696,0.0018176072118347986,0.0002742531665540504,0.0004079461504418319,0.00032167162098549473,7.496766525894039e-06,0.00017881359281959885,0.00012640296881986923,2.526835610905387e-05,3.0085572607543853e-05,1.3416954205425213e-06,4.5272628499612444e-05,4.832287681111325e-08,6.991440388186276e-05,6.818131095265301e-07,0.014882506800729778,0.002769958296646901,0.002492905016620542,0.0006569049882961808
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8075400804904382,2.9092682471018882,0.09867986759974379,0.17698814567813612,0.024527128429252976,0.008490918394360891,0.026768555390449256,0.017060810375790103,0.0022023568659215176,0.002192279844398487,0.002332911246132774,3.694533550213652e-05,0.001994924349533078,0.0011521496706277945,0.00011888402512294505,0.00024240466417910222,4.072496578633178e-06,0.00023308825150306078,2.4700472434080467e-06,0.0007809015028049648,2.643928815437846e-06,0.20344432299175338,0.03122077339185622,0.03077119893399706,0.005047706046054645
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09914315220844439,0.030536851316907976,0.009050925971146984,0.0008768538537426984,0.00027545934037731534,0.02815955518724278,0.032042182453876356,0.002073287292059911,0.0011448722117276544,0.002242286307213459,5.48201904471135e-06,0.0030196394149852868,0.001282220918940702,5.747745045248109e-06,0.00031663122966130164,3.488095912107525e-07,0.00017468556771493837,8.120801298083791e-07,0.001261765997381592,6.323058032720041e-08,0.005321674146396171,0.0032002580162645566,0.0007805593812907352,0.0001764890109761108
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033485112305843,2.7480780690259654,0.09206324852145453,0.09343467459059807,0.172289169795768,0.05128794926499422,0.000475935668813543,0.019443242176272524,0.013464378613230576,0.0003564178244503946,0.004137058948026934,0.0018350690259317792,0.0005110255266818076,0.0006979689504094111,5.579275240918946e-05,0.0014730092414949603,4.205896440456769e-06,0.0006774916720733992,5.120573627115377e-06,2.7683340196658786,0.2672716732035802,0.22113042643872016,0.05367963612592275
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09151642288446571,0.00414308674240238,0.007013831705220852,0.023011702269242096,0.0035342050419053805,6.01807691305023e-05,0.0020379003179599176,0.0012181687467996971,6.392748666961268e-05,0.00040020926918049593,0.00010599686561041377,4.347535786619616e-05,7.348150449326685e-05,1.5573669560398073e-05,0.00010831435578573245,3.622695561311673e-07,1.6090572888094457e-05,3.2358398627252427e-07,0.11416991305376101,0.031524113942063114,0.011466963114755702,0.0003968014399056141
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078521980946753,2.059810359271352,2.8668726258864727,0.2602338847105369,0.006454055533471781,0.18750161514758903,0.05053836770563348,0.0025272568449861144,0.03445531181300768,0.014349090083850713,0.002921501821956163,0.005033855737680865,0.0010804359196545654,0.0038852724982877396,0.00014251962372835436,0.002281726828707767,5.9602153883231423e-05,0.1763775656362191,0.04022519157488074,0.028574321232176222,0.0020651115297251055
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581065632125812,0.10408495664584239,0.0308142047197677,0.00016747617438883644,0.011217241486909169,0.005434968068043444,0.0005159617954477724,0.0016406071999051086,0.0035388064231633987,0.00328102703414479,0.00048456512802186325,4.931173095235053e-05,0.0008447040828656327,4.7462186485658364e-05,0.0006016121303598077,2.1907288519473767e-05,0.008106443798143959,0.0012953258688193081,0.013639796242788438,0.0003370979432677501
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10647418809806886,0.017657564087882438,0.0024303582734279683,0.023285002997079474,0.0027558981641873093,0.00011369905572600203,0.003001986694948444,0.001227532588750746,7.258311685598429e-05,0.000652555537096644,9.932579357641025e-05,0.0005566806868593233,1.6909358871108893e-05,0.00019842389405666516,3.1133679485595422e-06,0.028460702575191732,0.00451860231086143,0.0036643436444528943,0.00029146659895484817
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13045139772084,0.11732566905180408,3.110465407631977,0.49452982119974154,0.026047507273668336,0.3412323526151739,0.2243681107407526,0.00795343183248387,0.03844284857731281,0.0037365882621944735,0.07135247206360323,0.0028636341026306855,0.02492686434468705,0.0003630706674468964,0.014883232528967394,0.0025540844900194815,0.002333238178589672,0.0002841153523169826
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.845443969701132,0.3926565026760097,3.4668915824448385,0.11201192316438258,0.4565603467835735,0.10896436858225128,0.0007882208934604229,0.07343331260123301,0.0006808773637243526,0.03174227007861491,0.0009417237193298789,0.07802818132473613,0.0009131971577185372,0.003991965641478273,0.0008362325093341227,0.0007903363426379068,4.0736609029368154e-05
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030628857796457964,0.10026251179076517,0.004867463500461966,0.027790434513577544,0.002982680849374697,6.574361189026767e-05,0.002697370632581242,4.5258614459919855e-05,0.0009820130160960172,0.00011408404271628925,0.0009410860430278944,0.00010835846447920794,0.00025622146843118365,2.9982639048853343e-05,4.3701681124885816e-05,4.273804563137418e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3849330555322307,0.030936646669793233,3.2704186213597684,3.516717657485494,0.13158014224337933,0.28651648406802577,0.02674874924101389,0.33923882118620247,0.02768081898093855,0.2346700652740549,0.003932108280070956,0.005634645120000337,0.0016098653854060563,0.0012205946567944853,0.000271827082078957
N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8855729234817415,3.2113432105173447,0.04528394061772069,0.004068131702282374,0.2500244248820366,0.007263622061854269,0.04884086764422607,0.0004410204224243319,0.06621592677727059,0.003032849288779893,0.0013362898484119423,0.00021046905425156637,0.0001374025635031001,2.295901185456195e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11798438265821465,0.003498771021493763,0.0013666269074354975,0.007242327990261477,0.0033314277166556217,0.0006358264113824896,3.9597841401173284e-05,0.0006048247497283388,6.95293689172427e-05,1.4905906226880816e-05,1.1376230825144162e-06,1.77256167211981e-05,8.344450772135303e-06
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298786852704072,0.02711784319317445,3.6775931243887854,0.13423258466333965,0.22847366893998985,0.004023564968148818,0.3562265853185671,0.02830238036533106,0.0007062508014915592,0.0005219693566228256,0.00021227617831351409,6.226367018147272e-05
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9263718566220758,0.3084027691346124,0.003616462846882884,4.057978246145857,0.1289399585708375,0.32496745404362637,0.02598122414682913,0.006140309938970051,0.0011735043599209669,0.0107296936700544,0.0015068732136922502
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035301237202418623,0.0007628508364332376,0.1283111735490523,0.008490167164781015,0.02717956123386922,0.0011067137060551957,0.0038280404018513625,0.0012083753771949812,0.023153313945825316,0.0013236799990039572
