,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30C,31H,32C,33N,34H,35C,36C,37H,38C,39H,40C,41H,42C,43H,44C,45O,46O,47H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3990087039677688,4.299656565576632,2.1526785395097368,2.4741375258912464,3.873988839372598,4.960926416984037,3.4041210650414877,4.302202360124036,4.557802976814335,5.628667605233013,4.767865089867854,4.141802577609679,6.16089458739671,6.78213819217663,6.771080112202962,7.830115131084147,6.816159591136799,6.3841193453901965,5.657627241198973,5.214683176113012,7.106127920012314,5.989838328974151,5.7960047827992085,6.860692105145538,8.2023564253966,8.632656454366359,7.733536691490461,7.828625401711806,8.931537259132204,9.845586844759442,8.719818190118081,9.50435176394646,6.672789828168416,6.207302214804252,8.023499258577697,8.410986288559668
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866906878871156,2.79125222497558,3.8787568450402703,1.399088271024244,2.1530192116246116,2.4239049770698466,3.410817590970987,3.8423493215868967,4.878316324416673,3.432701954369946,2.646312140024275,4.300716328053739,5.222858522259911,4.9290063659066945,5.775684027309639,5.501697952338145,4.333667057193624,4.148022600587791,4.4055693591399345,4.54634372655757,4.26333755725105,4.472801088617309,4.494435568180791,5.311403726933443,5.743677538052671,5.19809676576136,5.558031476170982,5.899183934835876,6.69462559268046,5.846055667320023,6.6102149520066416,4.159728488653693,3.4222725614047707,5.427201785647434,5.591071902964561
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8779060089222224,4.965431552445754,2.156235470396284,2.4739253667006893,3.4059525511291873,4.305119053421642,3.62803777389956,4.485240074655826,3.214581118715172,2.6522767452062443,3.8127619780395148,4.708635392763611,4.609702951947043,5.322941459744703,5.330670465690216,4.191845271424548,4.3570816279362266,4.768444186228913,4.299596008471122,4.571227615025083,4.98056127391278,4.5322679171864,4.825399116693977,5.108567012663263,5.216349914410659,5.747662067945656,5.451021475884068,6.133648074798898,5.623377738299067,6.398866158252139,3.346846148513816,2.448062212193305,4.56577555158299,4.625920939933251
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0875683690085098,2.4144755964405706,3.4028291888061943,1.3985369234497564,2.160357616132661,5.448983211603042,6.639463338367934,5.1243771966388385,4.2034909229172746,6.274505016925779,7.14872203443428,6.5377559589499254,7.540284971443617,6.7554046349556565,5.700562087223913,4.821970114824472,4.634789341003622,6.071890706685016,4.667535255656137,4.275118764430659,5.468767304658393,7.172581236633702,7.828107840490086,6.090914693752651,5.995565679460223,7.643909504592348,8.59400520666006,7.161939214175019,7.829460469610904,6.6111511593720795,6.097659019714882,7.890309800868666,8.203695777646226
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4023838362599275,4.305542857880217,2.1602764973787774,2.4911398496855397,6.3030639710609915,7.496582106871468,6.0127670635718955,5.107015687410169,7.195862774363772,8.041345523305079,7.365406101375715,8.387345303674762,7.479967564861375,6.493651978926954,5.471079726589145,5.1583678361099965,6.893194835455108,5.246614689785332,4.683571064625327,6.166909118896629,8.05244309708922,8.754524015284247,6.736233986852055,6.50153821621928,8.484594083441422,9.461950022476278,7.894222689242876,8.516077689020737,7.632839906708921,7.165568088297901,8.906340033473514,9.253003176489942
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869681622978575,1.3957356941600447,2.1594005817988218,5.046830986073496,6.1358712385780985,4.400017801617762,3.4696744924814946,5.128175667882374,6.149725341248866,5.388188499361507,6.201063038777724,5.968680471763563,4.423159472137599,4.002689888729506,4.367103029688544,4.354958664918752,3.6662500526114625,3.6610305593127745,3.8822980011892745,5.177904745585583,5.845056689783725,4.340521468075097,4.485416870439525,5.511194711196477,6.371863012611499,5.137687864552337,5.796346821639095,5.004937237453861,4.351576622095172,6.15497202659508,6.296403436034282
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1581317447521866,2.491858194553707,5.667540061699766,6.6809231681795795,4.874552446242082,3.9957194283801845,5.325802288087222,6.391216127986478,5.447185197236224,6.11458192759637,6.160235127529867,4.358563572192805,4.115356222449217,4.71152984570009,3.937058400848932,3.544346518269922,3.629111102049562,3.391160271316009,4.563248712502566,5.309426831092748,3.5720727109797146,3.7416860515939074,4.678527626409885,5.491686276004702,4.226949057234235,4.804610645662114,4.990782501296477,4.331392286064475,5.980088857735309,6.018416796726491
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0877674021737302,5.743823615461285,6.917774792952035,5.162099580339765,4.172968031381618,6.064862692618379,7.056146295550715,6.188726707151557,7.088393744863294,6.584906122809735,5.143374720704343,4.367553292335584,4.488505883156388,5.204230659967072,3.9070477646540978,3.5431751545228507,4.465073175518585,6.2001290342074515,6.951893700480378,4.886428765703164,4.7579403351702965,6.495224918327256,7.424006557122943,5.911568788176344,6.510173077124577,6.187860548261124,5.6305079576225285,7.370414949807062,7.595849350072911
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.754478411575813,7.933305330640864,6.071563965129709,5.063879748622465,6.869966288576272,7.896077763095636,6.809356376097522,7.655459482330346,7.206477107658827,5.606403145031885,4.7455481496052165,4.925340542139393,5.487467123170751,3.991746159941199,3.4297331463169067,4.504622252678465,6.457622142735973,7.321118448718784,4.67359860842325,4.310343946173873,6.563380656621142,7.4943385065949615,5.7635069576375075,6.232172437746795,6.973364874515289,6.449541108133978,8.075427711225087,8.27824299211684
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2269792691650223,1.3718184949185959,2.057452916291072,2.445003751367227,2.5523505329843834,3.72509930289306,4.5427281511043605,3.8253201510749966,4.387552500889283,4.647767756445755,4.468931721167423,5.436372338051534,5.730063610866564,6.27595441724016,6.154261362869869,6.168637655299218,6.020452544200007,7.366848336564208,8.048183775582322,7.356910964581941,8.059551139080893,7.882297561177882,8.886509692815006,3.180840843623798,3.301538718235592,4.337319471604179,4.926340484117513
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2770549322225992,3.1546887139029742,2.771979791193076,2.40870696543775,4.185690369554282,4.787976548423005,4.266750227880497,5.137659317090932,5.606614189820555,5.470975711669357,6.159059905792212,6.744300892410866,7.367695918015383,7.050896589994254,6.706002628035499,6.366257213791233,8.252374709117245,9.013571324472046,7.937926995854109,8.528515480637523,8.627803591016223,9.630812008939296,3.343307988304017,3.590884490360615,4.244349582692851,4.810579872243157
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146172924345112,1.4466937692381203,2.0534904866291885,2.479773644654606,3.40012911991368,2.7200032364387883,3.0158847574813263,3.3564974690088536,3.3309510709939993,4.101637987630139,4.467761428368858,5.107269212572702,4.849022903324688,4.918829360274811,4.855521189455109,6.104536241397465,6.823180005119023,6.13481204376217,6.898115826671569,6.640155951737038,7.673572380660734,2.458101031940117,2.802859481994971,3.6425572851595636,4.3278085501136445
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10598634660199,2.952898719167921,2.7167271066715304,3.7274743707909286,3.0305753002558697,2.704754890837591,2.7452543368005933,2.7575634372715294,3.688813825011718,3.69937895836821,4.248197005438811,4.180977595282773,4.6679791029763305,4.8278157856557815,5.407709366814381,6.032492184626214,5.767458963757484,6.619573524501417,6.077586382957204,7.087828536815508,2.866082764788082,2.960578721618527,4.118189223607479,4.7150331979815485
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945014056711397,1.5550285007614957,2.1603998774803275,2.139746067373853,2.5806726228472643,3.472538498191096,3.7421832658522574,3.543791738723767,4.585620140581483,5.423054930273735,4.64148995050364,4.069534940368247,3.758334586617426,5.86100723687556,6.740530020180401,5.389554280620056,6.033359091791046,6.151931075086065,7.19858794280698,1.5315778092577492,2.4520650568426827,2.382588627779893,3.216628681331475
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1631335979688755,2.47319674846829,2.3958545384882077,3.4897355347306234,4.373525476086366,4.504136233997049,4.495018242432079,5.571401160124073,6.4046701659170795,5.655673057524269,4.901827827710926,4.414292291735258,6.882667640306749,7.782790323437367,6.250202264278891,6.804560299095931,7.114430917617151,8.157560105616668,2.1120267841942417,3.1086097910713173,2.5706431805547885,3.4545285139682056
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095205800200806,1.0959063324522642,1.5038327756012995,2.56744513278653,2.9724261510607617,2.648400356330617,3.7146993833383815,4.628295398278727,3.776681257539398,3.3511035011904053,3.1765522426963484,5.061978072051464,5.949303457378535,4.719240199572311,5.457238417317072,5.422218651297877,6.501987448594952,2.571367206470847,3.5364696368592203,2.9682757879399935,3.847261219838601
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7602538629819593,2.147374361103548,3.389106531711324,3.913007025772705,2.840499351943146,4.364398145970706,5.3352707001618676,4.148406466776701,3.1146849053776187,2.658967693402935,5.288929843619251,6.262383216298705,4.487423412521426,5.065486004191765,5.4028353901717745,6.444792258513882,2.7565240236528057,3.8564334784807217,2.613738981981335,3.4914638913113176
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1395278884319793,2.7420781263085425,2.7688291707557444,3.469635339645135,4.047468094082875,4.852813651969482,4.403321154750706,4.310492521889152,4.17371784081486,5.752817841627706,6.550168005637131,5.652443368542893,6.424020245550455,6.2565539888071156,7.33988142506451,3.4731168839540976,4.438643029003811,3.8780212703547883,4.809603328386815
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37601414057359,2.225743163952876,1.4459763074254792,2.260112762035473,3.222545081512975,2.309167102346265,2.627765961613089,2.964968846293139,3.651399420660859,4.479222296922334,3.823614662196951,4.750051018263987,4.219505173651455,5.3045028094552755,3.1915738047344586,3.7894438400542714,3.7493591871125527,4.41989972088386
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0821558667412412,2.256965948919379,1.3803314185784932,2.124364174440023,2.250502980514905,3.6509437185197666,4.214183441220342,3.623729639375259,4.163264664288076,4.595970330155448,5.629851093167832,4.585520599326123,5.61345777437314,4.25942498594371,4.656172795098531,5.024034936156321,5.674481159557914
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321247485850709,2.1423961810146785,2.510298680807707,3.2679309534882917,4.698439595891925,5.178729118188833,4.595661624692529,5.003123907106594,5.677287633163348,6.7068318104005495,5.635756089994629,6.643505410844624,4.794513087242937,5.210838531054105,5.65206606658668,6.3776757974545495
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256948095429915,3.230189072434687,1.4231403130131635,1.407344230920403,2.1695688368250123,2.4737260570968798,3.4608926651117913,2.4112986674192602,3.398297949713819,2.8042810048031734,3.890884460259702,3.5612665481255354,3.940998913729258,3.8930650021220363,4.303276545647703
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081647952695851,1.3802152478529255,3.5781485829891047,4.426336893306353,2.5234148183957514,2.8616498055234616,4.126010586583242,5.211803554619392,3.7200467222614115,4.643481604515007,5.053532792406494,5.241038746002552,5.771914915196268,6.2632975462419385
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1294061450734474,4.496398875986979,5.3941581250673725,2.884300116740846,2.838396232103072,4.876022085263195,5.958400529698228,4.229036422362092,5.01520764756128,5.923392577349215,6.007341273489327,6.721458604976219,7.191654418733408
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.434822280632179,3.4272818148390596,1.3998239098252878,2.1734164528648607,2.7667282634004318,3.8534105555272338,2.3853183734282974,3.37564428887293,4.730320767788963,4.880123346722351,5.233101550868767,5.574472700431199
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086624244266593,2.84902159321499,3.936316174160336,1.389470627277968,2.1460718299869437,2.4391174157029827,3.4142445909154313,3.625806776966001,3.987101328047539,3.530144799912836,3.7027763648297696
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9355985821716866,5.022892188715129,2.155252174660735,2.47891271190468,3.42484452679766,4.309988220445059,3.1771375140145564,3.7295766114672357,2.723623074102602,2.8933640079625196
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873062422150956,2.4399510065255754,3.4134465092822444,1.390425004298184,2.144189273089175,5.697656983482009,5.690999632019832,6.079642309607351,6.239306671733663
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430675352237598,4.31536160549615,2.163707308095821,2.4870083037110904,6.643746534301416,6.557258730327846,7.114017820282731,7.270313644344504
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868703636760018,1.410797200137659,2.1631757557299682,4.788506003165761,4.9180277835680375,4.660671090711246,4.610884807117567
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160551172674572,2.4755193187883804,5.247922468763727,5.357904877796333,4.889173220543124,4.669360957630341
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0867920604730983,5.698852822691487,5.685516570035679,5.817280708147247,5.807698983960093
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.653970071240341,6.554946404870207,6.719909277646421,6.608517938415954
44C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2099307281689209,1.3567958422842807,1.87900642923313
45O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2515702757703067,2.27988134274898
46O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765525124561313
47H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
