,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730113445430842,1.7813160758509998,4.26667581831635,5.017776448533643,4.993858722691855,4.711033780044075,6.364296900275632,6.563386835414894,7.495259210590069,7.604922020452098,8.41829346113954,7.6810232250526695,7.3402488874582135,7.200046470429874,6.1343017927048455,7.792547021567895,7.578926664098125,9.207917548356585,9.707723362017315,9.547091848151497,9.713605090873953,6.801774506294107,6.389139956196914,8.016009790471935,8.383038579561092
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7794844107446548,4.715147514673022,5.643291414780226,5.0530293932290755,4.509996812909905,6.290955172008275,6.591562350320047,7.552566044239458,7.565465005125976,8.376651032541016,8.082302142679046,7.854466890635813,7.768663954731673,6.7245037268996235,8.244895997431014,8.35639720932871,9.614908711482876,10.031435886122082,10.132373136036751,10.023575699270614,6.3189665830826245,5.659677357583876,7.4916485221252405,7.661381543411325
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191228164858761,5.2464664120020545,4.45298169731226,3.8720723083416417,5.845239843657297,6.330534078194995,6.839341386171177,6.706348334917532,7.792786884425012,7.207003829894768,7.120121582400247,6.609690948663201,5.52763046462628,6.981089762113084,7.151718845869249,8.72353200732198,9.30385869006859,9.168469094653009,9.043276169436155,6.1046061627622485,5.48704906125035,7.408506709373147,7.686076858186094
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2287379915629406,1.364134669994158,2.056586514205408,2.4650714304277965,2.525854396119655,3.4966581327102326,3.9710496985492387,4.3679985851679,3.6084197675293717,3.172940326092138,3.66233340075558,2.875098755658378,4.485229766736379,4.214525717549693,5.114238472772303,5.485087941234194,5.564289695336319,5.747748379922943,3.554408484913847,3.878254487032398,4.623498682449273,5.3400729158183635
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2770000786627134,3.162999059472398,2.818767209644819,2.4207482354937664,3.6828907388043013,4.416182060174099,4.406617621414191,3.4664813151696894,2.6950415711024163,3.773610461245469,3.236418588984185,4.763680776093412,4.106404672090475,4.825302429006961,5.0718435962322115,5.142052054693545,5.645646579522943,4.093316369200575,4.6871276812323055,4.904104794928852,5.728899140372248
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013670445794943,1.456068269647386,2.069134425978921,2.5395949836764897,2.8264901382575647,3.4281477469593535,3.149601214939205,3.08989452602029,3.334373515721472,2.6517185810287174,3.915554780736944,4.1810326954640225,4.639840052305727,5.007325995206487,5.308910079415221,5.075277426039014,2.3983352406875222,2.692082919613479,3.5954783875591474,4.265047600958372
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09088738071421,2.879248321265296,3.1077963042530095,3.0713690380896335,3.967570892890033,3.9165964549793024,4.023059570084836,3.913877867163376,3.1404946675735266,4.286605797151051,4.825328471469087,5.369107072217849,5.779144258724578,6.086657012897864,5.649192919052066,2.430680151853785,2.237384064681073,3.7656979536516677,4.237796332394945
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0950238382194086,1.5516831256820645,2.1769565116839,2.135019383911716,2.6176081358429046,2.6460934352309424,3.4253273735673346,3.188724636959064,3.937347478282132,4.337124722425737,3.871065492292275,3.990301778001385,4.722045990178242,4.300600797244602,1.5247862851725322,2.429548092847187,2.386254310205499,3.2190160542673283
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1623690619877602,3.067739389812446,2.4508857514273967,2.843778889397836,2.4719938549315494,3.8863522259653474,3.7290408234935675,4.5834236835870925,4.619567640106664,3.975037317438395,3.8840369125746084,4.733437537159391,4.622324623317059,2.147739214129793,3.1727550660945427,2.5845599635927887,3.4953737046551194
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995731511332787,1.0967258757656044,1.549951526983811,2.157490756870808,2.563810165873916,2.8081252968973396,2.8506552598999293,3.5165434250554437,2.531189219614876,2.7940218033414292,3.495406486133967,2.7831787980467158,2.512280987654717,3.40389225575754,2.9782257652171236,3.8161342004222503
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760515558194981,2.1843741472470968,3.0349263868588254,2.6373787413959575,2.824334983183403,2.5140340933918575,3.6989096486950284,3.0152190971478285,3.4703778694454313,3.9621962783729043,2.882307870325274,2.723081623632173,3.2919794120180432,3.334697634696741,3.9827051555283317
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1771451175140197,2.6886523363120496,3.452415326093553,3.8564433926896937,3.649104512129885,4.303388608877682,2.5500011770193813,2.405105169619804,3.6189009297578836,2.7306495193094737,2.667781621228153,3.7101123586851203,2.5959480353602653,3.4289717541246145
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978166375126095,1.537830109264433,2.1946107390193648,2.181900005547868,2.182633642421673,1.5377673032318167,2.191776241296914,2.1855333666636008,2.1874245597101356,3.9316100366537796,4.8007035021202755,4.397982674554591,5.295506429440071
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1485145743223844,2.5243523295816956,3.0691014502331373,2.4787004993899195,2.1512733745206276,2.489364355381996,2.5172029827081945,3.074947919510162,4.105501851690684,5.04437593768088,4.548722909174518,5.503004846507627
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936427740987913,1.0987666359380253,1.0966774595553659,2.5209424454790605,3.4866885655803874,2.7365819898848325,2.8139637187501063,4.716208190412746,5.297601460546925,5.477817598477514,6.295926270597975
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7710685588185957,1.7723042100647561,3.488291280018882,4.349837493159881,3.7605515622010746,3.8131435172028905,4.457639829610606,4.862300549667968,5.433361293772913,6.205790383047873
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7717325450305152,2.7631550871400017,3.7947201268120563,3.054032407147656,2.6072315925075835,4.996420811218835,5.46310027335462,5.734001100536942,6.460798405528924
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7728074969943792,3.7634922920432046,2.5344422070897914,3.185343441846267,5.714527520930605,6.335380121946746,6.429910391337844,7.287953749563206
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968617366500029,1.0967131709051374,1.098546730990447,4.975975768052471,5.931398625336409,5.1072333683285995,5.974934526490717
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727367361534498,1.7733092516711306,4.9584902090324725,6.035807617906211,4.81290362172859,5.681449552509119
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708174277153075,5.9492217825637805,6.889200802904885,6.134847989506143,7.026807894362868
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.193771840849232,6.042136168358121,5.306994576161791,6.072107743700903
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2139277396967256,1.3478496800353457,1.8765714921659853
34O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2537670028545933,2.291435245728155
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767943842592942
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
