 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024318513751184323,0.024205587806440443,0.0010930259375057094,0.0004735615108939495,0.0006624914396244908,0.0007262092660718089,9.828646694143295e-05,2.7597809464374734e-06,1.7605473655812887e-05,1.0427769572274315e-06,5.051099235320322e-06,1.7180836817676237e-06,8.680403553729121e-07,3.7551681033587414e-06,9.974495688069851e-06,9.222481467396904e-08,1.790082104768942e-08,4.720824271498003e-07,4.7667574554211e-08,1.4884397536718552e-07,1.2333073740045108e-07,1.559136614370793e-05,3.8719329203185104e-05,3.395079647416921e-06,4.828432365044932e-07
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02469953568654981,0.004458037994716557,0.0017948399444147611,0.00031943253026400775,7.315827623255444e-06,6.908117009074566e-05,1.5164986304050387e-05,4.3479439352234195e-06,1.241337977742063e-06,7.337333616241892e-07,3.3198209428153547e-06,2.6756375954839484e-06,1.9034347182866895e-06,3.1321553373153677e-07,9.64827311378258e-08,5.807105418753622e-08,3.0622602009700017e-07,2.2102539132262677e-08,6.24722829023483e-09,1.803169489278389e-07,1.887077893347744e-05,7.291195813774465e-06,4.829090635261046e-06,1.353604536458164e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00068709507507414,0.0003239632793142766,0.00010534555558283643,1.5379239115764776e-05,7.358080465369454e-06,2.6540942890118657e-06,2.8245527339265664e-06,5.307146011546138e-08,3.6890646870624266e-07,1.53282199022442e-06,1.4797770033769808e-06,6.225057782582866e-07,5.169816821304352e-07,4.172764667131901e-08,3.510989721178248e-08,2.7322272644347834e-07,1.2145257688445099e-08,4.591829894096122e-08,9.633495867689135e-08,2.91513890915418e-06,1.266845025438279e-06,7.647880717609468e-07,2.6279625964242825e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723845768151227,3.5069966275227875,0.138369046756596,0.2740525221271308,0.027440406811854112,0.030110690569345483,0.0006984701600261101,0.003176207746219628,0.004597775532914822,0.0055302086070558865,0.007518606124279487,0.009808507912479447,0.00034282299479326817,0.0003725643139196322,0.0008012564405951161,4.7810991680607984e-05,0.00015089385098399077,0.00026782122129742625,0.0296592112992701,0.00672527164903311,0.005653382421438147,0.001332493985601979
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5300134001728916,0.02619181979691043,0.0654561657067762,0.042379411483335794,0.009759835203080096,0.0009277515814295478,0.001114752716887657,0.011208223006654985,0.025263902810812477,0.0017291652674272934,0.0003752347339746054,0.000280157273036874,0.00018124219161730348,0.001436029528031707,5.852362675762279e-05,9.888028362403656e-05,0.0003979904031101711,0.010257977913244537,0.00414608049321364,0.0015736220223032601,0.0003877316501366135
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664546561190687,2.8429407089648264,0.09946088024589761,0.1744433532812274,0.006543425698302574,0.027431143870801256,0.00930845513306014,0.0009546815230290218,0.015965752034761846,0.020495130536330564,0.00030511960913059966,0.0008475353603039082,0.002086460999677131,0.0002338909517918264,0.00039597582077344207,0.0002211513177141633,0.19921084861531238,0.05809140880139772,0.02754632377371674,0.005342712672048666
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952142576455931,0.023441893348466136,0.005649216529606038,0.0009915282354513444,0.00019330327096755973,0.00026254590953378454,0.00012608281084713902,0.00024689060243276995,0.00032410352952250143,2.3063926072763863e-05,1.9353870944094353e-05,0.00011851427160414207,5.998971257969998e-06,1.0486083932503831e-05,7.768586678169598e-06,0.033536080046060346,0.07797668776942812,0.005112757151945702,0.00017625515542651904
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006282663251028,2.801418677295298,0.08288646791249543,0.10399973539519625,0.1575237051060576,0.017681701665134053,0.010194913382494342,0.001298358219493423,0.0005412715635118026,0.0013507703245676517,0.026952815946159753,0.0006066027343389901,0.0038602728262242536,0.00108763729532102,2.6820449906944033,0.2705391990108621,0.212589637995037,0.05345086439192914
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07890058595316984,0.03199860589942238,0.004849166940089411,0.009362050007115985,0.0052923681832297564,0.0006188523533362522,0.00022468365834904525,0.0002573707069890574,1.5628738948558762e-05,0.0006793365387575134,5.377246354254517e-05,0.00010881039557042449,0.00014715589983271826,0.10763733481536342,0.02756675739189307,0.010547853110928873,0.000759340121666563
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0999374870088525,2.017462036562494,2.695820091032242,0.08016948661888734,0.1624883394231043,0.007096148009034797,0.008941566301799098,0.030859844045167728,0.18020341760227898,0.009711278919274813,0.031701159121269695,0.00991528581377854,0.19931600619970402,0.0425136087449893,0.032371067253877034,0.0021141734913420196
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024366717334736387,0.07677376130440083,0.026833641199411673,0.019437941043950024,0.0007090719634190723,0.0061615407328035054,0.0015199922658024612,0.003965622247617873,9.447905615145302e-05,8.003603862793973e-05,0.0013640606646234676,0.010833229101986808,0.0018327013052803487,0.0008914141629741135,0.00014095202863284584
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07852339754554194,0.0012153779769317197,0.023399688422931053,0.0005869475044788519,0.00024435819174661866,0.0015392403814802336,0.024556069315703866,0.006857443363707194,0.0022162930992608576,0.0009081475575212217,0.011225652965048294,0.0019165694354078555,0.015004526094775539,0.0003105635698814613
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083405002444545,2.6924106538718866,0.08341261562768953,0.08160429633458577,0.08549491974769174,2.7884078391288605,0.08203409307726384,0.08499743741349164,0.08211802094383325,0.03121153091950718,0.007816667380753858,0.0053435157286677165,0.00042306181423468203
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08374635554167664,0.004096106172327918,0.033949864272766694,0.00474530003729412,0.08454794669183863,0.005136691264456372,0.004006214996989055,0.034408277754416794,0.0018339828909452738,0.000420911301109439,0.0001631335684362245,4.6882384403756916e-05
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034681833038682,2.143000120025727,1.9962177176208258,0.17411725072376416,0.03126961414654339,0.01059510798099006,0.009188633601881602,0.0021360782276279022,0.0005169827485586032,0.0008735071058144223,6.447167739864756e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023814547631856087,0.025450340023059015,0.030907458261548948,0.00288795062215752,0.0008970750990997534,0.0003901406989421652,0.0002175930734558129,8.988857840319664e-05,4.273395605358665e-05,6.92737749963257e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02277021926162348,0.010916201787741109,0.0007327015160301098,0.00019039858565417234,0.004699493911866748,5.9437601529488404e-05,2.1090460801453936e-05,2.1544619221325334e-05,1.222293572800126e-06
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009451280168668807,0.00063635839626075,0.00447618021405205,0.00012744384396912167,0.0005602230648309448,0.0001068623020963333,0.00021492637917641666,3.3679816782150596e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9207414212965679,2.0014242118519263,2.1345237657665734,0.0053001595341776175,0.0017682124652317333,0.000679487340256496,0.000143736325304622
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024302782355247077,0.022627972747588876,7.04361790415664e-05,4.0844800740402754e-05,4.26088987715012e-05,2.9487490105228886e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022920477921193116,0.0012889785340408633,0.0004913882808968983,0.0001341810251023201,3.130561664899112e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015215554980363422,4.646724171553096e-05,1.6465498350770602e-05,2.8211166671621157e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003451074857509,3.490285272526427,0.16885243146365914
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515877358914667,0.06626149136288473
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705920488180241
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
