 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,O18,H19,C20,H21,H22,H23,C24,O25,O26,H27
O11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543326096589957,0.02641445776186835,0.06642493598740469,0.03113535066173101,0.021362613633410327,0.021606554802265032,0.00307739709274827,0.0003449784600153549,0.0029582062642254936,0.0010295676796768793,0.0004772387443334747,0.00011513669029572515,0.008510796019700007,0.004071527582114293,0.0013340778726613628,0.00024083338237834706
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8210442645449332,2.5127211443006647,0.09890034132776837,0.18123248391038016,0.007744292024861821,0.03618085231561807,0.0007963322294591846,0.01866505041997593,0.012188421180758802,0.0006796412306528943,0.001440076763436382,0.18961012694612975,0.05675374769720208,0.026486504175803796,0.004856933205726777
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09950124449842856,0.016658591129681932,0.008972852511977214,0.0003169750583522646,0.0021936752860652886,0.0001863881242232246,0.000706196444835494,0.0007706476479536484,5.171059814568224e-06,8.749788641160272e-05,0.0339138127937606,0.0790507778701266,0.005692703131379817,0.00018296382052951365
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9933262585667844,2.625633210422854,0.09844087343017804,0.21631677667598548,0.010060952925775135,0.15143739924309707,0.00603608497339625,0.00817569119419681,0.03222749789319912,2.4998487898046196,0.2788193124357957,0.2139995043248625,0.05188977696889607
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08609478333100251,0.005729637169424873,0.017701622569469055,0.0009907622649143466,0.02563618321434802,0.0014755745070154092,0.00039195083690124477,0.0011524441972161625,0.12386280673708128,0.033738664392361395,0.009960781542862951,0.00041665518685940484
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8309860813549603,2.7398873847212233,0.11242242383745993,2.8043069569902155,0.09708421525417843,0.08851223038951872,0.09648078157490758,0.18909829904250644,0.045467008660227584,0.023023544565121748,0.001778476198310508
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09967110029129189,0.03507178524578092,0.08609198973261323,0.003223253559281325,0.03489094087705902,0.005892294865221359,0.025273881574315205,0.004253519172403908,0.002434711342624629,0.0010208465393910515
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6875701340505218,0.21263414965795857,0.03268247837965843,0.008804677837137787,0.009144769106449235,0.017742156069444348,0.005804016895897213,0.04347495099972942,0.0042239839833218
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013155438727623814,0.0007372586734597508,0.006281514901745222,0.00018248604229853527,0.011735241394369322,0.004064376320446761,0.11405229337617007,0.0020132689711285234
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7264331535213677,1.8778019583985843,2.0949029974957667,0.029819817874378624,0.005130044660974095,0.006671442502687822,0.00038493683972307124
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02455110162339147,0.02518038977108783,0.0007325439766789898,0.00017312789046197707,0.0003682339299491133,3.355609908650692e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023894993352884253,0.011975646185981681,0.0010361408897681113,0.0048682025468707035,0.0002849412586223288
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002859199982469196,0.00022269755765791377,0.0002254717145895313,2.541253680643507e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864436034647337,3.077941529007258,0.16563121919698642
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48818247498400547,0.06806675311767696
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5002529957796984
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
