,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18O,19H,20C,21H,22H,23H,24C,25O,26O,27H
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2751157299785003,3.1716530244326404,2.798580064244504,2.574335832246779,3.301455173875454,2.6744912894788055,4.182861106762421,4.830488571446699,4.393546159316531,4.2447711705357944,5.192904661276584,4.980265543604913,4.208513853577356,4.803709896716297,5.094840682700164,5.944796814010376
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0134130141506141,1.4508537726488187,2.093545251065214,2.5128521434889244,2.633306467786958,3.7268529416546055,4.008112214284357,3.1290601658793795,2.810921558182081,3.6128366225823947,4.071280606639281,2.3945001239949626,2.687739328723984,3.6134157473909965,4.27777719275034
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1030353228420346,2.860634065688907,3.2062487332309133,3.49642963701334,4.429999059639218,4.5495215969216165,3.459482183184939,2.960164506530371,3.733729230277775,4.475694874656165,2.4197998465374133,2.223507169049232,3.767109400293596,4.22909605176662
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972502196427336,1.5676052900463742,2.1242720205241374,2.4590106016564217,2.6220538444788026,2.5881265963865174,2.813018615600875,2.905050629128876,3.5251694604315813,1.5181717092646723,2.4309697133362524,2.3883753353766006,3.2194914635437124
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1408065688696185,2.4388318540714757,2.5494664701967324,2.779748507526035,3.482449442015506,3.820116804712646,3.8220031290901186,4.286267561821728,2.1438277919010975,3.1286760689762816,2.653523417202684,3.54244952310767
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932218670012208,1.4161614509045435,1.9464630470833235,1.53000735655331,2.1817250694528645,2.185053679543164,2.1583452879887077,2.5636056711423048,3.536398624304161,2.9332792968832067,3.8091657275466173
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0028965500161573,2.811947111165078,2.1608765345299195,2.528021129298474,3.082462060930501,2.478539889557546,3.4492816366356913,4.358807191780137,3.934592116586333,4.842475638706253
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9717219532386289,2.449895603440704,3.3945199145777667,2.7489041998476957,2.702477974651882,3.112616227164141,4.262421777748944,2.8374353999671897,3.7328185233582842
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6614866815522014,3.6487400846362377,2.554571206830908,3.0429352443391284,2.761481745295397,3.8910093134793304,2.1304608298722543,2.934206940925629
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0956602428093518,1.0984917793496698,1.0942709147207101,3.0331785170755525,3.6561077667594932,3.449166983023909,4.074598172631186
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777014873977759,1.7781442229066997,3.2984205338623402,3.623398513517288,4.054742467910564,4.607432057488499
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7708483151704217,2.7716789552031287,3.2779682400280015,2.958709500612909,3.3774734080132314
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.063856907935729,4.7338213753383505,4.293090356520003,4.920305352185369
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2120399546196472,1.357243485468939,1.8844440169545076
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2515342933351765,2.284351876082503
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773428068374189
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
