,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0794967416930943,2.2118841816214356,3.2458462671080532,1.3818650560789927,2.138325823439958,3.961733628017708,5.0676414327968935,3.421376112099945,2.531750697778778,4.346544685566471,5.2101771780593085,5.084929061429809,4.567432632246222,5.872173276908414,5.946543102732007,7.201145132792966,7.582122091779577,5.832811571280827,5.050967991158578,8.16802010233505,9.149925605994504,6.981148162491082,7.20677731101481,8.073617193965292,9.215210570549607,9.905915913725893,4.170250062074086,3.3337769278908023,5.473370181836872,5.611913522922457
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2410889761088915,4.228056561806496,2.162736451703197,2.5584123218876758,4.086830685670985,5.047682584318644,3.4677535222989455,2.730738811375916,4.10293819677534,4.946208087848483,4.965072471404048,4.513989105888761,5.5967568351677635,6.039536738062295,7.228284152546164,7.458076735234538,6.170050986633109,5.494000918551168,8.320202188693802,9.252933118576312,7.4112271446483176,7.771447130211046,8.402733039490572,9.61893846519649,10.242366898349372,3.5680969846428776,2.5459507813573006,4.7824888401607595,4.781910368243438
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824670169263533,1.3669364955209335,2.1309727893943236,5.06864077995665,6.2885073946572305,4.574843038935847,3.6120560874451724,5.672166953054715,6.568219802226289,5.989026032902875,5.291850117384148,6.91586518146058,6.4643272999606225,7.804553679048711,8.437685752472358,5.868481929722837,4.875610282978053,8.517425045558733,9.575273993235852,6.772452306502011,6.664412408692479,8.063854461759652,9.019173376873395,9.847912346490618,5.897596003818729,5.2678193510910925,7.21337905852535,7.47702115065922
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150562151752286,2.5533009226463403,5.998777591789449,7.223883902195098,5.466198314539217,4.508891186091077,6.521001350507395,7.440870640533668,6.647664300808291,5.8655671258073845,7.569034216187614,7.0156479591800665,8.37211367653752,9.076197273494916,6.269374027530227,5.218742873467517,8.99772672208781,10.074233442344681,7.066081998638633,6.818165212354168,8.418480321477846,9.290120292113196,10.167633510453937,6.7993189979552975,6.201403580988626,8.08639711892424,8.35576497513655
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098635246808887,5.002434127708773,6.17811054678263,4.3070271781178455,3.3071834261668136,5.177903187366558,6.145169443763526,5.56637557219795,4.823228570183391,6.361545037090101,6.343651222665245,7.694157585876476,8.180011591866846,6.021289482945657,5.078899653754857,8.596880648536468,9.635906422223867,7.125630551587728,7.205495720201423,8.349480075369748,9.44153327544655,10.210553286660087,5.0746440465774025,4.275120458053626,6.33859409149536,6.466953411340207
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.808905076020598,6.956415026770329,4.9689300641490535,3.976342883277218,5.6363913708988385,6.661494796326362,5.879189343044912,5.025201579541126,6.560871289129173,6.766070475253181,8.134617438874715,8.576626300962898,6.501301291663279,5.542385373278882,9.09528030925942,10.136916398990271,7.6562558266547,7.753704618860366,8.886785956320676,10.008868503854538,10.77726133829077,5.354559377874642,4.489430843080777,6.518544361021828,6.541766827816675
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.226892188847063,1.3735898776410485,2.0522285603400743,2.459046866821423,2.48829765006542,3.648865812824332,4.052299922980339,4.505192773807555,3.876557000876383,4.585152880887996,4.910696275932205,4.080200662382817,4.030644356834858,5.344089853394541,6.119128347644305,4.915205273748421,5.448711311955717,5.490316452166659,6.5656819075915465,7.025378146102361,3.4031491643255785,3.7167958586481915,4.454397517580088,5.136349281908046
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2799805861443883,3.1537687251103392,2.794387930606364,2.308281244663986,4.04602316071119,4.704848217983627,4.71609604594396,4.164613565290732,4.509972156825032,4.650994263961789,4.606451874971806,4.813406834597407,5.209153122361412,5.802829524132428,5.294723188507794,5.942887983551845,5.5680371831561315,6.587926223651393,6.8899886409378786,3.715086128561355,4.246453426019696,4.469785320184328,5.196166123713215
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141031760562835,1.445128104437437,2.0447627744386105,2.494723758821139,2.733142853210218,3.407861210990636,3.0555841945507978,4.045105857754154,4.381299059464115,3.3648629834097044,3.1838222030393992,5.0251592444329845,5.9088190966347245,4.491703691729575,5.096809720225424,5.213659638255661,6.4375801311355785,6.952010074266971,2.4524390421300137,2.81033634258191,3.624532236758153,4.316188334388501
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.118154728114905,2.9563988074980325,2.8608669190717544,2.6916319510443873,3.80861351752624,3.5306039046504587,4.713201034317849,5.130935889248024,3.5874344028669025,3.0922271228895686,5.676416201239689,6.63366130342662,4.775417641957502,5.232071110179112,5.704290314122613,6.911298184658996,7.5208536293119375,2.73895400461708,2.7139724438663695,4.042418869890425,4.592842318224783
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093410238370051,1.5582337369288424,2.1709306124907344,2.161528592659657,2.5631852082406765,3.3669820535884094,3.4080461228604055,3.437577852459138,3.5265286076271254,4.601559611939661,5.388081626759637,4.6537089217456264,5.475630361421466,5.135427740964307,6.458860344865848,6.841502097499253,1.5283456062553236,2.4488275360035465,2.3806497600744594,3.215987731538511
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177948123172764,3.0704640140458563,2.5298955171052744,2.767013435943984,3.1184241275406976,2.9659452458384874,3.7935888560881517,4.136777799765491,4.286867554638009,4.912676673564773,4.804430358238523,5.706941038441133,5.0094865436332645,6.277366724237883,6.527161689736901,2.135746140005242,3.1791255457808463,2.5454332414047864,3.458887561756357
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984315593327258,1.0958518577402308,1.5120549202981362,2.531344889357539,2.733599804206059,2.5428913085711513,2.747523062966846,3.821269171523711,4.687898780693924,3.8285618601396383,4.706919310043684,4.3314410067215166,5.698314721993003,6.111094194675717,2.523554735139184,3.413381365115682,2.9971806691932574,3.8324208604006276
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.762083879022169,2.1541445086993827,3.3915283605258364,3.7238159282830128,2.6854259904000797,2.4812824753762475,4.561434760751268,5.505989332648725,4.059015182102067,4.766372638896351,4.829715177006537,6.163695130145596,6.693092513237517,2.7788605505373396,3.330789927361514,3.446322844842814,4.102369389756364
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1523655322446613,2.6940811759945147,2.508461740039814,3.378802783765867,3.701966808125514,4.062935971192364,4.762131012062137,4.548730935201556,5.495631273200853,4.8239011687697655,6.174806211786301,6.461915480879707,2.6560304721645203,3.665000079240224,2.6071307694550203,3.4134764132026696
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4001648570441034,2.1570605134499754,1.4026108983519572,2.1562798881841663,2.436800305581526,3.4198258497048832,2.439074202105564,3.4270640408667012,2.8195267113895492,4.186435665110918,4.619405560414633,3.884881572650936,4.78565850645186,4.322814895768258,5.2285575350941285
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.088255775786977,2.400712230967684,3.389663222155458,1.3946925494143931,2.1571916616455975,2.78588069406481,3.8715048916018713,2.4174609195879064,3.68759278419883,3.838170307648331,4.648496205646576,5.712402930921122,4.765860253802757,5.718221464863292
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.392218576227512,4.296649231750382,2.144816495501985,2.46773087447844,3.8740675275234633,4.959632744617459,3.397597372753448,4.568636385565952,4.546874852500364,4.463765561380572,5.625313470579619,4.283015539506171,5.218362079483773
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874914874456048,2.7818661894102474,3.870895672109561,1.392248472291013,2.165276588673346,2.4138506162541202,3.6431444543209133,4.3283222921113165,4.793135710891921,5.476352551800617,5.476909939759406,6.33519834292839
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.869318609028093,4.958354351996409,2.142306503210901,2.484043966831031,3.3942218334961094,4.506569824283158,5.2783481552504,4.724255441478304,5.182523455535397,5.5970590413472525,6.362456491571778
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089042577889783,2.419364613923084,3.397273360240848,1.3989503721583085,2.4291751210087185,2.4544521555439744,5.972506162843922,7.00286770685658,6.136794974920067,7.096777515162833
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407933281058944,4.2967596621076245,2.161097356208277,2.6936594328771175,2.299574396833052,6.694777309882897,7.789427102082718,6.695269046215005,7.6502181231574005
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085707136964393,1.3991701886662384,2.365902143688686,3.17569867397901,6.085872464808245,6.809260550350793,6.707280939490388,7.605352086799205
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146709538465004,2.5707729373109878,3.5185023937672626,6.884182503422351,7.489776190860129,7.61552937866639,8.484914486034501
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3678527748595142,1.916868097570493,6.591045268474105,7.4810552092902975,6.99053523878167,7.938342850769402
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701453664275435,7.93411176296202,8.812373543023579,8.331381883816945,9.286003268106986
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.294234163230293,9.25186465957972,8.560401193674304,9.525767728882757
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129321002955022,1.3532306298240568,1.8796022047136731
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250898348703318,2.2830532644532515
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765581126443366
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
