 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030046201181072263,0.0008845762342679642,0.0982921787030604,0.004598826387330668,0.00011190318751430617,6.437961591598818e-05,0.0009602892489769532,0.002145109192050798,0.00012531076446808953,2.3015926507996554e-05,1.2971464039890357e-05,4.131748190694395e-06,1.554763668476511e-06,3.207108200120601e-06,5.215052867324488e-07,1.7331075463644652e-08,5.559584853598309e-07,2.997036596674718e-07,5.401958573791887e-07,5.872425878905574e-09,1.7987195422008995e-07,1.2067946864036116e-08,1.0049560250635636e-07,3.205861032196111e-08,7.371030452674177e-10,0.004139559168694795,0.034263001230785295,0.001387025376383355,4.070979192105639e-05
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033034220014919,3.4326657988219305,0.11591223782468874,0.0013223118459925465,0.0008221480431949008,0.00481902932602668,0.007530583978753169,0.0005095980753543061,0.00015845253490021083,2.5203336490475792e-05,1.0791817185884511e-05,5.1208961990845125e-06,8.288838555414735e-06,3.7491701239400488e-06,6.603668887272818e-07,1.306632642707195e-05,6.0521051115980384e-05,2.0510513620841664e-06,6.671387953183228e-08,3.059878964317697e-06,3.638495356117488e-07,8.973153290403602e-07,1.7984606283383275e-07,2.7406416025499425e-08,0.00026715131804730397,0.0008551029772331936,7.668721776316056e-05,1.9435601180783912e-05
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10083949934500791,0.004636442809372587,1.5335652420622736e-05,6.837174210350128e-06,1.223322724053233e-05,5.052326499921378e-05,2.6382027897842164e-06,1.3208585003532392e-07,6.506126131178291e-07,5.068450037448713e-08,1.4336688014537913e-07,1.118838319769111e-07,2.307217195074429e-08,3.881625687540691e-09,3.0404675022133176e-07,6.265844287867139e-07,8.659779449082805e-09,8.224729786121543e-10,6.78898977035658e-08,6.449509593053904e-09,1.312770980810285e-08,3.3232090412838033e-09,6.209985858873779e-10,7.822998248974145e-06,2.9468190210102385e-05,2.4905248837692184e-06,5.97771113719503e-07
N15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9392037875903951,0.001006546871947872,0.00038197408257849286,0.0023601685733036504,0.0030072106408409738,0.00039696961724330904,5.8639877913102545e-05,4.858934457598052e-05,3.143099735147814e-05,2.3150440555674834e-06,3.930209577784893e-06,1.4541620980967895e-06,1.9048305688329492e-07,2.633975107316222e-06,3.277013115088323e-06,7.510239797281493e-07,2.7681869907425494e-08,7.777767154076853e-07,5.852487450219712e-08,3.326956295734984e-07,7.235033872010632e-08,6.189292744984698e-09,0.0003478445524789653,0.0016620270997404624,0.0001371316980354198,1.7068322444413475e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4549576755840121e-05,5.52172531098627e-06,1.979633776272305e-05,5.297430863970831e-05,2.7723745230634478e-06,5.318530180709047e-07,6.266227439155614e-07,4.890072637930842e-07,2.500792595228063e-08,1.1755538553703815e-07,4.145836862701202e-08,1.7461923018657899e-09,5.77112800881352e-08,5.304122163707348e-08,1.7261741369622996e-08,1.837671126381224e-09,5.335808128670294e-09,3.4448000008069357e-10,1.1876600036764273e-08,4.223731364660921e-09,2.6890156767933604e-10,6.0703947061258035e-06,2.91857031657905e-05,2.49664549090145e-06,1.6024700988381824e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.528146026890144,3.5088152562003705,0.1322976216984354,0.2696830392454136,0.027276042528691313,0.03421423096409351,0.0009830979225724512,0.004011948127477405,0.0028365432997660422,0.0006196163746741978,1.9317970999521705e-05,0.002787125276421887,0.00045137835789166303,0.000302774657773508,1.8091887818982855e-06,0.00041147955252929247,3.965815970063957e-06,0.00024161032272634886,5.2321393325019394e-05,1.8829152654831205e-06,0.032216168077570884,0.003851824615907329,0.005855632290255097,0.0012867125406526014
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525502205819177,0.024980445758447378,0.07330182515176897,0.06045119819434619,0.009609147575254613,0.0013931038264832774,0.0014466431826772874,0.0009654994902910247,0.0003653240545998526,1.4058723906029691e-05,0.0014487914487447615,0.00044678586269308873,0.00022835713417115877,2.101859200687173e-06,0.0003380924682856029,6.603599732590837e-07,6.739436419146705e-05,1.2686272434898893e-05,1.0388570582664514e-06,0.010892009237169528,0.0019748104749131995,0.0019402084374965586,0.00048010450139468475
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6595096424641982,2.8528129192136977,0.09817597264200129,0.17815117723935503,0.008441390521405578,0.02597804953128846,0.01804626991493244,0.0034679669972840638,0.00011551310939550419,0.014739386150287498,0.003681741798253757,0.0016046765854765277,5.091667261369892e-06,0.0022453725106019867,2.407172502782995e-05,0.0008896779804562355,0.0002345819935251764,4.958435220081547e-06,0.19591417988210943,0.03330657109651816,0.028664222365761646,0.005255149284042249
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10226582004651186,0.03155546164062151,0.006197162280295987,0.0033938397654760255,7.868477793149253e-05,0.0005501161420702338,0.0002445078749426788,3.5042867812862255e-05,0.0009588508434799081,0.0008431052307489306,0.00012541752520245364,6.7394656424468735e-06,0.0001282795170777229,4.896448288160826e-06,8.056262067279718e-05,1.8115326707479618e-05,3.8086345390819787e-06,0.00833101895555921,0.012472419789361755,0.001179386930252213,0.000100612066218142
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6067062770679446,2.7283643827753434,0.08390548356432359,0.08876881272627135,0.1709611912771122,0.03488267895724051,0.0008482420167583715,0.035952243231097594,0.0007743812700153896,0.0043483980392890614,0.00012130724256542713,0.004904561892725756,0.00016252266106708824,0.011564595236355779,0.0030230687813437435,1.942886872208227e-05,2.5162647208124826,0.2725122128181027,0.21444744568108834,0.05389465190086584
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08161227079221478,0.031039510123202607,0.003689950393439334,0.010823852478083595,0.003834206576747823,0.0009161753543207585,0.0009720255206997486,0.00023496985863280528,0.00042508615967273844,3.8122548998931194e-05,0.0005978237263359887,1.5966656119248412e-05,0.00037528441664957946,9.599845408847507e-05,3.426738005574137e-06,0.11144178185766163,0.027743186839924494,0.011555652105733949,0.0007401416555241624
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6795648729540795,1.9969890092827591,2.6452353437069904,0.2390009236704408,0.014250136885860964,0.23233349082606886,0.014481911890232846,0.03637543813167303,0.0023570872918827757,0.034991398080517155,0.002435814651245982,0.01984777756077885,0.005355714304462383,0.0002741621597895927,0.19304058806668212,0.04155381118983592,0.030650319431494155,0.0019842634070044163
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02465437764717926,0.09418693784839571,0.025599430304892312,0.0007199281659253653,0.016774557614036456,0.006196833956279679,0.0028825937776393307,0.0006560343401589286,0.0015621066239193127,5.494147810769512e-05,0.002035799516200365,0.0004915378832681672,7.208086521726109e-05,0.008723417097979524,0.0017642656065210982,0.0007992043344344779,0.00015167524985226777
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09585415470508574,0.01712039031082857,0.00497864715780949,0.025639400113496524,0.0005594147355827417,0.0017423519582226987,4.9009178304970646e-05,0.0026929840178830933,0.0005609802793899998,0.0030990433006443663,0.0007799709627912543,1.2658418130584437e-05,0.012035847585628368,0.0021693784809089234,0.015166667298089131,0.0002701904840771707
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.652073141214072,0.12390793003142786,3.793423477906636,0.12498796785120869,0.3270520562435437,0.025670639459714595,0.3286748518904351,0.026331222606212012,0.26419966830959407,0.05529859532950533,0.0013819796194725065,0.02859366953228093,0.007344529412740192,0.004634448201620303,0.0004289213549641957
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0678567264101044,0.3381293154508366,0.02889853282803001,3.7178928426268625,0.12901172909496195,0.3081594618900243,0.003955674114804797,0.3446338314201114,0.04522614481944774,0.0027498623703412495,0.0050840791620988535,0.002001375804918229,0.0005749181425737937,0.000159120998796336
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02923092728151111,0.0017112305332556144,0.13101281295837164,0.00856289111889108,0.0035555459939780043,0.0004253975875800897,0.026685621909001478,0.003200588900458934,0.00020720786349981424,0.00025090779151315523,0.0001136112833372005,5.880896542276304e-05,1.6748658682175233e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9907889420108,0.29460970442725837,0.0039800235206983725,3.755338300236461,0.1300404046856135,0.3421124971873136,0.04219899161360091,0.003925499349335504,0.0071198346131721435,0.0018600371559998746,0.0012149146910348796,0.00023007756131976365
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035284000281183836,0.0004134000833995177,0.13408705534483567,0.008568198596032195,0.0265420112289958,0.003124196152508474,0.0012984794669459454,0.0002188295529890194,7.048475487614336e-05,4.912823733960181e-05,2.245299760339492e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9823249980744884,0.3273764571344113,0.028246984579473056,3.796987088201398,0.3093414144050093,0.031217741515621733,0.0009576861214219412,0.00038265285707791974,0.00012236008145184718,2.531018008178343e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02763331233124733,0.00191361707958837,0.130798973748389,0.012901754735582527,0.016992427865837767,7.097400839595203e-05,2.6216496349595886e-05,1.0264607596344177e-05,1.8174706164497678e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.051220171510052,3.5711073639628728,0.3043439981205495,0.034194599671323656,0.0013132619815401092,0.0003173554435875192,0.00023457201966621544,3.811213269300229e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13385714380857316,0.012405101014805298,0.0012791723524387955,8.950854118450202e-05,2.9421038611365802e-05,2.8120272783871414e-05,3.636526622052827e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.061921247030815,0.1392756068177149,0.0018327850452751204,0.0007178063183166661,0.00016962620317567678,9.013549115810537e-05
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73188939910826,0.0005241001536827605,0.00020380347996208636,5.307624235678654e-05,2.6557143515737458e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0113961943059024e-05,3.913365307917083e-06,1.9738308321137765e-06,1.6253925783082934e-07
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.191659457054554,3.5443995449099943,0.16731672606732906
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513827980627319,0.06723049821918281
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5914732633443511
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
