,1N,2H,3H,4C,5H,6C,7H,8H,9O,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20S,21H,22C,23O,24O,25H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233059440757804,1.3568666095828128,2.038183897676663,2.436735093656729,2.5889002768635803,3.7194588595499107,4.553651257401657,3.8730093524888445,4.555518503745645,4.785314761865382,3.173810629904183,3.3940937282221624,4.241079191496176,4.863309683181048
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2776224737314434,3.161323609076386,2.7865336674149312,2.4871590562631187,4.220198569622103,4.8447987232813965,4.389823252529336,5.383576507118519,5.510033924574003,3.3253198884828787,3.70363229829179,4.087564695520865,4.688162627916939
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155981411442745,1.4391857011419233,2.063895578770023,2.4723686484881267,3.402188197679459,2.7364399232497116,3.2044648855104705,3.523096609706964,2.459257500672017,2.8262640141125637,3.614318967816878,4.315940151547754
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142014649044051,2.9521964309628403,2.6649318415818404,3.7091245041265113,2.870587463545252,2.7865557690913816,3.2455009607542085,3.043160732585653,3.1736160062396674,4.279853003580005,4.9193618153752485
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095820827692305,1.5421923715915917,2.1676877663847796,2.1597661910242296,2.868918838293236,3.011669113691926,1.5353899857930131,2.449310718642224,2.3772384513508737,3.2166884280177435
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146761944649792,2.4777276720088417,2.4387503498684495,3.800070546636898,4.013408491616572,2.124927217123072,3.1836994607537923,2.48450260078595,3.40667838979184
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0925229878466067,1.0938496246164406,1.8426517204097377,2.418037079437521,2.530041666134978,3.3961006154092064,3.0258200652610894,3.8621396230056972
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770463954126326,2.4433303457718187,2.712102006968182,2.7221104516060586,3.714827812852655,2.7040700084958003,3.5160433606111807
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3637733096832485,3.3124175454463898,3.467221286928732,4.350313418405651,3.9391624801398963,4.8384471921154955
20S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3510251542608194,3.390669483674059,3.714114552600875,4.1384159006023165,4.710780997103596
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861950816969711,2.9172242651111184,3.5524805556012544,3.879783710516241
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208268759443795,1.35462260369562,1.8815154057428751
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2578681399961447,2.298721130165013
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764943605678521
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
