 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,S20,H21,C22,O23,O24,H25
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.896628295750975,3.645577740664499,0.14265649895412047,0.2801616451397718,0.02308609156986763,0.03331145866840443,0.004116893859513748,0.0007459493974131259,0.006118294202639124,0.00012025203208310131,0.0398199105884825,0.007577152752744926,0.007093116501592417,0.0010948069710834396
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5478727084138184,0.023066705244982777,0.07360471764592438,0.038274112950193784,0.008282721083524264,0.001030616947835794,0.0005083581434911499,0.004575455053372042,0.00018922097479245892,0.01761350150846555,0.002517273511511854,0.002762773187988843,0.0006246912836340712
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8572293554369308,2.9242109587008294,0.10393237650784348,0.17521114099097507,0.023363427218154653,0.007519007699772207,0.043022711711789355,0.0008018323931726634,0.20038234212613418,0.030302701822948253,0.02990852794097354,0.005139738781121395
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09944338726622193,0.024217556980206556,0.01306060858516056,0.001267615616542983,0.0002536471110134997,0.05992056205126417,0.0001507545506018726,0.004493323299939234,0.0015200781918112138,0.001250986642619023,0.00041178713777312304
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9989289932672367,2.8290999439480027,0.09642168573466692,0.09351162370078647,0.17720428120298007,0.005833409476462936,2.7026382936363587,0.27167775180821885,0.2236846344273523,0.05454839576269721
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09325677804065635,0.00358036764588876,0.006518081887580296,0.03847753197421888,0.0001434514125464581,0.11113655943086886,0.02761014175194154,0.012883888430262336,0.0007605677419315615
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0819803998428137,2.0897323633142335,2.8755033764725026,0.05210485992584668,0.18836815751081012,0.042738439910026016,0.029080109858850775,0.002007480400326722
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02737886041344706,0.09095797547556117,0.003469366159767562,0.009616035451063043,0.0016984334005564206,0.011558978133014208,0.00022101855716072372
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08711807705190511,0.026723406902158242,0.029326560308606586,0.004924423248242382,0.00341846246015054,0.000466669601979941
S20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054060610949147,0.02660199704698732,0.01280516052615106,0.002960517504226934,0.0002865715831735782
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009255540288917397,0.0072490256916100115,0.0003321351710701137,7.044380797438521e-05
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.077183143561635,3.4460024249354424,0.1721182758242833
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152967787057392,0.06548887961980232
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7844411464698018
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
