,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20C,21H,22C,23N,24H,25C,26C,27H,28C,29H,30C,31H,32C,33H,34C,35O,36O,37H
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0080457462139345,1.3802932541519173,3.5769044446710314,4.4254927119474345,2.5234806756160495,2.861792241669488,4.125305759756707,5.2112594692105665,3.7201349662836245,4.643711542690416,4.831381355492563,4.920663361733973,5.505375943193575,5.87182057330402
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1294311736365086,4.496346605596119,5.395111595389072,2.882267668133024,2.834687665446312,4.875028259548541,5.957477009852139,4.227482738655287,5.013081575938907,5.717101644193771,5.692502320973199,6.4641146990637335,6.800083512082464
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.433933930545037,3.4267931239066307,1.3994145150823014,2.1730064121549897,2.765945926991208,3.852797270627011,2.3851245459959514,3.3755113097670586,4.599960857427403,4.731859097956617,4.983612937897947,5.211970767889169
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08665544993391,2.84840025988364,3.93575632058899,1.3896294754028395,2.146228527887805,2.439466287098117,3.4147877311393566,3.7243923638269467,4.207872860988298,3.4240477725198195,3.5670486698957427
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9350019355482355,5.02235613694418,2.154880981496216,2.4781415417648063,3.4248357018465123,4.310080628424323,3.394671517604012,4.095419931208562,2.7534237380432396,2.961758376269786
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873582276286387,2.4393650866470327,3.413164848053466,1.3902863399029586,2.1442870845106,5.601375293917111,5.611985728827732,5.81995298046871,5.858237839400676
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4302403997919018,4.3152944514782945,2.163489730287217,2.4869919133721843,6.507250110677274,6.407003031257367,6.827377466370057,6.844967812216918
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870341552736884,1.4108869782445648,2.1635864405011107,4.8765646897042565,5.149917337336344,4.521912139307625,4.42484479685805
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1607691575438377,2.476171168654191,5.403396591727914,5.701945139158496,4.807780582204761,4.579856444756075
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868297068390145,5.696066732290812,5.77414907352047,5.604690658191139,5.50151903903977
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.661655002497662,6.6670959886860715,6.506982240216798,6.301992131858538
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2127675484371567,1.3499595157505233,1.8756158514619594
35O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2541257781011863,2.2886269788208686
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766220118703925
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
