 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,C20,H21,C22,N23,H24,C25,C26,H27,C28,H29,C30,H31,C32,H33,C34,O35,O36,H37
N12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815300676094037,2.5835270623912328,0.09839558320280306,0.17543279995166955,0.02580527974635216,0.007960317562889396,0.018877016358126303,0.01752603468361115,0.0031991464550811255,0.0018214173059794836,0.002272552344725523,4.15982647616886e-05,0.0011035789067953827,0.000715575334312768,0.00011497672689708693,0.0001789128254791883,2.547985544332221e-06,0.0001564918439016516,2.626351867540677e-06,0.0003789990165292967,2.695659976570397e-06,0.18843577872547754,0.05628036164816161,0.026773046306970326,0.005053498457756156
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969333329901716,0.019532130183671503,0.008373421398500613,0.000489597485453741,0.00017142479332332705,0.002051132044367132,0.0017975363010531709,9.491716790499538e-05,0.00012665809696466024,0.00014170507871247295,2.7338264976251025e-06,0.00022338061996429737,9.958796720666019e-05,7.1168965882772994e-06,2.1660110720023162e-05,2.4305950141467747e-08,1.7418247818756782e-05,2.023431873166004e-07,9.068422799429765e-05,1.0478226797339119e-07,0.032900807318244296,0.07817667928775518,0.00548521911774047,0.00017474985782794938
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0836587169380154,2.5674107977773772,0.09090124664646404,0.09786809475611147,0.16502529762877027,0.05233104547062234,0.00041352859997156877,0.020680519992401475,0.013602757186304049,0.00017800518221000594,0.004460258319576277,0.0018779879703796354,0.00043283425853135604,0.0007379468667125799,5.691300813714939e-05,0.0015633807866273497,3.81995824083603e-06,0.0007884071259096626,5.019223659363803e-06,2.4806430087191043,0.2721094121376447,0.21774490743872515,0.05278423236537888
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08363929907052892,0.005205762940663217,0.0062361740981280445,0.022803358157032272,0.005886949000337038,0.0001060239732229018,0.002066806081870376,0.0017004451191973136,3.8988738034761994e-05,0.0005328942932286695,0.0001268724781641195,1.9974825187007994e-05,0.00010801728918707898,1.7016572556149967e-05,0.0001612809485879163,2.269530390286434e-07,5.9702586696186444e-05,7.702148081545346e-07,0.11661826489721716,0.031801357845362976,0.01058869347835567,0.0006311857407448329
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6538306217612055,1.754282772406956,2.908365812379866,0.2551813304183312,0.006133582403557103,0.19042845049998303,0.04816935619161898,0.00254349639867979,0.03371148315502498,0.014926605946851995,0.003460336536230235,0.004993904735473606,0.0010771188582883173,0.003854388401389089,0.00014654441082551095,0.002156698187615158,6.954842071715817e-05,0.18536561141190058,0.04494491392414124,0.028322109187633233,0.0017579783655113923
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02588992389153666,0.10562622420389989,0.028812293287127533,0.00020904611376093563,0.011660828138948975,0.004570185059339149,0.0007309909815726989,0.0014649870336016502,0.004287301982806024,0.004516675504324885,0.0004234611786810838,5.593707762829858e-05,0.0008493210218545322,5.414587678242988e-05,0.0005533720280643806,3.0739751076813704e-05,0.0059844578380015,0.0008505755584288233,0.009189225165312398,0.00023001084529283844
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10295176183479904,0.017757628419424076,0.0017954757261118282,0.02273965286134283,0.0033695911347670915,7.25848549736341e-05,0.0030422224425690203,0.0011914200575384726,0.00013831006790399059,0.0006522522344442061,9.457366635334807e-05,0.0006622515225260805,1.5362558564158135e-05,0.00022112023609222042,2.99196752617803e-06,0.02605822574205585,0.004560489365309284,0.003983097435437788,0.0002571353551164002
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152623516655562,0.11792536399395925,3.2298702155662915,0.4941046416671099,0.025657528903470173,0.34183510297073827,0.226295740312073,0.008050679545168915,0.03922807911525103,0.0038230958033385054,0.07146979945609344,0.0029361207783396015,0.02523125782261207,0.00036312088020795663,0.02187223140986369,0.0035427346076333244,0.0025446933165018115,0.00023394639216445245
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08190062030775,0.3949024075658224,3.333014705332691,0.11195450418083297,0.45961992001870333,0.11067819728682865,0.0008069214157773175,0.0750854827215427,0.0006824053603884384,0.030807513750582965,0.0009494485794567797,0.07898244159684542,0.0009149253782403388,0.004604778226745099,0.0007587276847739605,0.0007941598588153409,4.9078564229643185e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030902418052134895,0.10047647984784036,0.004849385317905686,0.02789619227539797,0.0029974957056353446,6.510638789380963e-05,0.0027962788672142302,4.613645083795248e-05,0.0009811933098125003,0.00011300092811228346,0.0009450618109645426,0.00010970302227875095,0.00017104796305256187,1.8195269478549214e-05,3.120249705224065e-05,2.6635054684032156e-06
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3878617360805504,0.031054235767092542,3.3820123526854866,3.5229154371595874,0.12894074162305924,0.2881198258977059,0.02693680051552705,0.3361883101476286,0.027828256118600514,0.2326410777811014,0.003935340443816271,0.007407418226297563,0.0014139849541254246,0.001864655951811539,0.0004789409265386624
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8621646188122887,3.2889573123287823,0.04549625998274359,0.004121985963496444,0.25120898062823127,0.007171220046213067,0.04927675217885119,0.00044767074180263045,0.06613568030062966,0.00306124898037341,0.002007257555985742,0.00024274222687999114,0.00016739411759299216,1.685546257923498e-05
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11681883968620455,0.0034631585071738247,0.0014046063444548285,0.00718719037296589,0.0034217845033810423,0.0005414401885884823,4.1225998934413255e-05,0.0005802631968061522,7.041769544180454e-05,7.522277759353102e-06,2.2927082092838447e-06,9.391006693171278e-06,4.910709475947073e-06
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29567624182083935,0.027414079423918825,3.559039566785795,0.13343171750669258,0.2282507487680542,0.004064652909288702,0.3526970126157183,0.02835714361126085,0.000811743006626342,0.00039125925430189,0.0004084332202318325,5.9821067829091135e-05
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.065498547438459,0.3089200931927066,0.0035974634064177557,3.8948884949897105,0.1309089944769497,0.3260195740601691,0.026058192521903,0.004169695260973549,0.0011744844330094095,0.0117654274421468,0.0022861994985911016
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003531146488850556,0.0007678413825458197,0.1286504830245001,0.008512118248914735,0.027374838953305947,0.0011175008037245249,0.0019581657858198653,0.0010178824640787454,0.017372117385551666,0.0011566214180767087
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0705652864696287,0.31645000752947366,0.026042107233279932,3.943251983924821,0.1319701886218294,0.0003080465470212401,7.581224375745321e-05,0.0003358178908219739,0.0002772011627616422
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027492135905231585,0.0010592098471757794,0.12521072361100827,0.00839763273298244,1.761226827179385e-05,8.984606894912872e-06,7.770789123617838e-06,9.811998047393189e-07
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943638432874861,3.7262210270967704,0.12462466838654818,0.0004458619873747294,0.00018613373090783925,0.0016397550839286484,0.0005555635162143302
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12566513090825815,0.008102157219971762,1.3334125632757932e-05,5.696501284013777e-06,3.536161063488752e-05,5.771620880556938e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0572167206546794,0.0005237488427364267,0.00020030762291424475,0.0003815963143936757,0.00012084038470017155
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275662813974407e-05,3.046555292818276e-06,3.555146654943275e-05,7.106843361803783e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.957159354487886,3.106426242680249,0.16399779252198365
O35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496661555549194,0.06571323936013918
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5093394936065585
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
