 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,O11,C12,O13,N14,H15,C16,H17,C18,H19,H20,C21,H22,H23,C24,H25,H26,N27,H28,C29,N30,H31,H32,N33,H34,H35,C36,O37,O38,H39
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.943846242704675,3.5884826234203095,0.1338979300707822,0.2797162349886297,0.027043595248223973,0.03203195993470878,0.0010780341650431513,0.004303893181198282,0.002101288136675261,0.0005754911521735906,0.0003088820671068859,0.00036210735833649976,6.791343376799652e-05,0.00015607768817837986,0.00045647831021505825,0.00036468061411565333,0.0001513442869774395,4.5431854300365115e-05,4.322885830965184e-06,5.458234356714442e-06,0.00010961819181021237,5.4845299826689065e-05,1.045655306897153e-06,0.04816358109939772,0.010337668110297266,0.005473057820450017,0.0003718422279535005
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5505454015272999,0.025409028507486386,0.08281187996820563,0.021832121986746333,0.011029587650582762,0.0007259023285566268,0.0012000528124286314,0.0021822027228606267,0.00045750355370322016,0.0005981805799789575,0.00017430634940576728,1.853283394093186e-05,7.942504417068896e-05,0.0003011643999055458,0.000318488820868823,0.0001132772146515415,2.5418283659164875e-05,1.3689268089089879e-06,3.667193782419531e-06,5.187445595733475e-05,2.6716843787299993e-06,3.2367402402755374e-07,0.09488269256187609,0.020620517126953647,0.00908088061505452,0.0003730287370312668
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8389624753585903,2.852114079789756,0.09863917024795488,0.16766024892429934,0.007635698739981267,0.025181382040851408,0.015558555812637542,0.0024974589116849577,0.0019763973453088557,0.0016249144326966197,0.00028601617640600097,0.0009571225217168688,0.0038665042134802263,0.003149050078152027,0.000693574729062757,0.00020860372902871405,1.6082063620692644e-05,2.1711612856356588e-05,0.0002521413453733662,5.047066772023712e-05,5.43886447657016e-06,0.19258258869018094,0.029220059145252386,0.027498693405988955,0.004848874938229275
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09883289976865539,0.004795840699665765,0.01193581146412881,0.0005058465762803888,0.000767114314673023,0.00899779802428935,0.00963246270246132,0.00048543705751513677,0.0005421626017084735,0.00020313595124266115,2.8874160932224058e-05,0.0018040445626553714,0.002801525248760095,0.00024088438893643538,9.17188681468506e-05,3.9534096984983336e-06,8.560484682229585e-06,0.00010979720786197245,1.82340052694574e-05,1.7783300187979023e-06,0.016907382759989265,0.0010593170021595544,0.003034204767136117,0.0012044880798054436
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8809732085541822,2.8171629519452615,0.08868441675740768,0.09807850919687477,0.14747088714740483,0.0045123364735439875,0.02696791133168408,0.014526174509445572,0.0016653298252813364,0.0031056859081175503,0.007156563041520764,0.00030231191098484267,0.0011955841685695467,0.00040431998401982416,3.5111441618829176e-05,1.880992495240097e-05,0.0005541002339965739,1.058847909807259e-05,1.16722692505844e-05,2.657553006980543,0.2691937609729871,0.22130476069590593,0.05513249634921513
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839080250211357,0.03566859144483736,0.004651600359769192,0.006433131036345685,7.387949247217307e-05,0.0002785781334899706,0.005136566164390066,8.93824579621949e-05,0.003156595996470557,0.003597530185650788,3.3981886592426847e-05,0.0006320787121234517,0.00012111206979226186,1.4648437413278259e-05,2.984531383143363e-06,0.0001645880554733692,2.7770028891982435e-06,3.452461547537311e-06,0.10300318373134965,0.02142131300336314,0.017126071652679875,0.0013623132627675894
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9619536121211878,1.964559091938951,2.8191653663849188,0.08338793022630875,0.10091846914062685,0.1526184910252388,0.02117585973837577,0.017041577378868134,0.010509326855348555,0.0005411176772414095,0.0019023330612255585,0.0005296412052205601,0.0002486856463674858,2.1859029940785035e-05,0.0005036248449311748,1.5362344732761102e-05,3.5856258992494894e-05,0.21073546310175278,0.04533434532570692,0.026596025114518168,0.002349066258681809
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366009189446694,0.09630105688256052,0.005837109696137599,0.004064676934061318,0.02869850545690822,0.0008462498988366374,0.0012644117030140567,0.0018633276396152754,5.6074318443233295e-05,0.0005129149829801172,0.00010381368540546276,7.954661623155168e-05,2.882360160327835e-06,0.00013275711440785543,1.7664206979350894e-06,1.2769507009346981e-05,0.01456926950437376,0.00872180097404307,0.0017600385183287326,5.831695116209623e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08661624249809785,0.030265519935414043,0.007518546697153683,0.006357593511431503,0.00019822085846765702,0.0036183568355299123,0.0006720683268488514,0.00023503605834185315,0.00020561105462046925,6.597027331811667e-05,1.9003798489958257e-05,2.4922322268139396e-06,8.722436148833612e-05,1.7483431320464149e-06,1.0537324119930247e-06,0.013039463563098819,0.001983725364910982,0.006342107054730262,0.00016345794806360558
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0176397977598137,2.1468696233815465,2.8044547434314717,0.08746733566326981,0.077556798562602,0.1790134791136787,0.017834256692419115,0.02748569428934361,0.00634588319687647,0.004092392887244278,0.0002515999906901323,0.004389323405106532,0.00011922778391737499,0.0006944903371932654,0.03367847897415474,0.009014194666979503,0.004414470550665253,0.0007362934247338027
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026539910996095317,0.08500849375356268,0.0011309107998405121,0.02515481425106425,0.01696200870635267,0.010459350481742513,0.001363526512807356,0.0008938675980815214,0.001364191573094864,9.796044557641714e-05,0.0003874940688234352,7.244349659707439e-06,7.749369609011403e-05,0.0005864710986933641,2.720702749547943e-05,0.00021160882070225817,2.1574581821726113e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09569720707664797,0.01116285132188466,0.0012659165226027724,0.022255716777035417,0.0005455933158025061,0.003373115871780241,0.00026791245846546907,0.00017181468724203341,2.1081347456819444e-05,0.0009203144169983579,3.062149081145549e-05,0.0001352761388975221,0.002912703483124446,0.000774306702111871,0.0004483688578712508,7.828319385461135e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7713534194866234,2.0223272493477324,2.7443662594159326,0.0837304010064136,0.28243766819542043,0.04175199834064337,0.030043044881791214,0.002525890214316262,0.05008734350078814,0.0013689379338642782,0.004583748375611485,0.002175098789976848,0.001413500626020664,0.0003440920179359763,3.500445159498877e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02194314311483625,0.1002720861153632,0.0038261021984467014,0.029043460339217564,0.009620671166542416,0.002848187758517806,0.00018630676061603957,0.009499481531067722,0.00015520383538980553,0.000396634287123776,0.00026854695202760404,0.00024334030714123767,4.7115336006986475e-05,3.2156197451449486e-06
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09400756031773416,0.014469248442415594,0.020508102277555063,0.016107788800701517,0.017157852773201032,0.0004066062543197635,0.0053319001998684,7.645150715029914e-05,8.35775046394982e-05,0.0007407856245076339,0.0004355206102726328,8.399320894525442e-05,1.4233327274348895e-05
N27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6521275114108387,3.892521912094684,0.3442628376490217,0.009614393768847207,0.03030539874519267,0.434999808928842,0.009369898608436844,0.029506099598542446,0.0008264856277085675,0.00039467926643145523,6.979026785673692e-05,1.2161883493955195e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14972205715173803,0.022161690378111776,0.0014415805747571842,0.0013891646661019497,0.011326457877434026,0.008124309051491752,0.00114844713908413,6.657449601599197e-05,6.619377262662152e-05,5.305637407193586e-06,5.327136232136098e-07
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5417211758960967,0.1416231823030577,0.14504485713295578,3.801257760099124,0.14098041074302714,0.15830451536867096,0.0001465197568181198,9.426231368303561e-05,1.433272925162321e-05,4.576066189088124e-06
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6833310567257707,1.7494138528967356,0.3529434193253344,0.02390708004149278,0.012945599810677,4.9076437151157615e-05,1.4655956741299603e-05,4.585435845291808e-06,1.2684887722436144e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03473555169623532,0.026513853644709706,0.002520862313875938,0.0012185507616884195,4.68670151865247e-06,7.903230875294653e-07,1.2226393929504198e-06,2.840690638272747e-08
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015182396991114122,0.0007539616824654427,0.00668697766341575,2.1926435452845894e-06,2.4156493880767016e-06,1.7619673720048468e-07,9.603078332531823e-08
N33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6629397525030045,1.9644983061624786,7.260845704916419e-05,2.123367682449473e-05,5.380254763938386e-06,2.0329472347757616e-06
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039695573788226524,1.6753994588336596e-06,4.189473730153992e-07,5.589059158817022e-07,2.075088096908928e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.366718894839195e-07,3.444796812246409e-07,1.9272287210547745e-07,7.587285577592695e-08
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089485663260295,3.427998432901567,0.17041966444317136
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177193344764763,0.0698604147876406
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744939156926934
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
