,1N,2H,3H,4C,5H,6C,7H,8H,9C,10O,11O,12C,13O,14N,15H,16C,17H,18C,19H,20H,21C,22H,23H,24C,25H,26H,27N,28H,29C,30N,31H,32H,33N,34H,35H,36C,37O,38O,39H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1305733777804337,2.7253762141070537,2.626272456420267,2.8144944671390446,3.675331836408559,2.7816222517439524,2.2894236879106047,3.7520614385478903,3.4739022474391863,4.397236427606156,3.9818886650167946,3.099711636477483,2.4442158882365366,4.136847675344245,5.290819826716817,5.4125110923435455,5.9818989554607915,4.419644733515967,3.873870170726645,5.406755600423173,3.3257693193751408,3.697349320733501,4.430980276037498,5.166570541179864
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0984524293548015,1.5437995477700361,2.1513422276704515,2.1361757502239476,2.6513812429820987,3.008908167402345,3.5353251813905024,3.232360836403191,4.29063297129663,3.1305609558917933,3.4511444446023023,3.452317023738067,4.384759836704397,5.117561067136413,4.929948266326075,5.733771432857726,5.039641382781924,4.871865084564648,5.945142463743599,1.5327263239176248,2.442916691592165,2.381795926365739,3.212451022562269
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1809008555524945,3.065184489661659,2.462873972345726,2.9503960427009646,3.4538440667888715,3.878108840953653,2.9749177131117026,4.054928091171651,2.614462146208994,3.072979749929716,3.3387301216667082,3.745067677716061,4.3241775260633,4.1464027147711775,4.833733625468271,4.436458188715356,4.443402888174788,5.254499049943614,2.1286687621435005,3.25031900515184,2.3917481399352183,3.3451270765338754
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969602659312228,1.0983314094543828,1.5427925704954144,2.1888953535133964,2.131725212430489,2.627555570611994,3.4774934715041748,2.694670858998165,3.4079544653303606,3.488534761000029,4.573673455596152,5.181030401285384,4.799593782535961,5.976641350989227,5.483418488705754,5.423636169555876,6.421424695459814,2.473313788947067,3.139705195151842,3.1884755850236512,3.943404827818991
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7595901599425967,2.1532868003181216,2.4580187800454665,2.442166642699215,3.536783858433793,4.270356495985231,3.741423027393759,4.271444213854576,4.149007842254583,5.508095124780683,6.20313674765612,5.844187217895668,7.023643310377822,6.335797224539609,6.1488400053957815,7.307723151847852,2.6512543663746357,2.878057583258454,3.6028097672528845,4.162172442568287
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1601344582222306,3.0723392353313486,2.3991672906043218,2.919031737064065,3.6452798219409073,2.6211211794780533,3.961218368611655,4.280704356901733,4.996120802007027,5.335458051715991,4.773328640149308,6.087161323183028,6.040116928664991,6.137531648756216,6.909486584543501,2.6224481429441964,3.3905876859332875,2.89029274298699,3.5975237561452795
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955227694899095,1.0966410437909286,1.5438970743298681,2.170525048088359,2.1781051005388554,2.4760601841251098,2.581880261764206,3.7521019254862784,4.380948502371726,4.042815708922046,5.309453956813068,4.748777289675449,4.767540673177906,5.682777566066474,3.924221587016635,4.604455531298351,4.574254112629951,5.40552029218367
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7487596888926098,2.159567848410092,2.678727986463664,3.0374077183388697,2.5274655161067665,2.184072587428556,3.8501838853168135,4.736797037521365,4.605576374725386,5.667954338093517,4.615193453701299,4.427422462950563,5.591554234906314,4.342500100815695,4.855295338485435,5.213991090437596,6.021192853705818
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146972791240896,2.28569729887918,2.6962462095134874,3.330477964513697,3.4961449690858717,4.546479942644357,4.990245390417836,4.510834063011422,5.95551359685488,5.624525362177655,5.711382512516012,6.516479383244815,4.600685142750863,5.184199603139349,5.176887787491012,5.932505950364208
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0999339495812417,1.1009188434092259,1.462109360165444,2.171152022265527,2.4808649632624267,2.8774673321540694,2.517147948157242,3.828911524518245,3.6825787622739465,4.005101756484029,4.504592304690111,4.618254333077815,5.542839980571108,4.961741957479299,5.895766609706067
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7725543010927034,2.103625601645912,2.7916915237202704,2.860862437993551,2.9706092743504007,2.514728167819009,3.966580770567228,4.090282994709769,4.529189654557947,4.797006721747821,5.634695915179947,6.526589256838593,5.934377277104265,6.8483926422657655
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1103204481859827,2.980909087665371,2.7557808825898378,2.778689017246938,2.169211990500428,3.590702742828337,4.01638927856138,4.476415307271892,4.736332630195712,4.324813684746331,5.379834994905245,4.372326280920861,5.307456099720897
27N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0636338809480501,1.3281548229255173,2.3443629532950427,2.5434821066407807,3.208238788512596,2.3009739814204098,2.544805244151536,3.210021594879762,4.95702517663625,5.868646282824715,5.404500417919827,6.366378067174092
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0364858680872175,3.275919054123514,3.5905532696015627,4.065873566712369,2.4757954631006998,2.2639166416848964,3.467263495356356,4.976742407518599,5.7254381901853995,5.661832650527063,6.583312001791106
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680716922330498,2.047234245337186,2.042440941178185,1.332583523571997,2.0852139735800366,2.0322611246862623,5.810639701315418,6.808120733346634,6.065492800699825,7.037002765650727
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009517101722197,1.0106134862714449,2.332635105527937,3.3041267371409395,2.5300850155522117,6.427678836018235,7.525004887847009,6.422147964117507,7.3852926885690735
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7003066760202146,3.2281218700882266,4.113280034262538,3.5280526291065755,6.160337868590129,7.2832293961807535,6.04937972027874,6.9960703088418486
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5467737195279114,3.5860971729503826,2.38105548150486,6.952237926555019,8.080996993056145,6.826475663770021,7.764779734929068
33N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.064218363442072,1.0092059202100134,6.4304804045432515,7.351291879583899,6.7704870197004565,7.7130902915871715
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7927890504576243,6.249674904241217,7.043629423186226,6.770151127654034,7.677496896580651
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.285871169101156,8.240730672017635,7.521438709178951,8.456339159859304
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2082350053706272,1.3562257457010969,1.8732303361230669
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2565352116953017,2.2832246582893205
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9760837787634995
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
