,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28C,29H,30H,31C,32C,33H,34C,35H,36C,37H,38C,39H,40C,41H,42C,43O,44O,45H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150009657573031,2.328857081352273,2.631573254553924,3.471521357775842,3.6587901073194526,4.266705463605743,4.250485867735793,4.0818343750497315,5.197539539651852,4.471365516612045,3.874697192962758,4.438074661145689,4.505672578163416,4.409709303662672,5.588609016457941,6.185815455561197,6.669306112287535,7.483876390575491,7.160056711484015,6.43320520004738,6.442296891167349,6.643313453129458,6.647035934260597,6.976757833370246,6.6565899905616375,6.984974116157142,6.855845439082559,7.317742459319436,6.8576518423347865,7.317018722881723,5.356738086270314,4.42581178359739,6.624084878535325,6.704898117113761
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969085010482267,1.0998498820513525,1.5309727687717727,2.180573533711424,2.1749643951410498,2.5479035833975776,2.876846425369359,3.4293778725150608,2.7491451665685265,4.026607293238164,3.9531939417507225,4.910455079130541,5.237950437251014,5.653297808555256,5.982171022680004,7.027246181443009,7.642787132982927,7.593033894424246,7.169307518689704,7.536302043981352,7.740560236108428,7.331086654831326,7.36341433068508,8.018697432670923,8.535111438201039,7.826281303497312,8.209162101481986,8.154468809244019,8.755500936012924,5.094567615230498,4.03492254304959,6.208498246457398,6.116234595096854
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749330575485256,2.0978766050893567,2.5082812210763783,2.3814188041390905,3.4368574751784133,3.8556243700088055,4.185821896558087,3.689128649242469,4.876059231027209,4.8949175118863195,5.5865001623638895,5.806053310147701,6.2531201900429645,6.695129752980355,7.540453014140338,8.112342128278588,8.205691314461054,7.522906982720072,7.913506152018858,8.242077220238828,7.493071150034167,7.490750868957209,8.247148261631885,8.780773108930946,7.845019739670006,8.095708419881154,8.211985213398924,8.715552339695021,5.513228779479928,4.352364946169619,6.549043674689783,6.327256804227234
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1710990720869834,3.086340405009415,2.524455377002959,2.794488186924255,3.241373978455878,3.7027843635851214,2.5741253186818946,4.602338833073017,4.436964907877921,5.650882605350689,5.996506491990455,6.484750334143063,6.711587467718289,7.892860647583846,8.543238750951545,8.368682875687602,8.091512196535882,8.374249277506868,8.482087585872922,8.34323491106235,8.410309969563752,8.867382854613675,9.306293044528706,8.838441265074453,9.255458079263326,9.087906635781678,9.672066202226553,6.047482062937265,5.046090485810211,7.168447396887581,7.103569762203748
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0929407661033355,1.093424381706665,1.5190965213506653,2.162258531396068,2.1112763297360244,2.1182812136520814,3.9703545358764325,3.5030592433437415,4.794710389679924,5.360849996494892,5.178520874974776,5.331701557953534,6.647755695200418,7.084164521234566,7.266852207038054,7.037889485952309,7.657393794015692,7.884400871685496,7.166133532447272,6.996157801911898,8.322235997737849,8.9800261330735,7.871945306190397,8.224224530629561,8.420318039574031,9.13637043180284,4.41173432394488,3.404262675578218,5.334772046993768,5.1546078262332236
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7838728831597874,2.0937269099703992,2.4008220734788006,2.4230640354530193,2.9644429097307303,3.747723795973727,3.380077312203676,4.292449507595968,4.849096329448484,4.46778730242219,4.72289908942332,5.871717974559262,6.229113867348741,6.596225353528507,6.2269992796547,6.970883688152527,7.301654911966595,6.240621581189419,5.992601827258788,7.637271012319341,8.381959640140414,6.976105686831669,7.28267135254054,7.638380209967297,8.378893585607686,3.496355087210362,2.427328284262098,4.357273460045483,4.120222309657125
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1067705301720365,3.018502705601085,2.358088336981646,2.4663569499131186,5.0399376219606085,4.473186250078445,5.847559528195277,6.427763663248302,6.120054399750476,6.220712571633143,7.58300708977734,7.931875312564206,8.239979219721713,7.9893973436348205,8.673143404967995,8.939118142972358,8.017565920344705,7.754935855127365,9.312818919918257,9.995219767709816,8.70494879839968,8.965453673905653,9.326085766787688,10.01197422627994,5.217496264962346,4.199611360896204,5.979037958730451,5.655884344266912
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.072431160016496,1.025201021450524,1.025005267088255,3.514753541950292,2.659758558317245,4.540210748530362,5.297245469901338,4.896630099220724,4.75383998460494,6.445638956756577,6.878429951377072,6.887556245871834,7.117600238917127,7.7242668664645,7.767667090311574,7.493693688713971,7.339159469929727,8.589341485367134,9.220316768342927,8.38159416187711,8.873090476198577,8.891374915462546,9.712737279198869,4.44119670196368,3.7561923397746053,5.339837464440453,5.347377097113899
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6829303623674998,1.705430648320377,2.503019074569159,1.5960873844117156,3.579326264631946,4.378919794629665,4.0255104413206775,3.860337604003591,5.568409273672157,6.0788934232470435,5.925265178803558,6.2893551702557575,6.83431202916238,6.800289191962238,6.811181695653176,6.74491328563314,7.767815871411798,8.373426452887339,7.746315821879456,8.337961455956457,8.184170969645457,9.048609653812626,3.839001919804293,3.3373795692947956,4.849298359047431,5.0421128334119265
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6514049697230782,4.080207301119047,3.0477311857924545,4.968196819817325,5.817502082648997,5.0437046249433575,4.752507748511908,6.580386740366232,6.861544601122761,7.042263995393242,7.393956978141683,8.141603174730607,8.205031542125402,7.727292626421771,7.442745958479638,9.083487281140304,9.785045521070826,8.712664864138736,9.165041996789995,9.344136535440281,10.209056742835513,4.474859037355234,3.9195996413344085,5.146737824381795,5.088423862075327
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.049874745597035,3.214974723965127,5.222130048329655,5.944457990096679,5.725727242968064,5.530358963387037,7.270436912964026,7.759327040518028,7.622396642580402,7.942405419114538,8.441981056191748,8.402365141338944,8.390603339713618,8.295345353771825,9.291847435903517,9.84587605239233,9.244474096896859,9.765834329533284,9.66531281480382,10.46239657269383,5.407342552433097,4.734602648541898,6.335089505916939,6.367988418953042
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2522012910743643,1.3427460252743773,2.0403163375401263,2.461400170201334,2.6587227824787933,3.739890967601781,4.570559115440374,3.9188973031288,4.289593138154029,4.541560326452353,4.370871259503771,5.12856534052269,5.394260863278507,5.525334049947317,6.038836271871903,6.015885152172064,6.823076521590086,6.189791113142828,7.091703789644662,3.10568562410668,3.056926850341246,4.355588411195375,4.920795776822141
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2608510067369973,3.1625147425237485,2.7951738774514987,2.5686213489614165,4.263431176842438,4.881842016222223,4.457689321891077,5.096268148262611,5.561498926602605,5.397357953749323,5.859471623066609,5.921293618122054,6.628723291947337,7.209297422190684,6.879094758737501,7.616219415005662,7.220754142310841,8.156842279738406,3.175643707802198,3.1211090587011294,4.26077924529123,4.7484190599599945
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0153483438896458,1.4538590046158726,2.0744963820229185,2.4734152542476675,3.3926284728789526,2.7504843193588258,2.9566015992296473,3.3046962490809713,3.2422164514713656,3.879386520399952,4.217480020626938,4.388304844756604,5.0153693443469916,4.83399999112162,5.699264361642067,5.0485134243023575,6.018768815226268,2.4510461316816503,2.7731255826035524,3.6321047977885046,4.33279145274335
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111237073755641,2.927014774459411,2.580336424866501,3.617673082963567,2.8364075965673687,2.5335763394141853,2.543304719896963,2.539276375644646,3.485919571425863,4.062073040350805,3.488684104205871,4.054536492893109,4.223908513070579,5.151691811569378,4.226357600225415,5.15292102285641,3.0247674557763764,3.2626533350913576,4.17074551244112,4.846643535392262
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096322444339087,1.5528833597409963,2.1520291942608503,2.147222821601588,2.572461866522756,3.463353837683987,3.5799933480070427,3.358530036864527,3.3894791791506877,4.676550847224781,5.49712662477746,4.596312160825707,5.376825494988752,5.142953334862821,6.193639628570417,1.537278476714229,2.452433153688868,2.376346448476582,3.2249879810092166
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1670974170040065,2.4897943557890003,2.3961443398814204,3.4912347589823667,4.330721143981726,4.256363160279909,4.332551318924265,4.254004804042427,5.626864459841697,6.394475469303249,5.625143287989844,6.393792944478013,6.174559815451625,7.238192078618556,2.112325048215641,3.038381740621556,2.6487567103200518,3.512397606386612
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935543507426893,1.0954983997179792,1.5165219308639621,2.5351293367905843,2.7342408557781965,2.542760871365291,2.746417847778924,3.8254143090857635,4.689763350585784,3.826298357686744,4.6934181913549935,4.331602701702612,5.417904748492372,2.5893409873217266,3.6185570588666764,2.8909031899332196,3.8056687116684076
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760797160334499,2.1638470792919264,3.3658026285534124,3.660878149580539,2.7369313627904464,2.565123721170982,4.548310229164423,5.47558299774181,4.09993129964496,4.806770623871258,4.84299292759578,5.90963730063808,2.751099765346648,3.9098632328587275,2.5088277220631334,3.4152578010254113
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15305895371317,2.649622609609435,2.416825647294347,3.408715982435493,3.748894658497892,4.034991944004673,4.717154095996369,4.565802758012248,5.5146097065355395,4.8190187185008675,5.884882327439548,3.4902546670829757,4.500468243708667,3.8226582127716267,4.7768364669883
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4042192544769403,2.1605934859399487,1.4037419003275062,2.1590425723232536,2.4370849459498634,3.417859339194336,2.43204867776525,3.4130575469853133,2.8153392257210292,3.901622039307537,3.2196396180707985,3.9429368699091114,3.637050645848397,4.3604384734912935
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089150711896129,2.4138586845445125,3.401475305285248,1.3981452361285398,2.15551000201113,2.7867794011701856,3.8732739767222975,2.419119269716769,3.4048513129936238,4.3440112013819645,4.903881887865646,4.961821594044358,5.686292690963895
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402569396155931,4.304099787454046,2.1547036041567127,2.475542932289981,3.875303535383166,4.961607999263589,3.4025827742574286,4.300100762361853,4.753444961550652,5.365131722455971,5.441406198757587,6.255033629978423
34C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874147378915031,2.7920864853434715,3.878572556533272,1.3951753008128016,2.151891796988541,2.421814963585361,3.405972235136695,3.3740408166249427,3.9219747989247713,3.5433151751563092,4.010679167194114
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8792930476006817,4.9656737146605785,2.1523768426487453,2.4729078946386083,3.4045071037197006,4.300269164675705,3.028502942200537,3.6354190022301256,2.837939736020545,3.177177737099366
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866089517547812,2.415339626815185,3.4009084768493367,1.3954191663973472,2.1565173021777615,5.313563980462948,5.677129836937572,5.930790561112176,6.524147081600286
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402447148417209,4.301974380888074,2.1570894120376938,2.487732758216329,6.249087685878852,6.564515121635109,6.943122801953767,7.557906284902694
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865829239519371,1.397774784447281,2.158271621703963,4.551775943378463,4.851999258995855,4.803241623776331,5.126192891730608
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1573350441401646,2.486639892332166,5.067255709777376,5.255422686108829,5.164355399504793,5.303812404929233
40C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0863024346770918,5.400394436342918,5.65440432589946,5.866224591072919,6.288370422918855
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.377999191307845,6.525844413089398,6.843323681641481,7.19111304711994
42C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2135159285423778,1.3444411755289367,1.8874317709026782
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251990659124754,2.3098024523756515
44O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770955961972014
45H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
