 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,C28,H29,H30,C31,C32,H33,C34,H35,C36,H37,C38,H39,C40,H41,C42,O43,O44,H45
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09718273544282274,0.010072715348338424,0.0016015806408680167,0.026126909737707593,0.0004929988382118555,0.0011673777386458362,0.0014085189456389813,1.7035490103234352e-05,0.00017391738102046084,0.0002451748163716516,0.0010832831318117186,0.0012818173077878692,9.096463153046574e-05,1.9394096710811937e-06,1.588757265080787e-05,1.0375870496126538e-06,5.586083535624731e-06,5.275711476571132e-07,4.662572030689205e-07,5.414777692891448e-07,6.34059691417832e-08,1.0910481407222505e-08,5.325389851318363e-08,1.1486477990985122e-08,2.8798261997309282e-08,1.6702261795842333e-10,1.3418258504316327e-08,4.928117913749475e-10,6.46741038501375e-09,4.1270409312232914e-10,5.605563120103518e-05,0.0002263025593968182,1.4705808771608986e-05,3.940749108588548e-06
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033420957668665,1.98414902500111,2.8960175832755413,0.08226824105154762,0.0881994721830589,0.1564356766437879,0.004232944261856497,0.02434077059941908,0.01319063185612357,0.0015520098045082864,0.0009442643709908632,0.00047087256708992775,5.1705063682461194e-05,9.235599557372298e-05,1.7241403949874723e-05,1.1319060511244539e-05,1.3762533782601949e-06,1.2820933770196774e-06,2.0790792986669082e-06,7.532912469077058e-07,1.1944947830855313e-07,8.053184826634086e-07,2.0785425558500492e-07,2.9215144521643754e-07,4.364692829383898e-09,3.5003560935886746e-07,4.433432732042775e-09,2.0608850254122402e-07,4.994112456913058e-09,0.00043732450756436836,0.0019202147356810612,0.0001075542758055964,1.0806625505566103e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025409700488931986,0.1269786400422247,0.003290524365102243,0.006186644254265072,0.0333961218753851,0.00016753570778083038,0.0016255497517401185,0.0006846341164610248,0.00014991488539628506,8.282550383764686e-05,5.369747466899e-06,1.748066305040652e-06,1.1289892520860434e-06,3.4300360352013115e-07,7.741909813230308e-08,9.235497477888543e-09,3.13166204080062e-09,1.1080093065274355e-07,5.859256679840996e-08,5.146253423404801e-09,4.939654896229939e-08,4.311724532968242e-09,7.580313932109561e-09,4.271116793574947e-11,7.369780230526146e-09,3.1639357800372636e-11,2.39905836307841e-08,1.7332513202461541e-10,7.299101701940813e-06,3.595554875601703e-05,1.93785323343576e-06,4.00340585127168e-08
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0895536272910753,0.03209179445875088,0.0036875887236904603,0.008654402168200237,0.0001017342531055565,0.00048694971661444875,0.006733612920319487,0.00035296972340415067,7.466964663338516e-05,0.00016808061091633242,9.925449291570132e-06,1.9486904828447393e-05,7.6404646365269e-07,4.680390618405639e-06,1.0215779644440204e-06,2.853912293154792e-07,6.26577615792101e-07,1.0563568886290398e-07,5.454637830304421e-08,3.857776953442027e-07,7.856112915760605e-08,3.918032254190962e-08,1.4212953036718545e-09,6.549204956129984e-08,2.3322743736287066e-10,2.2711782232676114e-08,3.75826658682854e-09,0.0001547322516948224,0.000601682008729898,3.894074910171241e-05,4.227204713380672e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00467472383681,1.7792334900091622,2.6960821701942894,0.07436252724170311,0.08268079001533102,0.07798603173579532,0.002476525432111548,0.010082611161800106,0.0009808757102187926,6.614098552482073e-05,0.00042410183916694044,0.00014665640766819976,3.111623676543829e-05,6.757611590302304e-07,7.833677749813361e-06,1.2237274852389124e-05,4.590716250030269e-06,3.6407014225581236e-07,7.419098020794435e-06,1.9899939713852177e-06,3.254764111920716e-06,1.966813201192963e-08,3.3630022286124106e-06,5.070136266382974e-08,2.033188764571925e-06,7.48275330586523e-09,0.0038564693754082335,0.017053627758456508,0.000888088223774175,4.3467147297082676e-05
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028051733235398446,0.09503935846334821,0.006418548183482864,0.004142348204651425,0.02860798594385794,0.00035830384950563676,0.0009056185855206289,0.0003539224259474505,3.8070653549659994e-06,0.0012257089311042968,0.00015974049923372924,6.627854907370612e-05,1.139441702990851e-06,3.288819403057808e-05,1.1865382841036443e-05,1.2551613033373599e-06,5.939626768203254e-07,8.673954859927946e-06,3.5971017093849866e-06,1.7806823900956559e-06,3.854064378749911e-08,2.2448287841925207e-06,1.000697500419534e-07,1.1156488508579088e-06,4.06757116877543e-09,0.006734165252514135,0.04954640612345451,0.0011377177520596193,0.0001784110921425608
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333358740833209,0.02007952533553703,0.006426179321784797,0.0036174171393366095,0.00036748164342470524,0.0019663749545638654,0.00012616912135765546,1.9578241510664895e-05,1.4073340624198849e-05,1.9897338250363106e-06,3.1456921358863354e-06,5.957670357048528e-08,2.2764139506747938e-07,1.287680823081061e-06,1.32164481436714e-06,3.0289864394461574e-08,7.490582439872995e-07,6.448060929642452e-08,6.824351487244584e-07,3.7501801664063805e-10,6.094734733563811e-07,1.0809209083362248e-09,4.50477728342058e-07,9.593361660620303e-10,0.0001574015685035235,0.0005513766887778049,4.767557076224005e-05,2.9034931787741414e-06
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643898532005726,1.950996289707291,1.8257425601033266,0.029419832028118154,0.15739780835205255,0.010782011677454087,0.0007206624868688616,0.0006938677237218471,0.00035923980100094344,4.7333469492150115e-05,3.6321994211219177e-06,4.955948640916752e-06,6.509626578621308e-05,4.96121783218062e-05,8.373799020855444e-07,3.946993615891459e-05,5.135301122116687e-07,8.823082682213323e-06,2.6310692069486663e-08,7.963992230658468e-06,2.6990658152925562e-08,2.2641875313755833e-05,2.3490793310543268e-08,0.0005696735513140427,0.0016264356192928764,0.00011771506833591072,2.3129267314292434e-05
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03292932104137525,0.03222384097296582,0.045059709150287564,0.39502909784695617,0.011951793939676159,0.00037722400336237527,0.000590822359083365,0.00012835252520182472,3.672274081167881e-05,2.4892868724091244e-06,3.2756715067083775e-06,6.502381332551543e-05,4.180955160637545e-05,2.1432148855637934e-07,3.702067402489018e-05,4.566015336937568e-07,5.978267510031721e-06,1.488005940686321e-09,7.572469304828466e-06,6.019516907151967e-08,2.1812232748552596e-05,1.2393820414402512e-08,0.0005581573378954374,0.0012877575360372706,0.00014733035041991638,1.2985577284796435e-05
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029532194186617122,0.000588479120554819,0.001896363131736023,0.00013150103911807598,1.3000808197993763e-05,2.0707871103864406e-05,1.3679546084333083e-05,1.3288679286960203e-06,2.0383110577171237e-07,7.780951483127296e-08,1.9968872801978677e-06,1.064144484530516e-06,2.8897001236316555e-08,1.1617509284578276e-06,7.324850925805038e-08,1.374055398351004e-07,2.197972026607431e-09,1.4934803882482584e-07,6.447375966445179e-10,6.69866286329146e-07,1.6310908179661965e-10,5.9128303702138396e-05,0.00012276310322956174,9.88419060865553e-06,8.445121653100074e-07
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007972817434669377,0.0020204473910115928,0.00028757440973359305,1.6506823325102005e-05,2.2548215058759702e-05,9.751575841931981e-06,1.53210203901466e-06,5.692219480213367e-07,4.1074061885026936e-07,1.114989133021993e-06,7.87895459208876e-07,6.647764871914319e-08,6.054598211679973e-07,1.798123228091697e-08,1.0545475626067002e-07,4.4972547907917715e-09,1.4101931011811786e-07,3.163940220929362e-10,3.9736676960000494e-07,1.178717123906381e-09,3.721008714330232e-05,0.00016825177110457723,2.4212692608660547e-06,1.1794092036332415e-07
C22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.411359013196429,3.7525540753800595,0.14758526690386797,0.27831468550021743,0.0206097507119255,0.030694103623127356,0.004325224159180019,0.0005416965479896341,0.004065653009599601,0.0028970893975425183,0.00032741096816235604,0.0009785752857341123,3.0044108450422158e-05,0.0006214819826610152,6.975027898370456e-06,0.000503595387810335,1.4538607582270657e-06,0.0005730030739831693,5.3141933609168746e-06,0.048111618388469474,0.025193769842642932,0.008617779038271073,0.0014291049007357781
O23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5233532271204422,0.025181949916941893,0.06297763712861457,0.026273568620681753,0.006931410161114981,0.000776679047194917,0.0003045696864224512,0.0024760967956503482,0.0014879113526081317,0.00023482914978101288,0.0007304777653289046,3.8623054858244465e-05,0.00033187923543538667,5.2334793423369774e-06,0.00019208023217802406,2.9596215879168497e-06,0.0003717043868373404,2.879668380861844e-06,0.01992563580126555,0.009048312436937808,0.0030097962414787766,0.0008485105675585247
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8278392143263114,2.7981080230731368,0.09606388997249393,0.17413236573411744,0.02469149326207798,0.005887075948137643,0.030026334684988554,0.019586389526595332,0.002493503633919092,0.004207652974591483,0.0001231810309836323,0.00419724047705175,4.4516547149209273e-05,0.003229719002627779,6.798078515890538e-06,0.0025950946721284562,1.3879445352582565e-05,0.18610008510954731,0.031881329003501255,0.027781944060268515,0.004772320269821884
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09714238796070795,0.023207927898040825,0.014203135816057255,0.001544768077668346,0.0005641391409492158,0.03969169870264044,0.057188332194415326,0.004979195713868956,0.0022327309561476216,5.308558464012236e-05,0.006662783524577054,1.8907873989171264e-05,0.005515468752336439,9.089360757386089e-06,0.003580893530637952,2.1640548673040882e-06,0.005795330480029337,0.0010866858140005098,0.0010390050842086218,0.0002783557032122186
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9161471194214843,2.598922909708084,0.10072651088477791,0.0980146880659043,0.16874313203693295,0.03781906893816522,0.0009378677519471523,0.03444939389039475,0.0005982691752137725,0.004407744268523833,0.00025580420072612853,0.0036571077230324045,0.00015943404029572505,0.01292729441601742,3.520385390554104e-05,2.733538858954264,0.2737156929805772,0.21943546273990663,0.05410982880231585
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08817582778034283,0.0035173087152555738,0.007343304065124734,0.02301067081701924,0.002531111805588071,0.00018302662452063245,0.0034191947148908275,4.233687065524627e-05,0.0008622336932793129,4.657922171524831e-05,0.0005104388333659893,2.6314420193962462e-05,0.0009271576497169587,9.8889715527406e-07,0.11587814026881293,0.031749804600069265,0.011763719462897115,0.00015174017588992506
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9851459437773236,2.110872166433299,2.780276603638973,0.2453473230095066,0.015656147161712264,0.23303520058221022,0.013062070136540038,0.03566180692894151,0.0027046787955896656,0.03624256386066187,0.0026244109917020753,0.022535124909807372,0.0005191183368349339,0.1681655488990216,0.0384510335451476,0.032180279115843494,0.0026054501286376652
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027523259072192996,0.09250117545933878,0.026856285716718054,0.0004640243662141774,0.01573331201397077,0.0035788930508853234,0.0028501614347015147,0.0005358760617248937,0.0016625343841585316,5.5378373775560874e-05,0.004298036418241669,1.7891646054035704e-05,0.009721838344131761,0.0014954951111919579,0.018701116091933923,0.00048225786773126167
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09685550021452172,0.018678182008254884,0.007513531376421634,0.02511140313992677,0.0007374950536960245,0.0017158549184083105,6.72724341368447e-05,0.0028463647524692437,0.0007529746676733229,0.002062093595235126,4.4286686876171544e-05,0.028053521171536255,0.00452567391964942,0.003538715098548195,0.00024619951466231527
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8040335318852914,0.1242077312636296,3.7093008668442353,0.1255918622368415,0.329734142378323,0.026401490986926346,0.33059633046572984,0.02633522767689689,0.2981696197076517,0.003984696390610276,0.01477144461271801,0.002705839993901213,0.003409599427955018,0.000481751224443161
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9417247921344114,0.3227242606637971,0.02828241901399209,3.824680166957734,0.13215660881883684,0.3102184865675629,0.0035406367409720474,0.33133520547605133,0.02728701016349211,0.002842499529627701,0.0005568534214260845,0.0006722215626825956,0.0001147365584269755
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028418638431998877,0.0016236962081257467,0.1265780611408196,0.00814335911666042,0.003891339427174234,0.0005090299931460596,0.026608547381843373,0.0012025909650914546,0.0004045318500573991,5.733735079671565e-05,7.366473850956012e-05,6.670556694121643e-06
C34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125434949149472,0.3157961926359278,0.0035559139872116674,3.8603194830804877,0.13239872843575795,0.33620338940688055,0.02699787960389466,0.011398264831361915,0.0015626641520640888,0.007536580965823797,0.0005490568276796948
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038330541821054442,0.0005004928547380771,0.1289507598497719,0.008326885237897264,0.026828360633464277,0.0011628061635708953,0.005811509811369797,0.0010352850583887907,0.01286648733523399,0.00048368179419622237
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1304903180490853,0.33454091694247795,0.027073226710289777,3.845900311708284,0.129832355773997,0.0014908389930261279,0.00045808015396060775,0.00024439601523601473,3.535627666551022e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027465736452424894,0.0013012136802905694,0.1279392348221604,0.008119334909320708,1.1829946981789519e-05,3.5133942779541627e-06,1.558115882083211e-05,8.71589234985315e-06
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.919933808413545,3.9065310281919587,0.1291526209485787,0.0016705365467730993,0.000662961612439214,0.001084157968697777,0.00011230858244237751
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12807681842965657,0.008099129593030607,5.9379902393130735e-05,1.7371788966769053e-05,3.5489067028993126e-05,4.404857759432446e-06
C40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0053535063478467,0.0010912255586916497,0.00022090666652059554,0.000260666334478743,4.0663944456342804e-05
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.913751651052344e-05,3.6730890842218145e-06,4.403386706353096e-05,8.503074082621964e-06
