,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29C,30H,31C,32H,33C,34H,35C,36H,37C,38H,39C,40O,41O,42H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953886795400145,1.09890895972153,1.0948702554523526,3.19294011987086,4.168004530356828,3.6116515598367758,2.9351080740372506,2.948977620226977,3.5995222505348234,3.387002580304845,3.37236441398115,4.409249883757738,4.297868044804151,5.742810402549846,5.626370396271363,6.24079848470146,6.826917977138006,7.979037439779265,8.16740586574513,6.957109883770195,6.2823046735831936,9.067753563214074,9.980288860677328,8.177983745522774,8.50230058232065,9.158494563960591,10.126114005395136,4.902633740529355,4.873246355338493,5.866798746638955,6.351316525823747
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775228814695212,1.7627081246194165,4.1382949807328115,5.1672117914192555,4.371035425729137,3.8616636547613448,2.6262432486584544,3.08245915050282,2.9422167999427327,3.150204534018258,3.675662648664807,3.3805599093719496,5.068600535231385,5.040707610990095,5.685710613032757,6.0023038358452725,7.156225005688926,7.42789206292894,6.0495349142753385,5.395092792727199,8.169412203506752,9.093854659627645,7.214420204511441,7.519520781393669,8.197287488857349,9.137670251709638,4.210945880297773,4.404866784857193,5.0341007507178075,5.586962753017703
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767572054163555,3.667795254645016,4.475440655000747,4.32337786018976,3.3708860231361393,3.274020472547113,4.183716952144015,3.3376413513336196,2.9987814708965783,4.412398564871721,4.5199412053355745,5.787866589860694,5.799719643399424,6.113278394135867,6.965137334063682,7.998194914588738,8.044046312158695,7.299546652055324,6.754004320338628,9.157635616068905,9.998552453803265,8.549570070941904,8.989647372468085,9.40606353873904,10.400717134016876,4.618485085245282,4.328746391699736,5.665768888543077,6.011816665242313
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.844452595871694,3.812296906653921,3.2468841709220677,2.2597509659236503,3.9705368808860944,4.464567384773026,4.450746004605779,4.4342713190966005,5.377043164289999,5.142824357634632,6.74808110280986,6.638616789088485,7.289852510492897,7.748531424133546,8.904553803421415,9.134515616790233,7.774492808211226,7.058442975189584,9.931695027090136,10.850604619713431,8.927218897909096,9.165679179858063,9.944108261715957,10.870039552104643,5.797410294577737,5.763815360910347,6.6538177062945465,7.094392477633685
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964974876411344,1.097549650280529,1.0965216351631948,5.115323856611017,5.554534431142428,6.003950594775305,5.961407155855644,7.247120682594441,7.172899062407101,8.314465675036088,7.885205179206854,8.762932606113992,9.485263456279231,10.73839364301235,10.940141632809334,9.495004309200796,8.647395672976298,11.850022141889685,12.813932748676942,10.731661324101472,10.918905356551676,11.849784125023884,12.812772050566577,7.938359750690138,7.812384585314436,8.992525778714523,9.498922859666033
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695622036941476,1.7662072555955053,6.021019441764094,6.515844857386911,6.87938906863573,6.750180084473147,8.182439896471276,8.179961442247821,9.21205158458936,8.759732175837733,9.589364322467707,10.438540427892136,11.675068850966243,11.827229774918631,10.498326380295909,9.65881317115136,12.822578251372992,13.773712472891843,11.756928214647141,11.96118629953025,12.862848105984014,13.839711643703993,8.833519964323724,8.614323791096973,9.934515538152482,10.40400641310769
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704550672636055,5.228232956488118,5.424873059076972,6.282048984997221,6.409017167314583,7.443429724947471,7.249570169820714,8.430011245185057,7.913477083188575,8.980600218903383,9.505209937419435,10.818035336642849,11.118663230596121,9.362816153875897,8.439077531089398,11.859716551503393,12.86450863014178,10.544624157134324,10.630950512868372,11.73866510070873,12.664311498687372,8.289012370982254,8.313637487143593,9.279918952846671,9.869168454373293
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.384557985112668,5.847344084703512,6.128269890262254,6.043152972033961,7.277495051276561,7.134365974498833,8.492116733598335,8.185483309620057,8.968185163755916,9.605868470791423,10.824156095130444,11.030329617557836,9.607044155855409,8.791835614292609,11.902306794966655,12.849210618817981,10.802381846963634,10.983297589664682,11.894925931519138,12.836220914273683,7.818899391819675,7.671477625576255,8.792707817705095,9.236847497306071
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2324147877021863,1.3619647893538465,2.078844866716983,2.4549713654307834,2.627936189978907,3.220051220741396,2.804550649214301,3.7736903160854602,4.441955414930062,5.6910540365105176,5.921216606448322,4.6794069768006565,4.0382693991374365,6.856283118727376,7.808788103490184,6.039304731235514,6.497449148741421,7.007089635857684,8.04320415935257,3.6611668630217666,4.021288808176446,4.7272646623527566,5.478477820388199
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271167255416452,3.1806775050785188,2.7831180702189804,2.5647211110399506,3.2646175961516497,2.6616130344027034,4.070289064265794,4.171637195947005,5.537471057626915,5.979194257044018,4.053922310834744,3.2164432365979607,6.54383787697791,7.569582153732536,5.343251673581571,5.645955972286239,6.465889854678158,7.448599773621448,4.20497774545032,4.837575358628734,5.026262767724571,5.89481207922428
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0127363304334585,1.451733332282781,2.083290233808702,2.4960030784929814,2.537818076847837,2.8600999674562626,3.828063508930788,4.891002180509607,4.956392808079617,4.405680263227765,4.059039976458859,6.143673105329093,7.005083314379403,5.761341427450943,6.401221252891577,6.513433693987063,7.576493918935861,2.392448627535394,2.686871338446409,3.5834885003182655,4.25502036952818
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108827892168371,2.8764342961059475,3.1487217488006967,3.322186268805641,3.205613745915933,4.527262919088044,5.416930276552817,5.296987770982739,5.26858089331951,5.017643118101434,6.7227340310405586,7.494235655533215,6.600590615241249,7.299482905515682,7.2357685181917155,8.30162608950122,2.4334874472372703,2.2342024753613026,3.758294976786367,4.227952543898191
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947324199116517,1.5649923928889526,2.1287945807103066,2.184181449849812,2.589387418150207,3.5988978703296564,3.774094249635575,3.2517142067948632,3.1586143973977028,4.790553801958818,5.65392333132069,4.531816355053254,5.26136236786862,5.174494846339266,6.227238550422156,1.5197929781119133,2.4227738882665175,2.3824109073781203,3.2146576712035695
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686296035296766,2.56310411478203,3.059405813493214,2.6845962991707326,3.8233948923699277,4.257974185850073,2.8661689326946322,2.589870030065327,4.792196283218218,5.738002836916347,4.06456116457316,4.631864168513072,4.893113282378425,5.887169039465741,2.14862183757162,3.186811420752995,2.5623468082900476,3.483521360857509
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944610032863533,1.0967397082784476,1.5123289808133673,2.5445208555227206,2.7523185486843817,2.5199475136995773,2.704216156598679,3.8274976307285486,4.697591721110502,3.809363985596242,4.671902179936421,4.324724235087927,5.411773094817967,2.5514056962414857,3.408178440021928,3.0739851143279497,3.897468213969394
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655144780472385,2.1403777201943224,3.316148490909137,3.6167983103640218,2.718401723698066,2.5687560422112727,4.4872564798680115,5.41104952658328,4.063973890643895,4.7783685573647166,4.789142264024709,5.853693730945101,3.4237895961467877,4.182875477398651,4.079139291195795,4.930272950072488
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1652350207310804,2.6663861820095622,2.43194514232613,3.420899272900159,3.7477400101249105,4.0537930195564895,4.737651329841428,4.5847629646541534,5.533988208319695,4.840339216244714,5.908453034709211,2.6794368388984173,3.227529828619359,3.302951903718877,3.9272533446251146
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3998449510609046,2.1549357447098374,1.4033760266307311,2.154613253476132,2.431203774418004,3.4125846473294006,2.4315494464964003,3.4134215450427314,2.8125874320151514,3.899660468132548,3.2826250954557605,4.342814362506795,3.16517734510357,4.004448519847959
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0882060691096942,2.411579908527128,3.3964163181576263,1.3967500580478964,2.1545924621205437,2.787340280094949,3.8745190317612415,2.419588109752961,3.4056880081353214,3.7909779933169694,4.731696232903567,3.356823797147577,3.953337168922637
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399100188913005,4.296071266436272,2.1547822322701173,2.4768044743642514,3.8755376316087013,4.962715313219366,3.4036254496786986,4.301866455433695,3.6774311319941555,4.392195023846788,3.355489226820504,3.75289809403254
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884646203190018,2.788370816636206,3.8756421412941937,1.394862530914697,2.15256582537725,2.420126104120594,3.4057354622479044,4.171194767666886,5.330164623732581,3.9397525154788577,4.849515606579448
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8767792483704118,4.964025524017518,2.1579099992273174,2.4817393616944337,3.4074185336704357,4.306197390333442,4.347582698603361,5.47667046699637,4.341252936008322,5.3061730751944625
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872948624792373,2.4149637226391265,3.4019243190170996,1.3959401381952619,2.1578263122816677,4.944899397861306,5.937720891271621,4.237445947660586,4.756041733125172
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4024950257834297,4.303552659503153,2.1573642372183004,2.488105688674671,5.603361661761064,6.489187477839066,4.808128523169082,5.146199888059966
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872017562110456,1.397732742875439,2.159414995924466,5.238563639949652,6.421730258290718,4.708867744730837,5.5200799395013425
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15859364708445,2.489340242099369,6.061756170543995,7.265774080312756,5.536366952998745,6.36358708539703
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0870749940646147,5.569292395679451,6.687116725551574,4.840073469349576,5.482460384420695
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.564366809899124,7.678764198197301,5.732496850996716,6.303381485620975
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2151249575744614,1.3445813027380482,1.8746066221758813
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252839953577713,2.2915923087616474
41O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769805272956749
42H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
