 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,C29,H30,C31,H32,C33,H34,C35,H36,C37,H38,C39,O40,O41,H42
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0835840860767982,2.072587574556432,1.7447372556508471,0.020597849785729025,0.0020872177663544544,0.00039793786255848396,0.008746018427696622,0.03184126525828593,0.0075845423203631385,0.012988890846212575,0.0017932005728626965,0.001039907672186896,0.00028004902411771226,0.0005200391096272378,9.46660433939206e-05,1.2045396584170476e-05,9.316764630259988e-05,2.128944664825383e-05,1.0019925957838183e-06,1.2110006737217627e-05,4.624036226585915e-06,5.734228372911154e-06,1.1274796580806878e-06,2.5839693792162333e-06,2.8286867936877513e-07,3.1328978040146005e-06,6.678371433643804e-08,9.927598726125475e-05,6.290055645602477e-05,2.8291411900596697e-05,5.7769797369155995e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02305750301838616,0.025017574049311486,0.001599263736353107,6.533705641165177e-05,3.1091846274700075e-05,0.0006249120091403881,0.018352531421633067,0.0024255734069753565,0.004516406975342502,0.00012006668927666553,0.00034044279229306085,0.00021484900554313846,0.0001457905273236637,4.960256414321407e-05,1.9424118733901707e-05,2.7756030406500543e-05,9.372089383452575e-06,1.7123224571591322e-07,5.266220372002195e-06,5.29109135394279e-07,1.5164654629806762e-06,3.3257652232165924e-07,1.143269092507282e-06,1.0886765489104278e-07,3.2401560006167784e-06,4.987001034351124e-09,3.454983951534096e-05,9.439845082837017e-06,8.029527981623374e-06,1.2030675233809518e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024002332425959505,0.00041949083566916734,5.257226835908568e-05,0.00023066074894551036,8.738962074961165e-05,0.001262891112950415,0.0004735388655036088,0.0015992723992599434,0.0014498252501262687,0.00014049925970072152,1.2736126130841185e-05,8.332725919890649e-05,5.631014764251319e-06,3.0355819524707783e-07,1.5338396070152527e-05,4.1806378729969396e-06,1.6748138009781144e-07,2.9844682558621827e-06,1.3884643279560294e-07,8.81466870383818e-07,1.5459140945139893e-07,4.4143135236041076e-07,4.246509877070537e-08,1.3364008815131e-06,9.265152867143911e-09,2.460922569968993e-05,5.270692668013499e-05,5.874159735741458e-06,1.364333341413726e-06
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010851616947262777,0.0007156212471035595,5.567713282794706e-05,0.013182940079058625,0.002154999001545699,0.0003201511753044839,0.001480241232706625,0.0003170182509517616,0.00012574310697432978,4.6750864121536395e-05,7.001117061045115e-05,5.732712842876353e-06,8.197875911442054e-07,2.345532242009618e-05,4.964150566388881e-06,2.409771580058617e-07,2.968856648077889e-06,1.0392672233905387e-06,1.2904930928314684e-06,2.5477805198903525e-07,5.642415605855433e-07,8.358473668756972e-08,1.162273746579956e-06,8.702031095708662e-09,7.371676728373799e-06,6.343066680902787e-06,1.9926822425464508e-06,5.4773303226340886e-08
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1263715991886367,2.033088592204919,1.893713317809397,0.00624411660442839,0.0015855221301282751,0.0014903689536704123,3.626981810711527e-05,0.0002461496941653929,1.3286539402912467e-05,4.120466746294904e-05,8.844160532817114e-06,6.873079188007836e-07,2.4123158868794015e-06,5.197326486405807e-07,3.736019094091603e-08,1.458590051933717e-06,3.2004362897630756e-06,1.3917829339016308e-07,1.6594695617655475e-08,1.6388624510255134e-07,1.3052759983978035e-08,1.1872805980028822e-07,3.4595242226487244e-09,5.276841348964001e-05,3.247726773833448e-06,2.0080348999959585e-05,6.354824809262638e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023287799677191634,0.023230952339757582,0.001176035614885107,0.00026792236556016924,0.0002934750031964306,4.611018540101597e-06,6.146187688771398e-05,2.4542363861179695e-06,1.0953444412153956e-05,2.612003245472394e-06,2.618985173175048e-07,4.4875937210697714e-07,1.646815337430496e-07,1.3801137566105126e-08,1.4077262644462962e-07,3.28282218520215e-07,4.228134131700756e-08,6.2670848510748556e-09,1.94165163946991e-08,6.341911440443937e-10,5.1389590360884085e-09,2.0512391785132422e-10,1.2648394396519436e-05,5.765779506061719e-07,4.613552978094404e-06,1.644794746846756e-06
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022997701738568965,9.812790742280697e-05,5.2793403160333874e-05,4.361177088307855e-05,6.028211574360398e-06,6.945193786744852e-06,8.267921727256322e-07,1.2886158926583846e-06,3.057870303635468e-07,7.142049618380497e-08,6.452568501735811e-08,2.041902180671684e-08,1.3632026618637383e-09,3.611992127616759e-08,5.101635336401955e-08,6.19306961269217e-09,4.4824788325570353e-10,8.002766893611124e-09,4.750242421636131e-10,2.9466977746750445e-09,3.6189828911403765e-10,9.055562417703555e-07,9.422606139786183e-08,3.689725367461705e-07,1.4475890175447148e-07
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014761510123384447,1.2517848425375178e-05,5.9972466504909505e-05,6.1819123529094355e-06,4.5876905836461646e-06,8.775217461565177e-07,2.546496823851996e-06,6.172771200851912e-07,1.9410138829556445e-08,5.073623043916342e-07,1.3042211044478336e-07,7.250005262804393e-09,6.462134782836415e-08,2.970649704003847e-08,3.66839385534945e-08,7.324213235904153e-09,1.508109570558247e-08,1.7107313343700525e-09,1.850699082872609e-08,5.999483132512751e-10,7.941629907026737e-07,1.599291414855486e-07,2.5217478971661933e-07,8.300604203981266e-08
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.605011595698843,3.5476825433675634,0.13646024769609189,0.27523350699365257,0.023196732463175884,0.03713398312961547,0.010462321940792219,0.0006203895132408377,0.004133112748669593,0.001297574278862429,4.234994407736892e-05,0.0014141311476427998,0.0012299282870908979,0.00025530986284996726,3.246077184604346e-05,0.00023227969452271902,1.5251966254181681e-05,0.00036416945475370444,6.4604327385531235e-06,0.029316816706968507,0.007318967849615943,0.005807037688940447,0.001267689136727257
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54370122797668,0.02617493400782378,0.0683675802309417,0.02994405261266364,0.02397360418478399,0.017919602892380926,0.0008508445184163271,0.003542579483145847,0.000828263226104381,3.7779997231646156e-05,0.0033510240428206856,0.00905394885165367,0.00013266328476461975,1.719585942583368e-05,0.00036936354770504554,3.2539650426599565e-05,0.00036873458047761987,1.5602198545794366e-05,0.008519856903234507,0.004253917733464552,0.0012132870387398173,0.0002910713654048491
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6888619800099296,2.901870518318225,0.0994752356708426,0.18531028708837882,0.012857729222752967,0.004093636288180047,0.028202774829745758,0.005367976169198652,0.00015683032422342258,0.004645691267892799,0.0005220017932074938,0.0012602875927651969,0.00011388564962211412,0.0007203529579555557,3.871582339654012e-05,0.001434678807982842,5.004494189275732e-06,0.1931635972811951,0.05857284147070975,0.027703489817166707,0.005387266836332505
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09691839357112153,0.018376970991162977,0.00770489978753619,0.00030255391457956193,0.0004447152860631576,0.0013441428217961793,0.0004121244580951311,1.3255003715517688e-05,0.00043565460595818006,9.817674519196906e-05,8.314043830037754e-05,1.2242041905086154e-05,9.246524145190005e-05,3.906257960650805e-06,0.0001300874738373592,3.6840632211543323e-07,0.03371174909437913,0.07900366898333955,0.0055225397031991585,0.00016787236871351752
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9445237014952408,2.6488369771404283,0.09657599397349959,0.0779395976320818,0.16426965348913286,0.035195969241271496,0.000602988954330197,0.03579007563310796,0.0022171327775650784,0.005055147482618566,0.0002596009181767833,0.004285798550761222,9.327074241438638e-05,0.012632012098256595,4.957317658216276e-05,2.657633634302967,0.2733514814565539,0.22220707363680559,0.054465610562212885
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07534403655962651,0.0032381539185102337,0.029821846699328525,0.012736734734117738,0.0011003983814402707,0.00018986902353934632,0.00933296794767946,0.0035728923548150604,0.0007370325783023768,1.982924552645926e-05,0.0009562850167957881,4.732582110578143e-05,0.0006273517028791975,1.6667873121267718e-05,0.11005910099423621,0.027692007999625345,0.0104756020400536,0.0008870467465207366
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7463344207403146,2.0195017386578074,2.7633153383857074,0.24412137500976328,0.014988889092657054,0.23728424656157884,0.013712674380478518,0.03493423800966047,0.0026249768297756937,0.03673788699039937,0.0026355523492986865,0.022766811179246726,0.000507386548969313,0.19565771868444506,0.043807162205178246,0.023748422452325293,0.0015227585621474526
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02620758573703008,0.10030276634291546,0.02897524117034367,0.00042491907630060055,0.018184577572292415,0.0031294596848723266,0.0028182936921024027,0.0004362486530489207,0.0019815148590744958,4.802458894848094e-05,0.006397045396347556,1.2888281597955853e-05,0.025777705525583894,0.004887240556769479,0.00400939181727078,0.0005806923123936603
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09597487878410371,0.017454979263766823,0.007696498871221369,0.02354644934678518,0.0008965824636208986,0.001451821827964439,6.613719034676002e-05,0.0028622610906128276,0.0008212215080714014,0.0010407609373397353,4.678159048521202e-05,0.015412543064655004,0.003030251985714383,0.001134733009524047,0.00011311234027711059
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6333513675095115,0.12411647564809969,3.719069553228042,0.12890243180120042,0.32873630202692083,0.026378401102649107,0.33286198164060754,0.026431776247807903,0.30089976776290844,0.004034781374012919,0.010849873856926678,0.003042182771192878,0.01141112404496937,0.0008000487248454036
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9835287831197566,0.32451589786846646,0.02789215051631877,3.8439537927980565,0.13173657738077393,0.31196798237828416,0.003571992662462442,0.3343314567707455,0.027237441830145093,0.003990647040585299,0.0012474366408633114,0.010921821009793553,0.0012139300069713421
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028751899985242746,0.0015191061294308472,0.1280987017542472,0.008185366619356982,0.003861459290640301,0.0005359418142354411,0.026969460583959215,0.0012347794580731541,0.0003887611406192537,5.083625344037834e-05,0.0013051588315887708,6.270360416582577e-05
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.976448689642383,0.31535432503297667,0.0036514691060671733,3.877698879579829,0.13230404240216243,0.3305915703603023,0.02708967829464526,0.0031012019593706364,0.0017192576193612308,0.0015673456543716102,0.00034769627952679905
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003889369667327225,0.0004963228810175302,0.13054323607136653,0.008230793910183998,0.026983704327126157,0.0012304225483432685,0.00020968587315506326,0.00015428285164842404,2.9015966984125008e-05,6.396146614573439e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9807310897762398,0.3318794318490429,0.02736441236745457,3.844752022894048,0.1289661407578544,0.0005808439332551651,0.00028212829048768207,0.0013810583521475933,0.00014085054281565146
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027588472282797705,0.0013518359882522812,0.1288131677869757,0.008060288997796095,9.375348167806052e-06,2.977059120556902e-06,7.245699595648247e-06,5.472092072800194e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9869334276009087,3.700757517579124,0.12486321110499476,0.000980323825588575,0.0003668348325792242,0.0005920436364350856,0.00011765959991483221
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1249927049668822,0.008002036280342795,1.008272889246875e-05,4.0725076919656544e-06,1.6035909893297173e-06,8.494488179522364e-08
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9740914826900533,0.001270267037913414,0.0006611524165619914,0.0007810621763042064,0.000332561679252219
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999058787073082e-05,3.3537299934938147e-06,4.711883252794813e-06,8.342024464536024e-07
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504837223896427,3.6118987794810313,0.17029160098485885
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120238532186998,0.06439385162574451
O41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7198778586453347
H42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
