 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,O29,H30,C31,O32,O33,H34
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537552043341658,0.025176511016845704,0.07479251540487276,0.04265675301521987,0.01718585577736316,0.008367565044413161,0.0007129100698854973,0.0034642241164669213,0.00018555160256772396,0.010107707776549887,0.003765877691983402,0.0013254217776628788,0.0003610834555036746
N22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7058167771450734,2.792053497446929,0.09597462394308864,0.2093538481359025,0.004995949615125506,0.009803133151371046,0.038352856387635165,0.0011757017737165087,0.19706762993903987,0.04506234538006269,0.0275042095030318,0.005323466858697556
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09626952610305195,0.02545588547139399,0.004471379253773278,0.0001254793140428312,0.0018716826902576145,0.0005482433886045968,0.000532696514520925,0.020709168783396348,0.04057921926507191,0.0031892383998892715,9.866513012757316e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6850141513911376,2.7183419595932956,0.09441864236343456,0.08765835951144929,0.21332763772300034,0.012452667769259906,2.6706986651613023,0.2797756134978527,0.22009011949475427,0.05396454399782313
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08223021451019363,0.007919061298082175,0.031822237039973444,0.006280528231999316,0.0047682065328282786,0.1047554474854413,0.0241726243808158,0.0130024259664695,0.0014693490018491406
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0086642155900885,1.7082527994344572,2.9373411922648955,0.10994847562735122,0.19123673772793698,0.04062043115323945,0.02404900734822027,0.002257887187544605
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026075152584431605,0.11316010369459373,0.006349687417562366,0.02829442269919058,0.005777816766441957,0.0025577476584947023,0.0011695254255283949
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144422238348028,0.03747294170946436,0.008942971248821374,0.0031981495400629223,0.0008472481000713072,3.564266744793265e-05
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5194026872475925,0.033523804286049896,0.00418985985145983,0.014350453622625652,0.0016582909219481357
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002116469413484756,0.00068868025697022,0.010610609213507538,0.00018444988688615105
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.007886678864452,3.5546832929988166,0.17524877018912832
O32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170604823639952,0.06612605639690083
O33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7424604579480256
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
