,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29O,30H,31C,32O,33O,34H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.397799512987065,4.301500321863865,2.1501658158648786,2.469442588791337,3.8749314974119637,4.961487186918642,3.4034026481037123,4.299972897247045,4.162549910128304,5.187591826168932,4.357116119990151,3.8282242809591596,5.688459850499505,6.3679305346014585,5.960896123118957,5.836943027626108,5.455239224555897,7.327353790554435,7.876792169033601,6.357487396317004,6.000838056453841,7.679182866893291,8.151497782422341
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0876588562380516,2.785352515245913,3.872531493433696,1.398428009008016,2.1532461079722918,2.420091827479121,3.406765493602169,4.034241262039392,5.245888796991185,3.3944120317338116,2.4577578024256814,4.461770310466686,5.239339502272647,5.314865543728336,5.7733052861686005,4.880742904440792,6.434956193607682,6.939891800441726,4.314178173021355,3.5357838837515794,5.560574112130666,5.723638722353747
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8729768060065615,4.960168382186547,2.1527296327121332,2.469575647022762,3.4012336757476764,4.299483822071454,4.043886709822757,5.171859892038876,3.3576543455126195,2.563865729859904,4.285362732276884,4.931998551962235,5.390418176777791,5.9235033427278605,5.132705653588714,6.416033055491836,6.8058114346226,3.943534470507781,3.1939079426317614,5.0573803816378105,5.165107677806532
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872064782929698,2.412837446772087,3.4014462923901942,1.3984423206959449,2.1600553666286224,5.19526125298535,6.359627203914792,4.79601689082054,3.9358741043176004,5.887762269592899,6.8042351613782674,6.0797325229287145,6.298227695800725,5.302610085109851,7.264578586625191,7.977973074162452,6.098482507360107,5.394642991753682,7.438097142887023,7.681996178282081
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399983521112189,4.303460788501417,2.1591799617397522,2.4901310188032366,5.946318418983948,7.0476186487224135,5.629513073613969,4.836744400178359,6.682342915800922,7.607402718907487,6.678683656415664,6.8093091506432035,5.834494194708815,7.840310284049578,8.599269235613049,6.977802903697654,6.311375439232495,8.313121912653623,8.574947192277598
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865864053493952,1.3943323174309592,2.1572114582495296,5.147454426062866,6.357543972078968,4.327184745768233,3.3158438108399864,5.184120946028985,6.1044517218633985,5.778951871406341,6.348992374697958,5.124280420859529,6.769333883315274,7.410196599516379,4.826532731623787,3.8293736101592493,6.054469909756368,6.0632306731179115
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157189404178904,2.4904682475765973,5.864034829123605,7.036123950686039,4.896822024676467,3.912943362016179,5.536436993194509,6.452747889483388,6.174369819781489,6.883433595905243,5.533707615562473,6.99530580383546,7.629496977051357,4.879701134184761,3.7434380283032884,5.974756690913528,5.808687255246252
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0868700466108836,5.648315466079507,6.851207455512148,4.950249065994137,3.9690707926550752,5.856203040690345,6.836435710017957,6.14748774050798,6.597096396732216,5.332547938881302,7.179349265026034,7.918153832106155,5.71123873000474,4.79471421853499,6.992540993209035,7.065408921030867
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.638529924092531,7.822163969723843,5.859178610500565,4.881751441056681,6.628859505082951,7.654860375341925,6.783738451761468,7.291535159989851,5.8782500858414455,7.69445447428379,8.495565994355474,6.363713742237442,5.376738708299778,7.589374140377685,7.5683372682256085
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304000421046168,1.3637531358409138,2.080981640907627,2.452712509544753,2.564018790292691,3.273174453533725,3.042928419341498,3.614150889859402,4.572441434629364,4.679196275592522,3.657434992519425,4.10897338619606,4.627637348713173,5.411516172754076
21O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2671235450740377,3.178611751930021,2.7697870125757365,2.421207661104897,3.428366349121105,2.940756084784415,4.05539046346016,4.554228708544386,4.4384279222458485,4.142585217061985,4.862848211461038,4.8357714697442375,5.727892028836713
22N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0139282134103251,1.4514302849239027,2.0679948283635827,2.4748054572678195,2.711624394918039,2.6735652755637433,3.7360577226473617,3.9967662890075206,2.420021988289272,2.777669013128684,3.5601080862633787,4.258643692983062
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1170211463045177,2.939677455153861,2.982089675941007,3.3817839138295795,2.8182095323251195,4.209932379944029,4.631622426034126,2.5588057914583997,2.440709664286645,3.8618934686525823,4.374040400017072
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938344329031608,1.5540031508744456,2.1534115793334627,2.168045963821383,2.485689601427728,2.6406664502354613,1.5189501682873734,2.4225724376705107,2.3782739688625867,3.21064228370439
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171785017208667,2.442785193448323,3.062994802263027,2.8136203169521425,2.572761490338536,2.1536159181295984,3.235384512134349,2.489042169808429,3.4371675039569927
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995430472801317,1.0945386793840963,1.4136647085498233,1.9517222340159677,2.5189563536570483,3.2716691184583424,3.1742380350681243,3.943190400317697
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7792484555408923,2.0983812296304594,2.381337274015527,3.4495709231409064,4.227809097134704,4.075021952393317,4.92182270838487
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0136859677730494,2.825939224587594,2.791703452773116,3.1466749600725588,3.6829332959642587,4.272631997790541
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705441591612998,2.9020242740813003,3.7526279720475726,2.9934986065952853,3.664449627321326
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1268275902987748,4.169570142388276,2.8990356119069545,3.667615866506197
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.212555943625298,1.3484479919915895,1.877307439212153
32O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256386932038644,2.297473255060593
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9770620408460777
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
