,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29H,30C,31H,32H,33C,34H,35H,36N,37H,38C,39N,40H,41H,42N,43H,44H,45C,46O,47O,48H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3935204604871934,4.3020737366179365,2.1367381407779074,2.468464450827543,3.8775804597058894,4.966468656298086,3.3874862283496427,4.505762709163522,5.281250572699354,2.7940868207936456,2.344939071411183,4.051698650358839,4.680814945859246,4.94872066957295,4.806827666609432,5.3468777508182255,5.7503982360465,6.285651492490302,4.524141795876235,4.450433322603751,3.5853540369197803,5.551081709424966,6.029843725898368,6.440103781288354,5.34286588013366,5.857893085123146,4.758019765868433,4.588512450310734,4.883318949960568,4.189039843493962,4.9242671131565565,5.19837804249994,4.808947426805669,6.309881394755108,6.697736040845657,7.268645953132837,8.0935657351687
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879514128118157,2.7813570314249434,3.8671462144148796,1.3994027859637628,2.1630679033511013,2.414007083517056,3.6982651531383146,3.9083157871337195,4.405799078664855,4.7411990180239005,4.991037990631336,5.22699126598969,6.1009817169655545,6.548793932521423,6.044767410720551,5.820561492323367,7.112547876631912,5.38705757868856,5.956487786932962,4.3228188136507315,5.853825411273641,5.733335136993994,6.944493405508164,5.624142687122844,6.457970409269567,4.5956471446946505,3.6010280737356264,3.7876887673222446,2.74309259461147,4.933874738209486,5.738288162574846,4.470178399319793,7.256477816529863,7.348376273110958,8.38757460899219,9.099470639898296
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8691795246426084,4.954905572195472,2.145406289315497,2.469758855018785,3.3939779834488206,4.578641577939874,4.628540778209705,4.845754014467139,5.400591426557872,5.222844250254738,5.264198269311535,6.39200915016117,6.98116641339387,6.352677501003326,5.957780955238671,7.424390385923964,5.908544411108629,6.601101774556521,4.8914612673241855,6.343148840184591,6.053367131774429,7.429711021979507,6.269810742687926,7.170446547148189,5.2950152729358075,4.138858670397874,4.124876287050803,3.350401174462206,5.762710560423865,6.628898124745378,5.3208518423788735,7.380444569075389,7.318283882755338,8.565550362950644,9.194888745864368
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858374117432337,2.421969124615499,3.4120573203682594,1.3948073380981187,2.374591014070439,3.173032169896983,4.491703957127345,4.0669082829416885,5.487998465448904,6.132108310489099,6.268568082647054,6.270563261297035,6.173627244432129,6.407451672083307,7.100946520884644,5.017722348216061,5.101761501462228,4.052148034732317,5.494275470385491,5.864382305523451,6.453891510497084,4.801328540171995,5.286632853950533,3.7903348097457594,3.6371978353259826,4.301579587271029,2.981335637983732,3.536697750703318,3.9525001799553383,3.070247592614838,7.714414906092209,8.162374466962472,8.616302591570223,9.487738855351315
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40096851474026,4.303149249032721,2.14610095740995,2.5799393156767008,3.4887845421889434,4.977200901708697,4.303109752284727,6.039034231222379,6.777923639082312,6.666870836532924,6.502036632992006,6.562023746519795,6.941320691768729,7.3967297360797595,5.289707000127346,5.162266917315346,4.451823179378231,5.734614314520772,6.266688645945564,6.587573826700185,4.895503552364653,5.180965420898556,3.9954261789665066,4.19029867376104,4.936694916667443,3.6919080606252743,3.4781676962118366,3.616824739218177,3.0811482780407125,8.158544875496245,8.713675995518226,8.953047108568615,9.861593216599198
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889144325556892,1.4004875505539987,2.442086152914813,2.526625406166692,5.386890845367955,5.464478877756045,6.017879949061699,6.393642730722848,6.959079116232148,7.326088024687734,6.677462116862832,6.501566091176506,7.68237147069642,5.757799420590149,6.265237316370094,4.747895688414777,5.938667390465299,5.858455989789592,7.007841227525055,5.3747428798029935,6.109014891132826,4.150236144379612,3.2976601566787136,3.808758644041537,2.286470368996129,4.168556333441166,4.995455400510569,3.4935509947948153,8.226942830664887,8.45468570791395,9.255719253742487,10.030263536127316
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1682700027020396,2.7120637702533146,2.399343363861775,6.3565818129326495,6.491336194129244,6.871791287611253,7.186515430374353,7.785957857886973,8.229486408288722,7.3870812062636135,7.095236648582324,8.366720527855742,6.495898613199249,7.084991337992975,5.54328276670083,6.482099778340432,6.265016939925119,7.534610292199102,5.871668287137292,6.607969323863829,4.601960935996376,3.671404705634016,4.165695709427541,2.6860551578017833,4.573147092601609,5.463091804873679,3.8196627389131406,8.999199856790934,9.188252175262917,10.019303003633713,10.768659320889203
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863234321413345,1.947429146643076,5.407781397418457,5.168268519329871,6.2152528172366575,6.771210465213297,7.014756603061666,7.183952609320009,6.715501866851252,6.752996851792644,7.655481147578024,5.565371154554587,5.852066898276804,4.6047024662702745,5.740543474349596,5.901228986377371,6.745179867667106,4.934725434948866,5.492160703478529,3.6964099206330787,3.2959906780031707,4.05312295186219,2.411438240568361,3.360930523785083,4.013643836620989,2.609853022344965,8.415720145820984,8.805705873167335,9.341422408764357,10.19065731375161
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722414425025583,6.60011691597004,6.2176684167556795,7.373126118854881,7.9973759653256105,8.02009617351837,8.134851512254322,7.543487392374108,7.608559824560345,8.390283900029214,6.2489639938464965,6.466652169655369,5.421912095346286,6.1456329761483,6.33936373199953,7.057281639810151,5.06498022072121,5.441997621333413,3.780533320624125,3.685888446196575,4.610967907441464,2.948639173700019,3.0073574922127295,3.557773519563561,2.0285213790929886,9.461379756286101,9.945255071149946,10.283939524808547,11.167195342264824
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3091424107096366,7.031760611171125,8.027643002320456,8.58002163631641,8.72930384353368,8.92312781058688,8.216651427492708,8.177776434366745,9.079773383866794,6.978158353666245,7.286593726468959,6.141130667759989,6.78568992916072,6.853933685113446,7.710167811688617,5.720465564978518,6.134072140184653,4.396969187758755,4.136416153152647,5.018907858966245,3.33487641961612,3.6711894148940463,4.292305425953627,2.658169221157861,10.128402875430643,10.54946169059582,10.987387482959955,11.846225366168506
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2308512057040542,1.3630723116407748,2.0291889560529675,2.457203236957083,2.559391894216999,3.3907599832667628,3.781303699059813,4.327089501163057,3.3976405875707063,3.534240282196466,2.7537722086202803,4.829599231421116,5.163786802324796,5.583607198609179,5.391934808003671,6.055971611689776,5.325380602587336,4.973861898156512,4.697758328735299,4.97134460865489,6.104350415434218,6.453172035313086,6.333718891167847,3.6095379183234857,3.914753690418356,4.700616641778431,5.433860553394242
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2831597827191525,3.1462717552907953,2.8144282816013018,2.4901087892328726,3.523393745252327,4.17421011460904,4.34253701595916,3.1178309391710592,2.9065925351597244,2.5504375825059853,4.544199074074211,5.1183614238730355,5.228389265887057,4.904902286989953,5.411039661295993,4.902723720941349,4.853097728121355,4.766972498381851,4.90870217674928,5.523692396543099,5.705533529748376,5.819453869134581,4.167352059225462,4.7376245797149,5.012888647551514,5.852620335596068
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202732724536625,1.4550314542259768,2.083052846399461,2.519377389624577,2.7437026626274243,3.429808097749193,3.1021570273365664,3.483885903681755,2.746241085298961,4.494698789220891,4.654463298836531,5.154371196788971,5.391803476186652,6.119165713887603,5.52918118313281,5.089219252047487,4.558573075076288,5.269159533712133,6.533418313705398,6.940386216918983,6.877329074936972,2.4079597406533964,2.687133546686529,3.6065456764512325,4.286030600994457
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1197436068802067,2.860708659144928,3.206466255181535,3.1650643725178376,4.0499129867922985,3.997619395249975,4.4673957354449305,3.6318507146953807,5.294079993453209,5.296564978996685,5.953138361095727,6.245720800109828,7.024986687809433,6.323965139116148,5.72826686032319,5.117216554654096,5.837489554950776,7.356585993353086,7.832992853945593,7.6374964483761465,2.4467958729816037,2.232481911044009,3.781296956994552,4.2611750679155085
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977452016077662,1.5510422682967118,2.1655858989587613,2.1607675046604293,2.5652039639141013,2.8146268181839336,2.7655327690987366,3.938465368803821,4.214670814316304,4.323927639205923,5.065025089282413,5.665582140814915,5.55278899519146,5.3626556313784866,4.777873854250383,5.790041804585744,6.634808618507581,6.916006167771514,7.173846089794684,1.5281299266492565,2.428582167983895,2.378654779929362,3.2198520735868854
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1605475739775666,3.059997608102494,2.509041278657991,2.7514537247497284,2.551505350949323,3.026660788413318,4.2017983054143535,4.723508667530112,4.475035343859951,5.182749985281045,5.624320137289189,5.738783515881453,5.768290913885514,5.33594160284563,6.19175889387381,6.68524127594493,6.814993971202476,7.26208426303787,2.143008905935976,3.1303711447070888,2.6088784760902612,3.5040386476962677
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992314949817052,1.0962126777365881,1.5343507934721456,2.169572548491134,2.161248419032433,2.5541731608269322,2.758347213345605,2.8883972070451125,3.865912892961789,4.49217297276447,4.539657511010183,4.434234086548793,3.7761712133484027,5.077488905531945,5.741419778158333,6.050760548345491,6.396866112011988,2.527177522238226,3.468914975110103,2.919022195830003,3.7913929209145647
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.766379219029696,2.1744715766780263,3.0805162181228565,2.539725970679224,2.7790482340587856,2.5312760265457945,3.2279933287260563,4.11977068901135,4.886686402810959,4.65206569726263,4.274627577069215,3.43657096100312,4.901621213444697,5.944062518520007,6.406585858056568,6.5276167615786385,2.780537439206123,3.427155123292199,3.3257614205210846,4.027548718452496
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172572625211776,2.5124187051121583,3.0707680281772936,2.8205229137713044,3.082466992227207,2.7226221284503715,4.2182062205560635,4.670540262616159,5.131719591284511,5.202179892395706,4.555669914120714,5.9487128998859955,6.316395200133724,6.516618229393487,7.07548467657376,2.676977882650894,3.7545144782181503,2.523861649304353,3.3798481402688374
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095853727308267,1.093662282493791,1.5363304973810687,2.1958417107323105,2.187961449512844,2.5052704943787734,3.1268612627667296,3.159744433660519,3.3265299166002182,2.9459879206012336,4.013244204120204,4.277402591918287,4.530736006849294,4.977476071902777,3.901721486766018,4.826042414170893,4.2959381132597025,5.2255834169338895
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744802323574845,2.161833252642811,3.0857405154361612,2.484212843303632,2.7891429325085055,3.095724561612275,3.540386207096535,4.008400413407076,3.836797269032072,4.63935192254292,4.419877329649252,4.4374928677311685,5.17059972378972,4.181436676756836,5.216973815490836,4.411558198621851,5.38490311356209
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163471901520981,2.6068334736843104,3.0765110051216116,2.6893978641657017,3.453675968493674,2.847236360367505,2.7501882804605464,2.4665468771252295,3.222741070587237,3.9008398091691885,4.296552323150253,4.417316886313759,4.21039275432779,4.9497260939468495,4.88501691545177,5.786729804427326
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0982425295265532,1.0932269911927548,1.4776721027341797,2.1422495499590135,2.4950934437485213,2.877385913551434,2.5325813069437553,3.8158900350367535,3.7029377294398205,3.9866691248463755,4.537616625190451,5.080453548554276,5.986470862556344,5.293311123731281,6.165415358210657
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7453781939692437,2.1084063901857726,2.90792613366347,2.792515349769356,2.7434990930145213,2.108625926466914,3.6980971635711417,4.101931745214759,4.584578651231676,4.822946238827105,5.185070376410807,5.9450108762324785,5.47680883268813,6.257445704212705
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0676379160250513,2.2786526356697103,3.32707783373171,3.889403253320191,3.5639885617797393,4.855751823334132,4.392976978580344,4.49212479183867,5.319174161027844,5.29609925256754,6.303085041512652,5.228528467588856,6.073049794433168
36N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011336021503389,1.340855962428874,2.324417306533572,2.5322719845146198,3.2249656731652614,2.328816074917016,2.5583200190699626,3.2572249584560753,6.3614183663025345,7.247676462623548,6.642647853603974,7.5496131344617465
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014463870819174,3.2173798768607127,3.5294572543423675,4.046917526484314,2.4967621910684037,2.3304279789949387,3.515264793896311,6.9537698166403334,7.925225840628045,7.091682596322901,8.013461596236295
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3404428172063125,2.0391993027662534,2.05200707193175,1.342502430957702,2.0423307717361983,2.061758556147662,6.926033149416724,7.673056042252633,7.425446147728981,8.326203443624998
39N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0086934821689284,1.0181840610226331,2.315230863082734,3.2201801681386346,2.5405715721613022,6.652716911070966,7.218603747181776,7.33500334360412,8.171401262554966
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719800115328452,3.2293142025731245,4.059638047461414,3.545066760654144,5.943991486312625,6.460522230298772,6.634783685962234,7.420922564603778
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5660638447746402,3.52157391082684,2.3831422840247662,7.098306821303796,7.555750858779837,7.9109026505327185,8.734365244396846
42N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107698321412948,1.0221423548972608,8.073274733227315,8.832647777694302,8.572793678605432,9.500303173930222
43H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725236648308613,8.37438466076835,9.22270874606112,8.766232115402131,9.718977032395607
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.624279407932498,9.290821012984221,9.24002358290328,10.155548003024808
45C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.210605428649429,1.3463222953740164,1.8824892079389806
