 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,H29,C30,H31,H32,C33,H34,H35,N36,H37,C38,N39,H40,H41,N42,H43,H44,C45,O46,O47,H48
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02758368636560593,0.0017198118077805802,0.13467006894376277,0.008989420597695696,0.0032477306342764134,0.00035744160107253897,0.0250127224643919,0.0029400925057078142,0.0010465675310857847,0.012268572098427466,0.05653201193397073,0.0028858845538612954,6.699683792565914e-05,0.0002422500763779034,5.588259024880138e-05,2.6537473751364615e-05,4.095372140300313e-06,1.367328295254211e-06,3.821813503945837e-05,2.8079450133944306e-06,3.236820110985583e-05,9.885249181440514e-06,4.0405431889212196e-07,1.2729094982510958e-06,1.6203495314393024e-06,1.3772587625915378e-07,3.555434079149933e-06,1.208748066450216e-05,6.724285683823439e-08,7.192491337204565e-05,8.98249465108858e-06,9.753007927937318e-07,3.047268382627699e-05,2.4101448667712688e-05,2.6310438129950597e-05,1.2477564892421356e-06,4.958944972432988e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8520944151867855,0.30884051368300486,0.0038927228118037505,3.531914140568819,0.12493534452348454,0.34454577578734347,0.04267981798366315,0.0025403257265054213,0.0018215008494630591,0.0013892849249634298,0.00027996519940623465,1.1922448328482993e-05,5.0249215871267516e-05,8.615390276633939e-06,2.7506188758116834e-05,1.0655284333749293e-06,4.4245033998802086e-06,0.00018989033301931857,6.839099809918814e-06,0.00022356060043238202,7.291428304657954e-05,1.4306596460511578e-05,9.085295916144709e-06,0.0005931667823315528,7.270324398600536e-05,0.0027293913725263963,0.01359014703644823,0.0007020459575947102,0.028121658248852266,0.001250485037965099,4.5427806385167635e-05,0.0008003079573452032,6.862163324433679e-06,2.9263212677071992e-06,1.675875046597275e-06,2.6751301174243736e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003523266888824317,0.0003869178110855742,0.1283032470941683,0.008543959880181307,0.026282008359538755,0.0032600493998915514,0.0002130438389689182,0.00017050525928596905,9.066834783644229e-05,2.9312346352283747e-05,1.967181334716628e-06,4.1483125496899476e-06,5.218488465796867e-07,1.013422018747434e-06,1.1798237942173273e-08,8.240471771614466e-08,8.450860544684247e-07,9.16055580280073e-08,1.1640340313867625e-06,2.614917244958548e-07,2.6037350941976456e-08,3.253943403613846e-08,1.3232291944387242e-06,2.0201717565448973e-07,5.287508318074785e-06,2.5180527999824065e-05,9.351981443250779e-06,0.00015689766146276263,1.6153498222148954e-05,6.598183557304793e-07,5.680974199417932e-05,4.156684383360698e-07,1.2800645154964485e-07,1.200949580892896e-07,5.5347620042667245e-08
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8632057465307013,0.32524736694788875,0.027249605930576237,3.781211313752849,0.29599593544069347,0.03272051072530524,0.001971276486590845,0.005172153611685687,0.00043721342613861625,1.8746310373018993e-05,7.9798241068324e-05,3.446947944518719e-05,4.9050283384310944e-05,7.283577372341199e-07,9.092779234221027e-06,0.00033698028661111046,3.7615469352658693e-06,0.0005503234507957533,9.80334630814178e-05,2.5039412876792788e-05,6.919685379025431e-06,0.0008586672670439499,2.19314809211113e-05,0.004859321203658423,0.006138971331772561,0.0003140766246935156,0.005332254486295929,0.006540788188537594,0.00024216431541490557,0.0021315754671841214,1.4047466969618894e-05,5.475186416192823e-06,2.6901720298622145e-06,5.713937699658445e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027888766667088838,0.002027168810121216,0.13359337285924378,0.012551615401610428,0.0012010345804953637,5.358732638627295e-05,0.00016499264846736583,1.5048814720586279e-05,1.3074795728318378e-06,2.8875725266441776e-06,1.425008751665402e-06,2.2372924295410712e-06,3.926329639192261e-08,7.214030195434873e-08,5.9402181569190304e-06,2.0369362419003778e-08,3.1750521169993107e-06,8.020955675203112e-06,1.3279419548428706e-06,1.0076718837126464e-07,9.337533511932783e-05,2.7037268379714874e-07,0.0002249727799945589,6.18546576124368e-05,4.172344882924506e-07,0.00016875216866907294,0.0014902431550551931,9.601500945377595e-05,0.0005389200371415104,5.405278760139964e-07,2.499703616321014e-07,9.56858375866787e-08,3.356011912813983e-08
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0541161662365237,3.4985235894568785,0.28687704257555546,0.024906458489238004,0.0012056351647598829,0.00121253463531025,0.00010772261541042161,9.59261692523583e-06,3.3026650029202576e-05,1.3247570756269589e-05,1.660472497203025e-05,3.4291545769615794e-07,5.611423395501802e-06,0.00017788474331653648,1.778910781680132e-06,0.00043281389806326676,0.0002275689845533252,9.55388115291278e-05,5.3418279229999754e-05,0.0015209291656412133,0.00016079110971378707,0.0042424820368766325,0.033132265357970994,0.0007619310682162039,0.10458531417845573,0.0012534878380880549,3.253603239872227e-05,0.0035821734993771726,4.93978259089034e-06,1.9832603056768594e-06,1.0942379933126523e-06,2.1812143791155592e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12726287785540813,0.01170477448331908,0.011946301879757204,2.0759009720761057e-05,5.8179508815037195e-06,4.41923066751837e-06,6.216376768897192e-08,6.912759855648432e-07,9.045884574732099e-08,3.1321278237683714e-07,7.121669476362058e-09,6.587084588893788e-08,6.658724407415662e-07,1.0618576018472936e-08,3.611276548909359e-07,1.7970900914043852e-06,3.2859837451049145e-07,3.510734081224598e-08,2.27567685242569e-05,5.052799654681195e-06,8.359301258153984e-05,0.0005120390621319304,2.387814692816903e-05,0.002341383660536156,4.5663571089593624e-05,1.7207892333281904e-07,7.060990032825565e-05,1.4768313527646626e-07,3.277861315709174e-08,3.8475220121014786e-08,8.202993839745432e-09
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.037955236156845,0.12717537365998477,0.0008754756649146378,0.0009212816083182251,9.552635326848247e-05,4.265819130044868e-06,2.2534978357330315e-05,1.3269504573587554e-05,2.138629043241247e-05,2.425008465145595e-07,1.2528656452293063e-06,8.923720538564495e-05,2.2369600933824785e-06,0.0002354474198975609,0.00024946730747121837,9.179772124490171e-05,2.373074705008804e-05,0.0014068969891355698,0.000161372680606231,0.004040401987456865,0.023878118910125007,0.0007446608614476435,0.06191843722403134,0.00973580225476331,0.0003432138725515399,0.01922512232730711,3.085455054285813e-06,1.4036102069792111e-06,5.923464499735243e-07,9.473518258751312e-08
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775185384024302,0.00017721556062887112,0.00016619439268308195,1.7193841094637063e-05,5.511486248499509e-07,6.5580275420557e-06,2.7517916856290014e-06,1.2505907482501799e-05,2.1454383336561023e-07,4.1829491526090834e-07,3.250796975795556e-05,2.0341071826912582e-07,3.1846911088928564e-05,0.0003637306392348244,1.7937355364483487e-05,3.147192497654494e-05,0.0013792471180976568,0.00010160489695310027,0.0060936974320923015,0.002007861354458268,6.860447445755646e-05,0.002731458664455566,0.05244986964137534,0.0008425138752571337,0.1666965879515604,8.954207641742595e-07,5.866983689636895e-07,1.2858617721989152e-07,1.5005665709999505e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27597895456244e-05,3.81270565712466e-05,1.8173062129589468e-06,1.7503695204368341e-07,8.323243407826197e-07,3.7463057966924396e-07,1.244589196924828e-06,3.9738617951812216e-08,1.5498020422555214e-08,2.5194937052219757e-06,2.387804842740593e-08,9.89843578214078e-07,2.7898530559067325e-05,6.575900826089054e-07,2.2526298728564598e-06,8.056741316420091e-05,3.678738475842991e-06,0.0003121708955911018,9.979530340142873e-05,5.074990093500986e-06,7.671818659704677e-05,0.0014164084884865646,0.00010851843119397131,0.0015003139909361973,1.3890122152471207e-07,8.23478584210946e-08,2.7014938175362602e-08,1.0447005482916438e-09
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7233664268947715,3.6278632110769578,0.14478526563515715,0.27474177930018145,0.028484237629471387,0.0309576933278167,0.0009572044007475355,0.0034701298721460105,0.013953027757580838,0.001233557445300848,0.015582366708923878,0.0017966213523714358,4.549789487540146e-05,0.00039963318646796253,0.00020326975929030322,6.074300891056872e-06,5.762200176692711e-05,9.034390379020207e-05,3.511922363230724e-05,1.681391495012008e-05,1.4748597710306788e-05,6.343745426740099e-07,5.025422232796117e-06,0.02827508579739066,0.006574790291923982,0.005475244128125112,0.0012098659408807944
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546336876903958,0.025152094737773356,0.0668890591557911,0.03828617011754343,0.011514585954798706,0.001014191966550393,0.0015341512880321373,0.030754247877151406,0.0076019678496535015,0.01553320547617476,0.004799789440228713,0.00016232141748695472,0.0002620062521165867,0.0002607931835164057,5.450102870674378e-06,0.00010873712267320257,6.855581197653948e-05,0.00011997844020172899,2.6364367570752556e-05,4.195509644677742e-05,2.329722221805497e-07,3.2750243041945737e-06,0.009029018516926751,0.004147469240110363,0.0013874038931993987,0.000313267751832047
N23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730484071710597,2.8603960765800913,0.09712880909051713,0.17802273319924444,0.009911843627629313,0.025710588735580853,0.014933319915745091,0.00086460925911791,0.0047743688885542035,0.0023867341412697474,7.433287121727528e-05,0.0003689706858933661,0.0004168222051791348,1.988033221478336e-05,9.716242939919462e-05,6.492164302555892e-05,0.00015593752965714636,2.5988773986185265e-06,2.1968800186511483e-05,8.268677875733488e-07,4.278551010705733e-06,0.18986078774759643,0.05609299101365532,0.027581583563061576,0.005205181723888175
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09424513090441111,0.016575656381135007,0.007841513732835259,0.0006593742985145923,0.0003186099084513394,0.000679385659559606,0.00012204848946062441,5.322788511818999e-05,0.0001346499932391998,2.3239997122281864e-06,3.584823949820404e-05,1.9324435055145806e-05,3.608568259760858e-07,6.247850388052534e-06,1.7186067591268284e-06,9.245322623030461e-07,3.41213572951915e-08,2.2447590372065562e-06,1.9192361477848863e-08,3.157171029055661e-07,0.03374540781983826,0.07849650473404401,0.0053468306718988945,0.00017781147224105176
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696901538350862,2.7040837620284304,0.08221307997925198,0.09099065251214378,0.16732601681340883,0.007978073897631832,0.008069077511306588,0.03286228298571575,0.0009138035808891054,0.00043991264413101305,0.005690099140134464,0.00034093057852024877,0.0010196329350474487,0.0003759197551144039,6.812239323328306e-05,9.492729753701745e-06,0.00040609728209220486,6.542344507920461e-06,2.8759623312057947e-05,2.566232917219508,0.28057920667787806,0.2200967201549527,0.05310070107193854
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08156798293747047,0.03239096743960945,0.003325567952152886,0.011730297705132564,0.004419241559844522,0.00025871398365384657,0.000933936005555247,0.00042303594186510196,1.4306725250712304e-05,0.0001569247685925257,4.078120970252286e-06,5.139244140228705e-05,2.7251800461591813e-05,3.1819372120489575e-05,4.129045521050756e-07,2.1657023843046908e-05,2.0117151544596368e-07,1.9227703562663123e-07,0.1090254363032388,0.029837723713638353,0.010553727308510785,0.0005618713987221025
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8017298830236328,2.0805812243490958,2.6879387673984803,0.08478312130105103,0.0851632582572679,0.1819150834538025,0.010738883195002158,0.0053725751097803975,0.03240767023578972,0.0011354031486083827,0.005377972212274068,0.0018571390767180285,0.0005227513857503086,6.431390478278676e-05,0.0017375407851931285,3.3721754999049836e-05,9.832013375643545e-05,0.18854657115717713,0.04143510143118574,0.03581173277010283,0.0023144711407901974
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390049855887108,0.08462428945284883,0.034163049816602564,0.004305888271641356,0.01015493812877577,0.005881810084948702,0.00015803539447056814,0.000877761729891402,0.0001952117081034377,0.00012131753534805334,7.054051976251863e-05,5.935085098274229e-05,4.004283950642673e-06,4.2722648388116014e-05,2.901811670508181e-06,1.8172674371985664e-06,0.008044017354783328,0.0012669789013936006,0.0007931152630014093,0.00017946648392186404
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084761382118683,0.005158250536877462,0.032804943968554046,0.007726444451462644,0.00018781119611821495,0.002395486344004105,0.00046913374308532596,2.1235022666044046e-05,0.0006775595720895922,0.00039063876156686383,6.68092685123245e-05,1.95599740229202e-05,3.6205278589607204e-05,3.1439092222917964e-06,6.0685422362816155e-06,0.011998559236606754,0.001990792949034148,0.019692743425828385,0.0003925022041235682
C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7700016412157875,2.0533672215673073,2.8102111485762062,0.07971349518625015,0.08481763126153397,0.18081940897541654,0.005859517013831583,0.038373693259320774,0.01701360428718582,0.005348352719915295,0.0003586022493651253,0.010693587431348586,0.00014715169629586633,0.00021303018999607737,0.029206324589698518,0.007391181524029872,0.005570391323253224,0.00041680462404414254
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025130988771658647,0.09036542539883774,0.03486663450115857,0.007203700773734223,0.0057410508376538605,0.0004777878355946008,0.0005884142316061602,0.0005859333945427148,5.8822206654651765e-05,1.9096802104989763e-05,0.0001658754965911946,1.5277741298724834e-05,3.8424649504431585e-06,0.0008361246517372134,0.00027046581194711816,0.00011788453289618417,7.941505615782773e-06
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09096238623132047,0.0035948225503279474,0.03232095141954261,0.008904180024850383,0.00022944151047687988,0.007637457671960446,0.015204023041297532,0.0033764022322386733,8.399641585876694e-05,0.0012493629762112546,1.7738753751439518e-05,6.989862116735246e-05,0.0009000860899577301,0.00020797753926060647,0.0004556773562454097,0.00016090338967611473
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8411605485229636,2.047965453490667,2.699249503215403,0.09178005980531889,0.2660225854051319,0.04098699326815067,0.027166573155016582,0.0019326912024527632,0.04611267959359297,0.0016174078304772577,0.003981588350226883,0.005880607305770086,0.00200675863626823,0.000609855336215881,9.262970189416464e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02734568074893562,0.09434840254678445,0.016430721408015492,0.016148089568009283,0.012868588855309615,0.018435834242491733,0.00041391068602236736,0.0033106490643133313,0.0005299148240096585,0.0001907055162797544,7.814595209487685e-05,4.446262505719556e-05,1.4981484497966768e-05,4.24760324024831e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11301560180171066,0.009528913379947657,0.021635292792080874,0.003332185536498944,0.0008421474488173875,0.00014547289895405768,0.002520869721446828,0.00010655273719062386,0.0005605604057821179,4.2037814973916454e-05,1.5790931713111078e-05,3.115039237977513e-05,4.612395103853473e-06
