 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,C25,H26,C27,H28,H29,C30,H31,H32,C33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08628797360406126,0.004612300756924981,0.03288962216812408,0.010667195753877756,0.00015275039821105452,0.0041994339386983714,0.000970306189787884,5.171205081055952e-05,2.6659573652443314e-05,0.000730605576314991,0.003405801555731891,0.00035495200569279906,0.0004637477120013056,0.00010675906713730754,6.847763778239369e-07,2.2852155444175182e-05,8.369339973057777e-06,3.834140465119873e-07,7.835532638722498e-06,2.109712263775876e-06,4.770743777804398e-08,0.00013002705946218995,7.140334101607415e-05,1.137853059218763e-05,1.9430058767699876e-05,5.697357753287058e-05,4.1106771574428436e-06,9.63457285729774e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0655186036565785,2.0190066877956676,2.8585900443783254,0.08141221188096093,0.0854645408927579,0.16722446671563523,0.023290158194479105,0.013311068534549553,0.012972469747704829,0.005772741537782816,0.0018039393454864633,0.001122647109838254,0.00018297468753794566,1.8847359792406593e-05,1.8172845646591274e-05,3.2396576006288313e-06,1.2978964003540483e-07,1.4786984216974552e-05,6.222702928493362e-07,2.9527229037373814e-06,8.252635647532092e-05,4.8204196410495115e-05,2.3018248306971856e-05,7.715789184625788e-05,3.478404518715561e-05,1.6671509443400012e-05,3.823511724898587e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022540651884022322,0.09518746827779112,0.03477441374712442,0.005213764106550833,0.008612190688493726,0.0006569095365120958,0.007585077881087532,0.00017838350874699316,0.00010105072673960436,0.00010027717100546951,3.356867722037471e-05,4.684764723483781e-06,7.219944690994851e-07,3.3082027983688533e-07,5.8120644741421756e-08,1.4666494019266452e-08,8.319841753312573e-07,3.296211921188785e-07,1.3236981732944741e-07,8.37512621232328e-06,1.1429879253066488e-05,1.2315050659239546e-06,2.4411198915608168e-06,9.249658533549976e-07,4.6763719685483096e-07,1.2304403673724096e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677728276616837,0.005517329640077895,0.03502560027152124,0.007795119718822741,0.0005212345013978492,0.00016701752159353767,0.007073364290885786,0.0001243801659192023,2.6042244333557285e-05,3.16802345960987e-05,5.074784319214487e-06,6.010448732052254e-07,8.579754797732875e-07,2.5161469707768447e-07,6.289770260181626e-09,1.2983476227468316e-06,8.347658564389349e-08,6.398488561210058e-08,8.574326311405756e-06,1.9894080587334884e-06,4.591021007804841e-07,3.0598046132368495e-06,5.4371457457458305e-06,1.1207907623100866e-06,2.7640050181965137e-07
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092699144013268,2.0174375271946814,2.585817582729791,0.07450539033076664,0.07489742716895997,0.07476804059502995,0.0018259312984861276,0.0006043454965247025,0.0003968654232337776,7.290899340134382e-05,7.620925032703063e-06,6.335691583730929e-06,1.3270575331958412e-06,8.035255394389651e-08,4.548792477049313e-06,2.6423553234344865e-07,9.294909233403814e-07,2.621373972047647e-05,1.3981721200817532e-05,6.49779974959408e-06,3.117835541527336e-05,6.664673404169208e-06,8.19018427190843e-06,1.7927197858425004e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026945541650866822,0.0908431743743946,0.004637491422635254,0.02743872927128077,0.004669044205458217,2.8080815694275785e-05,1.728070046114194e-05,3.643191566982118e-06,8.368046403584017e-07,5.769008804001885e-08,1.2129141324646042e-07,4.949383036745303e-08,7.597546369808583e-09,1.0958089835533258e-07,2.4418295385686406e-08,1.669000493365047e-09,9.669492787578449e-07,8.144381249408639e-07,2.1589489263007522e-07,2.991967298360265e-07,4.3865638910123295e-07,1.0284817242300903e-07,1.2172870933468971e-08
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117500990106842,0.004586886866780215,0.004757213009673578,0.027445220689131355,2.4658953048151133e-05,9.55758889709113e-06,5.994697853561881e-06,1.0108562802368937e-06,1.915913427907867e-07,1.099707394036642e-07,7.41056016551056e-09,7.32958405080808e-09,2.0938543532356135e-07,1.616485945099555e-08,3.4271141702291175e-08,1.6118112887708591e-06,1.4083443449219857e-06,1.705267060891913e-08,8.505099056144161e-07,1.5809215436757285e-06,3.396083338991218e-07,5.930022717315353e-08
N18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9061537309461052,1.9292989858561862,1.8827446561472772,0.0005900236714567603,0.00023134827580513495,0.00012791745442827795,2.4530453716670175e-05,2.311487622863595e-06,2.224329732278263e-06,4.5347678689910964e-07,1.5420848265002007e-08,1.6827590253731817e-06,2.708659518901868e-08,3.2815770978356085e-07,7.460791005720058e-06,2.028314707636092e-06,2.307772523635343e-06,1.0441605031427659e-05,2.0122295141811186e-06,2.8004403951342738e-06,5.971696678264138e-07
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03000679707190157,0.029944285379374103,9.419921993802927e-05,4.2692734926630393e-05,2.1087088013960198e-05,4.163110983390617e-06,4.0169351378516183e-07,3.0184590693593805e-07,1.0528115690355833e-07,1.4859975472347742e-09,2.5863538677395326e-07,3.454730279628393e-09,6.997035173483823e-08,9.316436622164304e-07,3.734103799502009e-07,4.782015428084208e-07,1.8153271851284458e-06,3.112909722213786e-07,4.14384153102354e-07,9.962699554222354e-08
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029132603523295053,1.446305046504115e-05,7.99505188564531e-06,2.670427228679273e-06,5.039373331960917e-07,7.089023434936337e-08,4.95282107548789e-08,1.6203004271631016e-08,4.476568005173931e-10,8.09986292482634e-08,1.4048868735017095e-08,9.355723973314412e-09,3.846403429097478e-07,7.671331236913659e-08,1.434175362913237e-07,2.0533500799668758e-07,6.622235904085727e-08,4.428317379456814e-08,1.070444355377731e-08
