,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25C,26H,27C,28H,29H,30C,31H,32H,33C,34H,35H,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174605734445563,2.517905519816203,3.0849186298458364,2.750853884026053,3.160647270025214,2.5778478331579042,4.1686335978107545,4.819826513464963,4.346734523919275,4.691596354849433,4.098503352457278,4.603879067843416,5.069776653489034,6.385276326672139,6.7782479889575376,7.3555266198202744,8.259797415555234,7.757374532260728,6.7193517678771135,6.820364549294168,7.381946389502716,5.2903584029278194,4.674562706680853,5.445360403627053,6.601063848070612,6.082155653695266,7.789276016990235,8.076034466015969
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995347421924897,1.0997971941297775,1.5226077611154591,2.191586234043514,2.1862330738454947,2.515054082709851,3.4222934118630377,2.737335969622197,2.7401366131544775,5.015913844516794,5.475947763282416,5.780427031948814,6.907388983418438,7.4969146708978345,7.841863104692909,8.563744735362512,8.494711892748267,7.069812997545754,6.825829700011142,7.790959627747069,5.912622516570009,5.06725548181831,6.386526351246075,6.673061274038639,5.814716699754209,7.839240520229183,7.878000482150291
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7707263316973307,2.155481932754151,3.086319477241651,2.5248553385534724,2.7314174211896396,3.6830812327661713,2.5234192672148676,3.046280358274635,5.048524109986127,5.259312752205326,5.962152671861664,6.968329141793141,7.4524402998240085,8.06567229908126,8.745329053971465,8.736618610311401,7.477738877421599,7.227787479737328,8.29882019657842,6.34582482247982,5.615589211419849,6.8816172489257665,6.6081305099914855,5.770582093501599,7.661761506609588,7.638686240550575
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159946936756775,2.5249213769726446,3.0865782184957986,2.7540257111620345,3.7027674690385397,3.074203567587242,2.5510512283834865,5.195300105743247,5.72487295224927,5.747569651642604,6.772212958999871,7.480372307846849,7.59619055465777,8.224185213213811,8.347499048785025,6.73606313359739,6.338681669990944,7.4444933275779075,5.758628672303919,4.834824437723081,6.359117679194773,6.388554263486698,5.404719489875882,7.555196315797506,7.512731286730749
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093030162684937,1.092982314645693,1.5351703943309563,2.148160059969674,2.128570629480971,2.1304093042158527,6.337871963463211,6.83308119842387,7.109314573382558,8.318441181478807,8.901792498139777,9.18544871945501,9.947198522904019,9.784330230267349,8.312163937921758,8.097030165684524,8.932203773210203,7.104294115645446,6.206652597830798,7.44316040139143,8.165534053538563,7.310914334714288,9.351097829168792,9.397886904233529
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7798863304337549,2.112680882067598,2.425543342326052,2.9791730206734752,2.4388813678347536,6.66590435650315,7.323348643280295,7.287144315838689,8.553311548210237,9.211444139787172,9.260070205917007,10.038010869529316,9.833238301886192,8.241202657794682,8.031472866633596,8.744490014245812,7.059607575062768,6.094923729164455,7.323872687724431,8.493393573382395,7.637753722375562,9.741373358578782,9.828198200266929
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.112647408190858,2.4273363572257534,2.4338357251906273,2.9804045579847016,6.527774164914896,6.941947158405512,7.434982712451101,8.688943403317523,9.166397211390008,9.628820009470441,10.451286994981682,10.142812246802812,8.83912498399471,8.735524499848557,9.463410579718936,7.52456050410672,6.7117000063584005,7.7570260153229205,8.644382536261702,7.889111439705278,9.809609312100697,9.91333815364342
18N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0278863084404737,1.0280591434792872,1.027990211648222,7.522369080648471,7.9053686817279365,8.283025074895246,9.378703830697471,9.982387567462977,10.277897918774885,10.94852861226477,10.966138162756458,9.417603800250376,9.068898286686261,10.074432162359944,8.326137244438295,7.400264657438261,8.773068325809072,9.018104680334819,8.054789141873053,10.126238579169634,10.036630253394677
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6607849835158912,1.6610634036152578,8.408448352287419,8.816202232563265,9.174863102887374,10.31749740835807,10.918193501123424,11.185411080954552,11.881303446458956,11.843427384679524,10.277334262639636,9.951065232273466,10.88384024389878,9.15624252484533,8.212352002168718,9.536060710234105,10.00856375496307,9.054534477975023,11.133655203618604,11.057745890786922
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6536533699163825,7.550325239365039,7.774112210861301,8.411393615518858,9.430745217402565,9.960454458138022,10.448872057983118,11.093142100471635,11.1517795709852,9.717919846893201,9.366913675554004,10.456526084254945,8.627879070052558,7.770360312680682,9.123681513773095,8.984854669264351,8.037442497632208,10.010298579554895,9.874793767475632
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.660311713442221,8.090891346002909,8.288877908713726,9.312695488173274,9.996930132795256,10.1326090934184,10.730341589024826,10.889731076074769,9.215321547680638,8.759874391484923,9.856805671805025,8.253821317254703,7.28203664839765,8.784654311161722,8.846910296313961,7.805067128696989,9.944660620044028,9.791323348093261
22C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231489099028059,1.359794524772326,2.4309249424640584,2.681543710782034,3.650534072483594,4.541124441792946,4.013531340766332,3.6926725495973023,4.068548291154599,4.59994421786921,2.5462031483066685,2.826113223950101,2.9832157143215907,3.0507889393611882,3.2040422742777057,4.139165382196884,4.7352825609105444
23O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2662731613024953,2.7308632099530468,2.586964754270011,4.194273316579244,4.936223282850909,4.53455334471423,4.585062506280042,4.904591476762497,5.551252820902879,3.657731800774772,3.9997626615705184,4.1074534563808855,3.0788431335290958,3.3782645172636525,3.8634059654340973,4.415827868001831
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4616705432252906,2.1144106898643544,2.3566689760855004,3.305150222077748,2.803726446134159,2.369208547803982,2.8644763861619453,3.2971847578205224,1.4738828882831265,2.1341974508903094,2.1228604850180806,2.451361402036566,2.791360451478265,3.6133881961671643,4.3131050472453705
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092067901006411,1.5450023990733144,2.2081351443929966,2.164852715374905,2.4133561937900425,2.8121970204120004,3.385194423136099,2.4443642154095837,3.2381864519064743,3.1285738592103454,1.5311812464495629,2.4419625166319037,2.3722867061530994,3.215181558175196
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.212122697882026,2.7515538089625733,2.4028042730017494,3.3599725187615106,3.8696434400681152,4.2197761456602505,3.283718264701319,4.144763136305249,3.7372490158720235,2.1433572887184464,3.2124306527589384,2.493523475565076,3.427511689951707
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0931482838310222,1.0957262833429469,1.5383029685274583,2.1718895698862535,2.2092447970989113,2.4207329885269218,3.3421578003995247,2.9428371349594533,2.5403308893604293,3.316657124874001,3.151052856264619,3.955908115494126
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7696001795508556,2.21457807522086,2.4583586803928834,2.7236352639180876,3.393337620402849,4.195401649616024,3.9838002427369754,2.665972687114052,3.47539926395035,2.884816616277754,3.593902603563859
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1833237190129378,3.07070733188298,2.468345180744738,2.825319193089061,3.878633762219594,2.9446831513618,3.444051514006898,4.318073845157161,3.9090593686538315,4.799366569449057
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095026173374543,1.0935189447138134,1.5396251294767256,2.195263547914785,2.1930198804853145,3.155220871049551,3.408294433881381,4.136474590639192,4.759296429571541
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.772655893917647,2.1685595083574634,2.374095983641338,3.0473744625747434,2.9954121871224593,2.9345208397842577,3.989307846856341,4.409432939683844
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19933627669369,2.7610941443248906,2.414747109672659,4.20829471738127,4.467698873258179,5.090854376427973,5.720670958926799
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948585050363602,1.0985696917880505,3.3653732916983854,3.4719975926029476,4.57286189860222,5.216570566868888
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7765799576137633,3.7971918453884688,3.5410285927538148,5.104754215456312,5.5975055760063945
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298151100064927,4.5256029686975525,5.425006808012061,6.1515424789473485
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2122100932378157,1.3473099553672125,1.8821541082739166
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257913900371561,2.3085819552387483
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976611355997276
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
