 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,N24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,O37,H38
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688555821253546,3.6356624402609343,0.13469863156425477,0.26603194488768667,0.022407717257354243,0.03322055583177161,0.003109767074508829,0.007332859106321532,0.0031231371634512783,0.0032001606428978535,0.0013801189348794374,0.0003917213560181987,0.0004241808609769804,1.0131161775062125e-05,0.00030463009354955717,0.00016567482394566624,2.968965830718595e-05,4.5004426269090736e-05,1.99403561507161e-06,3.918140028760786e-05,5.758208256878561e-07,0.00010018257401397945,1.6116415286759889e-06,0.029191315965389125,0.006970402634664946,0.005944984615304752,0.0012370984273052388
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5498158802043329,0.024855543226694587,0.06379825567976098,0.027793728815158847,0.024209130116312413,0.0009743583216611507,0.024629704114003892,0.002981010867313519,0.0013511129372621583,0.000228286530757571,0.0004889373802428598,0.00022374324167398485,4.8099023144398956e-06,0.00012144921092514804,7.766615603498062e-05,1.8659567638135144e-05,2.6176718763953888e-05,3.32540415870497e-06,2.1845023901595484e-05,8.970459285384536e-07,3.014547382720889e-05,4.5487225552864885e-07,0.007468759495370916,0.003985598214438668,0.0012339748910385612,0.00023222919635457195
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7377597241639815,2.724242771864671,0.09893717300875138,0.17087086656628508,0.024928943231539602,0.007164132061204809,0.020621254531296235,0.016168858668145186,0.0017037103502177686,0.0018036502106536234,0.0020940823669916148,4.0778116239925666e-05,0.0011014475732558093,0.0006593956853440941,7.970033501081275e-05,0.0001770405373585915,2.1456289482912894e-06,0.00015088597867438103,2.0946707761648753e-06,0.0003983316452513541,1.47765289826296e-06,0.19414704870070573,0.06064600715062296,0.027149802990815694,0.005211646235313672
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09575435070953653,0.017341898206410633,0.00858064683452231,0.0004997938475144181,0.00014314765064682433,0.0018475777556885564,0.0013441662717929015,2.5807797386701026e-05,0.00011709933790560179,0.00014631741290171973,2.8751860134956786e-06,0.00014203282613689527,6.814663419330014e-05,5.006013934716336e-06,1.4453065014130573e-05,4.623844040985148e-08,1.3769415537656648e-05,1.009639776228255e-07,5.420022946589498e-05,8.041184740292806e-08,0.035303027316060276,0.08309075732098803,0.005683835056064623,0.00018071476415282284
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.094621109480089,2.5314680945082593,0.09174652874666633,0.10031301312481156,0.16285261335071904,0.05280550444977705,0.00034766832622845634,0.01974236593208073,0.013686652580572806,0.0001813951816795889,0.004239522711259047,0.0018373426871993448,0.0004431843951033798,0.0007120474067116023,4.932340844887584e-05,0.0015459478545098715,3.884592398639697e-06,0.0007714133505055676,4.699270336194772e-06,2.5404265895275695,0.2746681867617239,0.21827586285523584,0.05272133201893159
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08587994676167543,0.004621872068573785,0.007175135118406173,0.02254369023586511,0.0052283659519433145,6.992710583841877e-05,0.0020247529340956527,0.0016314583801279037,3.992170123656713e-05,0.00046280399825315843,0.00011615181993385182,3.182692163083978e-05,9.162060214928935e-05,1.485185446248316e-05,0.00014690096100677952,2.0317448035100938e-07,3.740469282398351e-05,6.019495757403348e-07,0.11387676334039609,0.03219808543909142,0.010665640808022347,0.0005994399325053301
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.827276979702545,1.7804709702855077,2.9337739801626115,0.25753878980087497,0.006236101565762819,0.18932036692572224,0.04890279334530494,0.002509627778946477,0.03405801845581527,0.01467407063114598,0.0030855671106899685,0.0050728414119314835,0.0010773078268278002,0.0038882193797761533,0.00013964814391398406,0.002307885072954069,6.265009990524817e-05,0.18325879734163908,0.04449292168475118,0.02808539589185577,0.0017651468177523055
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026058250996860988,0.10306385859113165,0.030702088731504817,0.00019203270928302985,0.011043820994477205,0.005075234081937996,0.0007270700631192284,0.0014574154027757746,0.003655400400873976,0.0035268904926613054,0.00044037384248385436,4.678929615642424e-05,0.00081812767138989,4.879510529565145e-05,0.0005696082849495632,2.3936449931261095e-05,0.00709659190022216,0.001002940461186097,0.010188383963841807,0.00024430761998894823
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10691405335981785,0.017232193244074878,0.0021445530487027575,0.02308755939622653,0.0028683448760479235,7.925646324236091e-05,0.0030738815462418856,0.0012412522468883136,0.00010161806995134803,0.000653411071777743,9.934090596863676e-05,0.0005779966448737905,1.6795583352768872e-05,0.00020485493689781364,3.1610088440103823e-06,0.02606932102499937,0.004590915976447341,0.0037767194073500265,0.0002475377380490862
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.005509340938471,0.11751100380393997,3.1668788698338917,0.49266438750822183,0.025726533158237475,0.3407465845903068,0.22819997942727638,0.007984879314032023,0.039267925507432855,0.0038178250300531236,0.07191254593240243,0.0029135289054771363,0.025418056269984113,0.00036393339143625525,0.017437879510815824,0.0029790244915937347,0.0023263633696333913,0.00023215899774409188
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1298111051797726,0.39170490304234906,3.389002641055378,0.1113149446294891,0.46302246941543923,0.11034285189401546,0.0007910089325784408,0.0748052539359382,0.0006790209617910659,0.031208710793284272,0.0009339902547276235,0.0789361357530198,0.000914198596334348,0.004531760342376845,0.0008585624556942117,0.0008738066072881273,4.12798638509404e-05
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030727597523499073,0.10118807042256761,0.004846468389341663,0.02791555530190659,0.003015763041595232,6.56600513024852e-05,0.002788142913113356,4.561041039741198e-05,0.0009785919020648404,0.000112245874767547,0.0009495168810080834,0.00010916737085153727,0.00016674856489662382,1.8831764252547067e-05,3.049068416627332e-05,1.7380306067682483e-06
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3869196193008603,0.030892769164237555,3.370179527268856,3.5807755920635307,0.13103190742904425,0.2842111048817743,0.02684829015193846,0.3384468700936654,0.027943160188194094,0.23185090082772525,0.003957364908874217,0.006661112746043418,0.001609928421062709,0.0014568357029527135,0.00040173042942714954
N24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.750013014949909,3.3654168242062266,0.04621238623239529,0.004143981947758668,0.2512325002865728,0.007189974335381377,0.04890578617388183,0.00044767940038803467,0.06597158326303898,0.003088612226418652,0.001661591370859694,0.0002292622729045679,0.0001443789402535839,2.295021191101032e-05
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11811925634772336,0.0035155183993895722,0.0013967190807140373,0.007190809044874569,0.003417922018888575,0.0005596114103347816,4.1100689716078165e-05,0.0005849515139442207,7.030103249072717e-05,6.1001500383239815e-06,1.0571517089497107e-06,1.199254591210952e-05,6.724992332118873e-06
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29850059355751934,0.027378730433337273,3.4893121606952833,0.13192190859390363,0.22860706350939514,0.00403425548515135,0.35321990977616236,0.02842116557910046,0.0007570142134357694,0.0005100011168618079,0.00030338801611103083,7.358364469400858e-05
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9770644209630908,0.3093228545160847,0.0036282540839596145,3.7842570325999514,0.13021647008348314,0.3187481381132291,0.026053360941057813,0.005357639473209219,0.001205761872029254,0.011646688539077396,0.0022598412550531854
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035577878864763157,0.0007633808449525326,0.12712743604088295,0.008516390056237055,0.027210103599293767,0.001111038029526945,0.002817504933051218,0.0011951820396227664,0.02074061868912913,0.001542420289585067
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9899372048736566,0.3197820712612488,0.026107280921212173,3.988713327542145,0.13389488921609538,0.00041260172382370786,0.0001222057179324776,0.00028626773408324535,0.0002132117301099079
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027367872280447347,0.0010573100347495146,0.12761702366258443,0.00840542682677059,1.640888796039519e-05,9.430417970968108e-06,7.673450507450497e-06,1.801676792423379e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9987067527394775,3.69993360245978,0.12483267842671464,0.0005215337056229952,0.0002331650189766471,0.0015961778378263958,0.0005021750353993992
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12519570625087129,0.008111013625911934,1.6941676101334124e-05,6.721160579648e-06,4.37327866050774e-05,1.063372062048984e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0379004358092745,0.0006587996745910374,0.000269314673007337,0.00037894350322510706,0.00011240000057444188
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4261828359618534e-05,2.4983169712999853e-06,4.1367633807687376e-05,1.0917200712334818e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21936509132946,3.3514884883697125,0.1655582170768395
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5101813785041575,0.06531711435377374
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.551210670419722
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
