,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24N,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37O,38H
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2292315135298522,1.3582971159987027,2.067812847013494,2.4611579807215858,2.650907084732917,3.228331018047741,4.16393906055654,2.95736634880168,3.8883170550846993,3.9166035111796926,3.484858917677774,5.182371649401902,5.1454553506744185,5.703088023430159,5.815096875910625,6.136594368687771,6.079316749225135,7.150222890149768,7.781402963337669,7.391735320344984,8.201031450713591,7.829877130468218,8.883602032340201,3.660170469494896,3.985510988588587,4.762742604787805,5.5014009885314366
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273006871024767,3.174325589854925,2.810110737825744,2.616880135764568,3.2781116769983885,4.060281808798892,2.666015907725477,4.220387566443833,4.335787428047598,3.82660952188238,5.61060682426314,5.677891434196576,6.256796817742411,6.3501356078196665,6.523736026607161,6.3592639592955695,7.7308667717452195,8.40304806105832,7.8515922603360115,8.630796198306363,8.377000937027658,9.45593470347889,4.226245547418663,4.818403177039254,5.091513207848729,5.946363221591067
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011212223730977,1.4485175458897959,2.081373553958901,2.5124034497015226,3.422627056978826,2.7295767374932365,3.0705228741328043,3.396542663780513,3.349413675794091,4.173315723410807,4.509503412265459,5.209200249489115,4.919231439723998,5.000374710552867,4.93453802012185,6.185800095357828,6.900238294856115,6.225430046145984,6.991676453643034,6.7319759659904195,7.769511228184737,2.3862348837973006,2.669398010170598,3.593872176235004,4.258854360411698
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101296474474887,2.864203719407713,3.1765530415312457,4.062079594597536,3.5804224617384857,3.380232408376543,3.5991875699215092,3.6552259733993835,4.23879970289725,4.47426895599275,5.116840417597036,4.829913230017422,5.035447710506333,5.076680760644059,5.9829976771486235,6.638905447636252,6.12609769941639,6.8918498301188444,6.53385924752725,7.517799295999034,2.4190080793746938,2.2109556772545966,3.758235843439256,4.221615547623844
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973867043009402,1.562561998730149,2.1648761955069253,2.1298251429605717,2.587372109700631,3.464687328092085,3.7245717622828365,3.5638139696417803,4.578265794888317,5.454214397950463,4.6547136810626215,4.105317630628163,3.8021840681822003,5.882615912164084,6.757601194971515,5.428713255487531,6.078304556169983,6.185602288595814,7.235058590526889,1.519589230200722,2.4265722652482205,2.3808174178225463,3.212329163050458
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1524681049684857,2.4287866152112603,2.38590136254439,3.4847540013224814,4.377733221014495,4.515539286965253,4.485311312340378,5.570085209760116,6.440207848552934,5.653229333190049,4.887786048498607,4.39597083981609,6.881369453938993,7.784072432043796,6.240074222640166,6.792427522878839,7.110518521926957,8.154946570745336,2.1362564050256694,3.131717617419324,2.6040687330711734,3.5028928552710084
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959217026598602,1.0944904279427916,1.5010284963852472,2.5631211335158937,2.967196249942891,2.6467046759568853,3.7119435236616587,4.629271750625073,3.775153493960731,3.3522819678010674,3.1801382375179084,5.060679669236283,5.947376715581736,4.720321082868499,5.458743123476318,5.422680967757626,6.502539600804417,2.5656708487176116,3.5089362328883436,2.9839165047239624,3.8435263740425185
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7609984922034736,2.148722188420535,3.393158752187386,3.917351236191173,2.837696057867684,4.37139353170282,5.331574838289525,4.149322073482001,3.107520494651116,2.6484183088850752,5.287113699633915,6.261789989458655,4.479960808859965,5.05551457483549,5.398109796547727,6.4392972011682925,2.7983882141962866,3.897207461790976,2.6842432936241787,3.554650459928525
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1451377321577803,2.7521170518635976,2.779053052160278,3.4720205575211387,4.060383410012484,4.855312980324825,4.409995511799076,4.309294086256941,4.170416581828034,5.756656445725103,6.555124055360371,5.650784847566783,6.419916035628618,6.257524095266184,7.340030436367804,3.4592513950312505,4.383088817475565,3.919801691580166,4.831986722452024
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3748847679436933,2.224123154757263,1.4462052547481927,2.260316311204859,3.2257581808545672,2.3102661592550144,2.629052881080079,2.9671322485110143,3.6523167845224767,4.479728202910587,3.825134163673396,4.751463969360546,4.2213345144148215,5.306290170686078,3.13450794617216,3.7043819839989918,3.679066913146538,4.306580610772918
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820584922056604,2.2564874671448014,1.3817392365201315,2.1291286283263235,2.252018632707125,3.6509109850262247,4.21487909861402,3.624656113454716,4.163976324801991,4.596395896340382,5.630166142790171,4.586680732625497,5.614581655333131,4.1601900993708325,4.4899420058343615,4.929498824863178,5.519823134408886
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3204776624948784,2.1442915727652445,2.515427293997262,3.2694552276312123,4.6980437311329455,5.179043473605397,4.59657539234947,5.003991910970479,5.677320814421542,6.706662110782285,5.636646805164982,6.644352781759728,4.686311743784776,5.015037562217041,5.5727140943629925,6.239833153149232
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256663600600158,3.2314133842513666,1.4233741631532288,1.4077456725615147,2.170128589551783,2.4745206716170847,3.461426897644768,2.4125064098690596,3.3993514577281925,2.806081317570081,3.892676346652658,3.5265187232105766,3.911809564001489,3.7904851926193035,4.14771323976299
24N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081940896698,1.3806759330943594,3.577722120312892,4.426712132823975,2.5231562786420456,2.8609725832478894,4.125743360797792,5.211651156877928,3.7201171949637017,4.643458092273743,4.941379327799777,5.062430017465054,5.639264305919135,6.053081666318713
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129384692577738,4.496002394349765,5.395113970196986,2.8812262900256402,2.8333455716700935,4.874148078601599,5.956399527767015,4.226321449762283,5.0116212085702525,5.856734270430877,5.8842390104344275,6.61782460397948,7.0115806446105635
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4337422116282843,3.42674976276618,1.3993482621347841,2.1729537645333674,2.7658079839461966,3.852606181539369,2.3850292465590726,3.3753807640202815,4.659835302045585,4.786697912022842,5.101504173882708,5.3683439588284605
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866511174436808,2.8481786503599396,3.9354909521153694,1.3895709010938404,2.146163953210322,2.4392660368455403,3.414535740638267,3.655416333563738,4.073858446556436,3.4505933903499098,3.5856104067016963
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.934769313857319,5.022076276998473,2.154541994573239,2.4776572116570685,3.4244552916466993,4.309569807193015,3.2637741679052557,3.8937024181263205,2.703821029137121,2.871821073824261
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873164935283224,2.4392133733877666,3.4129680742156507,1.3902466937544808,2.1442310201409915,5.644595759968889,5.6355049851012815,5.939680820208944,6.018384520353335
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4300134849330757,4.315007883941655,2.163378517704418,2.4868763823058684,6.573803931505127,6.4688515724137545,6.9635904085247216,7.030982458475783
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869852859619906,1.4107439463131661,2.163384194824433,4.817119642712875,5.015697511223594,4.565865048076022,4.467303346192661
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160592870170786,2.4759202001379594,5.3089069599102485,5.515220684137951,4.818060738103598,4.567767011463895
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086777829022722,5.6885733183057265,5.714375485227536,5.693685688980775,5.614207554500541
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.650275313148027,6.598762584203128,6.5956867797080605,6.414031651531066
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133249187175321,1.349198633009557,1.8757847875210936
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2541187790939423,2.289472796300869
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766856361112852
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
