,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0139299083329674,1.0136220358735952,3.9834934119259793,5.091736811821882,3.277014676018961,2.48484238346666,4.163526682915534,3.87668483262727,4.8590671262439,5.552234126256661,5.59795368907648,4.281083118809412,4.766267572889689,5.4824516932401,3.801859388447155,4.685587464445844,5.3061824743421955,4.112687361886639,3.8121192771184256,4.133207206479909,4.421146599487842,5.07607499420501,4.110928239609183,4.603531753206132,4.401718652609668,5.047803650374183,5.431553142984742,5.755765499851858,6.454507689596629,7.21459404351925
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7209372530439249,4.022677310241761,4.992799225908761,3.207696568137562,2.626757333090418,3.8240366792355966,3.4915077521230615,4.2549887949484955,5.0283691130641905,4.927633956313239,3.4965161764209496,4.029423933286606,4.864224725336422,2.8390806625259484,3.8677574438424642,4.559339229638289,3.1569335192336943,2.8782536527515594,3.347125275105613,3.4949663727371774,4.244263568796032,3.2059954373576462,3.830703246609378,3.495560047058642,4.247118855161434,5.237734717144807,5.765988242910512,6.114499835944372,6.9548816127913735
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8452878073220464,5.994555825907064,4.048425555296907,3.145220714278718,4.844095600048562,4.3846010500836075,5.650359801376754,6.4135880709339075,6.291164550062644,5.1264401516436005,5.700206836063346,6.462228989338758,4.489763059871077,5.546736407627315,6.1603593365531815,4.819385130320463,4.215118385239841,4.450054987961234,4.908253912581146,5.5509901312768495,4.285990949511821,4.556279504662429,4.636100800623748,5.116853860159915,6.017688025345894,6.2889302651357,7.0116491319412395,7.7349703294906655
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2298809392094836,1.3645629859085986,2.0498149261519303,2.4815931638575166,3.3297699668261886,3.134771710221434,3.0143606316341667,4.1537744488861055,3.5138820833067625,3.7850812220477694,3.7540806625409675,4.443312143371357,4.752879246885366,5.38932325878476,5.108271220703593,5.202119027672428,5.188604805881499,6.2793149272705735,6.960893840205447,6.330716135831114,7.06964369974246,6.796750154088695,7.78853939716967,3.106910432066223,3.1488600351049785,4.307705464975908,4.861280499730158
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279093154086938,3.164786729958233,2.843372837589495,3.883932550462415,3.037048755269796,2.4927758219106124,4.011591918405935,3.5941747715956662,3.6667619408530996,3.3281782421720836,4.807121708843016,4.8384874791347015,5.409345964085909,5.43535989702932,5.7336069915686005,5.720127411301867,6.730776921285212,7.372015785886607,6.950456841231284,7.752264619486405,7.379563479238788,8.416705556150246,3.189998822823657,3.2938372096989657,4.169504118307579,4.659654342661342
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0119680683789485,1.4496992463463343,2.044474013833823,2.5334653836884313,2.883331887764069,3.4260873831129466,2.9808823956619968,3.708139185754136,4.030021657661758,3.6488537052864896,4.586539786279983,5.396907979173779,4.57902804149639,4.123626003823451,3.968318156961286,5.667438262528495,6.495318986600258,5.276917931889438,5.911408134278953,5.9436204314207,6.930352186797041,2.44946983585883,2.7783688211640554,3.6403840942833554,4.319161695734321
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117843849708496,2.2297486305101395,3.305246437329228,3.8207148805619044,4.107051583935162,3.5171395471084352,4.2757183396331175,4.73585409903343,3.819081097420526,4.914787067361882,5.7138029375483175,4.697415281104487,4.0517936268215475,3.906109283837168,5.591750267539608,6.421829528950896,5.031207058113941,5.565876692960308,5.715042344471235,6.620076951691113,3.0950354529334514,3.29493221172407,4.289883755430121,4.9434387134540625
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972602950978791,1.5571405472375366,2.1646343703919375,2.1511645332054803,2.561508230446039,3.648120717564323,4.053830949101375,3.3144734586727473,4.6645392294977235,5.590216163729644,4.5370702652205095,3.6373232149324752,3.2263638656287896,5.681211103589464,6.620925648114689,4.960927546927621,5.530921390793278,5.834511839522541,6.86435081352631,1.5370168720798825,2.448420269251437,2.3904075797760838,3.2220528995254276
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1606849944034727,3.04715016056907,2.4041874916375305,2.8634870640613097,4.128349590428068,4.746597794006173,3.1345749588991585,4.917658835095922,5.894947849665432,4.472854140851778,3.0209775956684393,2.401699966980248,5.427690919374561,6.442874873225785,4.275259543874947,4.6887561272948055,5.324206749685735,6.295919014933584,2.112248766128919,2.997922366201892,2.712502346398047,3.549018860246669
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0917605423911727,1.096305331125735,1.5008099739907619,2.5527271195458403,2.9435796145504924,2.6547750398908154,3.709127151530244,4.624495675810261,3.7808224874543668,3.3708886886814,3.209813701738594,5.068485496004371,5.9531083375977785,4.739701631104041,5.47965312670082,5.436893989712819,6.51700838886921,2.56795755801582,3.634258321753088,2.8034977832067662,3.7294846380436004
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634563282262938,2.1265673216628627,2.6546157628396316,2.61590989486585,3.505927256479623,3.9978843430245434,4.7790682660521515,4.407389460699765,4.40012307561784,4.298503357076283,5.773697439927141,6.553737198574532,5.741779434412855,6.53134783880414,6.315700757123092,7.402229262378892,2.737766695449126,3.639908476269261,2.956925064641309,3.7350193792526216
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1508452292372597,3.272671871469739,3.7102457016013886,2.985990368004291,4.3138387291661076,5.244889052710642,4.21419598462243,3.4050620658130617,3.0404010351055057,5.400398989968153,6.336070567883584,4.765221006224669,5.385559131059005,5.604564134482512,6.654915557007704,2.7884308695408695,3.9765764795564786,2.4945176769262623,3.4333680703360607
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3731449758319119,2.2182805356261923,1.4455974617883565,2.261757659356018,3.22758981385886,2.31253375285858,2.6316054722940905,2.9759269690475754,3.654373457218577,4.482075549885968,3.8296920091031628,4.755376176281768,4.224848244804964,5.309575208713535,3.915127095688721,4.896107606428888,4.264736797517821,5.209732375727093
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816599760091392,2.25423290073959,1.3832629925292448,2.1309674822461524,2.2516890292893237,3.6509269995241316,4.220692305352132,3.625499354444749,4.1658550440649815,4.598677953195876,5.63194407025982,4.588402824981462,5.616064804165736,4.921052337869768,5.778907214137931,5.336462668336642,6.2280965942231665
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.316804268981751,2.1486197067217736,2.522156330990404,3.2704043023536444,4.696494524730154,5.182522851413351,4.599882958121007,5.009759485295261,5.679346318820621,6.707893329313,5.6397344950409956,6.647678712123156,5.115693878836007,5.867361490514301,5.53796269790925,6.343757196510307
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2572154893455383,3.23365715628218,1.4265348174468158,1.4094729934265466,2.1750984196039544,2.477041635148479,3.4639361073754396,2.417276466592435,3.403291048266176,2.8102185427682214,3.896627709443816,4.7751465579176875,5.762279333594543,5.104713162004226,6.077155505390171
30N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0082225019976505,1.3793431282036586,3.5786698336114413,4.432175580064542,2.5235760270579517,2.861921164935632,4.128346796852332,5.214037818115999,3.721734438895439,4.644585303709445,6.070461163106703,6.929036375196134,6.507605929931997,7.436538525016631
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1296310708789643,4.4989481106464515,5.4020548226855665,2.884205732786657,2.836822699236674,4.879141060038954,5.96146937307411,4.23052300611478,5.015405750417826,6.968030285525577,7.777010706902493,7.4271518486398795,8.337734011747534
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4359435390026882,3.4318457870972963,1.399787760881692,2.172850226855364,2.7697216254234207,3.856340140450552,2.387661658976684,3.377380853180963,6.028210912908988,6.9488926660530295,6.424206100487441,7.391475374063087
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874374840556926,2.8479082063139165,3.935110333106255,1.3911611816120821,2.147304209042647,2.4398277698199387,3.41523344724484,4.987198545591558,5.9759156841835885,5.219434384648225,6.1643709599326435
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9350455037709207,5.0222049810710905,2.1521588405099124,2.4724449200535075,3.4229603114823606,4.307203693132645,4.371664144267711,5.37241771894578,4.487869514860015,5.389220969865963
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872065577412198,2.439976166662815,3.4142105920667443,1.390910525212931,2.14473563880621,7.19020226314699,8.096461254112858,7.578794003223402,8.550620406570404
36H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4299954074544012,4.315477993216028,2.16290122464876,2.4859576367124365,8.13821786139773,9.013456464854142,8.558437907333046,9.528927607716314
37C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086801162231801,1.4109099539134764,2.1632641633903478,6.316051473038229,7.253805880397797,6.562815256217511,7.491339237276463
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1615733039284954,2.4772484483910966,6.764259919057196,7.670233083266983,6.945988846425952,7.824170477845479
39C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086581227668,7.292291737959215,8.209368123349984,7.617549118887178,8.573952219173956
40H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.309494552447337,9.204704047353898,8.630892506243512,9.577940412523942
41C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2074882700337453,1.3565474558403716,1.876140857610113
42O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2527040958245372,2.2802615598417137
43O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765115593354171
44H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
