,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362635057449954,3.753902183239487,3.929296214495293,4.607205543411217,4.087329644915356,3.5280760445365655,4.353693213585499,3.843938320352819,3.4776870318854978,5.02548545361013,5.310166522864759,6.31112924655642,6.373001785944687,7.152130414292898,6.7543322336628435,6.800604556023508,6.50506666037802,7.510079159461597,7.766580244501748,7.575761124714917,7.881397790605231,8.222109529308334,8.95670170259791,8.25343722135311,9.223060670870447,9.324936571241677,5.131071078050345,4.6300459076519145,6.288493208700658,6.552921326061183
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8283583245231656,2.445555477226946,2.384166135033383,2.4564852432847433,4.794181925611809,5.098069069082448,5.494270253201138,5.4498257223807105,6.477873353204411,6.392059329884345,7.915423970706739,8.215712935998319,8.633266493061594,8.267107128437612,8.487926101455434,8.409710457968048,8.710096652629991,8.794656390152392,9.112196462308589,9.499227114114328,9.32028431800464,9.847203135915665,9.512064762120051,10.348826952775445,10.550429974664734,6.614012024335676,6.316943546557976,7.519877282185347,7.788673381052712
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948698441312257,1.0936877076950704,1.0936106120428142,4.9226545945919264,4.772422480471765,5.811495479586217,6.071984662354647,6.550335176831071,6.159796784029111,8.008601667648573,8.5334278994105,8.593425932535233,8.263690346217826,8.686270054455386,8.831597491871445,8.417824165471089,8.340498068005283,9.221847388296032,9.747213196439889,8.966873570565335,9.30981496095076,9.356034610856273,10.125737869612182,10.4656055269293,6.824956093172432,6.827748827076743,7.503886820404085,7.872778547890067
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779387079828266,1.7884644503057772,4.672866718682276,4.433190570072709,5.423154516012423,5.756863686494805,5.9521869584705716,5.484259526501612,7.449739551100335,8.025734177807806,7.928267311320384,7.825095440114941,8.405301058522747,8.589463893331816,7.94312990339548,7.749583321512906,9.041445599775365,9.666496257308394,8.608864390615809,8.934288858925427,9.137628269517025,9.993215801496765,10.40983529394575,6.122923015841428,6.209812829705446,6.665212214543415,7.014389885050802
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7768946769368617,6.015860726497288,5.830128997755135,6.890294320626357,7.127307177120276,7.5928762551214355,7.174021381723126,9.067783065867625,9.597286279587072,9.618824052810515,9.33938589435279,9.775942452295395,9.924011273706293,9.454072484854336,9.336289557309547,10.290998274285274,10.80808217738711,9.982801088433904,10.276307513026126,10.390526890010007,11.119704814218133,11.46450053012345,7.792530892159854,7.762780733787173,8.405939170343268,8.718853206466083
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666597619731629,4.367052688878398,5.748308292218258,6.118103466274781,6.536420797927571,6.080860078409894,7.895453341938305,8.483123391308059,8.517009895220262,7.951278693442215,8.31401475419285,8.546855385979951,7.99601359079769,7.972421333207749,8.700812904617539,9.204960659923708,8.395228650482068,8.678609627922567,8.740007381234525,9.403265425996231,9.739700228741214,7.0479031066299065,7.173491544229309,7.755258343375183,8.241301580167617
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227971089600454,1.3692889251807536,2.067587826469556,2.4654196730710023,2.511068771670344,3.488847858695667,3.969246320292602,4.3644249308704035,3.5026624723470294,3.786056622177341,3.944218172281274,4.032750722051246,4.348946545300553,4.512360663460255,5.124174789837832,4.721917698256895,5.446574648861302,4.935889160082737,6.002051379393648,6.298388912581904,3.5658577758739107,3.923176592862886,4.61104743099768,5.342093386577375
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2825065220437177,3.170473640444211,2.8134394940865146,2.3545975583356267,3.7820812942171433,4.527150028891381,4.465437312228592,3.604854663909922,4.134868794300061,4.578422484151141,3.6874992668913915,3.82137566371604,4.673446275587593,5.419605454806274,4.279078106112799,4.801529206720445,4.738586566861804,5.717942819514426,6.167473588661311,4.024068771869691,4.639099543302923,4.790686050266612,5.61236054508614
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120445830905833,1.4471868067505815,2.0551633190674727,2.504459488247015,2.790975392997531,3.4170698469208234,3.0004662730220524,3.395986733245822,3.3381067477670383,3.885688410318502,4.177221371009833,4.475787531873446,5.1203610007878675,4.858305997115628,5.708600022873414,5.108878120982068,6.341780924906757,6.625313620519125,2.4166649897677046,2.7353904020850863,3.600848591303678,4.282419750383417
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1062413809861718,2.9275137335740853,2.99030851382406,2.9038512964588645,3.923934421056907,3.628624472679546,3.78054513973207,3.4212149683452195,4.70092934706964,5.059252637083274,4.914742478774781,5.404292766839845,5.656285874120213,6.570575522379722,5.7489137706849665,6.973581492667226,7.146623649159391,2.5552667524852097,2.4127220971334546,3.883699682210455,4.3848872114893425
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935267176607875,1.5627927418283742,2.1711403992668123,2.1645109773789737,2.5679434978582334,3.483702727186404,3.610163378100365,3.32825359210466,3.3292972041241766,4.691697421550922,5.524401711455586,4.572837590954384,5.3513167039488865,5.140974550184268,6.460442257396437,6.892285529452195,1.5216416117112335,2.42734323446028,2.381402367282694,3.214641517121487
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1800871131896833,3.0687527028816315,2.480116068228555,2.8326214752164613,3.9386044632034594,4.314093558464937,3.113955291112166,2.8533354387311807,4.957477930170823,5.886005012931138,4.322635145063669,4.923065821362406,5.116797552792948,6.368090207277578,6.9200552387276915,2.155076839719466,3.194032565401107,2.5720915431946207,3.492801452396173
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0977187256143506,1.0964440925870071,1.5118609165554526,2.534494409463672,2.7375240771624347,2.539728468070079,2.74341346970043,3.8256712379712057,4.693714497859756,3.8250834455977993,4.702271375366253,4.332163276342372,5.697943040899059,6.1154313281131225,2.514214825221624,3.370111574474942,3.015303590465546,3.8341763534454105
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763749044768601,2.1477978776710724,2.6446434329357755,2.415705166338776,3.4101415463268028,3.7580440341367596,4.030215328837598,4.713937587182801,4.56918684458841,5.52839940872179,4.819171835129755,6.170466473923645,6.446100348949538,2.6868487613875485,3.20080776145261,3.345780767060127,3.9668289184015055
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159868339974539,3.354985860949624,3.6561565291956475,2.7438815453020875,2.5877253990158606,4.538782509270501,5.467146610300591,4.099362738956092,4.8238711398589755,4.837452192316468,6.171120087847226,6.686891622626361,2.7209034382399886,3.728789826367741,2.694532676379975,3.506155124782098
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3993561217887684,2.1549363348165373,1.4035962124721517,2.1582794686829283,2.4386010992773013,3.4216697232764126,2.4385765213721236,3.426565298861844,2.820427442372608,4.186340012972095,4.62245445864871,3.8803536664665184,4.700145688496149,4.409102657182108,5.287455089219673
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878573438066668,2.40070416624554,3.390414678967324,1.3970140167250475,2.1599387453996557,2.78541430957934,3.870899814448995,2.4182623950202933,3.6886647541307274,3.842845447471308,4.750404998063512,5.317950204263804,5.506352766646575,6.311888079105402
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391345340450781,4.296501092384931,2.1471800441415305,2.4716973595591427,3.8731788003672816,4.9586066297082265,3.398461057340332,4.570624844632073,4.553087790126467,4.654688286178175,4.990041423804991,5.556163142120744,6.249562841302263
29C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879043710318304,2.7832847131593548,3.8724052819181196,1.3906882044849105,2.163640397782748,2.414296285991558,3.6415274784892593,4.329304864070283,4.686498342955151,5.675935228217852,4.953890505815425,5.902619066318227
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8711353608639882,4.96026280243846,2.1404705653286373,2.4812540196520745,3.394545543719385,4.50412163941871,5.278450089701944,4.530647267099325,5.645434201190153,4.525572468105439,5.482585281797225
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0891945530928098,2.4200375039766016,3.397355379875247,1.3987179072185396,2.4292078622756232,2.4571645893140164,6.056379360786715,6.6486614647865245,6.780200711118897,7.627426222045372
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.409024851674941,4.2972380056481505,2.161297712748695,2.6951107994475816,2.303723744579196,6.830122330624702,7.28754737926328,7.6519767384762964,8.455453444036586
33C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855684671352068,1.4003274762509845,2.3651516132512023,3.1766172335655436,6.001539582420901,6.9362658667688795,6.331137201930079,7.284472559122888
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1470482535587383,2.5688742828791424,3.5173816660255945,6.753266689384673,7.758225690715819,6.9472056107513716,7.913018056849823
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669557902600245,1.9176054180760236,6.591756796773249,7.360670697572189,7.134071206569684,8.052459113858957
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701886376727149,7.9318051015298074,8.692324279861342,8.4671557801135,9.396221143309676
37H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.343196506961359,9.001255760859316,8.984716126994437,9.885683448122123
38C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2128148044167204,1.3500268327062137,1.8784977333421584
39O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2558844845153896,2.2948240349662656
40O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768774242869269
41H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
