 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933344661863692,0.025913850386020454,0.00042084217185656136,0.0013230382142954689,0.0002651417122769839,0.0007260920763954015,0.00036898438899979347,0.00014011065717411952,0.00023325410271279878,2.1542473225499847e-05,6.984570430912385e-07,5.299899477839709e-06,4.1541721440552237e-07,7.533503865175817e-07,1.164985161672405e-06,5.506461741022761e-07,2.7176176864429635e-09,1.3161679612849753e-07,1.4442085971566598e-08,1.1143032785376761e-07,6.212550696105268e-09,7.92182532904917e-08,3.89457133209703e-10,6.349683867590272e-08,1.624267687017067e-08,5.235190059238448e-10,7.095753315145004e-06,9.866003657932332e-06,1.4839104746089404e-06,4.4013037703294344e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.846314294550709,0.0975682477239902,0.09383101531664706,0.09815511003405919,0.0050527459331744795,0.0009076728454334992,0.0011599760632630546,0.0003069730333015164,0.00014746846705883387,3.963080710711608e-06,4.2359441142586496e-05,9.823132556263658e-07,9.112240883513145e-06,1.676907517758619e-05,1.1310779300229001e-05,1.0627547604169507e-06,3.93661221920194e-06,3.9925632355775065e-08,9.44541149985878e-06,1.1675161674107315e-06,1.1348432022439958e-06,1.7734292923066164e-09,3.7287557357462697e-06,7.186031121403369e-07,2.307842028592688e-09,5.764652766263034e-05,2.0620167229659647e-05,9.73470270946436e-06,3.7117840454570228e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1591413911165023,2.0421395793783197,1.9726390424044227,0.0002812292612577594,0.00012421742529013236,7.016699118271574e-05,2.3322557617388995e-05,1.2637890879130254e-05,7.111748511201554e-07,2.228411191837476e-06,9.14274098651191e-08,3.2676541916742963e-07,7.298834923674669e-07,5.440987386473584e-07,6.777850591888068e-08,2.5054745508845677e-07,6.615821224187357e-09,3.465201021679576e-07,3.749248089768287e-08,6.027074185566139e-08,4.722691127057033e-10,1.5540195405505663e-07,2.8761430334589555e-08,2.580821112374565e-10,3.1516985404267395e-06,7.96799402985604e-07,7.684130590296379e-07,2.749323988471275e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025453832636971763,0.024360235320668222,9.473456297204308e-05,4.8699079864600314e-05,4.906982276198235e-05,6.361659437903455e-06,4.408116519805105e-06,4.2788574439178717e-07,2.201180761440824e-06,3.868657016958821e-08,3.8996648177302973e-07,5.07405235827818e-07,3.8829344461976945e-07,5.672728797811999e-08,8.909676485480134e-08,2.326625114790204e-09,1.0372138281589116e-07,1.4453955810012076e-09,6.716514988625022e-08,4.564726374667316e-11,1.6197696739439493e-08,1.6379142486755427e-09,1.0101675051998882e-10,1.88582584459418e-06,8.820753227833933e-07,2.947748312109866e-07,1.3142512700348163e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025223985317967657,3.100039724523995e-05,8.164701332358248e-06,6.861027497029326e-06,2.325795085189597e-06,8.380351892434135e-07,1.2105356583802518e-07,3.6136625003457823e-07,1.0351297374810997e-08,1.133299258881948e-07,4.8008265141064044e-08,3.197359943474254e-08,2.2315993497556974e-09,2.4883815674670018e-08,1.8310650773400994e-09,5.1289795299780394e-08,7.765821763427994e-09,3.803861226003846e-09,3.3764768758715036e-11,2.570373047738883e-08,4.80956108273034e-09,1.7192469670135324e-11,1.4793847302740915e-07,2.1562200702707202e-07,2.1551156415000605e-08,2.920338859624394e-09
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.223196068066983e-05,1.84035406544103e-05,3.808920643511016e-05,4.58480340737033e-06,4.587228889407768e-06,4.751561708538077e-07,7.689303529456737e-07,3.1642318987223916e-08,2.0163785530158407e-08,1.29004579907388e-07,1.9644393156603712e-07,3.932562964159558e-08,1.347489386738232e-08,2.19203655227318e-09,1.8030476067742995e-07,2.176564817268911e-08,8.49825076976174e-09,6.556000187174504e-11,6.400348917523502e-08,9.2306128296471e-09,6.748601677486477e-11,1.3514284427085244e-06,8.672335072290593e-08,4.0075090124158663e-07,1.5634017391796817e-07
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757711735405353,3.4471349642357496,0.13543506986912557,0.2695944295319911,0.02801922210541541,0.03551045871300662,0.0007253300845870836,0.004062631214239332,0.00713655993162543,0.005356604058687098,0.0003451994475798248,0.002394745975456025,6.650481560499522e-05,0.0004793480038396969,9.506316044571861e-06,0.0005412821039715299,7.401928342476438e-06,0.0005357087940352778,0.00011709185220318274,9.771049402917953e-07,0.03036083294429362,0.0053126461442419975,0.005689190945946776,0.0012978190913472964
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428004861926414,0.025572883390154844,0.06912286353366541,0.05585711481301314,0.011168160524901397,0.0009459588808294894,0.0018102050452241114,0.0029592213783717902,0.002450919171874996,0.000231843815294841,0.0045286078303333754,0.0002153889466242065,0.0004922202022532157,1.9119887844087913e-06,0.0007116359764490071,2.4765508167545747e-06,0.00022343820832346206,4.014633155745295e-05,5.877177131630162e-07,0.01039744033565132,0.003584593430029502,0.0015335106585240704,0.0003368449792399142
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8301846618921975,2.8786818306694038,0.09856536210353195,0.18018304845271282,0.00660697566935653,0.025896911809631495,0.019868059216060135,0.012491718506141697,0.002198376929101853,0.0035127118374050637,0.00013614784831528226,0.0021745788132317284,2.4335497344818435e-05,0.0017482828475494927,4.5470855298823665e-06,0.001011462459530238,0.0002519980036206765,4.00871970773764e-06,0.20106431557118631,0.04704246901344672,0.029195065015795246,0.0054132378636641
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09965014915666293,0.029804661923646725,0.004770787473259319,0.0017233739668467418,0.00010562285860249432,0.0003398953894302448,0.000311041169233639,0.0002450814406778079,0.0001938863191232043,4.614577470052339e-05,5.2470004199611786e-05,6.866272954653141e-07,0.00011463567394820462,3.2653821080419476e-06,3.369969066269185e-05,9.228223628254817e-06,1.8065327034300083e-07,0.021336936118873995,0.04998672082427158,0.0035775070682487753,0.00012485987225852035
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9498668002217916,2.7356038326129632,0.08372697795457373,0.09054038820889354,0.16826034189887615,0.03795191013169079,0.0007648239559243653,0.032420811932036275,0.0011030954969046824,0.005448303298711044,0.00020103732827991827,0.003930350531906962,0.00010942355691812011,0.011397620402595593,0.0028933803967649274,2.8598395627077444e-05,2.692362779267134,0.27527082183202506,0.21921219883943574,0.05382116189891539
