,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1570128446381496,3.061352140520874,2.7686708271985974,2.758750904235806,3.7234582069994215,4.109313480974183,5.047529206694774,4.566520015034573,4.091923510795324,5.949502141273184,6.344274031118553,6.990676204792695,6.869470162139124,7.947608401502884,7.339364565580333,6.530744150892741,8.494678772980858,8.318409371015274,9.349626805946626,8.921905422892983,7.989998568433558,8.499965998542175,8.834921563957886,7.386904168903198,6.234960907147604,5.663734274481467,7.510633076273219,7.8072051140654635
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2262172287023418,1.3606794845208956,2.074301201920781,2.0313393007604477,4.925691990782302,5.47180208358386,5.756700886820856,5.544973987415281,7.022736865374454,7.108199612494109,8.261542944454874,8.375773149215016,9.14673510603164,8.526020531722562,7.756922453157904,9.843892175121562,9.859636201527577,10.662239347670528,10.203004816218671,8.836951204676927,9.297367613879397,9.656623928815197,8.030250438351883,7.339116506756066,6.908712074588905,8.466855977543672,8.778463494785163
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2796127690449794,3.182855176789899,2.5034321983733463,6.002551959589998,6.524034701965279,6.767842009703507,6.500646172108041,7.966955859263364,8.03207847915422,9.27560342660054,9.381755613627517,10.11362960970401,9.635217734288219,8.908215955196917,10.974383932597194,10.982177300891697,11.760025808347677,11.372488854776773,9.924555791984998,10.42447306742844,10.697617835126298,9.086047916512642,8.124063873917978,7.609279764057315,9.194695925842497,9.412175221648255
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0237065583425713,1.0108606051542435,4.884533958994222,5.241923756392377,5.928190089731439,5.889107472752448,7.225925734337534,7.226390230185466,8.35184451460402,8.53936202204039,9.282567751593653,8.368234402768383,7.520764875153519,9.658253864208827,9.741584970365349,10.533032600852112,9.875939644129476,8.571097111058458,8.881448436304655,9.466367316574345,7.7601846892749,7.8030313744962365,7.54123023003042,8.931887764861145,9.370741552358194
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675071901565884,4.136408802038534,4.451646171225727,5.250835750078937,5.311402561336081,6.559493713993762,6.554675688988744,7.590290168024844,7.805216284348932,8.546003656703283,7.489537794958938,6.611379106459865,8.753766567826032,8.864412090512312,9.649724916551163,8.922061526377599,7.682485841892763,7.939905471190029,8.614992825242188,6.904777724622326,7.293196676104491,7.140751822691633,8.431858860911072,8.952155194510691
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.740814439150586,5.960331374713107,6.85005572326512,6.862939337711282,8.109203716846638,8.03088886738396,9.244051628443536,9.479859699857567,10.158906078891741,9.19743849729371,8.350273019772686,10.49616108274347,10.624376841870669,11.371010730824889,10.660888167783696,9.298450491172641,9.551162401651975,10.192308218691235,8.45001595303178,8.708145710781093,8.479674485566001,9.794499248109805,10.240129023595392
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2289621743539865,1.364376597178405,2.0512112983293247,2.474376774737152,2.5331475685016493,3.5268769836909075,3.9424952149634085,4.424365187071407,3.6743160586264576,3.095216074847746,5.109927599542642,5.348058812775197,5.829324969468155,5.5670164128009745,3.9827228728296378,4.604328429438989,4.7862377725462375,3.298061123234371,3.5296511122341485,3.8358679889232272,4.6016349972367,5.310526890490268
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2850796040275414,3.1642445894655236,2.844725792669226,2.4218884514071437,3.7968419464763112,4.48148122120703,4.546736773291289,3.660520026943742,3.2150619795829978,5.157233728607521,5.630026573922082,5.80081739122898,5.486956148297687,3.4758087951027585,4.000752010926842,4.2641738274872605,2.5706843892120776,4.055136782361327,4.623828015309958,4.864441212410724,5.672149434865599
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014260549747425,1.4563514310313659,2.0707207537674504,2.511063984797549,2.746915906148592,3.4253915260166106,3.1220832160741714,2.7556364313049535,4.46084795026598,4.548821925265824,5.092897348068426,5.1398298670523275,3.8162792718602017,4.626990580797387,4.470137078408458,3.4047077745850975,2.4053704516371677,2.700521491858685,3.600284853059125,4.2736608300653804
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093743363697016,2.9053625475670657,3.026524240638211,2.9091331185728406,3.9164715723570405,3.826337185179361,3.4252323346406675,4.990198559695451,4.867087103213236,5.629017951421809,5.726536612335439,4.722252433243398,5.52878526995562,5.339383531694866,4.395928742408594,2.4718098202795256,2.2922213924557733,3.804901821505238,4.288141667920961
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0935127823269293,1.550435106799487,2.1584137054042944,2.1582188975167624,2.6109919005627913,2.8020159801212006,3.933289136056049,4.183031417757699,4.280620703915366,4.770523770983125,3.160866750808143,4.172712137029887,3.498387566983157,2.8906742201688638,1.5246536131536705,2.4289189175275343,2.3845968653335374,3.2186545067571997
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177713052358399,3.065982825527843,2.514496696801952,2.8489908506486916,3.1249427403377865,4.286265427753591,4.772965929612827,4.548440802626561,5.002772935355329,2.821091574407862,3.8395404635523964,3.0749192980919084,2.271581368990803,2.1449069144402597,3.16961333742438,2.5795481341259836,3.4919353810973375
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992852117227063,1.0979358109559358,1.541337089812359,2.149400982203034,2.5135719502252813,2.753475285001968,2.7909661144909332,3.478044070368824,2.5601655953614633,3.5075146777069857,2.801954915627366,2.8687853325692316,2.512708466656945,3.392463265956697,2.994470757104536,3.827153009059942
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7640030831428704,2.1687930024181656,2.511229352919488,2.6702768571973157,2.447838345229697,3.0279838123823346,3.687499888778599,3.499194774228556,4.323194358390496,3.783501810426636,3.8762027223145163,2.7234526617899975,3.2668835470991717,3.3767718081739013,4.0210958911103
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1686885320267044,3.0591360005729564,2.7875249533668205,3.1436369911100193,2.616010048865005,3.795504329308483,2.7875295029111187,3.773057122275873,2.579899395759767,3.2088672676262564,2.681298798445694,3.7023178366684593,2.6335808262873885,3.4502236281691183
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992936561165458,1.5375308306775575,2.1941674344817175,2.186961121452442,2.18329401018367,1.5367731308021573,2.176726325982116,2.18626979842883,2.19155705008309,3.924339030673664,4.787433885887944,4.397021720383512,5.291961520617669
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1470762368306198,2.501980488037523,3.0723907681587668,2.4941165287887395,2.148888148822745,2.5189895654158847,3.0729407300389924,2.469264961199559,4.211797948526429,4.889092073532979,4.955565003236979,5.8221049693599705
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971744433242143,1.0982272470894818,1.0963744856502011,2.5326231330253424,2.7270357012632864,2.8398811496148877,3.492073516260436,5.019943350685493,5.813184776749621,5.357834286952224,6.169848477945722
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729984336699898,1.7726920934141905,3.4978000045941537,3.7438668552266634,3.8477901313993703,4.349957794386381,5.1030585088656935,5.705290534306311,5.570960403904072,6.281215022321691
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770034272977449,2.8062382915541626,3.0782670824509912,2.6712576320781025,3.838755851013819,5.179178524546183,6.0655423359729905,5.242723604276048,6.0184718366214796
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.770045948112703,2.509191829410597,3.19123062339325,3.7483873261384724,5.983892748378605,6.78039499727972,6.349580667091605,7.196745439739541
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0967548574570798,1.098708289443762,1.0942298085994047,4.515548452742776,5.555378194450797,4.726093660840317,5.694051336894076
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7700275395748741,1.7651839329846692,5.5770507628170884,6.576542077469202,5.822194810331837,6.788969397429586
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7828154004692964,4.611668215096635,5.752127078688777,4.503985207394995,5.446999358277183
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2790497880348815,5.298065111983189,4.563850914999083,5.536285434709627
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2137712181891553,1.3475957575465576,1.8777051427186702
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2548087666971863,2.295234911918652
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768754849974511
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
