 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09980666476142486,0.03222451732901721,0.010843736254002367,0.0009990453479131745,0.0004328252407850286,0.0018695372588990455,0.0007960374219694311,0.00027767205237516634,4.039943372946553e-06,4.166280158490743e-05,8.619032055845466e-06,7.574828586598414e-06,4.945151543811477e-07,2.1250220005875065e-07,9.67316499123072e-07,9.914390117771177e-07,2.9276518886955927e-07,4.547799914433881e-08,1.0045678511261258e-07,6.614979408681165e-08,4.621890155487307e-06,1.3049391367481178e-07,6.479727998609519e-08,5.534481548163939e-06,1.4649643173658689e-05,2.3387617364978297e-06,3.616354562030466e-06,9.337943682741212e-07
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.796912066002759,3.632886093688852,0.13293213811421145,0.14243807356256755,0.0025556036006886274,0.0005153014223992225,0.000801348006058189,0.00019707421125236824,8.705247403825722e-05,4.334271620498598e-06,3.1608466385696365e-05,2.9312407767712045e-07,3.407013830170058e-06,4.8603675379677025e-06,5.567585932286789e-06,7.659686077632344e-07,1.8156446568440288e-08,2.6848351764030554e-07,2.30600896156119e-07,1.5903043983911402e-06,2.6759235494111522e-08,9.95913493895273e-08,2.3335926282452846e-06,3.2693283097462444e-05,1.416239373089323e-05,8.355048122243858e-06,2.7396312243244125e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667410959907814,0.026096242302815376,0.029231012092757136,0.0016432125255122776,0.0004319801891852354,0.0004041323852801981,6.929537557076593e-05,5.556817499577371e-05,2.621743528830045e-06,1.3443497551904326e-05,1.5365638605935317e-07,7.805993302856251e-07,3.7710251512695914e-06,3.96369818178588e-06,4.418550829110579e-07,1.7714310018845936e-08,1.4796088088075976e-07,1.4245398682888322e-07,7.161392746174444e-07,1.532238425028254e-08,2.2341359207089795e-08,1.2647390840170303e-06,2.3002991856174715e-05,3.44523620630921e-06,6.421827155864146e-06,2.5719335994267567e-06
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7588661105828036,1.6566076995585142,0.0029699561271205877,0.0005450304842550269,0.0005399600609406613,8.746236286993891e-05,0.00014107599792430314,5.8204229292924126e-06,1.8022282962895653e-05,2.0154624569279633e-07,5.370474795651781e-06,2.179914933730931e-06,1.2810351754932725e-06,3.3507662283022155e-07,4.940824749333217e-09,1.2243954794488587e-07,4.344685700097273e-08,6.580284622470511e-07,2.0339314565909206e-08,1.2609285804376924e-07,8.96179217169113e-07,2.2550315467731452e-05,8.007675183038798e-06,6.975642528002368e-06,2.0774760408626136e-06
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209774420407175,0.005640457598937054,0.0008560883025623411,0.0007979350798079654,2.8267491143818546e-05,0.00022214746215354353,7.6124668206833945e-06,2.0268555014579803e-05,1.3156042166784232e-07,7.326940334229093e-06,1.6901854613671219e-06,3.4918807712003286e-07,2.012316958621696e-07,5.700871108516026e-09,1.0557144936029772e-07,2.6737400515841614e-08,9.232644757606323e-07,1.849714070800701e-08,1.4387347868627387e-07,1.6820484294299831e-06,2.9933669287718345e-05,3.2138215412258475e-06,8.6748969825301e-06,2.7553079275932646e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012590745857954388,4.303991558041176e-05,2.671771817108759e-05,4.2111768863151156e-06,5.130408079367932e-06,4.6558498900672873e-07,1.4723316832387923e-06,1.1029628321779228e-08,3.299855855232181e-07,1.3336670812158502e-07,1.4101432888047327e-07,1.9848311993975187e-08,5.357214671874999e-10,5.449128481771481e-09,5.950404835530776e-09,3.2702118679672765e-08,2.9719713356968214e-09,2.625287320867642e-09,1.979656505390892e-08,6.843144980672733e-07,2.2344190686585108e-07,7.201105078902259e-08,1.7988969203130978e-08
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9737452607320005,3.4956428250990297,0.13953475139300486,0.2650927370452222,0.02593900974139629,0.03147374049014917,0.0008106205419933232,0.003885273433990477,0.005021558031078621,0.006144455862454823,0.0007948222780288505,3.20283427603929e-05,0.0003410921751623164,9.884103953639034e-05,0.0035753779780212658,0.00011939287547679811,0.00018740694701868676,0.005404514887994871,0.029997337305443794,0.0060987580340164105,0.005570705138130905,0.0013118867932682132
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412725718165337,0.02586335857918931,0.06230004443356649,0.039613609393993277,0.009639972437571295,0.0009341192334229032,0.0013572371452641452,0.0022956403578960477,0.0006414770932758884,0.0005297149105115972,5.672192626682282e-05,8.815465059885952e-05,3.983526851958352e-05,0.016276629283938596,0.00025779075591603196,0.0004121319574099669,0.03814659119164843,0.010350727033302864,0.0037626018448630033,0.0015769210793912108,0.00039489547881199627
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8327696266958842,2.82571460716866,0.09614363275288895,0.17844558720593612,0.00819321721084787,0.026654621074091445,0.01756603943856533,0.011306517815652395,0.0027390833919572755,6.908420253681768e-05,0.0005582514047610676,0.0002802893811137963,0.002089072190816499,0.00015758781220776008,0.00027950981215107973,0.0008221883649057737,0.19809413576619073,0.05544987767122174,0.028164031272015957,0.005353247750682022
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09564171588848258,0.02646986501879467,0.004951055086663603,0.0015459757938631746,9.93452033841713e-05,0.0002897004392208302,7.3008854869272e-05,4.6166809485881366e-05,6.591136082700899e-06,2.7491430911519288e-05,3.268033610837051e-06,0.0003192079963761918,3.433248989459514e-05,1.4882041396324652e-05,0.00018566096529237797,0.02881523145023457,0.06904823951678574,0.004658753843935881,0.0001573980563229771
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069705295500815,2.7263340235826257,0.08695983449176259,0.0942867766758364,0.1533000726363983,0.0076605256486936835,0.03324301300515595,0.0010173516858884568,0.0007267767076375442,0.004663662937452351,0.018726592470024506,0.002075957561856745,0.0006592858108871447,0.0067222083538043265,2.6887512344714533,0.27992928087695457,0.21486416325993068,0.05355936320993793
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07893729424217,0.03216992781780581,0.0036530997463193327,0.007937465309018288,0.00013405277517430925,0.0012430940310466099,0.0001982255081451889,1.8698764173930016e-05,8.075502926629952e-05,0.010028391889374322,0.0007697426483961323,7.853342404495756e-05,0.010830854919633426,0.1092626907665899,0.027256457472195517,0.010553490798733689,0.0007611143390220398
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148270389147566,1.972461501920678,2.7230174347397407,0.08474640680658418,0.18531778304711566,0.010653053149830782,0.009477681536648408,0.03051116621034966,0.16126150082921714,0.030849118779741724,0.010639018613150864,0.0051362967125490044,0.2034710736006158,0.04346259054609165,0.030816787676872265,0.0020582411621591357
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02330309059124125,0.08433168702492622,0.00369256437988863,0.013864410133735294,0.006276747251046988,0.00023669509922852328,0.0009565978405725595,0.029626416247082066,0.001608854348124522,0.0005239826318648166,0.00030282222641608847,0.010548172631758224,0.001982167594132611,0.0008918405387809969,0.00015498615324771592
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08076921531646253,0.03538459759115953,0.008218429366989244,0.0001793588925160794,0.0040114799856096894,0.00045300178600804486,0.010046764254866947,0.000534333552320243,0.005122003411723197,0.00012098396039728065,0.010963783385676162,0.0019131729622592353,0.013158878150596576,0.00025515954407384633
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.979552488431153,2.8019686261103054,0.08173176828068973,0.08145258736363492,0.08613932807300895,2.9062863649611863,0.089354517391103,0.08253768220581326,0.08652385164648879,0.031143039507262715,0.008032393516883521,0.005229193391046438,0.0004085196383522005
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08248490173121581,0.004358226750765359,0.034968773647297224,0.004732855955723592,0.08184594475697815,0.003573173852091438,0.03467545725095755,0.005578436299780831,0.0009234816699521531,0.0001812495645953094,0.0004053393463778754,0.00014348625058047126
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185831947791657,2.0662895978928373,1.992856861913056,0.16881546882034337,0.01219278042727212,0.007532934614446152,0.03009060943317421,0.006193097917909118,0.0020452843632749393,0.0007383344757434518,8.71301897902299e-05
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02278677305562815,0.02408255420429639,0.03145955788695143,0.0009427172456271116,0.0003745624066018305,0.0027456864504733502,9.351748999786302e-05,4.851856916121555e-05,1.7166148066349862e-05,8.422896025095383e-07
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023064561899187375,0.009114345796552126,0.00018755412579229969,0.0038063021998611113,0.0005277438178128424,8.437294912710946e-05,2.6276650665013612e-05,4.9880118667244844e-05,4.087637941685429e-06
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009793636148222262,0.005013782521912757,0.0001381561460529479,0.0006236386443680964,0.0014365887245264553,0.00048391569792016753,0.00019897439741978218,1.754243297047431e-05
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.943924614120431,1.9921415377469125,1.9534787159662057,0.0029599610724249936,0.0011889821074011625,0.0003859653492161441,3.638569512820489e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988451335746563,0.025819720861227413,0.0005002715189363904,0.0002730919368348905,8.918949496683481e-05,8.898346319785588e-07
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024754495417484312,8.982989641026506e-05,2.3352452084623998e-05,4.5690642355600275e-05,2.839255852649103e-07
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007340512616778039,0.0004110640697673196,0.00011168840401509783,8.403135846934973e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.885220052368827,3.437815939540142,0.16683775885651653
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092581927677061,0.06500220244916544
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.723686600228757
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
