,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31S,32C,33H,34H,35H,36C,37O,38O,39H
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1080610474826065,2.8722606479429396,3.144543630893089,3.370912959395594,3.1753372166732827,4.5314902203009115,4.793724749659853,4.886972853774622,5.952729514349783,6.322528285017357,5.718505813189009,7.30382649607964,6.568876925409256,2.4251663067656843,2.2214672765019254,3.75899608456776,4.222455960342117
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966827380415634,1.5572548014622658,2.122914543560621,2.1845322608969733,2.599275350809246,2.9073812575707825,2.8192734984988497,4.255717374990662,4.742961715298214,4.410803398233331,5.7960337168943346,4.838349378959441,1.5213732485148095,2.426342086414745,2.3881168343608263,3.2192000846053195
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1663272276377796,2.521478460415784,3.068787325514511,2.7300925909987748,3.097893821333283,2.5022903787842465,4.468430059911198,4.75805538841424,4.527204074438007,5.8490606923650965,4.601334904019446,2.146499630635993,3.1731639331660353,2.5793034135136583,3.4922238244338897
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938840374617385,1.0964228907664244,1.5321296987876718,2.1822600925169735,2.1763664554712348,2.826850482822891,3.3990773365649978,3.1110470838431157,4.391561004577802,3.732205867857525,2.558107875381226,3.436372982447384,3.0662566794483466,3.9016953171224764
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7657292389897434,2.159082947365943,3.076551026781762,2.5269116460998364,3.0139158339566032,2.9642471596513174,2.385610140659314,3.951010257999557,3.3048824773426464,3.440091567421262,4.240214395299707,4.061872825057274,4.930800975276253
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172174775941712,2.5252131681396697,3.084246118995154,3.0218985423749563,3.8551268526634432,3.5234369194307047,4.700441857270837,4.425777379440798,2.73274993516189,3.305961834063379,3.3554943470039675,4.0009003750974435
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0932421114986426,1.0971171988390978,1.8358624391736371,2.828661268222929,3.0680681694296488,3.785398635153787,2.9998805123566017,3.247111211605208,4.31898734104349,3.0884762562267736,3.9289086227940224
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615292479101499,2.364819953291142,3.7539032008641118,4.097731540498364,4.605905333023211,3.92083650518196,3.0108337821021816,4.044822171962915,2.489883089199879,3.182473814801408
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4225798073105356,2.900208927012286,3.227480369491798,3.9090077634107625,2.654545442115439,3.61735418726633,4.793398129530001,3.3328205823399952,4.246587379054095
31S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8288256063791888,2.4595656299298434,2.3834150150465088,2.4450601232008666,4.92654948212796,5.870977813068552,4.769479779545495,5.492823783578369
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936879520782026,1.0936461883945645,1.0947166994406388,5.835468514343302,6.812317427833297,5.893815728419656,6.752888916569586
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7761377733278048,1.7886140822798986,5.647094087014069,6.525531192638045,5.954128816770874,6.8322416219900575
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790885261624776,6.844484123977576,7.787530424683423,6.87250559014386,7.6939067819692175
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.978772785305821,7.052465215337795,5.926509288131096,6.831213327263847
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213635150098188,1.34902487330518,1.8772678442180224
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251710095112862,2.287103311318017
38O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771869105960516
39H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
