 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,S31,C32,H33,H34,H35,C36,O37,O38,H39
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0676363107463636,1.9303332532535553,1.7171606057601447,0.02131647079321626,0.0004882086312973932,0.009247444649962189,0.0023612200353964052,0.02302441042701453,0.01688042407409339,0.003578404376632996,0.0006875801010288729,0.0004050392999483815,8.516508719869087e-05,0.00014637381351105538,5.4989992519516306e-05,5.530218358584804e-06,1.2545157093007964e-05,3.3411690871787414e-06,1.0052087998646542e-06,5.280756191251845e-06,4.6879776477437574e-07,1.344179155760017e-07,6.719006206967748e-08,3.7202014024906305e-08,5.024287292820784e-05,1.761496619417935e-05,1.774809618144968e-05,3.125684072013968e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024694480942216268,0.02442185322880608,0.0019732204102882456,6.30116771622724e-05,0.0006378638172981344,2.2109762128463828e-05,0.0007876210174779796,0.0004746761623694029,0.00020166951325339966,1.5890248371341897e-05,2.244561620567964e-05,3.2737042814368067e-06,4.461831671687122e-06,1.4104968462103074e-06,8.806142148820584e-08,5.495787180898049e-07,4.156678690137028e-08,1.0773551606391152e-08,2.612464532480985e-07,1.3405382581765934e-08,6.256361206880001e-09,3.0234825754149597e-09,4.541635956201162e-10,2.914865429248792e-06,1.170310353959536e-06,1.0321826928727518e-06,3.725798483067422e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024233908667361304,0.0004948209847175367,0.00021889682971831803,2.676747704111193e-05,5.908352497696612e-05,0.010571437226231772,0.014542238031789334,0.0012214028888966055,1.571400201383355e-05,0.00011827868897240634,0.00010783848594297929,7.379618248193331e-05,2.0271326009124735e-05,1.2791357564267969e-06,5.688025784822415e-06,2.8121640893719047e-06,7.99670774043193e-08,3.398058217807254e-06,2.324493011407469e-07,6.702312282946821e-08,3.566951267686136e-08,7.59475549116928e-09,8.584920791143702e-06,4.473769858348575e-06,2.0409205151450394e-06,3.2388268178529245e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01059492061811862,2.834000184370744e-05,0.011967350688752765,0.0006581311849434002,0.0021405155006204435,0.001418193180647176,0.0008711011088047282,1.2517511648546531e-05,9.370534478403414e-05,1.9026147632716928e-05,4.9474807270577514e-05,2.746683917198567e-06,5.543460432910763e-07,3.824278233199863e-06,4.2281440237879053e-07,1.0990152143897092e-07,2.4117637568155104e-06,1.2023309525766024e-07,7.317335071199693e-08,2.228862006070642e-08,6.69508559703047e-09,1.1338127222426664e-05,3.171909986665611e-06,4.130382949996125e-06,1.3498259028299486e-06
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9073990775622398,2.1362816872921537,2.0008096439937777,0.002994003934765177,0.0008421755945382109,0.0024286437070237255,0.0015763013651883817,0.00026180884256513104,2.318015394109363e-05,0.00010952161397950744,9.720708937566158e-06,2.0255056845108754e-06,3.404542976720437e-05,1.5114849993835833e-07,1.3016992927994409e-07,1.3871265959947143e-05,5.640957763952681e-07,3.007639834962106e-07,1.6855437090512737e-07,2.4259683151228728e-08,4.214633118979072e-05,4.32711393540397e-05,6.177312119631795e-06,1.010043248594883e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023368179728079363,0.023257418285474563,0.0007021191973235474,9.897271683667608e-05,0.0003934602319073388,0.00015557818424127845,3.7071551268974545e-05,1.0229721025600824e-05,1.813369185010849e-05,3.138901756072343e-06,7.163166955148625e-07,4.4184497458577e-06,1.7614207425964423e-08,1.0351579593503857e-08,6.959801954753431e-07,2.9388788291839774e-08,1.6680588688089415e-08,7.656772771369447e-09,2.424513256826799e-09,1.102936878583094e-05,8.139858722833182e-06,9.774610123525207e-07,2.6679785736227757e-07
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023679185127709834,5.774703987193597e-05,2.5118582341110418e-05,0.0001326331766025035,0.0004229050711384019,2.1483087372153875e-05,2.1930416993498625e-06,3.1583826693992734e-06,1.6194728291729632e-07,9.152467450590507e-08,7.546136933100911e-07,4.887105387041402e-09,4.6893586791441066e-08,3.4357974876275676e-07,1.2065565435648296e-08,4.022594035646421e-09,2.9593683059658815e-09,1.7631784920979499e-10,5.997739041418981e-06,6.728461684923914e-06,1.0033412004561981e-06,1.4024586381111703e-08
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229842083516509,6.1147741511558e-05,0.00010650815976021022,3.8183056263685344e-05,1.0277787064749688e-05,1.482563196653075e-07,5.636927519869772e-06,6.900452180769179e-07,1.0750557888350443e-07,1.0139261017449996e-06,4.54845585640129e-08,1.1164784208261835e-08,4.1482593793329414e-07,1.712520503183157e-08,1.3107295693259857e-08,2.3670918558593712e-09,1.9699004649709195e-09,3.767599907389396e-06,2.3902431551814374e-06,1.1495973444297647e-06,4.33664045562665e-07
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.923362828207746,3.5311843150740567,0.13063117906383703,0.2605544381226431,0.023159498279515578,0.035514915422699966,0.00957570417535103,0.0005978061846290128,0.00428657630546736,0.00037326813164728634,0.00010248268032531094,0.0015023827634081804,0.00010802018176780948,3.962552646274986e-05,1.1968472799495089e-05,6.0280169207338474e-06,0.028492957062342006,0.006851142961903395,0.005489164557844511,0.0012146265435678538
O20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371913252733466,0.026313618000146533,0.0677909913447683,0.031238708090817968,0.02360907817377765,0.02018666974442973,0.0007771617605751846,0.0027206705562052846,0.0002216102924695873,0.00010955985973670757,0.00098169145417943,6.082854946613814e-05,2.9266785023018826e-05,1.0079692260189788e-05,1.0297676294568348e-05,0.008774923147847308,0.004191132993482352,0.0012431521041989108,0.0002882119731241195
N21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8196094290098443,2.735942287140921,0.09742657970570945,0.18903258174141233,0.01113637595354755,0.005026019904353252,0.030032616183969088,0.0003995071562018504,0.0008424910505655525,0.007440095301905522,0.0003928730143422515,0.0001413742971803078,8.391634888194055e-05,9.180501248318151e-06,0.19225463235575402,0.059281126142766705,0.026979410423523933,0.005357601620303187
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09616894940490328,0.01831213291830114,0.007839619184601077,0.0003121771334391177,0.0004870144345687777,0.0015408726566363828,2.4290976397001174e-05,0.0002080500364747273,0.0006541504860712033,2.0692437270874997e-05,9.131138384299575e-06,3.8088990335083395e-06,2.186953993454921e-07,0.03488693551552913,0.07891194338267637,0.005600104122536864,0.00016233116029340522
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043084802245346,2.4421466590333445,0.1001267101667982,0.08262760074890196,0.15386820275528218,0.004982195977762949,0.00870244131403819,0.04682685827489101,0.002064449619315928,0.0011264285671193086,0.00033425509668938425,4.183638422095015e-05,2.601505983011051,0.2773765731552448,0.2136942632394392,0.05356954865704944
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07883715638122135,0.00399171019777933,0.03180412651398257,0.01139143781635743,0.00019110370939845467,0.006272130373028206,0.002277482872736769,5.3825888585712356e-05,2.7604205876663457e-06,3.594971426323923e-06,2.164488926581498e-05,0.1071002791793374,0.029311380832853895,0.010370054741987267,0.0007871699638315466
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9659361793784014,2.07708265858004,2.764544288034339,0.08320175381561179,0.08050881383569863,0.20460677326337104,0.01576323358495034,0.005757581552927826,0.0015534753717880712,0.0008739383250560007,0.1952981472367289,0.0439756362070169,0.021947758884989316,0.001585856911242245
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025440927325351304,0.08473724106693281,0.03220179905492504,0.0047559882246521745,0.011801197640300853,0.007343259264925184,0.009028361149731712,0.0007404784002575937,5.19249206392125e-05,0.026449182720311493,0.005143901730172207,0.003076706591223277,0.0006829215400474542
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787301620570946,0.005411708428094242,0.03331275804667877,0.015191239568175252,0.0005990917862486178,0.00013984936136335335,3.870737106814737e-05,0.0002704458564444234,0.012567210098740844,0.002302894952107226,0.0008998764126749714,0.00015020400490683983
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9684706657557545,2.079422262580761,2.5633054974408966,0.11770480036965142,0.00618614598559053,0.027684756219755524,0.009774481370502075,0.01212441608577386,0.0033802237779412686,0.02212236387363911,0.0011737775939247852
H29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025532552292756527,0.09574032556763634,0.025271120728210028,0.00025366626625289435,0.0012745197362720173,0.0004064944289885464,0.00437830221730362,0.001329260886523631,0.029912316907333758,0.0008801638311179971
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917296518315055,0.011637932990363087,0.0006024236447599307,0.0005231241281205001,0.004953639111100028,0.000594752787570263,0.0001191754533979017,0.0004372859947651131,2.3466048491016522e-05
S31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6732965465833933,0.09695369446985613,0.09346114397432315,0.09450667543527946,0.003165823274116644,0.0015397033849251715,0.003097524508590889,0.0003861688403588026
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9655015454821458,1.84694568409425,2.1634499862265244,0.000697571010569692,0.00023690488418241784,0.0008299913339900739,9.140952570618754e-05
H33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025284317924011646,0.024480382440177806,0.00023572341198185853,0.00012827223160971624,4.728996389180562e-05,1.1107408988797474e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025582334517208816,9.539943822356456e-05,2.781547896735237e-05,0.00015283763784512683,1.5133241873188652e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.606602413945396e-06,1.9709293257452742e-06,2.4831747957310135e-05,4.103012136047468e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3078283104819555,3.3403819961357124,0.16703925587917912
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156118925417204,0.06654293593042016
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6050384148019141
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
